Entity,Code,Year,Condom use at last high-risk sex - All sexes Adults (15-49) (%)
Albania,ALB,2016,41.9
Angola,AGO,2016,38.4
Armenia,ARM,2016,68
Benin,BEN,2016,39.6
Bolivia,BOL,2016,27.6
Burkina Faso,BFA,2016,67.6
Burundi,BDI,2016,32.2
Cambodia,KHM,2016,67.2
Cameroon,CMR,2016,63.5
Chad,TCD,2016,35.9
Colombia,COL,2016,70.5
Comoros,COM,2016,47.7
Congo,COG,2016,48
Cote d'Ivoire,CIV,2016,49.9
Democratic Republic of Congo,COD,2016,26.7
Dominican Republic,DOM,2016,63.3
Ethiopia,ETH,2016,53.6
Gabon,GAB,2016,64.3
Gambia,GMB,2016,57
Ghana,GHA,2016,25.8
Guatemala,GTM,2016,51.8
Guinea,GIN,2016,44.2
Guyana,GUY,2016,63.2
Haiti,HTI,2016,58.9
Honduras,HND,2016,60.9
India,IND,2016,35.9
Kenya,KEN,2016,66.9
Kyrgyzstan,KGZ,2016,66.5
Lesotho,LSO,2016,76.3
Liberia,LBR,2016,29.4
Madagascar,MDG,2016,8.8
Malawi,MWI,2016,61.9
Mali,MLI,2016,29.6
Moldova,MDA,2016,42.1
Mozambique,MOZ,2016,37
Namibia,NAM,2016,70.3
Nicaragua,NIC,2016,13.9
Niger,NER,2016,54.2
Nigeria,NGA,2016,48.6
Peru,PER,2016,18.4
Philippines,PHL,2016,11.1
Rwanda,RWA,2016,54.7
Sao Tome and Principe,STP,2016,57.3
Senegal,SEN,2016,68.9
Sierra Leone,SLE,2016,11.9
Swaziland,SWZ,2016,60.4
Tanzania,TZA,2016,56.4
Togo,TGO,2016,51.3
Turkmenistan,TKM,2016,6.6
Uganda,UGA,2016,50.7
Ukraine,UKR,2016,57.2
Zambia,ZMB,2016,50.1
Zimbabwe,ZWE,2016,79
