Entity,Code,Year,Number of intensive care beds (beds)
Argentina,ARG,2020,8444
Austria,AUT,2011,1264
Austria,AUT,2016,2547
Bangladesh,BGD,2017,878
Belgium,BEL,2020,1900
Brunei,BRN,2017,58
Canada,CAN,2015,3170
China,CHN,2015,49453
Cyprus,CYP,2011,83
Estonia,EST,2011,124
Finland,FIN,2011,301
France,FRA,2011,4069
France,FRA,2020,12429
Germany,DEU,2020,40000
Greece,GRC,2011,650
Hong Kong,HKG,2017,287
India,IND,2017,29997
Indonesia,IDN,2017,7094
Iran,IRN,2014,3769
Ireland,IRL,2011,201
Italy,ITA,2018,5293
Italy,ITA,2020,6723
Japan,JPN,2017,5973
Kazakhstan,KAZ,2016,3948
Laos,LAO,2017,152
Luxembourg,LUX,2011,100
Malaysia,MYS,2016,1060
Mongolia,MNG,2017,271
Myanmar,MMR,2018,331
Nepal,NPL,2017,578
Netherlands,NLD,2020,1150
New Zealand,NZL,2020,176
Oman,OMN,2017,196
Pakistan,PAK,2016,3142
Philippines,PHL,2016,2315
Portugal,PRT,2011,451
Romania,ROU,2011,2000
Saudi Arabia,SAU,2016,6515
Singapore,SGP,2017,335
South Korea,KOR,2016,5402
Spain,ESP,2020,4627
Sri Lanka,LKA,2015,519
Sweden,SWE,2017,519
Sweden,SWE,2018,527
Sweden,SWE,2019,526
Switzerland,CHE,2020,844
Taiwan,TWN,2017,5758
Thailand,THA,2017,7100
Turkey,TUR,2012,23689
Turkey,TUR,2013,25964
Turkey,TUR,2014,28573
Turkey,TUR,2015,31483
Turkey,TUR,2016,33063
United Kingdom,GBR,2011,2377
United Kingdom,GBR,2020,4000
United States,USA,2020,46500
