Entity,Code,Year,"17.2.1 - Net official development assistance (ODA) as a percentage of OECD-DAC donors' GNI, by donor countries (%) - DC_ODA_TOTG (%)"
Australia,AUS,2000,0.26664
Australia,AUS,2001,0.2519
Australia,AUS,2002,0.2556
Australia,AUS,2003,0.2472
Australia,AUS,2004,0.24514
Australia,AUS,2005,0.24757
Australia,AUS,2006,0.29508
Australia,AUS,2007,0.32259
Australia,AUS,2008,0.31601
Australia,AUS,2009,0.29362
Australia,AUS,2010,0.32273
Australia,AUS,2011,0.34357
Australia,AUS,2012,0.36093
Australia,AUS,2013,0.3309
Australia,AUS,2014,0.31431
Australia,AUS,2015,0.29111
Australia,AUS,2016,0.26583
Australia,AUS,2017,0.232
Australia,AUS,2018,0.23327
Austria,AUT,2000,0.23444
Austria,AUT,2001,0.34156
Austria,AUT,2002,0.25512
Austria,AUT,2003,0.20161
Austria,AUT,2004,0.23291
Austria,AUT,2005,0.52178
Austria,AUT,2006,0.46887
Austria,AUT,2007,0.49806
Austria,AUT,2008,0.42828
Austria,AUT,2009,0.30204
Austria,AUT,2010,0.32242
Austria,AUT,2011,0.26713
Austria,AUT,2012,0.28022
Austria,AUT,2013,0.27352
Austria,AUT,2014,0.28437
Austria,AUT,2015,0.35375
Austria,AUT,2016,0.42371
Austria,AUT,2017,0.30004
Austria,AUT,2018,0.25682
Belgium,BEL,2000,0.35774
Belgium,BEL,2001,0.36833
Belgium,BEL,2002,0.43246
Belgium,BEL,2003,0.60176
Belgium,BEL,2004,0.40965
Belgium,BEL,2005,0.52571
Belgium,BEL,2006,0.49926
Belgium,BEL,2007,0.42611
Belgium,BEL,2008,0.4786
Belgium,BEL,2009,0.54998
Belgium,BEL,2010,0.63971
Belgium,BEL,2011,0.53629
Belgium,BEL,2012,0.4746
Belgium,BEL,2013,0.45299
Belgium,BEL,2014,0.46302
Belgium,BEL,2015,0.41608
Belgium,BEL,2016,0.49859
Belgium,BEL,2017,0.45
Belgium,BEL,2018,0.44305
Canada,CAN,2000,0.25473
Canada,CAN,2001,0.21729
Canada,CAN,2002,0.27906
Canada,CAN,2003,0.23789
Canada,CAN,2004,0.2678
Canada,CAN,2005,0.33746
Canada,CAN,2006,0.29376
Canada,CAN,2007,0.28939
Canada,CAN,2008,0.32541
Canada,CAN,2009,0.3031
Canada,CAN,2010,0.33648
Canada,CAN,2011,0.31969
Canada,CAN,2012,0.31587
Canada,CAN,2013,0.27498
Canada,CAN,2014,0.24099
Canada,CAN,2015,0.27958
Canada,CAN,2016,0.26055
Canada,CAN,2017,0.26409
Canada,CAN,2018,0.27347
Czech Republic,CZE,2000,0.03265
Czech Republic,CZE,2001,0.04803
Czech Republic,CZE,2002,0.06535
Czech Republic,CZE,2003,0.11137
Czech Republic,CZE,2004,0.10656
Czech Republic,CZE,2005,0.114
Czech Republic,CZE,2006,0.12014
Czech Republic,CZE,2007,0.1097
Czech Republic,CZE,2008,0.1242
Czech Republic,CZE,2009,0.11952
Czech Republic,CZE,2010,0.12662
Czech Republic,CZE,2011,0.12465
Czech Republic,CZE,2012,0.12051
Czech Republic,CZE,2013,0.11377
Czech Republic,CZE,2014,0.11215
Czech Republic,CZE,2015,0.11767
Czech Republic,CZE,2016,0.14236
