Entity,Code,Year,Vienna Convention and Montreal Protocol (Cumulative Parties) (total parties in Montreal Protocol)
Africa,,1985,0
Africa,,1986,0
Africa,,1987,0
Africa,,1988,4
Africa,,1989,8
Africa,,1990,12
Africa,,1991,15
Africa,,1992,21
Africa,,1993,29
Africa,,1994,39
Africa,,1995,40
Africa,,1996,42
Africa,,1997,43
Africa,,1998,43
Africa,,1999,44
Africa,,2000,45
Africa,,2001,50
Africa,,2002,51
Africa,,2003,51
Africa,,2004,51
Africa,,2005,52
Africa,,2006,53
Africa,,2007,53
Africa,,2008,53
Africa,,2009,53
Africa,,2010,53
Africa,,2011,53
Africa,,2012,54
Africa,,2013,54
Arabian Peninsula,,1985,0
Arabian Peninsula,,1986,0
Arabian Peninsula,,1987,0
Arabian Peninsula,,1988,0
Arabian Peninsula,,1989,1
Arabian Peninsula,,1990,2
Arabian Peninsula,,1991,2
Arabian Peninsula,,1992,3
Arabian Peninsula,,1993,4
Arabian Peninsula,,1994,4
Arabian Peninsula,,1995,4
Arabian Peninsula,,1996,6
Arabian Peninsula,,1997,6
Arabian Peninsula,,1998,6
Arabian Peninsula,,1999,7
Arabian Peninsula,,2000,7
Arabian Peninsula,,2001,7
Arabian Peninsula,,2002,7
Arabian Peninsula,,2003,7
Arabian Peninsula,,2004,7
Arabian Peninsula,,2005,7
Arabian Peninsula,,2006,7
Arabian Peninsula,,2007,7
Arabian Peninsula,,2008,7
Arabian Peninsula,,2009,7
Arabian Peninsula,,2010,7
Arabian Peninsula,,2011,7
Arabian Peninsula,,2012,7
Arabian Peninsula,,2013,7
Asia + Pacific,,1985,0
Asia + Pacific,,1986,0
Asia + Pacific,,1987,0
Asia + Pacific,,1988,2
Asia + Pacific,,1989,9
Asia + Pacific,,1990,11
Asia + Pacific,,1991,13
Asia + Pacific,,1992,19
Asia + Pacific,,1993,25
Asia + Pacific,,1994,28
Asia + Pacific,,1995,30
Asia + Pacific,,1996,31
Asia + Pacific,,1997,31
Asia + Pacific,,1998,33
Asia + Pacific,,1999,33
Asia + Pacific,,2000,33
Asia + Pacific,,2001,36
Asia + Pacific,,2002,36
Asia + Pacific,,2003,38
Asia + Pacific,,2004,40
Asia + Pacific,,2005,40
Asia + Pacific,,2006,40
Asia + Pacific,,2007,40
Asia + Pacific,,2008,40
Asia + Pacific,,2009,41
Asia + Pacific,,2010,41
Asia + Pacific,,2011,41
Asia + Pacific,,2012,41
Asia + Pacific,,2013,41
Australia + New Zealand,,1985,0
Australia + New Zealand,,1986,0
Australia + New Zealand,,1987,0
Australia + New Zealand,,1988,1
Australia + New Zealand,,1989,2
Australia + New Zealand,,1990,2
Australia + New Zealand,,1991,2
Australia + New Zealand,,1992,2
Australia + New Zealand,,1993,2
Australia + New Zealand,,1994,2
Australia + New Zealand,,1995,2
Australia + New Zealand,,1996,2
Australia + New Zealand,,1997,2
Australia + New Zealand,,1998,2
Australia + New Zealand,,1999,2
Australia + New Zealand,,2000,2
Australia + New Zealand,,2001,2
Australia + New Zealand,,2002,2
Australia + New Zealand,,2003,2
Australia + New Zealand,,2004,2
Australia + New Zealand,,2005,2
Australia + New Zealand,,2006,2
Australia + New Zealand,,2007,2
Australia + New Zealand,,2008,2
Australia + New Zealand,,2009,2
Australia + New Zealand,,2010,2
Australia + New Zealand,,2011,2
Australia + New Zealand,,2012,2
Australia + New Zealand,,2013,2
Caribbean,,1985,0
Caribbean,,1986,0
Caribbean,,1987,0
Caribbean,,1988,0
Caribbean,,1989,2
Caribbean,,1990,2
Caribbean,,1991,2
Caribbean,,1992,6
Caribbean,,1993,11
Caribbean,,1994,11
Caribbean,,1995,11
Caribbean,,1996,12
Caribbean,,1997,12
Caribbean,,1998,12
Caribbean,,1999,12
Caribbean,,2000,13
Caribbean,,2001,13
Caribbean,,2002,13
Caribbean,,2003,13
Caribbean,,2004,13
Caribbean,,2005,13
Caribbean,,2006,13
Caribbean,,2007,13
Caribbean,,2008,13
Caribbean,,2009,13
Caribbean,,2010,13
Caribbean,,2011,13
Caribbean,,2012,13
Caribbean,,2013,13
Central Africa,,1985,0
Central Africa,,1986,0
Central Africa,,1987,0
Central Africa,,1988,0
Central Africa,,1989,1
Central Africa,,1990,1
Central Africa,,1991,1
Central Africa,,1992,1
Central Africa,,1993,2
Central Africa,,1994,6
Central Africa,,1995,6
Central Africa,,1996,6
Central Africa,,1997,6
Central Africa,,1998,6
Central Africa,,1999,6
Central Africa,,2000,6
Central Africa,,2001,7
Central Africa,,2002,7
Central Africa,,2003,7
Central Africa,,2004,7
Central Africa,,2005,7
Central Africa,,2006,8
Central Africa,,2007,8
Central Africa,,2008,8
Central Africa,,2009,8
Central Africa,,2010,8
Central Africa,,2011,8
Central Africa,,2012,8
Central Africa,,2013,8
Central Asia,,1985,0
Central Asia,,1986,0
Central Asia,,1987,0
Central Asia,,1988,0
Central Asia,,1989,0
Central Asia,,1990,0
Central Asia,,1991,0
Central Asia,,1992,0
Central Asia,,1993,2
Central Asia,,1994,2
Central Asia,,1995,2
Central Asia,,1996,2
Central Asia,,1997,2
Central Asia,,1998,4
Central Asia,,1999,4
Central Asia,,2000,5
Central Asia,,2001,5
Central Asia,,2002,5
Central Asia,,2003,5
Central Asia,,2004,5
Central Asia,,2005,5
Central Asia,,2006,5
Central Asia,,2007,5
Central Asia,,2008,5
Central Asia,,2009,5
Central Asia,,2010,5
Central Asia,,2011,5
Central Asia,,2012,5
Central Asia,,2013,5
Central Europe,,1985,0
Central Europe,,1986,0
Central Europe,,1987,0
Central Europe,,1988,0
Central Europe,,1989,1
Central Europe,,1990,3
Central Europe,,1991,5
Central Europe,,1992,9
Central Europe,,1993,12
Central Europe,,1994,13
Central Europe,,1995,15
Central Europe,,1996,16
Central Europe,,1997,16
Central Europe,,1998,16
Central Europe,,1999,17
Central Europe,,2000,17
Central Europe,,2001,17
Central Europe,,2002,17
Central Europe,,2003,17
Central Europe,,2004,17
Central Europe,,2005,17
Central Europe,,2006,18
Central Europe,,2007,18
Central Europe,,2008,18
Central Europe,,2009,18
Central Europe,,2010,18
Central Europe,,2011,18
Central Europe,,2012,18
Central Europe,,2013,18
Eastern Africa,,1985,0
Eastern Africa,,1986,0
Eastern Africa,,1987,0
Eastern Africa,,1988,2
Eastern Africa,,1989,2
Eastern Africa,,1990,2
Eastern Africa,,1991,2
Eastern Africa,,1992,2
Eastern Africa,,1993,2
Eastern Africa,,1994,3
Eastern Africa,,1995,3
Eastern Africa,,1996,3
Eastern Africa,,1997,4
Eastern Africa,,1998,4
Eastern Africa,,1999,5
Eastern Africa,,2000,5
Eastern Africa,,2001,7
Eastern Africa,,2002,7
Eastern Africa,,2003,7
Eastern Africa,,2004,7
Eastern Africa,,2005,8
Eastern Africa,,2006,8
Eastern Africa,,2007,8
Eastern Africa,,2008,8
Eastern Africa,,2009,8
Eastern Africa,,2010,8
Eastern Africa,,2011,8
Eastern Africa,,2012,9
Eastern Africa,,2013,9
Eastern Europe,,1985,0
Eastern Europe,,1986,0
Eastern Europe,,1987,0
Eastern Europe,,1988,3
Eastern Europe,,1989,3
Eastern Europe,,1990,3
Eastern Europe,,1991,3
Eastern Europe,,1992,3
Eastern Europe,,1993,3
Eastern Europe,,1994,3
Eastern Europe,,1995,3
Eastern Europe,,1996,6
Eastern Europe,,1997,6
Eastern Europe,,1998,6
Eastern Europe,,1999,7
Eastern Europe,,2000,7
Eastern Europe,,2001,7
Eastern Europe,,2002,7
Eastern Europe,,2003,7
Eastern Europe,,2004,7
