Entity,Code,Year,Pump price for diesel fuel (US$ per liter) (US$ per liter)
Afghanistan,AFG,2002,0.27
Afghanistan,AFG,2004,0.58
Afghanistan,AFG,2006,0.65
Afghanistan,AFG,2008,0.96
Afghanistan,AFG,2010,1
Afghanistan,AFG,2012,1.21
Afghanistan,AFG,2014,1.19
Afghanistan,AFG,2016,0.7
Albania,ALB,1998,0.43
Albania,ALB,2000,0.3
Albania,ALB,2002,0.51
Albania,ALB,2004,1.02
Albania,ALB,2006,1.29
Albania,ALB,2008,1.31
Albania,ALB,2010,1.4
Albania,ALB,2012,1.79
Albania,ALB,2014,1.71
Albania,ALB,2016,1.35
Algeria,DZA,1991,0.04
Algeria,DZA,1992,0.09
Algeria,DZA,1995,0.23
Algeria,DZA,1998,0.16
Algeria,DZA,2000,0.15
Algeria,DZA,2002,0.1
Algeria,DZA,2004,0.15
Algeria,DZA,2006,0.19
Algeria,DZA,2008,0.2
Algeria,DZA,2010,0.19
Algeria,DZA,2012,0.17
Algeria,DZA,2014,0.16
Algeria,DZA,2016,0.17
Andorra,AND,2008,1.06
Andorra,AND,2010,1.32
Andorra,AND,2012,1.48
Andorra,AND,2014,1.35
Angola,AGO,1998,0.19
Angola,AGO,2000,0.15
Angola,AGO,2002,0.13
Angola,AGO,2004,0.29
Angola,AGO,2006,0.36
Angola,AGO,2008,0.39
Angola,AGO,2010,0.43
Angola,AGO,2012,0.42
Angola,AGO,2014,0.51
Angola,AGO,2016,0.82
Antigua and Barbuda,ATG,2000,0.56
Antigua and Barbuda,ATG,2004,0.68
Antigua and Barbuda,ATG,2006,0.85
Antigua and Barbuda,ATG,2010,0.96
Arab World,,1998,0.165
Arab World,,2000,0.21
Arab World,,2002,0.19
Arab World,,2004,0.24
Arab World,,2006,0.39
Arab World,,2008,0.49
Arab World,,2010,0.44
Arab World,,2012,0.42
Arab World,,2014,0.64
Arab World,,2016,0.565
Argentina,ARG,1992,0.29
Argentina,ARG,1995,0.28
Argentina,ARG,1998,0.42
Argentina,ARG,2000,0.52
Argentina,ARG,2002,0.46
Argentina,ARG,2004,0.49
Argentina,ARG,2006,0.48
Argentina,ARG,2008,0.58
