Entity,Code,Year,Black Rhino
Angola,AGO,1980,300
Angola,AGO,1984,90
Angola,AGO,1987,0
Angola,AGO,1991,50
Angola,AGO,1992,50
Angola,AGO,1993,10
Angola,AGO,1995,0
Angola,AGO,1997,0
Angola,AGO,2010,1
Botswana,BWA,1980,30
Botswana,BWA,1984,10
Botswana,BWA,1987,10
Botswana,BWA,1991,10
Botswana,BWA,1992,5
Botswana,BWA,1993,4
Botswana,BWA,1995,0
Botswana,BWA,1997,0
Botswana,BWA,2005,5
Botswana,BWA,2010,7
Botswana,BWA,2017,50
Cameroon,CMR,1980,110
Cameroon,CMR,1984,110
Cameroon,CMR,1987,30
Cameroon,CMR,1991,50
Cameroon,CMR,1992,35
Cameroon,CMR,1993,27
Cameroon,CMR,1995,7
Cameroon,CMR,1997,10
Cameroon,CMR,2005,0
Central African Republic,CAF,1980,3000
Central African Republic,CAF,1984,170
Central African Republic,CAF,1987,10
Central African Republic,CAF,1991,5
Central African Republic,CAF,1992,0
Chad,TCD,1980,25
Chad,TCD,1984,5
Chad,TCD,1987,3
Chad,TCD,1991,0
Chad,TCD,1992,0
Cote d'Ivoire,CIV,2017,0
Ethiopia,ETH,1980,20
Ethiopia,ETH,1984,10
Ethiopia,ETH,1991,0
Ethiopia,ETH,1992,0
Ethiopia,ETH,1993,5
Ethiopia,ETH,1995,1
Ethiopia,ETH,1997,0
Kenya,KEN,1980,1500
Kenya,KEN,1984,550
Kenya,KEN,1987,381
Kenya,KEN,1991,398
Kenya,KEN,1992,414
Kenya,KEN,1993,417
Kenya,KEN,1995,420
Kenya,KEN,1997,424
Kenya,KEN,2005,540
Kenya,KEN,2010,594
Kenya,KEN,2017,745
Malawi,MWI,1980,40
Malawi,MWI,1984,20
Malawi,MWI,1987,25
Malawi,MWI,1991,5
Malawi,MWI,1992,0
Malawi,MWI,1993,2
Malawi,MWI,1995,2
Malawi,MWI,1997,3
Malawi,MWI,2005,10
Malawi,MWI,2010,24
Malawi,MWI,2017,28
Mozambique,MOZ,1980,250
Mozambique,MOZ,1984,130
Mozambique,MOZ,1987,0
Mozambique,MOZ,1991,50
Mozambique,MOZ,1992,50
Mozambique,MOZ,1993,45
Mozambique,MOZ,1995,0
Mozambique,MOZ,1997,13
Mozambique,MOZ,2010,1
Mozambique,MOZ,2017,1
Namibia,NAM,1980,300
Namibia,NAM,1984,400
Namibia,NAM,1987,449
Namibia,NAM,1991,479
Namibia,NAM,1992,489
Namibia,NAM,1993,583
Namibia,NAM,1995,598
Namibia,NAM,1997,707
Namibia,NAM,2005,1141
Namibia,NAM,2010,1750
Namibia,NAM,2017,1857
Rwanda,RWA,1980,30
Rwanda,RWA,1984,15
Rwanda,RWA,1987,15
Rwanda,RWA,1992,15
Rwanda,RWA,1993,10
Rwanda,RWA,1995,4
Rwanda,RWA,1997,4
Rwanda,RWA,2005,1
Rwanda,RWA,2017,19
Senegal,SEN,2017,0
Somalia,SOM,1980,300
Somalia,SOM,1984,90
Somalia,SOM,1991,0
Somalia,SOM,1992,0
South Africa,ZAF,1980,630
South Africa,ZAF,1984,640
South Africa,ZAF,1987,577
South Africa,ZAF,1991,771
South Africa,ZAF,1992,819
South Africa,ZAF,1993,897
South Africa,ZAF,1995,1024
South Africa,ZAF,1997,1043
South Africa,ZAF,2005,1379
South Africa,ZAF,2010,1915
South Africa,ZAF,2017,2046
Sudan,SDN,1980,300
Sudan,SDN,1984,100
Sudan,SDN,1987,3
Sudan,SDN,1991,0
Sudan,SDN,1993,0
Sudan,SDN,1995,0
Swaziland,SWZ,1980,0
Swaziland,SWZ,1984,0
Swaziland,SWZ,1987,6
Swaziland,SWZ,1991,6
Swaziland,SWZ,1992,6
Swaziland,SWZ,1993,4
Swaziland,SWZ,1995,9
Swaziland,SWZ,1997,10
Swaziland,SWZ,2005,16
Swaziland,SWZ,2010,17
Swaziland,SWZ,2017,21
Tanzania,TZA,1980,3795
Tanzania,TZA,1984,3130
Tanzania,TZA,1987,275
Tanzania,TZA,1991,185
Tanzania,TZA,1992,127
Tanzania,TZA,1993,132
Tanzania,TZA,1995,32
Tanzania,TZA,1997,46
Tanzania,TZA,2005,101
Tanzania,TZA,2010,113
Tanzania,TZA,2017,160
Uganda,UGA,1980,5
Uganda,UGA,1984,0
Uganda,UGA,1991,3
Uganda,UGA,1992,0
Uganda,UGA,1995,0
Uganda,UGA,2017,0
World,OWID_WRL,1960,100000
World,OWID_WRL,1970,65000
