Entity,Code,Year,Africa Dataset: Percentage of primary schools with access to potable water (%) (%)
Algeria,DZA,2011,94.8510437011719
Algeria,DZA,2012,94.897216796875
Angola,AGO,2010,51.0025596618652
Benin,BEN,2010,31.518030166626
Benin,BEN,2011,32.8633918762207
Benin,BEN,2014,75.5162582397461
Botswana,BWA,2012,100
Burkina Faso,BFA,2010,46.519401550293
Burkina Faso,BFA,2011,49.9401206970215
Burkina Faso,BFA,2012,47.3783187866211
Burkina Faso,BFA,2013,49.9494209289551
Burkina Faso,BFA,2014,52.7865715026855
Burundi,BDI,2010,33.0009613037109
Burundi,BDI,2011,32.4598007202148
Burundi,BDI,2012,34.8267097473145
Burundi,BDI,2013,39.4270095825195
Burundi,BDI,2014,90.8036880493164
Cameroon,CMR,2011,29.8119201660156
Cameroon,CMR,2012,31.2778091430664
Cape Verde,CPV,2010,81.9711532592773
Cape Verde,CPV,2011,88.461540222168
Cape Verde,CPV,2012,89.663459777832
Cape Verde,CPV,2013,92.0096893310547
Cape Verde,CPV,2014,92.0096893310547
Central African Republic,CAF,2010,23.3854503631592
Central African Republic,CAF,2011,23.7212295532227
Central African Republic,CAF,2012,24.3825206756592
Chad,TCD,2011,14.3339195251465
Chad,TCD,2013,11.7259902954102
Comoros,COM,2012,10.3333301544189
Comoros,COM,2013,9.11765003204346
Cote d'Ivoire,CIV,2009,50.9207992553711
Cote d'Ivoire,CIV,2013,37.7748489379883
Cote d'Ivoire,CIV,2014,37.4357681274414
Democratic Republic of Congo,COD,2010,35.2032203674316
Democratic Republic of Congo,COD,2013,40.8348388671875
Djibouti,DJI,2009,83.8461532592773
Djibouti,DJI,2011,83.3333282470703
Djibouti,DJI,2012,88.2352905273438
Djibouti,DJI,2013,85.2459030151367
Djibouti,DJI,2014,84.375
Djibouti,DJI,2015,86.363639831543
Equatorial Guinea,GNQ,2008,48.9544906616211
Equatorial Guinea,GNQ,2009,54.6717185974121
Eritrea,ERI,2010,55.4557113647461
Eritrea,ERI,2011,56.5046005249023
Eritrea,ERI,2012,53.218391418457
Ethiopia,ETH,2010,37.3980598449707
Ethiopia,ETH,2011,35.1353912353516
Ethiopia,ETH,2012,36.1329689025879
Ethiopia,ETH,2014,52
Gambia,GMB,2010,71.524658203125
Gambia,GMB,2011,70.8211135864258
Ghana,GHA,2011,91.1953887939453
Ghana,GHA,2013,45.4577713012695
Guinea,GIN,2010,22.458589553833
Guinea,GIN,2011,22.0560703277588
Guinea,GIN,2012,20.4653301239014
Guinea,GIN,2013,16.8550205230713
Guinea,GIN,2014,22.4037704467773
Guinea-Bissau,GNB,2010,20.0792598724365
Madagascar,MDG,2011,18.0931396484375
Madagascar,MDG,2013,22.7641201019287
Malawi,MWI,2010,77.6150970458984
Malawi,MWI,2011,87.5449371337891
Malawi,MWI,2012,89.7378082275391
Malawi,MWI,2013,84.605339050293
Mali,MLI,2011,27.134220123291
Mali,MLI,2012,42.6349105834961
Mauritius,MUS,2010,100
Mauritius,MUS,2011,100
Mauritius,MUS,2012,100
Mauritius,MUS,2013,100
Mauritius,MUS,2014,100
Morocco,MAR,2012,87.2788009643555
Morocco,MAR,2013,80.0480804443359
Namibia,NAM,2010,70.7070693969727
Namibia,NAM,2012,77.4308013916016
Niger,NER,2010,16.2770004272461
Niger,NER,2011,15.1953201293945
Niger,NER,2012,13.8995304107666
Niger,NER,2013,15.1349601745605
Niger,NER,2014,16.8589000701904
Nigeria,NGA,2008,62.3969993591309
Rwanda,RWA,2011,100
Rwanda,RWA,2012,91.0070495605469
Sao Tome and Principe,STP,2013,77.2727279663086
Sao Tome and Principe,STP,2015,61.6279106140137
Senegal,SEN,2010,47.7435302734375
Senegal,SEN,2012,53.5828704833984
Senegal,SEN,2014,62.3813095092773
Seychelles,SYC,2011,100
Seychelles,SYC,2012,100
Seychelles,SYC,2014,100
Sierra Leone,SLE,2012,66.942008972168
South Africa,ZAF,2012,92.1088790893555
South Africa,ZAF,2013,98.2937927246094
South Africa,ZAF,2014,98.4112777709961
Sub-Saharan Africa,,2009,46.374
Sub-Saharan Africa,,2010,46.57541
Sub-Saharan Africa,,2011,49.33792
Sub-Saharan Africa,,2012,49.96313
Sub-Saharan Africa,,2013,48.16606
Sub-Saharan Africa (all income levels),,2009,46.39162
Sub-Saharan Africa (all income levels),,2010,46.58855
Sub-Saharan Africa (all income levels),,2011,49.34882
Sub-Saharan Africa (all income levels),,2012,49.97001
Sub-Saharan Africa (all income levels),,2013,48.17556
Swaziland,SWZ,2011,88.0794677734375
Swaziland,SWZ,2012,85.3181076049805
Tanzania,TZA,2010,43.5702590942383
Togo,TGO,2010,27.0869808197021
Togo,TGO,2011,30.1257400512695
Togo,TGO,2013,29.5111103057861
Togo,TGO,2014,33.7797584533691
Tunisia,TUN,2013,88.9453887939453
Tunisia,TUN,2014,88.0061569213867
Zambia,ZMB,2012,88.5991134643555
