Entity,Code,Year,12.c.1 - Fossil-fuel pre-tax subsidies (consumption and production) (billions of current United States dollars) - ER_FFS_PRTSST (current USD)
Afghanistan,AFG,2013,23740000
Afghanistan,AFG,2015,26470000
Africa,,2013,76327490000
Africa,,2015,45354550000
Albania,ALB,2013,190000000
Albania,ALB,2015,60000000
Algeria,DZA,2013,15641000000
Algeria,DZA,2015,8787420000
Americas,,2013,85323990000
Americas,,2015,55562640000
Angola,AGO,2013,4553040000
Angola,AGO,2015,963540000
Antigua and Barbuda,ATG,2013,9610000
Antigua and Barbuda,ATG,2015,9950000
Argentina,ARG,2013,11889440000
Argentina,ARG,2015,8764600000
Armenia,ARM,2013,5980000
Armenia,ARM,2015,4610000
Asia,,2013,316950150000
Asia,,2015,171203470000
"Asia, Central",,2013,20211680000
"Asia, Central",,2015,16860260000
Australia,AUS,2013,773570000
Australia,AUS,2015,818450000
Australia and New Zealand,,2013,773570000
Australia and New Zealand,,2015,818450000
Austria,AUT,2013,135440000
Austria,AUT,2015,139340000
Azerbaijan,AZE,2013,2267120000
Azerbaijan,AZE,2015,878730000
Bahamas,BHS,2013,42100000
Bahamas,BHS,2015,43500000
Bahrain,BHR,2013,2380390000
Bahrain,BHR,2015,1620120000
Bangladesh,BGD,2013,4289970000.0000005
Bangladesh,BGD,2015,2481640000
Barbados,BRB,2013,8460000
Barbados,BRB,2015,8350000
Belarus,BLR,2013,274040000
Belarus,BLR,2015,99070000
Belgium,BEL,2013,2963970000
Belgium,BEL,2015,3034990000
Belize,BLZ,2013,43610000
Belize,BLZ,2015,45600000
Benin,BEN,2013,0
Benin,BEN,2015,0
Bolivia,BOL,2013,1721340000
Bolivia,BOL,2015,700350000
Bosnia and Herzegovina,BIH,2013,0
Bosnia and Herzegovina,BIH,2015,0
Botswana,BWA,2013,95430000
Botswana,BWA,2015,104250000
Brazil,BRA,2013,2246040000
Brazil,BRA,2015,1703880000
Brunei,BRN,2013,437500000
Brunei,BRN,2015,138110000
Bulgaria,BGR,2013,190060000
Bulgaria,BGR,2015,0
Burkina Faso,BFA,2013,119160000
Burkina Faso,BFA,2015,135750000
Burundi,BDI,2013,0
Cambodia,KHM,2013,0
Cambodia,KHM,2015,0
Cameroon,CMR,2013,746080000
Cameroon,CMR,2015,765720000
Canada,CAN,2013,1337750000
Canada,CAN,2015,1401600000
Cape Verde,CPV,2013,44880000
Cape Verde,CPV,2015,46710000
Central America,,2013,12730820000
Central America,,2015,1116840000
Central and Southern Asia,,2013,141565490000
Central and Southern Asia,,2015,96340260000
Chile,CHL,2013,0
Chile,CHL,2015,0
China,CHN,2013,7214700000
China,CHN,2015,0
Colombia,COL,2013,756830000
Colombia,COL,2015,834710000
Congo,COG,2013,631200000
Congo,COG,2015,685860000
Costa Rica,CRI,2013,0
Costa Rica,CRI,2015,0
Cote d'Ivoire,CIV,2013,843560000
Cote d'Ivoire,CIV,2015,987590000
Croatia,HRV,2013,0
Croatia,HRV,2015,0
Cyprus,CYP,2013,0
Cyprus,CYP,2015,0
Czech Republic,CZE,2013,0
Czech Republic,CZE,2015,0
Democratic Republic of Congo,COD,2013,575060000
Democratic Republic of Congo,COD,2015,677720000
Denmark,DNK,2013,0
Denmark,DNK,2015,0
Djibouti,DJI,2013,6190000
Djibouti,DJI,2015,6900000
Dominica,DMA,2013,500000
Dominica,DMA,2015,510000.00000000006
Dominican Republic,DOM,2013,1163870000
