Entity,Code,Year,Share of population covered by social protection (in %) (%)
Benin,BEN,2015,7
Botswana,BWA,2015,74
Burkina Faso,BFA,2015,4
Cameroon,CMR,2015,5
Cape Verde,CPV,2015,30
Chad,TCD,2015,3
Comoros,COM,2015,2
Cote d'Ivoire,CIV,2015,33
Democratic Republic of Congo,COD,2015,11
Djibouti,DJI,2015,21
Egypt,EGY,2015,55
Ethiopia,ETH,2015,13
Gabon,GAB,2015,52
Gambia,GMB,2015,8
Ghana,GHA,2015,64
Guinea,GIN,2015,4
Kenya,KEN,2015,22
Lesotho,LSO,2015,6
Liberia,LBR,2015,7
Madagascar,MDG,2015,6
Malawi,MWI,2015,42
Mali,MLI,2015,1
Mauritania,MRT,2015,45
Mauritius,MUS,2015,47
Morocco,MAR,2015,41
Mozambique,MOZ,2015,7
Namibia,NAM,2015,16
Niger,NER,2015,21
Nigeria,NGA,2015,6
Rwanda,RWA,2015,31
Senegal,SEN,2015,17
Sierra Leone,SLE,2015,30
South Africa,ZAF,2015,63
South Sudan,SSD,2015,6
Sudan,SDN,2015,7
Swaziland,SWZ,2015,52
Tanzania,TZA,2015,13
Togo,TGO,2015,3
Tunisia,TUN,2015,14
Uganda,UGA,2015,61
Zambia,ZMB,2015,2
Zimbabwe,ZWE,2015,30
