Entity,Code,Year,"Males (deaths per 100,000)"
Albania,ALB,1987,23.3
Albania,ALB,1988,25.2
Albania,ALB,1989,21.9
Albania,ALB,1992,20.3
Albania,ALB,1993,19.7
Albania,ALB,1994,17.8
Albania,ALB,1995,28.2
Albania,ALB,1996,31
Albania,ALB,1997,31.7
Albania,ALB,1998,31
Albania,ALB,1999,31.2
Albania,ALB,2000,28.7
Albania,ALB,2001,26
Albania,ALB,2002,29.1
Albania,ALB,2003,32.2
Albania,ALB,2004,29.7
Albania,ALB,2005,28.3
Albania,ALB,2006,29
Albania,ALB,2007,27.7
Albania,ALB,2008,33.4
Albania,ALB,2009,32.5
Argentina,ARG,1966,38.3
Argentina,ARG,1967,44.4
Argentina,ARG,1968,45.9
Argentina,ARG,1969,46.7
Argentina,ARG,1970,45.4
Argentina,ARG,1977,43.7
Argentina,ARG,1978,44.3
Argentina,ARG,1979,43.6
Argentina,ARG,1982,41.4
Argentina,ARG,1983,43.3
Argentina,ARG,1984,42
Argentina,ARG,1985,41.4
Argentina,ARG,1986,40.2
Argentina,ARG,1987,42.2
Argentina,ARG,1988,41.1
Argentina,ARG,1989,40.5
Argentina,ARG,1990,38.9
Argentina,ARG,1991,40.4
Argentina,ARG,1992,39
Argentina,ARG,1993,38.8
Argentina,ARG,1994,39
Argentina,ARG,1995,38
Argentina,ARG,1996,38.3
Argentina,ARG,1997,37.4
Argentina,ARG,1998,37.8
Argentina,ARG,1999,38
Argentina,ARG,2000,36.9
Argentina,ARG,2001,34.7
Argentina,ARG,2002,34.2
Argentina,ARG,2003,34.4
Argentina,ARG,2004,33.7
Argentina,ARG,2005,33.3
Argentina,ARG,2006,34.1
Argentina,ARG,2007,33.3
Argentina,ARG,2008,32.9
Argentina,ARG,2009,32.2
Argentina,ARG,2010,31.7
Argentina,ARG,2011,31.9
Argentina,ARG,2012,31.2
Argentina,ARG,2013,30.2
Armenia,ARM,1981,22
Armenia,ARM,1982,22.7
Armenia,ARM,1985,27.7
Armenia,ARM,1986,29.3
Armenia,ARM,1987,28.4
Armenia,ARM,1988,33.8
Armenia,ARM,1989,33.3
Armenia,ARM,1990,38.3
Armenia,ARM,1991,41.5
Armenia,ARM,1992,40.6
Armenia,ARM,1993,38.8
Armenia,ARM,1994,35.9
Armenia,ARM,1995,40.1
Armenia,ARM,1996,42.7
Armenia,ARM,1997,47.6
Armenia,ARM,1998,44.6
Armenia,ARM,1999,47.4
Armenia,ARM,2000,48.5
Armenia,ARM,2001,51
Armenia,ARM,2002,51.3
Armenia,ARM,2003,52.2
Armenia,ARM,2006,65
Armenia,ARM,2008,66.2
Armenia,ARM,2009,64.6
Armenia,ARM,2010,62.3
Armenia,ARM,2011,63
Armenia,ARM,2012,62
Australia,AUS,1950,15
Australia,AUS,1951,15.8
Australia,AUS,1952,18.3
Australia,AUS,1953,19.3
Australia,AUS,1954,20
Australia,AUS,1955,21.7
Australia,AUS,1956,23.1
Australia,AUS,1957,25
Australia,AUS,1958,24.8
Australia,AUS,1959,27.1
Australia,AUS,1960,27.9
Australia,AUS,1961,30.6
Australia,AUS,1962,32.8
Australia,AUS,1963,33.8
Australia,AUS,1964,36.2
Australia,AUS,1965,36.7
Australia,AUS,1966,38.5
Australia,AUS,1967,39.7
Australia,AUS,1968,40.6
Australia,AUS,1969,41.8
Australia,AUS,1970,42.5
Australia,AUS,1971,43.7
Australia,AUS,1972,44.2
Australia,AUS,1973,45.2
Australia,AUS,1974,47.8
Australia,AUS,1975,48.7
Australia,AUS,1976,50.4
Australia,AUS,1977,49.7
Australia,AUS,1978,51
Australia,AUS,1979,52.1
Australia,AUS,1980,55.3
Australia,AUS,1981,55.6
Australia,AUS,1982,56.1
Australia,AUS,1983,55.6
Australia,AUS,1984,56.1
Australia,AUS,1985,55.8
Australia,AUS,1986,54.2
Australia,AUS,1987,55.2
Australia,AUS,1988,55.5
Australia,AUS,1989,56.2
Australia,AUS,1990,52.2
Australia,AUS,1991,52.3
Australia,AUS,1992,53.1
Australia,AUS,1993,51.2
Australia,AUS,1994,54.2
Australia,AUS,1995,51.3
Australia,AUS,1996,52
Australia,AUS,1997,50.1
Australia,AUS,1998,50.5
Australia,AUS,1999,49.3
Australia,AUS,2000,48.2
Australia,AUS,2001,48.3
Australia,AUS,2002,48.5
Australia,AUS,2003,45.8
Australia,AUS,2004,47.5
Australia,AUS,2005,46.4
Australia,AUS,2006,45.4
Australia,AUS,2007,45.1
Australia,AUS,2008,47.1
Australia,AUS,2009,43.7
Australia,AUS,2010,44.5
Australia,AUS,2011,44
Australia,AUS,2012,42.6
Australia,AUS,2013,42.9
Austria,AUT,1955,59.6
Austria,AUT,1956,64
Austria,AUT,1957,66.3
Austria,AUT,1958,67.2
Austria,AUT,1959,67.3
Austria,AUT,1960,71.4
Austria,AUT,1961,73.6
Austria,AUT,1962,71.3
Austria,AUT,1963,75.2
Austria,AUT,1964,71.2
Austria,AUT,1965,76.5
Austria,AUT,1966,75.2
Austria,AUT,1967,76.1
Austria,AUT,1968,78.3
Austria,AUT,1969,75.5
Austria,AUT,1970,73.8
Austria,AUT,1971,73.4
Austria,AUT,1972,75.1
Austria,AUT,1973,76.1
Austria,AUT,1974,74.7
Austria,AUT,1975,74.2
Austria,AUT,1976,73.3
Austria,AUT,1977,73.5
Austria,AUT,1978,72
Austria,AUT,1979,74.3
Austria,AUT,1980,73
Austria,AUT,1981,70.7
Austria,AUT,1982,68.8
Austria,AUT,1983,69.9
Austria,AUT,1984,71.7
Austria,AUT,1985,68.1
Austria,AUT,1986,66.8
Austria,AUT,1987,66.6
Austria,AUT,1988,65.8
Austria,AUT,1989,66
