Entity,Code,Year,Suite of Food Security Indicators: Domestic food price volatility (index) - Value (FAO (2017)) (index)
Africa,,2000,5.7
Africa,,2001,5.2
Africa,,2002,4.1
Africa,,2003,3.6
Africa,,2004,6.4
Africa,,2005,6.9
Africa,,2006,6.5
Africa,,2007,6.2
Africa,,2008,8.4
Africa,,2009,10.3
Africa,,2010,4.4
Africa,,2011,5.6
Africa,,2012,5.9
Africa,,2013,6.3
Africa,,2014,9.2
Albania,ALB,2000,10.8
Albania,ALB,2001,8.4
Albania,ALB,2002,12
Albania,ALB,2003,17.3
Albania,ALB,2004,12.6
Albania,ALB,2005,17.8
Albania,ALB,2006,15.7
Albania,ALB,2007,15.2
Albania,ALB,2008,10.8
Albania,ALB,2009,10.4
Albania,ALB,2010,10.2
Albania,ALB,2011,12.6
Albania,ALB,2012,8.5
Albania,ALB,2013,10.4
Albania,ALB,2014,10.3
Algeria,DZA,2000,13.9
Algeria,DZA,2001,10.3
Algeria,DZA,2002,12.4
Algeria,DZA,2003,9.5
Algeria,DZA,2004,10.4
Algeria,DZA,2005,12.3
Algeria,DZA,2006,12.9
Algeria,DZA,2007,11.7
Algeria,DZA,2008,11.5
Algeria,DZA,2009,13.1
Algeria,DZA,2010,8.6
Algeria,DZA,2011,7.7
Algeria,DZA,2012,14.4
Algeria,DZA,2013,9.5
Algeria,DZA,2014,5.5
Angola,AGO,2000,89.8
Angola,AGO,2001,35.3
Angola,AGO,2002,29.9
Angola,AGO,2003,9.9
Angola,AGO,2004,9.7
Angola,AGO,2005,7
Angola,AGO,2006,5.3
Angola,AGO,2007,4.7
Angola,AGO,2008,5.6
Angola,AGO,2009,6.2
Angola,AGO,2010,3.9
Angola,AGO,2011,6.6
Angola,AGO,2012,3.2
Angola,AGO,2013,13.7
Antigua and Barbuda,ATG,2000,10.6
Antigua and Barbuda,ATG,2001,6.7
Antigua and Barbuda,ATG,2002,5.4
Armenia,ARM,2000,8.5
Armenia,ARM,2001,13
Armenia,ARM,2002,12.7
Armenia,ARM,2003,15.9
Armenia,ARM,2004,12.3
Armenia,ARM,2005,11.5
Armenia,ARM,2006,14.1
Armenia,ARM,2007,15.9
Armenia,ARM,2008,15
Armenia,ARM,2009,12.3
Armenia,ARM,2010,10.3
Armenia,ARM,2011,13.6
Armenia,ARM,2012,14.3
Armenia,ARM,2013,10.6
Armenia,ARM,2014,11.9
Aruba,ABW,2000,2.3
Aruba,ABW,2001,3.6
