Entity,Code,Year,Without access to safe drinking water (people),With access to safe drinking water (people)
Cyprus,CYP,2011,26605.99976,1098229.0002413807
Cyprus,CYP,2012,20848.82457,1114213.1754310355
Cyprus,CYP,2013,13926.24934,1129969.7506551733
Cyprus,CYP,2014,6845.949931,1145463.0500689663
Cyprus,CYP,2015,316.062931,1160668.9370689662
Czech Republic,CZE,2000,369540.8719,9885522.128080755
Czech Republic,CZE,2001,349545.818,9867059.181974135
Czech Republic,CZE,2002,336161.6607,9860754.339341879
Czech Republic,CZE,2003,334045.0649,9859952.935132202
Czech Republic,CZE,2004,324801.558,9872299.441988025
Czech Republic,CZE,2005,308579.6541,9902636.345907228
Czech Republic,CZE,2006,284712.7143,9954192.28572046
Czech Republic,CZE,2007,275081.3968,10023746.60323941
Czech Republic,CZE,2008,282875.6021,10101727.39788725
Czech Republic,CZE,2009,269338.4513,10174597.548678113
Czech Republic,CZE,2010,241792.0939,10232617.906128528
Czech Republic,CZE,2011,224047.8608,10272040.139235094
Czech Republic,CZE,2012,221995.1171,10288789.882862799
Czech Republic,CZE,2013,224736.1423,10289535.857716134
Czech Republic,CZE,2014,237795.5475,10287551.452456575
Czech Republic,CZE,2015,258002.496,10288056.503953775
Denmark,DNK,2000,330524.0504,5009091.9496454075
Denmark,DNK,2001,334282.6693,5024500.330749432
Denmark,DNK,2002,337961.8243,5037969.175665524
Denmark,DNK,2003,339566.6747,5051007.325317821
Denmark,DNK,2004,321981.0754,5082541.924571845
Denmark,DNK,2005,302088.7491,5117343.2509218445
Denmark,DNK,2006,281258.8548,5156013.145218395
Denmark,DNK,2007,263485.5066,5197952.493404601
Denmark,DNK,2008,251636.6311,5241984.368897704
Denmark,DNK,2009,236769.4024,5286325.597583336
Denmark,DNK,2010,218038.1832,5329644.816835061
Denmark,DNK,2011,198966.254,5371605.745956904
Denmark,DNK,2012,179027.6425,5412544.357491962
Denmark,DNK,2013,174022.6728,5440909.32718748
Denmark,DNK,2014,180807.3222,5462667.67780722
Denmark,DNK,2015,199465.521,5484017.478966841
Ecuador,ECU,2000,4248478.311,8380117.689022542
Ecuador,ECU,2001,4246403.153,8606351.847310863
Ecuador,ECU,2002,4246256.139,8825803.860880198
Ecuador,ECU,2003,4247348.782,9042252.217864113
Ecuador,ECU,2004,4246887.701,9262759.298937852
Ecuador,ECU,2005,4245801.834,9489431.165620517
Ecuador,ECU,2006,4244338.146,9723141.854000362
Ecuador,ECU,2007,4242036.792,9963416.207778146
Ecuador,ECU,2008,4238421.332,10209140.667709265
Ecuador,ECU,2009,4232703.979,10458571.020515485
Ecuador,ECU,2010,4224289.811,10710400.189489054
Ecuador,ECU,2011,4213065.119,10964289.88146725
Ecuador,ECU,2012,4198782.772,11220883.227781953
Ecuador,ECU,2013,4181406.402,11480140.598299822
Ecuador,ECU,2014,4160856.816,11742255.18415759
Ecuador,ECU,2015,4139293.445,12005074.554825593
Estonia,EST,2000,92368.80112,1304616.198882725
Estonia,EST,2001,87362.50894,1300752.4910599818
Estonia,EST,2002,83990.27722,1295359.7227759818
Estonia,EST,2003,81542.10779,1289177.8922148368
Estonia,EST,2004,79095.0489,1283454.9511025017
Estonia,EST,2005,75684.88584,1279090.114163064
Estonia,EST,2006,70586.38494,1276223.6150603131
Estonia,EST,2007,84428.88852,1256251.1114773229
Estonia,EST,2008,104466.5109,1232623.489083102
Estonia,EST,2009,125074.182,1209440.818007127
Estonia,EST,2010,145108.7725,1186366.2274529634
Estonia,EST,2011,164127.8087,1163311.1912872775
Estonia,EST,2012,182338.7288,1140357.271235444
Estonia,EST,2013,200452.0835,1117544.9165008238
Estonia,EST,2014,219586.1101,1094958.8898910296
Estonia,EST,2015,243170.7592,1072236.240769522
Ethiopia,ETH,2000,63387955.56,3149375.4418582586
Ethiopia,ETH,2001,65009996.5,3482260.50355704
Ethiopia,ETH,2002,66692414.13,3804777.8703905456
Ethiopia,ETH,2003,68485981.79,4059162.2073884215
Ethiopia,ETH,2004,70281509.87,4342895.1274302825
Ethiopia,ETH,2005,72069812.4,4657270.603983025
Ethiopia,ETH,2006,73846498.1,5004190.902743607
Ethiopia,ETH,2007,75610512.99,5389896.011820404
Ethiopia,ETH,2008,77321544.74,5863347.260003483
Ethiopia,ETH,2009,79037467.5,6378785.499667877
Ethiopia,ETH,2010,80763508.52,6939161.483380468
Ethiopia,ETH,2011,82500970.27,7545785.730298538
Ethiopia,ETH,2012,84243109.38,8201073.616692216
Ethiopia,ETH,2013,85982165.28,8905558.715553569
Ethiopia,ETH,2014,87704838.7,9661935.298969308
Ethiopia,ETH,2015,89401797.4,10471235.604654519
Finland,FIN,2000,415286.312,4760922.68798703
Finland,FIN,2001,381211.0742,4806796.925752298
Finland,FIN,2002,347558.8581,4853039.141911223
Finland,FIN,2003,312645.8755,4900368.124514536
Finland,FIN,2004,278523.9552,4949648.044811949
Finland,FIN,2005,244597.7839,5001498.216102406
Finland,FIN,2006,210086.1476,5056181.852409006
Finland,FIN,2007,175164.6739,5113555.326126662
Finland,FIN,2008,140116.4112,5173282.588802502
Finland,FIN,2009,104078.5486,5234792.451394804
Finland,FIN,2010,99127.11036,5264224.889644027
Finland,FIN,2011,112831.3516,5275440.648356293
Finland,FIN,2012,126856.6974,5287114.302582559
Finland,FIN,2013,140818.9394,5298153.060581277
Finland,FIN,2014,154315.6563,5307196.343706627
Finland,FIN,2015,149377.9081,5330153.09189751
France,FRA,2000,5543453.829,55369046.17122583
France,FRA,2001,5680979.858,55676450.14215114
France,FRA,2002,5784967.453,56020299.546793245
France,FRA,2003,5857279.077,56387606.923383236
France,FRA,2004,5945620.818,56759274.182443455
France,FRA,2005,6058477.081,57120873.91864159
France,FRA,2006,6152719.836,57468661.16418449
France,FRA,2007,6211101.983,57805125.01675808
France,FRA,2008,6245455.781,58129533.218813136
France,FRA,2009,6264320.269,58442723.731463484
France,FRA,2010,6282036.03,58745470.97036749
France,FRA,2011,6306718.12,59036056.88014908
France,FRA,2012,6346150.126,59313638.874490194
France,FRA,2013,6422011.671,59576648.329294786
France,FRA,2014,6482047.097,59834044.90334214
France,FRA,2015,6504369.543,60088996.456608005
Georgia,GEO,2000,912751.7203,3505548.279707367
Georgia,GEO,2001,912111.6224,3474288.3775930204
Georgia,GEO,2002,912204.1197,3444795.880290134
Georgia,GEO,2003,883803.8834,3417196.1166051878
Georgia,GEO,2004,836602.5883,3408397.411709273
Georgia,GEO,2005,789170.5951,3400829.404922893
Georgia,GEO,2006,757429.5353,3378570.4647152834
Georgia,GEO,2007,765463.96,3316536.039986364
Georgia,GEO,2008,774705.1777,3255294.8223429904
Georgia,GEO,2009,785138.7018,3192861.298173103
Georgia,GEO,2010,797964.9189,3128035.0810605558
Georgia,GEO,2011,815312.0551,3059687.94492337
Georgia,GEO,2012,835961.1388,2989038.861236367
Georgia,GEO,2013,817260.3978,2958739.602223989
Georgia,GEO,2014,792887.9445,2934112.05550736
Georgia,GEO,2015,798417.8874,2918682.112587615
Germany,DEU,2000,847906.5125,81363601.4875
Germany,DEU,2001,1072248.347,81277676.653
Germany,DEU,2002,1319714.889,81168780.11150002
Germany,DEU,2003,1494896.627,81039279.3735
Germany,DEU,2004,1627684.642,80888575.3585
Germany,DEU,2005,1750725.206,80718696.7935
Germany,DEU,2006,1847410.376,80529040.624
Germany,DEU,2007,1937411.348,80328960.6525
Germany,DEU,2008,1968519.389,80141577.611
Germany,DEU,2009,1905999.953,79996307.0475
Germany,DEU,2010,1864452.496,79912477.5045
Germany,DEU,2011,373078.3225,79901904.67750001
Germany,DEU,2012,491348.2672,79934474.73278977
Germany,DEU,2013,667981.1322,79977623.86776349
Germany,DEU,2014,969205.0262,80013294.9737808
Germany,DEU,2015,1631131.057,80055479.94327864
Ghana,GHA,2000,15963118.48,2975643.5213922886
Ghana,GHA,2001,16310353.16,3111251.844324379
Ghana,GHA,2002,16597710.52,3326811.4778624396
Ghana,GHA,2003,16890900.28,3555881.7235934534
Ghana,GHA,2004,17188234.08,3798301.9237963697
Ghana,GHA,2005,17488388.63,4053620.3746829974
Ghana,GHA,2006,17790991.86,4322433.144963015
Ghana,GHA,2007,18094962.78,4605249.215823645
Ghana,GHA,2008,18396493.53,4902146.468751898
Ghana,GHA,2009,18691004.11,5212826.886093718
Ghana,GHA,2010,18974535.08,5537568.919420718
Ghana,GHA,2011,19245570.55,5876225.44562879
Ghana,GHA,2012,19504600.9,6228448.099999198
Ghana,GHA,2013,19752407.16,6593843.840230738
Ghana,GHA,2014,19990338.32,6972224.683145837
Ghana,GHA,2015,20219176.19,7363644.807593564
Gibraltar,GIB,2000,4088.217059,27091.78294063446
Gibraltar,GIB,2001,4055.38739,27318.612610240885
Gibraltar,GIB,2002,3905.448598,27638.55140186916
Gibraltar,GIB,2003,3698.116362,28021.88363827827
Gibraltar,GIB,2004,3473.945242,28422.05475845729
Gibraltar,GIB,2005,3280.603528,28804.396472291693
Gibraltar,GIB,2006,3137.986969,29158.013031459788
Gibraltar,GIB,2007,3022.142951,29487.857048835067
Gibraltar,GIB,2008,2928.16625,29803.83375016454
Gibraltar,GIB,2009,2837.180071,30118.81992891931
Gibraltar,GIB,2010,2748.260234,30440.739765696988
Gibraltar,GIB,2011,2632.435172,30772.564828221668
Gibraltar,GIB,2012,2518.610109,31104.389890746348
Gibraltar,GIB,2013,2411.62393,31419.37606950112
Gibraltar,GIB,2014,2344.249177,31693.75082269317
