Entity,Code,Year,Low-carbon energy (%)
Africa,,1965,5.285297719184139
Africa,,1966,5.547435383563195
Africa,,1967,5.666307420048519
Africa,,1968,6.194900333960901
Africa,,1969,7.02967162217385
Africa,,1970,8.135270726007498
Africa,,1971,7.1921342978931895
Africa,,1972,7.8050121130287655
Africa,,1973,7.252429589671181
Africa,,1974,8.12295717975312
Africa,,1975,8.062335622589343
Africa,,1976,8.207408980200043
Africa,,1977,8.607146260726067
Africa,,1978,8.471201634958295
Africa,,1979,7.96971631685784
Africa,,1980,7.206371794419188
Africa,,1981,6.7936566110222305
Africa,,1982,6.396767578824246
Africa,,1983,5.826373469641251
Africa,,1984,6.069294856379147
Africa,,1985,6.529788992203407
Africa,,1986,7.027837252979319
Africa,,1987,6.2842380566229314
Africa,,1988,6.787697074593221
Africa,,1989,7.1108261520313185
Africa,,1990,6.730851934798462
Africa,,1991,7.1535111473244015
Africa,,1992,6.772825387892843
Africa,,1993,6.435012674716045
Africa,,1994,6.5642624330147825
Africa,,1995,6.675889572148838
Africa,,1996,6.792610290442291
Africa,,1997,6.888772784913864
Africa,,1998,7.139133240801335
Africa,,1999,7.203537930035926
Africa,,2000,7.504197292777556
Africa,,2001,7.506208740586002
Africa,,2002,7.860744987351698
Africa,,2003,7.409729551388806
Africa,,2004,7.319663101533321
Africa,,2005,7.239481165632926
Africa,,2006,7.297618435365022
Africa,,2007,7.303144917259452
Africa,,2008,7.10795598080049
Africa,,2009,7.1651337766482515
Africa,,2010,7.501482365180149
Africa,,2011,7.648291942822767
Africa,,2012,7.45220115701539
Africa,,2013,7.762052971526245
Africa,,2014,8.033842204343413
Africa,,2015,7.9986236479590165
Africa,,2016,8.032443185214373
Africa,,2017,8.435152194708225
Africa,,2018,8.619647345396817
Algeria,DZA,1965,4.193126486381774
Algeria,DZA,1966,3.2070399489186427
Algeria,DZA,1967,3.8070092791067585
Algeria,DZA,1968,4.861010909022813
Algeria,DZA,1969,2.853101659335289
Algeria,DZA,1970,4.196833579296343
Algeria,DZA,1971,2.172314048672023
Algeria,DZA,1972,2.9533468439559973
Algeria,DZA,1973,3.7512058325185595
Algeria,DZA,1974,2.2367858619494236
Algeria,DZA,1975,1.2249003821210822
Algeria,DZA,1976,1.234461824404722
Algeria,DZA,1977,0.7871482687223156
Algeria,DZA,1978,0.5953744589634176
Algeria,DZA,1979,0.5170723635102826
Algeria,DZA,1980,0.3809721970116425
Algeria,DZA,1981,0.44344402439040986
Algeria,DZA,1982,0.5065662817024184
Algeria,DZA,1983,0.22754408960182043
Algeria,DZA,1984,0.46062500740409984
Algeria,DZA,1985,0.6486411513176225
Algeria,DZA,1986,0.2371567848739323
Algeria,DZA,1987,0.46074790617132777
Algeria,DZA,1988,0.15770741284078416
Algeria,DZA,1989,0.20025165143106688
Algeria,DZA,1990,0.11280709475343462
Algeria,DZA,1991,0.2471324622119317
Algeria,DZA,1992,0.16356844319210376
Algeria,DZA,1993,0.31185276317877497
Algeria,DZA,1994,0.14471339317008783
Algeria,DZA,1995,0.1622241767811137
Algeria,DZA,1996,0.11464510012781046
Algeria,DZA,1997,0.0662676262985296
Algeria,DZA,1998,0.18353161400911588
Algeria,DZA,1999,0.17156879467122932
Algeria,DZA,2000,0.04737977983440646
Algeria,DZA,2001,0.05842461856413202
Algeria,DZA,2002,0.04659337723322245
Algeria,DZA,2003,0.20702581187343944
Algeria,DZA,2004,0.18887558461965556
Algeria,DZA,2005,0.399110895798195
Algeria,DZA,2006,0.15102098637754252
Algeria,DZA,2007,0.14883473664368196
Algeria,DZA,2008,0.17585019030814278
Algeria,DZA,2009,0.20053286861563283
Algeria,DZA,2010,0.10955746896981347
Algeria,DZA,2011,0.22444715676922933
Algeria,DZA,2012,0.21551456454599358
Algeria,DZA,2013,0.06253472352214723
Algeria,DZA,2014,0.11414418952813132
Algeria,DZA,2015,0.09460830455343892
Algeria,DZA,2016,0.14336328019575506
Algeria,DZA,2017,0.2465988654722621
Algeria,DZA,2018,0.2912520623211136
Argentina,ARG,1965,1.0180407892547436
Argentina,ARG,1966,0.9996507392918482
Argentina,ARG,1967,0.9917803251168074
Argentina,ARG,1968,1.1308562135468014
Argentina,ARG,1969,0.9789617255027439
Argentina,ARG,1970,1.222494933286119
Argentina,ARG,1971,1.1587204286185784
Argentina,ARG,1972,1.1200325194236407
Argentina,ARG,1973,2.0875734950816693
Argentina,ARG,1974,4.024009196861026
Argentina,ARG,1975,5.116980517896317
Argentina,ARG,1976,4.759335767297049
Argentina,ARG,1977,4.572506259617317
Argentina,ARG,1978,6.437232522125176
Argentina,ARG,1979,7.624351046195573
Argentina,ARG,1980,9.997266343557145
Argentina,ARG,1981,10.366577637440066
Argentina,ARG,1982,11.342830789009026
Argentina,ARG,1983,12.13377287864564
Argentina,ARG,1984,13.636149893885129
Argentina,ARG,1985,15.22163526453901
Argentina,ARG,1986,13.936766408552359
Argentina,ARG,1987,14.114420301644481
Argentina,ARG,1988,10.483145611405744
Argentina,ARG,1989,9.248945903278154
Argentina,ARG,1990,13.059639411477308
Argentina,ARG,1991,12.279424086734709
Argentina,ARG,1992,12.798934519771732
Argentina,ARG,1993,14.458329557892355
Argentina,ARG,1994,16.434287266273447
Argentina,ARG,1995,15.487602013228477
Argentina,ARG,1996,13.686664147179306
Argentina,ARG,1997,16.92626420127977
Argentina,ARG,1998,15.89364230026952
Argentina,ARG,1999,13.800482312036841
Argentina,ARG,2000,15.833332445026791
Argentina,ARG,2001,19.425528183124204
Argentina,ARG,2002,19.801773889432166
Argentina,ARG,2003,18.24234308325862
Argentina,ARG,2004,16.025672367908054
Argentina,ARG,2005,16.06658777919607
Argentina,ARG,2006,17.090464561228867
Argentina,ARG,2007,14.387209153851972
Argentina,ARG,2008,14.041325700137069
Argentina,ARG,2009,15.663974433408006
Argentina,ARG,2010,14.59736723776817
Argentina,ARG,2011,13.870999351235156
Argentina,ARG,2012,12.87772692213369
Argentina,ARG,2013,13.346057089656666
Argentina,ARG,2014,13.264229573796912
Argentina,ARG,2015,13.612465429683072
Argentina,ARG,2016,12.921796603574403
Argentina,ARG,2017,13.308562485108327
Argentina,ARG,2018,13.924582513489709
Australia,AUS,1965,5.199325416991275
Australia,AUS,1966,4.5262834485869305
Australia,AUS,1967,4.416653625763114
Australia,AUS,1968,4.342026486768176
Australia,AUS,1969,4.541853635901168
Australia,AUS,1970,4.844616378060204
Australia,AUS,1971,5.206596147578412
Australia,AUS,1972,5.005043136487535
Australia,AUS,1973,4.99431794176581
Australia,AUS,1974,5.322701541919538
Australia,AUS,1975,5.6297041089056155
Australia,AUS,1976,5.1760426072441215
Australia,AUS,1977,4.706252232948738
Australia,AUS,1978,4.957012480513875
Australia,AUS,1979,4.636425481138702
Australia,AUS,1980,4.349484900604557
Australia,AUS,1981,4.444309931348731
Australia,AUS,1982,4.1397045333848
Australia,AUS,1983,3.9029929036173763
Australia,AUS,1984,4.041538911379409
Australia,AUS,1985,4.2565651820811325
Australia,AUS,1986,4.142548915500874
Australia,AUS,1987,3.922289830243474
Australia,AUS,1988,4.009371758781083
Australia,AUS,1989,3.8239755117629946
Australia,AUS,1990,3.8714528122536325
Australia,AUS,1991,4.112658614425172
Australia,AUS,1992,4.132357043884256
Australia,AUS,1993,4.126614978859214
Australia,AUS,1994,3.920390006468897
Australia,AUS,1995,3.7315906819451174
Australia,AUS,1996,3.7420316616877143
Australia,AUS,1997,3.658286044634721
Australia,AUS,1998,3.5631350395821166
Australia,AUS,1999,3.527827265382765
Australia,AUS,2000,3.5203198423723054
Australia,AUS,2001,3.432630937169192
Australia,AUS,2002,3.517218563614192
Australia,AUS,2003,3.602441658138323
Australia,AUS,2004,3.616618007319243
Australia,AUS,2005,3.878834704389404
Australia,AUS,2006,3.7332035966274
Australia,AUS,2007,3.5349169974099564
Australia,AUS,2008,3.2689060809066297
Australia,AUS,2009,3.4718409123382714
Australia,AUS,2010,3.7996142938153628
