Entity,Code,Year,"3.a.1 - Age-standardized prevalence of current tobacco use among persons aged 15 years and older, by sex (%) - SH_PRV_SMOK - Both sexes (%)"
Albania,ALB,2000,34.7
Albania,ALB,2015,29.1
Albania,ALB,2016,29.1
Algeria,DZA,2000,16.5
Algeria,DZA,2015,15.6
Algeria,DZA,2016,15.5
Andorra,AND,2000,37.3
Andorra,AND,2015,33.7
Andorra,AND,2016,33.4
Argentina,ARG,2000,41.6
Argentina,ARG,2015,22.5
Argentina,ARG,2016,22
Armenia,ARM,2000,34.8
Armenia,ARM,2015,24.6
Armenia,ARM,2016,26.8
Asia,,2015,21.1
"Asia, Central",,2015,20.6
Australia,AUS,2000,24.5
Australia,AUS,2015,15.2
Australia,AUS,2016,14.8
Australia and New Zealand,,2000,25.3
Australia and New Zealand,,2015,15.4
Australia and New Zealand,,2016,14.9
Austria,AUT,2000,49.4
Austria,AUT,2015,30.5
Austria,AUT,2016,29.7
Azerbaijan,AZE,2000,28
Azerbaijan,AZE,2015,21.3
Azerbaijan,AZE,2016,21.4
Bahamas,BHS,2000,10.9
Bahamas,BHS,2015,11.3
Bahamas,BHS,2016,11.7
Bahrain,BHR,2000,20.2
Bahrain,BHR,2015,26.1
Bahrain,BHR,2016,21.7
Bangladesh,BGD,2000,30.9
Bangladesh,BGD,2015,23.2
Bangladesh,BGD,2016,22.8
Barbados,BRB,2000,8.6
Barbados,BRB,2015,7.9
Barbados,BRB,2016,8.2
Belarus,BLR,2000,38.8
Belarus,BLR,2015,27.2
Belarus,BLR,2016,28.3
Belgium,BEL,2000,37.6
Belgium,BEL,2015,28.6
Belgium,BEL,2016,28.2
Benin,BEN,2000,9.3
Benin,BEN,2015,6.5
Benin,BEN,2016,6.5
Bosnia and Herzegovina,BIH,2000,47.8
Bosnia and Herzegovina,BIH,2015,39.3
Bosnia and Herzegovina,BIH,2016,39
Botswana,BWA,2000,19.6
Botswana,BWA,2015,19.8
Botswana,BWA,2016,20.1
Brazil,BRA,2000,25.4
Brazil,BRA,2015,14.3
Brazil,BRA,2016,14
Brunei,BRN,2000,16.9
Brunei,BRN,2015,16.9
Brunei,BRN,2016,16.5
Bulgaria,BGR,2000,52.3
Bulgaria,BGR,2015,37.7
Bulgaria,BGR,2016,37.2
Burkina Faso,BFA,2000,17.6
Burkina Faso,BFA,2015,12.7
Burkina Faso,BFA,2016,12.7
Cambodia,KHM,2000,31.6
Cambodia,KHM,2015,17.7
Cambodia,KHM,2016,17.8
Canada,CAN,2000,28.2
Canada,CAN,2015,15
Canada,CAN,2016,14.3
Cape Verde,CPV,2000,13.4
Cape Verde,CPV,2015,9.3
Cape Verde,CPV,2016,9.3
Central and Southern Asia,,2000,22.5
Central and Southern Asia,,2015,14.1
Central and Southern Asia,,2016,13.7
Chile,CHL,2000,56.7
Chile,CHL,2015,38.7
Chile,CHL,2016,37.9
China,CHN,2000,29.6
China,CHN,2015,25.8
China,CHN,2016,25.2
Colombia,COL,2000,20.2
Colombia,COL,2015,9.5
Colombia,COL,2016,9.1
Comoros,COM,2000,21.2
Comoros,COM,2015,14.4
Comoros,COM,2016,14
Congo,COG,2000,5.7
Congo,COG,2015,24.2
Congo,COG,2016,27
Cook Islands,COK,2000,47.5
Cook Islands,COK,2015,26.6
Cook Islands,COK,2016,25.5
Costa Rica,CRI,2000,18
Costa Rica,CRI,2015,12.1
Costa Rica,CRI,2016,11.9
Croatia,HRV,2000,33.5
Croatia,HRV,2015,36.7
Croatia,HRV,2016,37.1
Cuba,CUB,2000,45.7
Cuba,CUB,2015,35.9
Cuba,CUB,2016,35.2
Cyprus,CYP,2000,42.4
Cyprus,CYP,2015,36.7
Cyprus,CYP,2016,36.2
Czech Republic,CZE,2000,34.4
Czech Republic,CZE,2015,34.4
Czech Republic,CZE,2016,34.4
Denmark,DNK,2000,38.4
Denmark,DNK,2015,19.9
Denmark,DNK,2016,19
Djibouti,DJI,2000,17.6
Djibouti,DJI,2015,13.3
Djibouti,DJI,2016,13.1
Dominican Republic,DOM,2000,18.8
Dominican Republic,DOM,2015,13.9
Dominican Republic,DOM,2016,13.8
Eastern Asia,,2015,25.4
Eastern and South-Eastern Asia,,2000,30.3
Eastern and South-Eastern Asia,,2015,26.4
Eastern and South-Eastern Asia,,2016,26.2
Ecuador,ECU,2000,13.9
Ecuador,ECU,2015,7.4
Ecuador,ECU,2016,7.1
Egypt,EGY,2000,17.7
Egypt,EGY,2015,24.6
Egypt,EGY,2016,25.2
El Salvador,SLV,2000,16.8
El Salvador,SLV,2015,10.1
El Salvador,SLV,2016,10.6
Eritrea,ERI,2000,8.9
Eritrea,ERI,2015,5.9
Eritrea,ERI,2016,5.8
Estonia,EST,2000,40.8
Estonia,EST,2015,31.8
Estonia,EST,2016,31.9
Ethiopia,ETH,2000,4.9
Ethiopia,ETH,2015,4.4
Ethiopia,ETH,2016,4.4
Europe,,2015,31.1
Europe and Northern America,,2000,35.9
Europe and Northern America,,2015,28
Europe and Northern America,,2016,27.5
Fiji,FJI,2000,34.9
Fiji,FJI,2015,23.2
Fiji,FJI,2016,22.5
Finland,FIN,2000,29.8
Finland,FIN,2015,20.9
Finland,FIN,2016,20.4
France,FRA,2000,35.1
France,FRA,2015,32.8
France,FRA,2016,32.9
Gambia,GMB,2000,20.2
Gambia,GMB,2015,15.8
Gambia,GMB,2016,15.9
Georgia,GEO,2000,34.3
Georgia,GEO,2015,28.8
Georgia,GEO,2016,30.4
Germany,DEU,2000,35.5
Germany,DEU,2015,30.9
Germany,DEU,2016,30.7
Ghana,GHA,2000,5.8
Ghana,GHA,2015,4
Ghana,GHA,2016,4
Greece,GRC,2000,53.6
Greece,GRC,2015,43.8
Greece,GRC,2016,43.7
Haiti,HTI,2000,12.3
Haiti,HTI,2015,12.7
Haiti,HTI,2016,13
Hungary,HUN,2000,41.5
Hungary,HUN,2015,31.1
Hungary,HUN,2016,30.8
Iceland,ISL,2000,30.2
Iceland,ISL,2015,15.4
Iceland,ISL,2016,14.8
India,IND,2000,20.8
India,IND,2015,11.9
India,IND,2016,11.3
Indonesia,IDN,2000,33.1
Indonesia,IDN,2015,39
Indonesia,IDN,2016,39.4
Iran,IRN,2000,17.4
Iran,IRN,2015,11.3
Iran,IRN,2016,11
Ireland,IRL,2000,37.8
Ireland,IRL,2015,25
Ireland,IRL,2016,24.4
Israel,ISR,2000,32.2
Israel,ISR,2015,25.6
Israel,ISR,2016,25.4
Italy,ITA,2000,26.7
Italy,ITA,2015,23.8
Italy,ITA,2016,23.8
Jamaica,JAM,2000,18.6
Jamaica,JAM,2015,16.8
Jamaica,JAM,2016,16.9
Japan,JPN,2000,33.6
Japan,JPN,2015,22.7
Japan,JPN,2016,22.4
Kazakhstan,KAZ,2000,33.4
Kazakhstan,KAZ,2015,24.5
Kazakhstan,KAZ,2016,25
Kenya,KEN,2000,16.7
Kenya,KEN,2015,11
Kenya,KEN,2016,10.8
Kiribati,KIR,2000,74.1
Kiribati,KIR,2015,48.4
Kiribati,KIR,2016,47.4
Kuwait,KWT,2000,21.3
Kuwait,KWT,2015,22.5
Kuwait,KWT,2016,19.8
Kyrgyzstan,KGZ,2000,28
Kyrgyzstan,KGZ,2015,26.5
Kyrgyzstan,KGZ,2016,27.1
Landlocked developing countries,,2015,13.8
Laos,LAO,2000,43.2
Laos,LAO,2015,29.5
Laos,LAO,2016,29.2
Latin America and the Caribbean	,,2000,26.2
Latin America and the Caribbean	,,2015,15.1
Latin America and the Caribbean	,,2016,14.6
Latvia,LVA,2000,40.4
Latvia,LVA,2015,37
Latvia,LVA,2016,38.3
Least Developed Countries (LDCs),,2015,14.7
Lebanon,LBN,2000,37.6
Lebanon,LBN,2015,34
Lebanon,LBN,2016,33.8
Lesotho,LSO,2000,18.7
Lesotho,LSO,2015,26
Lesotho,LSO,2016,27.2
Liberia,LBR,2000,13.9
Liberia,LBR,2015,9.9
Liberia,LBR,2016,9.8
Lithuania,LTU,2000,37.3
Lithuania,LTU,2015,29.2
Lithuania,LTU,2016,29.7
Luxembourg,LUX,2000,34.9
Luxembourg,LUX,2015,24.1
Luxembourg,LUX,2016,23.5
Malawi,MWI,2000,21.2
Malawi,MWI,2015,14.7
Malawi,MWI,2016,14.5
Malaysia,MYS,2000,27.9
Malaysia,MYS,2015,21.8
Malaysia,MYS,2016,21.7
Maldives,MDV,2000,37
Maldives,MDV,2015,28.6
Maldives,MDV,2016,28.5
Mali,MLI,2000,13.2
Mali,MLI,2015,12.3
Mali,MLI,2016,12.3
Malta,MLT,2000,35.4
Malta,MLT,2015,26
Malta,MLT,2016,25.5
Mauritius,MUS,2000,25.3
Mauritius,MUS,2015,21.8
Mauritius,MUS,2016,22
Mexico,MEX,2000,24.2
Mexico,MEX,2015,14.5
Mexico,MEX,2016,14.1
Moldova,MDA,2000,24.5
Moldova,MDA,2015,24.2
Moldova,MDA,2016,25.3
Mongolia,MNG,2000,32.4
Mongolia,MNG,2015,26.2
Mongolia,MNG,2016,26
Montenegro,MNE,2000,52.8
Montenegro,MNE,2015,46.1
Montenegro,MNE,2016,45.9
Morocco,MAR,2000,19.1
Morocco,MAR,2015,22.9
Morocco,MAR,2016,24
Mozambique,MOZ,2000,24.6
Mozambique,MOZ,2015,16.9
Mozambique,MOZ,2016,17.1
Myanmar,MMR,2000,33.1
Myanmar,MMR,2015,20.8
Myanmar,MMR,2016,20.8
Namibia,NAM,2000,22.5
Namibia,NAM,2015,21.5
Namibia,NAM,2016,22
Nauru,NRU,2000,63.8
Nauru,NRU,2015,41
Nauru,NRU,2016,39.9
Nepal,NPL,2000,39
Nepal,NPL,2015,23.4
Nepal,NPL,2016,23.6
Netherlands,NLD,2000,37.7
Netherlands,NLD,2015,26.4
Netherlands,NLD,2016,25.8
New Zealand,NZL,2000,29.5
New Zealand,NZL,2015,16.5
New Zealand,NZL,2016,16
Niger,NER,2000,6.5
Niger,NER,2015,7.6
Niger,NER,2016,7.8
Nigeria,NGA,2000,7.7
Nigeria,NGA,2015,5.9
Nigeria,NGA,2016,5.7
Niue,NIU,2000,26.4
Niue,NIU,2015,15.3
Niue,NIU,2016,14.9
Northern Africa,,2015,21.7
Northern Africa and Western Asia,,2000,22.4
Northern Africa and Western Asia,,2015,21.3
Northern Africa and Western Asia,,2016,21.3
Northern America,,2015,21.6
Norway,NOR,2000,43.1
Norway,NOR,2015,21.2
Norway,NOR,2016,20.2
Oceania,,2015,20
Oceania (exc. Australia and New Zealand),,2000,55.5
Oceania (exc. Australia and New Zealand),,2015,34.8
Oceania (exc. Australia and New Zealand),,2016,33.9
Oman,OMN,2000,7.1
Oman,OMN,2015,11
Oman,OMN,2016,8
Pakistan,PAK,2000,24
Pakistan,PAK,2015,20.3
Pakistan,PAK,2016,19.8
Palau,PLW,2000,28.8
Palau,PLW,2015,16.2
Palau,PLW,2016,15.2
Panama,PAN,2000,15
Panama,PAN,2015,6.5
Panama,PAN,2016,6.1
Papua New Guinea,PNG,2000,60.7
Papua New Guinea,PNG,2015,37.4
Papua New Guinea,PNG,2016,36.2
Paraguay,PRY,2000,30.7
Paraguay,PRY,2015,14.1
Paraguay,PRY,2016,13.3
Philippines,PHL,2000,34.5
Philippines,PHL,2015,24.7
Philippines,PHL,2016,24.3
Poland,POL,2000,40.9
Poland,POL,2015,28.6
Poland,POL,2016,28.2
Portugal,PRT,2000,26.4
Portugal,PRT,2015,22.9
Portugal,PRT,2016,23.2
Qatar,QAT,2000,12.4
Qatar,QAT,2015,20.4
Qatar,QAT,2016,13.9
Romania,ROU,2000,40
Romania,ROU,2015,30.1
Romania,ROU,2016,30
Russia,RUS,2000,44.7
Russia,RUS,2015,39.5
Russia,RUS,2016,40.9
Rwanda,RWA,2000,18.6
Rwanda,RWA,2015,12.5
Rwanda,RWA,2016,12.9
Samoa,WSM,2000,44.4
Samoa,WSM,2015,28.5
Samoa,WSM,2016,27.4
Saudi Arabia,SAU,2000,13.2
Saudi Arabia,SAU,2015,15.6
Saudi Arabia,SAU,2016,13.6
Senegal,SEN,2000,11.3
Senegal,SEN,2015,8.3
Senegal,SEN,2016,8.5
Serbia,SRB,2000,48.9
Serbia,SRB,2015,39.4
Serbia,SRB,2016,38.9
Seychelles,SYC,2000,25.4
Seychelles,SYC,2015,21.7
Seychelles,SYC,2016,21.4
Sierra Leone,SLE,2000,42.4
Sierra Leone,SLE,2015,25.4
Sierra Leone,SLE,2016,25.1
Singapore,SGP,2000,16.4
Singapore,SGP,2015,16.5
Singapore,SGP,2016,16.7
Slovakia,SVK,2000,32.5
Slovakia,SVK,2015,30.2
Slovakia,SVK,2016,30.4
Slovenia,SVN,2000,26.9
Slovenia,SVN,2015,22.8
Slovenia,SVN,2016,22.6
Small Island Developing States (SIDS),,2015,22.7
South Africa,ZAF,2000,23.3
South Africa,ZAF,2015,20.5
South Africa,ZAF,2016,20.6
South Eastern Asia,,2015,28.8
South Korea,KOR,2000,34.5
South Korea,KOR,2015,23.9
South Korea,KOR,2016,23.6
Southern Asia,,2015,13.9
Spain,ESP,2000,39.7
Spain,ESP,2015,29.7
Spain,ESP,2016,29.4
Sri Lanka,LKA,2000,16.6
Sri Lanka,LKA,2015,13.2
Sri Lanka,LKA,2016,13.7
Sub-Saharan Africa,,2000,12.2
Sub-Saharan Africa,,2015,9.5
Sub-Saharan Africa,,2016,9.4
Suriname,SUR,2000,49.8
Suriname,SUR,2015,26.2
Suriname,SUR,2016,25.1
Swaziland,SWZ,2000,9.7
Swaziland,SWZ,2015,9
Swaziland,SWZ,2016,9.1
Sweden,SWE,2000,32.3
Sweden,SWE,2015,19.5
Sweden,SWE,2016,18.9
Switzerland,CHE,2000,31.4
Switzerland,CHE,2015,26.1
Switzerland,CHE,2016,25.8
Tanzania,TZA,2000,22.5
Tanzania,TZA,2015,15.2
Tanzania,TZA,2016,15
Thailand,THA,2000,25.4
Thailand,THA,2015,20.2
Thailand,THA,2016,20.3
Timor,TLS,2000,51.3
Timor,TLS,2015,43.2
Timor,TLS,2016,42.2
Togo,TGO,2000,10.3
Togo,TGO,2015,7.5
Togo,TGO,2016,7.5
Tonga,TON,2000,36.3
Tonga,TON,2015,28.3
Tonga,TON,2016,28.1
Tunisia,TUN,2000,31.9
Tunisia,TUN,2015,32.6
Tunisia,TUN,2016,33.4
Turkey,TUR,2000,39
Turkey,TUR,2015,27.7
Turkey,TUR,2016,27.6
Uganda,UGA,2000,17.3
Uganda,UGA,2015,10.3
Uganda,UGA,2016,10.1
Ukraine,UKR,2000,38
Ukraine,UKR,2015,29.4
Ukraine,UKR,2016,30.5
United Arab Emirates,ARE,2000,17.9
United Arab Emirates,ARE,2015,28.6
United Arab Emirates,ARE,2016,19.3
United Kingdom,GBR,2000,38.2
United Kingdom,GBR,2015,23.1
United Kingdom,GBR,2016,22.3
United States,USA,2000,31.4
United States,USA,2015,22.3
United States,USA,2016,21.8
Uruguay,URY,2000,53
Uruguay,URY,2015,18.1
Uruguay,URY,2016,17
Uzbekistan,UZB,2000,16.2
Uzbekistan,UZB,2015,12.8
Uzbekistan,UZB,2016,13
Vanuatu,VUT,2000,31.5
Vanuatu,VUT,2015,19.2
Vanuatu,VUT,2016,18.6
Vietnam,VNM,2000,25.9
Vietnam,VNM,2015,23.1
Vietnam,VNM,2016,23.5
Western Asia,,2015,20.9
World,OWID_WRL,2000,26.9
World,OWID_WRL,2015,20.3
World,OWID_WRL,2016,19.9
Yemen,YEM,2000,23.3
Yemen,YEM,2015,18.7
Yemen,YEM,2016,18.4
Zambia,ZMB,2000,18.2
Zambia,ZMB,2015,14
Zambia,ZMB,2016,13.9
Zimbabwe,ZWE,2000,18.1
Zimbabwe,ZWE,2015,15.9
Zimbabwe,ZWE,2016,16.2
