Entity,Code,Year,Heat Wave Index (NOAA)
United States,USA,1895,2.5
United States,USA,1896,8.2
United States,USA,1897,15.3
United States,USA,1898,5.7
United States,USA,1899,4.8
United States,USA,1900,12.1
United States,USA,1901,30.9
United States,USA,1902,6.1
United States,USA,1903,1
United States,USA,1904,0.6
United States,USA,1905,4.8
United States,USA,1906,3.5
United States,USA,1907,2
United States,USA,1908,3.1
United States,USA,1909,4.7
United States,USA,1910,6.2
United States,USA,1911,19
United States,USA,1912,3.6
United States,USA,1913,8.9
United States,USA,1914,10.1
United States,USA,1915,3.5
United States,USA,1916,12.1
United States,USA,1917,17.1
United States,USA,1918,22
United States,USA,1919,3
United States,USA,1920,1
United States,USA,1921,11.9
United States,USA,1922,1.9
United States,USA,1923,2.2
United States,USA,1924,3.7
United States,USA,1925,14.9
United States,USA,1926,5.7
United States,USA,1927,0.7
United States,USA,1928,5.8
United States,USA,1929,2.2
United States,USA,1930,50.7
United States,USA,1931,54.5
United States,USA,1932,11.2
United States,USA,1933,21.4
United States,USA,1934,85.2
United States,USA,1935,15.8
United States,USA,1936,125.5
United States,USA,1937,5.5
United States,USA,1938,4.7
United States,USA,1939,8.9
United States,USA,1940,21.4
United States,USA,1941,17.4
United States,USA,1942,6.7
United States,USA,1943,6.7
United States,USA,1944,7
United States,USA,1945,0.6
United States,USA,1946,1
United States,USA,1947,13.2
United States,USA,1948,8.7
United States,USA,1949,6.9
United States,USA,1950,1.7
United States,USA,1951,6.6
United States,USA,1952,18.5
United States,USA,1953,7.2
United States,USA,1954,28.2
United States,USA,1955,12.8
United States,USA,1956,2.9
United States,USA,1957,0.5
United States,USA,1958,2.4
United States,USA,1959,1.7
United States,USA,1960,3.7
United States,USA,1961,4.3
United States,USA,1962,2.8
United States,USA,1963,2.9
United States,USA,1964,4
United States,USA,1965,0.7
United States,USA,1966,4
United States,USA,1967,0.4
United States,USA,1968,1.4
United States,USA,1969,2.9
United States,USA,1970,1.9
United States,USA,1971,4.1
United States,USA,1972,3.2
United States,USA,1973,2.2
United States,USA,1974,1.5
United States,USA,1975,5.7
United States,USA,1976,4.8
United States,USA,1977,7.8
United States,USA,1978,3.6
United States,USA,1979,2.1
United States,USA,1980,24.7
United States,USA,1981,6.9
United States,USA,1982,0.9
United States,USA,1983,13.9
United States,USA,1984,1.6
United States,USA,1985,3
United States,USA,1986,8.1
United States,USA,1987,4.5
United States,USA,1988,29.1
United States,USA,1989,4.2
United States,USA,1990,7.4
United States,USA,1991,3.9
United States,USA,1992,2.7
United States,USA,1993,4.1
United States,USA,1994,7.3
United States,USA,1995,8.3
United States,USA,1996,1.5
United States,USA,1997,1.3
United States,USA,1998,13.4
United States,USA,1999,9
United States,USA,2000,9.1
United States,USA,2001,9.6
United States,USA,2002,11.3
United States,USA,2003,11.8
United States,USA,2004,1.2
United States,USA,2005,5.6
United States,USA,2006,22
United States,USA,2007,16.5
United States,USA,2008,3.1
United States,USA,2009,6.8
United States,USA,2010,14.9
United States,USA,2011,28.5
United States,USA,2012,25
United States,USA,2013,8.8
United States,USA,2014,3.9
United States,USA,2015,12.9
