Entity,Code,Year,Waste Recycling Rates - Paper and Cardboard (%)
Australia,AUS,1994,40
Australia,AUS,1995,42
Australia,AUS,1996,44
Australia,AUS,1997,49
Australia,AUS,1998,48
Australia,AUS,1999,51
Australia,AUS,2000,44
Australia,AUS,2001,49
Australia,AUS,2002,50
Australia,AUS,2003,48
Australia,AUS,2004,53
Australia,AUS,2005,53
Austria,AUT,1980,30
Austria,AUT,1981,30
Austria,AUT,1985,37
Austria,AUT,1990,52
Austria,AUT,1991,54
Austria,AUT,1992,56
Austria,AUT,1993,68
Austria,AUT,1994,66
Austria,AUT,1995,66
Austria,AUT,1996,71
Austria,AUT,1997,69
Austria,AUT,1998,65
Austria,AUT,1999,66
Austria,AUT,2000,64
Austria,AUT,2001,65
Austria,AUT,2002,61
Austria,AUT,2003,62
Austria,AUT,2004,63
Austria,AUT,2005,70
Belgium,BEL,1990,33
Belgium,BEL,1991,33
Belgium,BEL,1992,33
Belgium,BEL,1993,38
Belgium,BEL,1994,36
Belgium,BEL,1995,37
Belgium,BEL,1996,43
Belgium,BEL,1997,45
Belgium,BEL,1998,48
Belgium,BEL,1999,55
Belgium,BEL,2000,52
Belgium,BEL,2001,51
Belgium,BEL,2002,48
Belgium,BEL,2003,53
Belgium,BEL,2004,61
Belgium,BEL,2005,60
Canada,CAN,1980,20
Canada,CAN,1985,23
Canada,CAN,1990,28
Canada,CAN,1991,32
Canada,CAN,1992,35
Canada,CAN,1993,38
Canada,CAN,1994,39
Canada,CAN,1995,41
Canada,CAN,1996,44
Canada,CAN,1997,45
Canada,CAN,1998,44
Canada,CAN,1999,42
Canada,CAN,2000,42
Canada,CAN,2001,40
Canada,CAN,2002,42
Canada,CAN,2003,43
Canada,CAN,2004,45
Canada,CAN,2005,46
Czech Republic,CZE,1996,38
Czech Republic,CZE,1997,33
Czech Republic,CZE,1998,38
Czech Republic,CZE,1999,39
Czech Republic,CZE,2000,42
Czech Republic,CZE,2001,43
Czech Republic,CZE,2002,45
Czech Republic,CZE,2003,44
Czech Republic,CZE,2004,43
Czech Republic,CZE,2005,47
Denmark,DNK,1980,26
Denmark,DNK,1985,31
Denmark,DNK,1986,30
Denmark,DNK,1987,29
Denmark,DNK,1988,30
Denmark,DNK,1989,30
Denmark,DNK,1990,35
Denmark,DNK,1991,35
Denmark,DNK,1992,36
Denmark,DNK,1993,46
Denmark,DNK,1994,43
Denmark,DNK,1995,44
Denmark,DNK,1996,52
Denmark,DNK,1997,51
Denmark,DNK,1998,52
Denmark,DNK,1999,52
Denmark,DNK,2000,48
Denmark,DNK,2001,45
Denmark,DNK,2002,56
Denmark,DNK,2003,53
Denmark,DNK,2004,57
Denmark,DNK,2005,60
Finland,FIN,1980,35
Finland,FIN,1985,39
Finland,FIN,1989,40
Finland,FIN,1990,43
Finland,FIN,1991,46
Finland,FIN,1992,48
Finland,FIN,1993,49
Finland,FIN,1994,43
Finland,FIN,1995,56
Finland,FIN,1996,62
Finland,FIN,1997,61
Finland,FIN,1998,63
Finland,FIN,1999,65
Finland,FIN,2000,67
Finland,FIN,2001,74
Finland,FIN,2002,72
Finland,FIN,2003,73
Finland,FIN,2004,71
Finland,FIN,2005,70
France,FRA,1980,30
France,FRA,1981,32
France,FRA,1982,33
France,FRA,1983,33
France,FRA,1984,34
France,FRA,1985,35
France,FRA,1986,34
France,FRA,1987,35
France,FRA,1988,34
France,FRA,1989,34
France,FRA,1990,34
France,FRA,1991,34
France,FRA,1992,34
