Entity,Code,Year,"Annual freshwater withdrawals, total (% of internal resources) (% of internal resources)"
Afghanistan,AFG,1977,22.6935312831389
Afghanistan,AFG,1987,55.3764581124072
Afghanistan,AFG,2002,43.0116648992577
Albania,ALB,1992,4.46096654275093
Albania,ALB,2002,6.83271375464684
Albania,ALB,2007,4.87360594795539
Algeria,DZA,1972,17.7777777777778
Algeria,DZA,1977,22.2222222222222
Algeria,DZA,1982,26.6666666666667
Algeria,DZA,1987,31.1111111111111
Algeria,DZA,1992,39.4311111111111
Algeria,DZA,2002,50.72
Algeria,DZA,2012,69.4222222222222
Algeria,DZA,2014,69.4222222222222
Angola,AGO,1987,0.324324324324324
Angola,AGO,2002,0.432702702702703
Angola,AGO,2007,0.476824324324324
Antigua and Barbuda,ATG,1992,3.26923076923077
Antigua and Barbuda,ATG,2007,9.80769230769231
Antigua and Barbuda,ATG,2012,8.46153846153846
Antigua and Barbuda,ATG,2014,8.46153846153846
Argentina,ARG,1977,9.45205479452055
Argentina,ARG,1997,9.78767123287671
Argentina,ARG,2012,12.9075342465753
Argentina,ARG,2014,12.9075342465753
Armenia,ARM,1997,42.6447003936434
Armenia,ARM,2002,25.2660737716868
Armenia,ARM,2007,41.6678816153958
Armenia,ARM,2012,42.8779705496428
Armenia,ARM,2014,42.8779705496428
Australia,AUS,1997,4.47764227642276
Australia,AUS,2002,4.36991869918699
Australia,AUS,2007,3.76219512195122
Australia,AUS,2012,3.14024390243902
Australia,AUS,2014,3.14024390243902
Austria,AUT,1982,6.07272727272727
Austria,AUT,1987,6.50545454545454
Austria,AUT,1992,6.91818181818182
Austria,AUT,1997,6.62181818181818
Austria,AUT,2002,6.66545454545455
Austria,AUT,2012,6.34909090909091
Austria,AUT,2014,6.34909090909091
Azerbaijan,AZE,1997,154.158964879852
Azerbaijan,AZE,2002,124.091189155884
Azerbaijan,AZE,2007,150.462107208872
Azerbaijan,AZE,2012,147.504621072089
Azerbaijan,AZE,2014,147.504621072089
Bahrain,BHR,1992,4672.5
Bahrain,BHR,2007,5967.5
Bangladesh,BGD,2012,34.1619047619048
Barbados,BRB,1962,37.5
Barbados,BRB,1997,101.25
Barbados,BRB,2007,87.5
Belarus,BLR,1997,5.82352941176471
Belarus,BLR,2002,5.40294117647059
Belarus,BLR,2007,5.01764705882353
Belarus,BLR,2012,4.55294117647059
Belarus,BLR,2014,4.45294117647059
Belgium,BEL,1982,75.25
Belgium,BEL,1997,64.0833333333333
Belgium,BEL,2002,56.125
Belgium,BEL,2007,51.7833333333333
Belgium,BEL,2012,50.0166666666667
Belize,BLZ,1987,0.131061598951507
Belize,BLZ,2002,0.661861074705111
Benin,BEN,1987,1.06796116504854
Benin,BEN,2002,1.2621359223301
Bhutan,BTN,2012,0.433205128205128
Bolivia,BOL,1987,0.408566721581549
Bolivia,BOL,2012,0.687973640856672
Bosnia and Herzegovina,BIH,2007,0.94112676056338
Bosnia and Herzegovina,BIH,2012,0.926760563380282
Bosnia and Herzegovina,BIH,2014,0.923661971830986
Botswana,BWA,1987,3.75
Botswana,BWA,1992,4.70833333333333
Botswana,BWA,1997,5.975
Botswana,BWA,2002,8.08333333333333
Brazil,BRA,1987,0.61897191308956
Brazil,BRA,1997,0.968556792086204
Brazil,BRA,2007,1.02579049637873
Brazil,BRA,2012,1.32096802685038
Brazil,BRA,2014,1.32096802685038
Brunei,BRN,1992,0.894117647058824
Brunei,BRN,1997,1.08235294117647
Bulgaria,BGR,1982,67.5238095238095
Bulgaria,BGR,1987,67.0952380952381
Bulgaria,BGR,1992,35.6857142857143
Bulgaria,BGR,2002,31.3761904761905
Bulgaria,BGR,2007,29.5333333333333
Bulgaria,BGR,2012,27.2142857142857
Bulgaria,BGR,2014,27.2142857142857
Burkina Faso,BFA,1987,2.32
Burkina Faso,BFA,1992,3.008
Burkina Faso,BFA,2002,5.7256
Burkina Faso,BFA,2007,6.544
Burundi,BDI,1987,0.99403578528827
Burundi,BDI,2002,2.86282306163022
Cambodia,KHM,2007,1.81094527363184
Cameroon,CMR,1987,0.145054945054945
Cameroon,CMR,1992,0.146520146520147
Cameroon,CMR,2002,0.353992673992674
Canada,CAN,1987,1.48070175438597
Canada,CAN,1992,1.58210526315789
Canada,CAN,1997,1.48105263157895
Canada,CAN,2007,1.44982456140351
Canada,CAN,2012,1.36140350877193
Cape Verde,CPV,2002,6.76666666666667
Central African Republic,CAF,1987,0.013758865248227
Central African Republic,CAF,2002,0.0469503546099291
Central African Republic,CAF,2007,0.0514184397163121
Central Europe and the Baltics,,2014,14.0823708085208
Chad,TCD,1987,1.20666666666667
Chad,TCD,2002,5.66133333333333
Chad,TCD,2007,5.864
Chile,CHL,1992,2.29265536723164
Chile,CHL,2007,3.9954802259887
China,CHN,1982,15.7731958762887
China,CHN,1987,17.1027372911482
China,CHN,1992,17.7746178457163
China,CHN,1997,18.6775684322787
China,CHN,2002,19.5449697831497
China,CHN,2007,20.3092783505155
China,CHN,2012,21.3224315677213
China,CHN,2014,21.3224315677213
Colombia,COL,2002,0.361118881118881
Colombia,COL,2012,0.548717948717949
Comoros,COM,2002,0.833333333333333
Congo,COG,1987,0.018018018018018
Congo,COG,2002,0.0207207207207207
Costa Rica,CRI,2014,2.07699115044248
Cote d'Ivoire,CIV,1987,0.922696512233212
Cote d'Ivoire,CIV,1992,1.43154606975534
Cote d'Ivoire,CIV,1997,1.60333159812598
Cote d'Ivoire,CIV,2002,1.83368037480479
Cote d'Ivoire,CIV,2007,2.0158771473191
Croatia,HRV,2012,1.77533156498674
Croatia,HRV,2014,1.68116710875332
Cuba,CUB,1997,13.6699895068206
Cuba,CUB,2007,12.9512067156348
Cuba,CUB,2014,18.2555089192025
