Entity,Code,Year,Crops - Avocados - 572 - Production - 5510 - tonnes (tonnes)
Africa,,1961,63439
Africa,,1962,65118
Africa,,1963,61760
Africa,,1964,62759
Africa,,1965,66269
Africa,,1966,68331
Africa,,1967,71416
Africa,,1968,73906
Africa,,1969,76704
Africa,,1970,78464
Africa,,1971,80181
Africa,,1972,86052
Africa,,1973,87090
Africa,,1974,97017
Africa,,1975,117384
Africa,,1976,112374
Africa,,1977,116720
Africa,,1978,120298
Africa,,1979,131592
Africa,,1980,137343
Africa,,1981,137245
Africa,,1982,140689
Africa,,1983,150873
Africa,,1984,149515
Africa,,1985,156918
Africa,,1986,168065
Africa,,1987,181384
Africa,,1988,189131
Africa,,1989,196018
Africa,,1990,205623
Africa,,1991,312232
Africa,,1992,318127
Africa,,1993,343156
Africa,,1994,338213
Africa,,1995,323228
Africa,,1996,337853
Africa,,1997,341284
Africa,,1998,408068
Africa,,1999,382447
Africa,,2000,484718
Africa,,2001,397573
Africa,,2002,431618
Africa,,2003,433324
Africa,,2004,440861
Africa,,2005,525623
Africa,,2006,497784
Africa,,2007,502703
Africa,,2008,531226
Africa,,2009,581796
Africa,,2010,674069
Africa,,2011,642817
Africa,,2012,658307
Africa,,2013,633265
Africa,,2014,738056
Africa,,2015,656646
Africa,,2016,701963
Africa,,2017,717697
Africa,,2018,802016
Americas,,1961,606374
Americas,,1962,635462
Americas,,1963,677359
Americas,,1964,671988
Americas,,1965,735599
Americas,,1966,744853
Americas,,1967,799653
Americas,,1968,813867
Americas,,1969,864539
Americas,,1970,892153
Americas,,1971,951516
Americas,,1972,964517
Americas,,1973,1006980
Americas,,1974,987423
Americas,,1975,1025527
Americas,,1976,1074940
Americas,,1977,1116159
Americas,,1978,1181506
Americas,,1979,1107440
Americas,,1980,1322627
Americas,,1981,1286035
Americas,,1982,1385101
Americas,,1983,1367342
Americas,,1984,1345298
Americas,,1985,1396329
Americas,,1986,1588211
Americas,,1987,1384050
Americas,,1988,1539730
Americas,,1989,1313268
Americas,,1990,1400577
Americas,,1991,1540471
Americas,,1992,1578406
Americas,,1993,1416333
Americas,,1994,1531718
Americas,,1995,1540470
Americas,,1996,1588926
Americas,,1997,1555658
Americas,,1998,1649866
Americas,,1999,1765423
Americas,,2000,1851605
Americas,,2001,1979942
Americas,,2002,2013230
Americas,,2003,2190930
Americas,,2004,2228337
Americas,,2005,2288233
Americas,,2006,2562583
Americas,,2007,2516852
Americas,,2008,2336194
Americas,,2009,2703343
Americas,,2010,2590439
Americas,,2011,2870850
Americas,,2012,3065614
Americas,,2013,3318709
Americas,,2014,3591711
Americas,,2015,3814640
Americas,,2016,4142024
Americas,,2017,4441117
Americas,,2018,4660510
Argentina,ARG,1961,2000
Argentina,ARG,1962,3000
Argentina,ARG,1963,2900
Argentina,ARG,1964,3030
Argentina,ARG,1965,3520
Argentina,ARG,1966,4213
Argentina,ARG,1967,4293
Argentina,ARG,1968,10525
Argentina,ARG,1969,11100
Argentina,ARG,1970,9150
Argentina,ARG,1971,9100
Argentina,ARG,1972,9200
Argentina,ARG,1973,8900
Argentina,ARG,1974,8860
Argentina,ARG,1975,6990
Argentina,ARG,1976,9050
Argentina,ARG,1977,10200
Argentina,ARG,1978,5500
Argentina,ARG,1979,6000
Argentina,ARG,1980,3200
Argentina,ARG,1981,3230
