Entity,Code,Year,Knowledge about HIV prevention in young people - All sexes Young people (15-24) Yes to all questions (%)
Afghanistan,AFG,2016,12.4
Albania,ALB,2016,31.72
Angola,AGO,2016,44.69
Antigua and Barbuda,ATG,2016,85.67
Armenia,ARM,2016,39.4
Azerbaijan,AZE,2016,14.9
Bahamas,BHS,2016,4.4
Barbados,BRB,2016,46.3
Belize,BLZ,2016,76.4
Benin,BEN,2016,25.92
Bhutan,BTN,2016,23.2
Bolivia,BOL,2016,23.66
Botswana,BWA,2016,47.2
Bulgaria,BGR,2016,18.8
Burkina Faso,BFA,2016,32.35
Burundi,BDI,2016,45.07
Cambodia,KHM,2016,39.6
Cameroon,CMR,2016,63.16
Chad,TCD,2016,13.02
Colombia,COL,2016,30.2
Comoros,COM,2016,20.47
Congo,COG,2016,18.22
Cote d'Ivoire,CIV,2016,18.42
Democratic Republic of Congo,COD,2016,20.4
Djibouti,DJI,2016,11.3
Dominican Republic,DOM,2016,42.8
El Salvador,SLV,2016,36.5
Ethiopia,ETH,2016,28.35
Gabon,GAB,2016,31.98
Gambia,GMB,2016,28.8
Ghana,GHA,2016,22.2
Guatemala,GTM,2016,22.12
Guinea,GIN,2016,25.5
Guinea-Bissau,GNB,2016,22.3
Guyana,GUY,2016,51.02
Haiti,HTI,2016,31.94
Honduras,HND,2016,33.4
India,IND,2016,25.67
Indonesia,IDN,2016,11.37
Iran,IRN,2016,18.27
Kenya,KEN,2016,59.55
Kyrgyzstan,KGZ,2016,23.4
Lesotho,LSO,2016,35.5
Liberia,LBR,2016,33.5
Lithuania,LTU,2016,70.7
Madagascar,MDG,2016,24.1
Malawi,MWI,2016,79.3
Malaysia,MYS,2016,41.4
Maldives,MDV,2016,35.49
Mali,MLI,2016,26.1
Mauritania,MRT,2016,57.8
Mauritius,MUS,2016,31.8
Morocco,MAR,2016,22.22
Mozambique,MOZ,2016,34.9
Myanmar,MMR,2016,16.6
Namibia,NAM,2016,58.3
Nepal,NPL,2016,27.81
Nicaragua,NIC,2016,16.01
Niger,NER,2016,21.5
Nigeria,NGA,2016,24.4
Pakistan,PAK,2016,4.3
Peru,PER,2016,75.3
Philippines,PHL,2016,15.05
Rwanda,RWA,2016,51
Sao Tome and Principe,STP,2016,43.08
Senegal,SEN,2016,28.4
Sierra Leone,SLE,2016,29.1
South Africa,ZAF,2016,45.8
Swaziland,SWZ,2016,55.96
Tajikistan,TJK,2016,2.67
Tanzania,TZA,2016,43.4
Timor,TLS,2016,13.91
Togo,TGO,2016,26.1
Turkmenistan,TKM,2016,3.4
Uganda,UGA,2016,38.4
Ukraine,UKR,2016,23
Vietnam,VNM,2016,46.21
Zambia,ZMB,2016,43.9
Zimbabwe,ZWE,2016,46.5
