Entity,Code,Year,Resources (% GDP),Consumption (% GDP),Income and wealth (% GDP),Trade  (% GDP)
Colombia,COL,1905,1.8,,,2.5
Colombia,COL,1907,0.9,,,5
Colombia,COL,1908,1,,,3.7
Colombia,COL,1909,1.1,,,3.6
Colombia,COL,1910,0.8,,,3.6
Colombia,COL,1911,1,,,2.8
Colombia,COL,1912,1,,,3.7
Colombia,COL,1913,1.1,,,5
Colombia,COL,1914,1.2,,,3.7
Colombia,COL,1915,1.1,,,2.3
Colombia,COL,1916,2.2,,,4.4
Colombia,COL,1917,1.8,,,2.6
Colombia,COL,1918,1.4,,,1.6
Colombia,COL,1919,0.9,,,1.9
Colombia,COL,1920,0.9,,0.2,3.1
Colombia,COL,1921,0.9,,0.2,0.9
Colombia,COL,1922,1,,0.1,1.9
Colombia,COL,1923,1,,0.1,3.3
Colombia,COL,1924,0.9,,0.1,2.7
Colombia,COL,1925,0.9,,0.1,3.5
Colombia,COL,1926,0.8,,0.1,3.3
Colombia,COL,1927,0.4,,0.1,3.5
Colombia,COL,1928,0.2,,0.2,3.2
Colombia,COL,1929,0.3,,0.2,3.3
Colombia,COL,1930,0.4,,0.3,2.2
Colombia,COL,1931,0.5,,0.3,3.2
Colombia,COL,1932,0.5,,0.4,2.7
Colombia,COL,1933,0.6,,0.4,3.1
Colombia,COL,1934,0.4,,0.2,2.4
Colombia,COL,1935,0.5,,0.4,2.5
Colombia,COL,1936,0.5,,0.9,2.4
Colombia,COL,1937,0.6,,1.2,2.6
Colombia,COL,1938,0.6,,1.1,2
Colombia,COL,1939,0.7,,1.1,2.4
Colombia,COL,1940,1.1,,1.2,1.6
Colombia,COL,1941,1.7,,1.3,1.8
Colombia,COL,1942,1.3,,1.4,1
Colombia,COL,1943,1,,1.1,1
Colombia,COL,1944,1,,1.7,1
Colombia,COL,1945,1,,1.7,1.2
Colombia,COL,1946,1.7,,1.8,1.2
Colombia,COL,1947,1.8,,2.3,1.3
Colombia,COL,1948,1.3,,2.3,1
Colombia,COL,1949,1.1,,2.3,0.6
Colombia,COL,1950,1,,2.5,1.2
Colombia,COL,1951,1.1,,2.8,2.4
Colombia,COL,1952,1,,3,2
Colombia,COL,1953,0.5,,2.8,2.3
Colombia,COL,1954,0.1,,3.2,2.6
Colombia,COL,1955,0.2,,3.7,2
Colombia,COL,1956,0.2,,3.6,1.5
Colombia,COL,1957,0.2,,3.4,1
Colombia,COL,1958,0,,3.4,0.9
Colombia,COL,1959,0,,3.7,1.5
Colombia,COL,1960,0.1,,3.8,2.1
Colombia,COL,1961,0,,3.4,1.8
Colombia,COL,1962,0,,3.2,1.5
Colombia,COL,1963,0,,3.5,1.2
Colombia,COL,1964,0,,4,1.3
Colombia,COL,1965,0,0.6,3.6,1
Colombia,COL,1966,0,0.9,3.4,2.6
Colombia,COL,1967,0,0.7,4.1,1.8
Colombia,COL,1968,0,0.8,4.1,2.3
Colombia,COL,1969,0,1,4.9,2.1
Colombia,COL,1970,0,0.9,4.6,2.6
Colombia,COL,1971,0,1.1,5.3,2.2
Colombia,COL,1972,0,1.1,4.3,2.1
Colombia,COL,1973,0,1.1,4.5,1.9
Colombia,COL,1974,0,1.4,4.5,1.9
Colombia,COL,1975,0,1.9,4.9,1.9
Colombia,COL,1976,0,1.9,4.7,2
Colombia,COL,1977,0,1.8,3.3,2.3
Colombia,COL,1978,0,1.9,5.3,1.9
Colombia,COL,1979,0,2.2,2.8,1.9
Colombia,COL,1980,0,2.1,3.2,2.2
Colombia,COL,1981,0,1.8,3.4,1.8
Colombia,COL,1982,0,2.4,3.1,1.7
Colombia,COL,1983,0,2,2.6,1.4
Colombia,COL,1984,0,2.5,2.5,2
Colombia,COL,1985,0,2.8,2.6,2.5
Colombia,COL,1986,0,2.7,2.7,3
Colombia,COL,1987,0,2.8,2.5,3.4
Colombia,COL,1988,0,3.2,3.9,3.3
Colombia,COL,1989,0,3.1,3.9,3
Colombia,COL,1990,0,2.6,3.4,2.1
Colombia,COL,1991,0,2.9,5.2,2
Colombia,COL,1992,0,3.5,5.1,2
Colombia,COL,1993,0,4.5,4.8,2.5
Colombia,COL,1994,0,4.7,4.8,2.7
Colombia,COL,1995,0,4.8,4.7,2.7
Colombia,COL,1996,0,4.2,4.8,2.5
Colombia,COL,1997,0,4.3,5.2,2.7
Colombia,COL,1998,0,4.3,4.3,2.9
Colombia,COL,1999,0,4.5,4.2,2.2
Colombia,COL,2000,0,4.1,3.6,2.1
Colombia,COL,2001,0,4.7,4.3,2.3
Colombia,COL,2002,0,4.5,4.1,2.2
Colombia,COL,2003,0,4.7,4.3,2.3
Colombia,COL,2004,0,4.8,4.9,2.3
Colombia,COL,2005,0,5,5.1,2.6
Colombia,COL,2006,0,5.4,5.5,3.1
Colombia,COL,2007,0,5.3,5.6,3
Colombia,COL,2008,0,5.4,5.1,2.9
Colombia,COL,2009,0,4.9,5.6,2.4
Colombia,COL,2010,0,5,4.8,2.5
Colombia,COL,2011,0,5.2,5.4,2.6
Colombia,COL,2012,0,5,6.6,2.3
Colombia,COL,2013,0,5.9,6.9,0
Peru,PER,1900,0,1.2,0.1,1.9
Peru,PER,1901,0,1.3,0.1,2.2
Peru,PER,1902,0,1.2,0.1,1.9
Peru,PER,1903,0,1.3,0.1,1.9
Peru,PER,1904,0,1.6,0.2,2.1
Peru,PER,1905,0,1.7,0.2,2
Peru,PER,1906,0,1.8,0.3,2.2
Peru,PER,1907,0,1.8,0.4,2.4
Peru,PER,1908,0,1.8,0.6,2.3
Peru,PER,1909,0,1.5,0.4,1.8
Peru,PER,1910,0,1.7,0.4,1.9
Peru,PER,1911,0,1.9,0.4,1.8
Peru,PER,1912,0,1.9,0.4,2.1
Peru,PER,1913,0,2.2,0.4,2.1
Peru,PER,1914,0,1.9,0.4,1.4
Peru,PER,1915,0.1,1.6,0.3,0.8
Peru,PER,1916,0.1,1.7,0.8,1.1
Peru,PER,1917,0.2,1.5,0.7,0.9
Peru,PER,1918,0.1,1.1,0.8,0.6
Peru,PER,1919,0.2,1.2,1,0.6
Peru,PER,1920,0.1,1.1,1.2,0.8
Peru,PER,1921,0.2,1.3,0.5,1
Peru,PER,1922,0.3,1.5,0.7,0.9
Peru,PER,1923,0.3,1.5,0.9,1.2
Peru,PER,1924,0.3,1.7,0.9,1.5
Peru,PER,1925,0.3,1.6,0.7,1.4
Peru,PER,1926,0.2,1.8,0.6,1.4
Peru,PER,1927,0.3,2,0.9,1.5
Peru,PER,1928,0.5,2.2,1,1.5
Peru,PER,1929,0.5,2.1,1,1.5
Peru,PER,1930,0.4,2.1,0.7,1.2
Peru,PER,1931,0.4,2.5,1.1,1
Peru,PER,1932,0.4,1.9,0.7,0.7
Peru,PER,1933,0.6,2.7,1.5,1
Peru,PER,1934,0.4,2.5,1.5,1.2
Peru,PER,1935,0.5,2.7,1.5,1.4
Peru,PER,1936,0.5,2.6,1.4,1.5
Peru,PER,1937,0.5,2.5,1.5,1.4
Peru,PER,1938,0.6,2.3,1.3,1.3
Peru,PER,1939,0.5,2.5,1.4,1.2
Peru,PER,1940,0.5,2.3,1.5,1.1
Peru,PER,1941,0.7,2.5,1.6,1.2
Peru,PER,1942,0.4,2.2,2.5,0.9
Peru,PER,1943,0.5,2.3,3.2,1
Peru,PER,1944,0.5,2.2,1.7,2.1
Peru,PER,1945,0.5,2.1,1.9,2
Peru,PER,1946,0.5,2.4,2.3,3
Peru,PER,1947,0.3,1.2,1.1,1.6
Peru,PER,1948,0.3,1.2,1.5,1.6
Peru,PER,1949,0.4,1.8,1.7,1.9
Peru,PER,1950,0.6,2.7,2.6,4.5
Peru,PER,1951,0.3,0.8,2.2,5.3
Peru,PER,1952,0.3,0.7,2.9,4.5
Peru,PER,1953,0.2,0.7,2.4,3.6
Peru,PER,1954,0.3,0.7,2.2,3.6
Peru,PER,1955,0.3,0.8,2.2,3.6
Peru,PER,1956,0.3,0.8,2.2,3.5
Peru,PER,1957,0.3,1,2.2,3.6
Peru,PER,1958,0.3,1,3.1,1.7
Peru,PER,1959,0.2,0.8,3.7,1.2
Peru,PER,1960,0.2,1.7,4.7,1.3
Peru,PER,1961,0.2,2.6,4.6,1.3
Peru,PER,1962,0.2,2.6,3.2,1.3
Peru,PER,1963,0.2,3.2,4.3,1.4
Peru,PER,1964,0.2,3.5,3.2,2.8
Peru,PER,1965,0.1,3.9,3.2,3.2
Peru,PER,1966,0.3,4.3,3.3,3.3
Peru,PER,1967,0.1,4.5,5.9,4.2
Peru,PER,1968,0,5.1,4.4,4.7
Peru,PER,1969,0,5.2,4.9,3.9
Peru,PER,1970,0,5.2,5.6,3.5
Peru,PER,1971,0,5.5,4.3,3.5
Peru,PER,1972,0,5.5,4.1,2.8
Peru,PER,1973,0,5.5,4.9,2.8
Peru,PER,1974,0,5.2,5.4,3.1
Peru,PER,1975,0,5.7,5.1,3.9
Peru,PER,1976,0,6.2,3.8,4.8
Peru,PER,1977,0,6.4,4,3.8
Peru,PER,1978,0,7.2,3.6,4.7
Peru,PER,1979,0,7,4.7,5.5
Peru,PER,1980,0,7.1,7,5.5
Peru,PER,1981,0,6.8,4.4,4.9
Peru,PER,1982,0,7.7,3.9,4
Peru,PER,1983,0,6.8,3,3
Peru,PER,1984,0,7.3,3.1,3.1
Peru,PER,1985,0,9.3,2.7,3.8
Peru,PER,1986,0,7,4.1,3.2
Peru,PER,1987,0,5.7,2.6,2.4
Peru,PER,1988,0,5.5,2.9,1.5
Peru,PER,1989,0,4.6,1.8,1.6
Peru,PER,1990,0,6.3,1.9,1.2
Peru,PER,1991,0,7.5,1.6,1.3
Peru,PER,1992,0,7.8,2.2,1.5
Peru,PER,1993,0,7.6,2.4,1.8
Peru,PER,1994,0,8.6,2.7,1.8
Peru,PER,1995,0,8.6,3,1.8
Peru,PER,1996,0,8.6,3.8,1.7
Peru,PER,1997,0,9.1,3.8,1.6
Peru,PER,1998,0,9.1,3.7,1.8
Peru,PER,1999,0,8.7,3,1.7
Peru,PER,2000,0,8.7,2.9,1.6
Peru,PER,2001,0,8.5,3.1,1.5
Peru,PER,2002,0,8.8,3.1,1.3
Peru,PER,2003,0,9.1,3.9,1.2
Peru,PER,2004,0,9.1,4,1.2
Peru,PER,2005,0,9.1,4.5,1.3
Peru,PER,2006,0,8.9,6.4,1
Peru,PER,2007,0,9.2,7.1,0.7
Peru,PER,2008,0,9.9,6.8,0.5
Peru,PER,2009,0,9.2,5.6,0.4
Peru,PER,2010,0,9.6,6.1,0.4
Peru,PER,2011,0,9.6,7.2,0.3
Peru,PER,2012,0,9.6,7.3,0.3
Peru,PER,2013,0,9.7,6.7,0.3
