Entity,Code,Year,"Crops - Coffee, green - 656 - Production - 5510 - tonnes (tonnes)"
Angola,AGO,1980,43260
Angola,AGO,1981,20640
Angola,AGO,1982,17400
Angola,AGO,1983,13000
Angola,AGO,1984,15000
Angola,AGO,1985,12000
Angola,AGO,1986,14800
Angola,AGO,1987,8700
Angola,AGO,1988,11000
Angola,AGO,1989,10000
Angola,AGO,1990,5000
Angola,AGO,1991,5000
Angola,AGO,1992,5000
Angola,AGO,1993,4620
Angola,AGO,1994,2160
Angola,AGO,1995,3300
Angola,AGO,1996,2820
Angola,AGO,1997,3840
Angola,AGO,1998,5100
Angola,AGO,1999,3300
Angola,AGO,2000,4260
Angola,AGO,2001,3300
Angola,AGO,2002,1260
Angola,AGO,2003,2040
Angola,AGO,2004,1980
Angola,AGO,2005,3500
Angola,AGO,2006,5000
Angola,AGO,2007,11523
Angola,AGO,2008,4000
Angola,AGO,2009,11982
Angola,AGO,2010,9951
Angola,AGO,2011,10192
Angola,AGO,2012,11740
Angola,AGO,2013,12550
Angola,AGO,2014,15009
Angola,AGO,2015,15000
Angola,AGO,2016,14709
Angola,AGO,2017,15114
Angola,AGO,2018,16079
Asia,,1961,200714
Asia,,1962,219396
Asia,,1963,256183
Asia,,1964,259422
Asia,,1965,274510
Asia,,1966,281472
Asia,,1967,318436
Asia,,1968,292682
Asia,,1969,331704
Asia,,1970,334964
Asia,,1971,379074
Asia,,1972,336959
Asia,,1973,331692
Asia,,1974,331901
Asia,,1975,397476
Asia,,1976,410280
Asia,,1977,451855
Asia,,1978,518792
Asia,,1979,550496
Asia,,1980,632728
Asia,,1981,645359
Asia,,1982,678251
Asia,,1983,659572
Asia,,1984,611961
Asia,,1985,728453
Asia,,1986,723857
Asia,,1987,819779
Asia,,1988,781885
Asia,,1989,915561
Asia,,1990,863875
Asia,,1991,913066
Asia,,1992,988734
Asia,,1993,982946
Asia,,1994,1093630
Asia,,1995,1124934
Asia,,1996,1225733
Asia,,1997,1325602
Asia,,1998,1421774
Asia,,1999,1599114
Asia,,2000,1949181
Asia,,2001,2029551
Asia,,2002,1972317
Asia,,2003,2020006
Asia,,2004,2116732
Asia,,2005,2036916
Asia,,2006,2219260
Asia,,2007,2494485
Asia,,2008,2304398
Asia,,2009,2330025
Asia,,2010,2379412
Asia,,2011,2521750
Asia,,2012,2629959
Asia,,2013,2706429
Asia,,2014,2728231
Asia,,2015,2804024
Asia,,2016,2838307
Asia,,2017,2919237
Asia,,2018,3066416
Belize,BLZ,1998,93
Belize,BLZ,1999,70
Belize,BLZ,2000,165
Belize,BLZ,2001,229
Belize,BLZ,2002,227
Belize,BLZ,2003,229
Belize,BLZ,2004,231
Belize,BLZ,2005,54
Belize,BLZ,2006,95
Belize,BLZ,2007,45
Belize,BLZ,2008,90
Belize,BLZ,2009,105
Belize,BLZ,2010,90
Belize,BLZ,2011,91
Belize,BLZ,2012,89
Belize,BLZ,2013,87
Belize,BLZ,2014,89
Belize,BLZ,2015,93
Belize,BLZ,2016,94
Belize,BLZ,2017,92
Belize,BLZ,2018,90
Benin,BEN,1961,2090
Benin,BEN,1962,1730
Benin,BEN,1963,1002
Benin,BEN,1964,1065
Benin,BEN,1965,891
Benin,BEN,1966,1041
Benin,BEN,1967,1086
Benin,BEN,1968,511
Benin,BEN,1969,2268
Benin,BEN,1970,1940
Benin,BEN,1971,2229
Benin,BEN,1972,2724
Benin,BEN,1973,1341
Benin,BEN,1974,161
Benin,BEN,1975,477
Benin,BEN,1976,599
Benin,BEN,1977,610
Benin,BEN,1978,185
Benin,BEN,1979,31
Benin,BEN,1980,321
Benin,BEN,1981,585
Benin,BEN,1982,1629
Benin,BEN,1983,1000
Benin,BEN,1984,3000
Benin,BEN,1985,700
Benin,BEN,1986,1100
Benin,BEN,1987,1900
Benin,BEN,1988,2700
Benin,BEN,1989,800
Benin,BEN,1990,120
Benin,BEN,1991,180
Benin,BEN,1992,200
Benin,BEN,1993,300
Benin,BEN,1994,200
Benin,BEN,1995,175
Benin,BEN,1996,165
Benin,BEN,1997,161
Benin,BEN,1998,154
Benin,BEN,1999,151
Benin,BEN,2000,143
Benin,BEN,2001,150
Benin,BEN,2002,100
Benin,BEN,2003,60
Benin,BEN,2004,86
Benin,BEN,2005,82
Benin,BEN,2006,60
Benin,BEN,2007,60
Benin,BEN,2008,70
Benin,BEN,2009,67
Benin,BEN,2010,60
Benin,BEN,2011,65
Benin,BEN,2012,68
Benin,BEN,2013,70
Benin,BEN,2014,62
Benin,BEN,2015,51
Benin,BEN,2016,48
Benin,BEN,2017,54
Benin,BEN,2018,51
Bolivia,BOL,1961,4400
Bolivia,BOL,1962,4400
Bolivia,BOL,1963,4400
Bolivia,BOL,1964,7400
Bolivia,BOL,1965,4700
Bolivia,BOL,1966,7700
Bolivia,BOL,1967,8200
Bolivia,BOL,1968,9500
Bolivia,BOL,1969,10100
Bolivia,BOL,1970,11200
Bolivia,BOL,1971,12400
Bolivia,BOL,1972,13000
Bolivia,BOL,1973,13400
Bolivia,BOL,1974,13870
Bolivia,BOL,1975,14900
Bolivia,BOL,1976,14664
Bolivia,BOL,1977,13372
Bolivia,BOL,1978,13424
Bolivia,BOL,1979,15700
Bolivia,BOL,1980,20540
Bolivia,BOL,1981,21325
Bolivia,BOL,1982,21179
Bolivia,BOL,1983,21141
Bolivia,BOL,1984,21566
Bolivia,BOL,1985,23361
Bolivia,BOL,1986,24153
Bolivia,BOL,1987,25200
Bolivia,BOL,1988,25450
Bolivia,BOL,1989,26740
Bolivia,BOL,1990,24378
Bolivia,BOL,1991,14071
Bolivia,BOL,1992,15179
Bolivia,BOL,1993,13153
Bolivia,BOL,1994,19216
Bolivia,BOL,1995,20323
Bolivia,BOL,1996,22015
Bolivia,BOL,1997,22608
Bolivia,BOL,1998,22532
Bolivia,BOL,1999,26931
Bolivia,BOL,2000,27696
Bolivia,BOL,2001,24086
Bolivia,BOL,2002,24513
Bolivia,BOL,2003,24700
Bolivia,BOL,2004,24546
Bolivia,BOL,2005,24976
Bolivia,BOL,2006,25272
Bolivia,BOL,2007,27012
Bolivia,BOL,2008,27305
Bolivia,BOL,2009,28270
Bolivia,BOL,2010,27327
Bolivia,BOL,2011,27596
Bolivia,BOL,2012,28137
Bolivia,BOL,2013,29455
Bolivia,BOL,2014,20496
Bolivia,BOL,2015,20954
Bolivia,BOL,2016,21427
Bolivia,BOL,2017,21181
Bolivia,BOL,2018,22121
Brazil,BRA,1961,2228704
Brazil,BRA,1962,2190303
Brazil,BRA,1963,1650527
Brazil,BRA,1964,1042013
Brazil,BRA,1965,2294047
Brazil,BRA,1966,1202868
Brazil,BRA,1967,1507500
Brazil,BRA,1968,1057700
Brazil,BRA,1969,1283500
Brazil,BRA,1970,754800
Brazil,BRA,1971,1551462
Brazil,BRA,1972,1495705
Brazil,BRA,1973,872897
Brazil,BRA,1974,1615309
Brazil,BRA,1975,1272298
Brazil,BRA,1976,375985
Brazil,BRA,1977,975385
Brazil,BRA,1978,1267661
Brazil,BRA,1979,1332772
Brazil,BRA,1980,1061195
Brazil,BRA,1981,2032210
Brazil,BRA,1982,957931
Brazil,BRA,1983,1671588
Brazil,BRA,1984,1420281
Brazil,BRA,1985,1910646
Brazil,BRA,1986,1041406
Brazil,BRA,1987,2202708
Brazil,BRA,1988,1348014
Brazil,BRA,1989,1532335
Brazil,BRA,1990,1464856
Brazil,BRA,1991,1520382
Brazil,BRA,1992,1294373
Brazil,BRA,1993,1278759
Brazil,BRA,1994,1307289
Brazil,BRA,1995,930135
Brazil,BRA,1996,1369196
Brazil,BRA,1997,1228513
Brazil,BRA,1998,1689366
Brazil,BRA,1999,1631852
Brazil,BRA,2000,1903562
Brazil,BRA,2001,1819569
Brazil,BRA,2002,2610524
Brazil,BRA,2003,1987074
Brazil,BRA,2004,2465710
Brazil,BRA,2005,2140169
Brazil,BRA,2006,2573368
Brazil,BRA,2007,2249011
Brazil,BRA,2008,2796927
Brazil,BRA,2009,2440056
Brazil,BRA,2010,2907265
Brazil,BRA,2011,2700540
Brazil,BRA,2012,3037534
Brazil,BRA,2013,2964538
Brazil,BRA,2014,2804070
Brazil,BRA,2015,2647504
Brazil,BRA,2016,3024466
Brazil,BRA,2017,2684508
Brazil,BRA,2018,3556638
Burundi,BDI,1961,14000
Burundi,BDI,1962,13001
Burundi,BDI,1963,5777
Burundi,BDI,1964,17737
Burundi,BDI,1965,12831
Burundi,BDI,1966,14071
Burundi,BDI,1967,18682
Burundi,BDI,1968,16539
Burundi,BDI,1969,14551
Burundi,BDI,1970,22084
Burundi,BDI,1971,25051
Burundi,BDI,1972,19403
Burundi,BDI,1973,21395
Burundi,BDI,1974,28140
Burundi,BDI,1975,16924
Burundi,BDI,1976,21428
Burundi,BDI,1977,17030
Burundi,BDI,1978,22783
Burundi,BDI,1979,27728
Burundi,BDI,1980,18894
Burundi,BDI,1981,43824
Burundi,BDI,1982,20221
Burundi,BDI,1983,35954
Burundi,BDI,1984,27005
Burundi,BDI,1985,32493
Burundi,BDI,1986,31290
Burundi,BDI,1987,37338
Burundi,BDI,1988,35247
Burundi,BDI,1989,31400
Burundi,BDI,1990,32694
Burundi,BDI,1991,34204
Burundi,BDI,1992,37215
Burundi,BDI,1993,22991
Burundi,BDI,1994,41293
Burundi,BDI,1995,25516
Burundi,BDI,1996,26875
Burundi,BDI,1997,19991
Burundi,BDI,1998,16937
Burundi,BDI,1999,29130
Burundi,BDI,2000,67439
Burundi,BDI,2001,70980
Burundi,BDI,2002,182182
Burundi,BDI,2003,35682
Burundi,BDI,2004,204509
Burundi,BDI,2005,34828
Burundi,BDI,2006,149460
Burundi,BDI,2007,31964
Burundi,BDI,2008,100475
Burundi,BDI,2009,20517
Burundi,BDI,2010,89960
Burundi,BDI,2011,41960
Burundi,BDI,2012,26340
Burundi,BDI,2013,22625
Burundi,BDI,2014,10405
Burundi,BDI,2015,18367
Burundi,BDI,2016,13624
Burundi,BDI,2017,16340
Burundi,BDI,2018,14216
Cambodia,KHM,1961,240
Cambodia,KHM,1962,350
Cambodia,KHM,1963,400
Cambodia,KHM,1964,350
Cambodia,KHM,1965,400
Cambodia,KHM,1966,480
Cambodia,KHM,1967,433
Cambodia,KHM,1968,350
Cambodia,KHM,1969,460
Cambodia,KHM,1970,600
Cambodia,KHM,1971,600
Cambodia,KHM,1972,470
Cambodia,KHM,1973,124
Cambodia,KHM,1974,100
Cambodia,KHM,1975,100
Cambodia,KHM,1976,90
Cambodia,KHM,1977,85
Cambodia,KHM,1978,72
Cambodia,KHM,1979,50
Cambodia,KHM,1980,70
Cambodia,KHM,1981,68
Cambodia,KHM,1982,70
Cambodia,KHM,1983,80
Cambodia,KHM,1984,90
Cambodia,KHM,1985,100
Cambodia,KHM,1986,120
Cambodia,KHM,1987,130
Cambodia,KHM,1988,140
Cambodia,KHM,1989,150
Cambodia,KHM,1990,160
Cambodia,KHM,1991,170
Cambodia,KHM,1992,180
Cambodia,KHM,1993,198
Cambodia,KHM,1994,190
Cambodia,KHM,1995,200
Cambodia,KHM,1996,250
Cambodia,KHM,1997,280
Cambodia,KHM,1998,290
Cambodia,KHM,1999,300
Cambodia,KHM,2000,300
Cambodia,KHM,2001,300
Cambodia,KHM,2002,300
Cambodia,KHM,2003,305
Cambodia,KHM,2004,310
Cambodia,KHM,2005,320
Cambodia,KHM,2006,300
Cambodia,KHM,2007,320
Cambodia,KHM,2008,330
Cambodia,KHM,2009,350
Cambodia,KHM,2010,362
Cambodia,KHM,2011,349
Cambodia,KHM,2012,350
Cambodia,KHM,2013,353
Cambodia,KHM,2014,357
Cambodia,KHM,2015,369
Cambodia,KHM,2016,372
Cambodia,KHM,2017,376
Cambodia,KHM,2018,381
Cameroon,CMR,1961,44700
Cameroon,CMR,1962,45000
Cameroon,CMR,1963,53600
Cameroon,CMR,1964,59100
Cameroon,CMR,1965,74100
Cameroon,CMR,1966,63300
Cameroon,CMR,1967,79600
Cameroon,CMR,1968,81700
Cameroon,CMR,1969,81815
Cameroon,CMR,1970,92993
Cameroon,CMR,1971,94790
Cameroon,CMR,1972,96165
Cameroon,CMR,1973,93913
Cameroon,CMR,1974,104442
Cameroon,CMR,1975,92488
Cameroon,CMR,1976,79599
Cameroon,CMR,1977,86448
Cameroon,CMR,1978,107993
Cameroon,CMR,1979,101166
Cameroon,CMR,1980,112207
Cameroon,CMR,1981,109286
Cameroon,CMR,1982,128237
Cameroon,CMR,1983,63700
Cameroon,CMR,1984,137900
Cameroon,CMR,1985,100020
Cameroon,CMR,1986,132000
Cameroon,CMR,1987,82560
Cameroon,CMR,1988,119400
Cameroon,CMR,1989,115700
Cameroon,CMR,1990,100980
Cameroon,CMR,1991,115080
Cameroon,CMR,1992,76200
Cameroon,CMR,1993,68417
Cameroon,CMR,1994,73743
Cameroon,CMR,1995,74000
Cameroon,CMR,1996,104121
Cameroon,CMR,1997,63600
Cameroon,CMR,1998,112532
Cameroon,CMR,1999,98000
Cameroon,CMR,2000,86200
Cameroon,CMR,2001,70500
Cameroon,CMR,2002,41000
Cameroon,CMR,2003,48000
Cameroon,CMR,2004,54000
Cameroon,CMR,2005,60000
Cameroon,CMR,2006,62300
Cameroon,CMR,2007,47792
Cameroon,CMR,2008,50687
Cameroon,CMR,2009,48123
Cameroon,CMR,2010,66584
Cameroon,CMR,2011,26322
Cameroon,CMR,2012,38127
Cameroon,CMR,2013,41800
Cameroon,CMR,2014,38055
Cameroon,CMR,2015,35334
Cameroon,CMR,2016,33101
Cameroon,CMR,2017,31056
Cameroon,CMR,2018,33164
Cape Verde,CPV,1961,52
Cape Verde,CPV,1962,22
Cape Verde,CPV,1963,40
Cape Verde,CPV,1964,39
Cape Verde,CPV,1965,45
Cape Verde,CPV,1966,106
Cape Verde,CPV,1967,121
Cape Verde,CPV,1968,82
Cape Verde,CPV,1969,94
Cape Verde,CPV,1970,114
Cape Verde,CPV,1971,185
Cape Verde,CPV,1972,76
Cape Verde,CPV,1973,8
Cape Verde,CPV,1974,71
Cape Verde,CPV,1975,103
Cape Verde,CPV,1976,168
Cape Verde,CPV,1977,53
Cape Verde,CPV,1978,100
Cape Verde,CPV,1979,150
Cape Verde,CPV,1980,50
Cape Verde,CPV,1981,100
Cape Verde,CPV,1982,50
Cape Verde,CPV,1983,50
Cape Verde,CPV,1984,50
Cape Verde,CPV,1985,30
Cape Verde,CPV,1986,44
Cape Verde,CPV,1987,34
Cape Verde,CPV,1988,50
Cape Verde,CPV,1989,100
Cape Verde,CPV,1990,50
Cape Verde,CPV,1991,10
Cape Verde,CPV,1992,0
Cape Verde,CPV,2011,62
Cape Verde,CPV,2012,88
Cape Verde,CPV,2013,62
Cape Verde,CPV,2014,52
Cape Verde,CPV,2015,52
Cape Verde,CPV,2016,68
Cape Verde,CPV,2017,47
Cape Verde,CPV,2018,35
Caribbean,,1961,143212
Caribbean,,1962,156795
Caribbean,,1963,137156
Caribbean,,1964,146070
Caribbean,,1965,126325
Caribbean,,1966,128930
Caribbean,,1967,130891
Caribbean,,1968,125072
Caribbean,,1969,117061
Caribbean,,1970,115379
Caribbean,,1971,120509
Caribbean,,1972,119712
Caribbean,,1973,131165
Caribbean,,1974,129053
Caribbean,,1975,127829
Caribbean,,1976,132693
Caribbean,,1977,121222
Caribbean,,1978,100840
Caribbean,,1979,136505
Caribbean,,1980,138610
Caribbean,,1981,124802
Caribbean,,1982,141026
Caribbean,,1983,141448
Caribbean,,1984,146628
Caribbean,,1985,150504
Caribbean,,1986,145516
Caribbean,,1987,143246
Caribbean,,1988,150801
Caribbean,,1989,149332
Caribbean,,1990,138256
Caribbean,,1991,131309
Caribbean,,1992,104348
Caribbean,,1993,106914
Caribbean,,1994,97533
Caribbean,,1995,105178
Caribbean,,1996,107274
Caribbean,,1997,99278
Caribbean,,1998,113787
Caribbean,,1999,94925
Caribbean,,2000,103670
Caribbean,,2001,91730
Caribbean,,2002,90230
Caribbean,,2003,95713
Caribbean,,2004,92962
Caribbean,,2005,103896
Caribbean,,2006,106478
Caribbean,,2007,125647
Caribbean,,2008,93804
Caribbean,,2009,102541
Caribbean,,2010,84671
Caribbean,,2011,86801
Caribbean,,2012,87588
Caribbean,,2013,98942
Caribbean,,2014,68138
Caribbean,,2015,67458
Caribbean,,2016,74010
Caribbean,,2017,74906
Caribbean,,2018,80901
Central African Republic,CAF,1961,8200
Central African Republic,CAF,1962,5800
Central African Republic,CAF,1963,12600
Central African Republic,CAF,1964,7600
Central African Republic,CAF,1965,11400
Central African Republic,CAF,1966,9127
Central African Republic,CAF,1967,8207
Central African Republic,CAF,1968,8826
Central African Republic,CAF,1969,12163
Central African Republic,CAF,1970,10665
Central African Republic,CAF,1971,6065
Central African Republic,CAF,1972,8359
Central African Republic,CAF,1973,10001
Central African Republic,CAF,1974,13200
Central African Republic,CAF,1975,14300
Central African Republic,CAF,1976,13900
Central African Republic,CAF,1977,14800
Central African Republic,CAF,1978,15183
Central African Republic,CAF,1979,16073
Central African Republic,CAF,1980,16808
Central African Republic,CAF,1981,17000
Central African Republic,CAF,1982,17000
Central African Republic,CAF,1983,15400
Central African Republic,CAF,1984,18400
Central African Republic,CAF,1985,13300
Central African Republic,CAF,1986,20100
Central African Republic,CAF,1987,21346
Central African Republic,CAF,1988,24482
Central African Republic,CAF,1989,20808
Central African Republic,CAF,1990,14314
Central African Republic,CAF,1991,17625
Central African Republic,CAF,1992,9036
Central African Republic,CAF,1993,9124
Central African Republic,CAF,1994,14500
Central African Republic,CAF,1995,9000
Central African Republic,CAF,1996,18000
Central African Republic,CAF,1997,15000
Central African Republic,CAF,1998,12037
Central African Republic,CAF,1999,11260
Central African Republic,CAF,2000,12900
Central African Republic,CAF,2001,12300
Central African Republic,CAF,2002,13000
Central African Republic,CAF,2003,5520
Central African Republic,CAF,2004,4320
Central African Republic,CAF,2005,3300
Central African Republic,CAF,2006,1500
Central African Republic,CAF,2007,2400
Central African Republic,CAF,2008,3300
Central African Republic,CAF,2009,3544
Central African Republic,CAF,2010,5270
Central African Republic,CAF,2011,6218
Central African Republic,CAF,2012,6923
Central African Republic,CAF,2013,7975
Central African Republic,CAF,2014,10799
Central African Republic,CAF,2015,9050
Central African Republic,CAF,2016,10120
Central African Republic,CAF,2017,9221
Central African Republic,CAF,2018,9145
Central America,,1961,461135
Central America,,1962,472456
Central America,,1963,486178
Central America,,1964,505772
Central America,,1965,523828
Central America,,1966,544139
Central America,,1967,621122
Central America,,1968,589478
Central America,,1969,596975
Central America,,1970,597831
Central America,,1971,638102
Central America,,1972,654823
Central America,,1973,672371
Central America,,1974,712745
Central America,,1975,709770
Central America,,1976,700649
Central America,,1977,695348
Central America,,1978,799311
Central America,,1979,804152
Central America,,1980,818696
Central America,,1981,893332
Central America,,1982,883508
Central America,,1983,907059
Central America,,1984,871774
Central America,,1985,834478
Central America,,1986,968045
Central America,,1987,943933
Central America,,1988,1015357
Central America,,1989,970698
Central America,,1990,1100027
Central America,,1991,999455
Central America,,1992,1077081
Central America,,1993,1003845
Central America,,1994,1004065
Central America,,1995,1023709
Central America,,1996,1127286
Central America,,1997,1134363
Central America,,1998,1049771
Central America,,1999,1165583
Central America,,2000,1211647
Central America,,2001,1114230
Central America,,2002,1045084
Central America,,2003,1038304
Central America,,2004,1027413
Central America,,2005,1055575
Central America,,2006,1003384
Central America,,2007,1084729
Central America,,2008,1055361
Central America,,2009,1016527
Central America,,2010,1033490
Central America,,2011,1077736
Central America,,2012,1166400
Central America,,2013,956536
Central America,,2014,956117
Central America,,2015,969673
Central America,,2016,1020092
Central America,,2017,1146917
Central America,,2018,1199214
China,CHN,1961,1612
China,CHN,1962,1756
China,CHN,1963,2042
China,CHN,1964,2346
China,CHN,1965,2577
China,CHN,1966,3236
China,CHN,1967,3566
China,CHN,1968,3540
China,CHN,1969,3748
China,CHN,1970,3836
China,CHN,1971,3934
China,CHN,1972,5029
China,CHN,1973,6017
China,CHN,1974,6068
China,CHN,1975,4066
China,CHN,1976,4009
China,CHN,1977,4052
China,CHN,1978,4047
China,CHN,1979,5036
China,CHN,1980,5051
China,CHN,1981,6052
China,CHN,1982,6054
China,CHN,1983,6000
China,CHN,1984,9000
China,CHN,1985,7000
China,CHN,1986,7700
China,CHN,1987,8600
China,CHN,1988,10000
China,CHN,1989,8000
China,CHN,1990,6300
China,CHN,1991,3500
China,CHN,1992,3800
China,CHN,1993,4000
China,CHN,1994,3250
China,CHN,1995,3196
China,CHN,1996,3023
China,CHN,1997,3573
China,CHN,1998,6237
China,CHN,1999,8743
China,CHN,2000,11568
China,CHN,2001,17202
China,CHN,2002,19456
China,CHN,2003,23144
China,CHN,2004,21659
China,CHN,2005,21919
China,CHN,2006,25655
China,CHN,2007,26000
China,CHN,2008,33278
China,CHN,2009,70405
China,CHN,2010,49596
China,CHN,2011,65384
China,CHN,2012,92064
China,CHN,2013,116826
China,CHN,2014,91425
China,CHN,2015,100105
China,CHN,2016,102785
China,CHN,2017,98105
China,CHN,2018,100332
Colombia,COL,1961,450000
Colombia,COL,1962,482100
Colombia,COL,1963,450000
Colombia,COL,1964,468000
Colombia,COL,1965,492000
Colombia,COL,1966,492000
Colombia,COL,1967,456000
Colombia,COL,1968,480000
Colombia,COL,1969,474000
Colombia,COL,1970,507000
Colombia,COL,1971,468000
Colombia,COL,1972,432000
Colombia,COL,1973,528000
Colombia,COL,1974,470000
Colombia,COL,1975,513200
Colombia,COL,1976,483000
Colombia,COL,1977,639420
Colombia,COL,1978,683220
Colombia,COL,1979,713340
Colombia,COL,1980,724380
Colombia,COL,1981,782200
Colombia,COL,1982,773600
Colombia,COL,1983,768600
Colombia,COL,1984,807800
Colombia,COL,1985,643100
Colombia,COL,1986,713500
Colombia,COL,1987,651600
Colombia,COL,1988,708700
Colombia,COL,1989,664000
Colombia,COL,1990,845000
Colombia,COL,1991,970740
Colombia,COL,1992,1100000
Colombia,COL,1993,818220
Colombia,COL,1994,721860
Colombia,COL,1995,821820
Colombia,COL,1996,671401
Colombia,COL,1997,642239
Colombia,COL,1998,766980
Colombia,COL,1999,546720
Colombia,COL,2000,637140
Colombia,COL,2001,656160
Colombia,COL,2002,696840
Colombia,COL,2003,694080
Colombia,COL,2004,674400
Colombia,COL,2005,667140
Colombia,COL,2006,724740
Colombia,COL,2007,757080
Colombia,COL,2008,688680
Colombia,COL,2009,468720
Colombia,COL,2010,535380
Colombia,COL,2011,468540
Colombia,COL,2012,462000
Colombia,COL,2013,653160
Colombia,COL,2014,728400
Colombia,COL,2015,827750
Colombia,COL,2016,818243
Colombia,COL,2017,760209
Colombia,COL,2018,720634
Comoros,COM,1961,100
Comoros,COM,1962,100
Comoros,COM,1963,150
Comoros,COM,1964,100
Comoros,COM,1965,100
Comoros,COM,1966,180
Comoros,COM,1967,180
Comoros,COM,1968,180
Comoros,COM,1969,180
Comoros,COM,1970,180
Comoros,COM,1971,120
Comoros,COM,1972,120
Comoros,COM,1973,120
Comoros,COM,1974,120
Comoros,COM,1975,60
Comoros,COM,1976,60
Comoros,COM,1977,70
Comoros,COM,1978,90
Comoros,COM,1979,90
Comoros,COM,1980,80
Comoros,COM,1981,82
Comoros,COM,1982,82
Comoros,COM,1983,83
Comoros,COM,1984,84
Comoros,COM,1985,85
Comoros,COM,1986,85
Comoros,COM,1987,85
Comoros,COM,1988,87
Comoros,COM,1989,87
Comoros,COM,1990,90
Comoros,COM,1991,91
Comoros,COM,1992,92
Comoros,COM,1993,92
Comoros,COM,1994,93
Comoros,COM,1995,94
Comoros,COM,1996,94
Comoros,COM,1997,95
Comoros,COM,1998,96
Comoros,COM,1999,98
Comoros,COM,2000,98
Comoros,COM,2001,101
Comoros,COM,2002,103
Comoros,COM,2003,100
Comoros,COM,2004,110
Comoros,COM,2005,120
Comoros,COM,2006,119
Comoros,COM,2007,121
Comoros,COM,2008,123
Comoros,COM,2009,124
Comoros,COM,2010,126
Comoros,COM,2011,127
Comoros,COM,2012,130
Comoros,COM,2013,132
Comoros,COM,2014,133
Comoros,COM,2015,134
Comoros,COM,2016,135
Comoros,COM,2017,136
Comoros,COM,2018,137
Congo,COG,1961,900
Congo,COG,1962,1300
Congo,COG,1963,1500
Congo,COG,1964,1500
Congo,COG,1965,2700
Congo,COG,1966,910
Congo,COG,1967,920
Congo,COG,1968,890
Congo,COG,1969,1111
Congo,COG,1970,1102
Congo,COG,1971,1286
Congo,COG,1972,1021
