Entity,Code,Year,"Net enrolment rate, pre-primary, both sexes (%) (%)"
Albania,ALB,1999,42.5246086120605
Albania,ALB,2000,42.9616508483887
Albania,ALB,2001,45.4334602355957
Albania,ALB,2003,48.8526802062988
Albania,ALB,2004,47.9292106628418
Albania,ALB,2005,51.0588912963867
Albania,ALB,2006,52.9503402709961
Albania,ALB,2007,53.7521095275879
Albania,ALB,2008,58.1849212646484
Albania,ALB,2009,61.868091583252
Albania,ALB,2010,66.8935012817383
Albania,ALB,2011,72.4430694580078
Albania,ALB,2012,78.8386306762695
Albania,ALB,2013,81.6679763793945
Albania,ALB,2014,81.3397674560547
Algeria,DZA,1999,2.42718005180359
Algeria,DZA,2000,2.71430993080139
Algeria,DZA,2001,3.38487005233765
Algeria,DZA,2003,3.98235988616943
Algeria,DZA,2004,4.72006988525391
Algeria,DZA,2005,6.16750001907349
Algeria,DZA,2006,25.1390590667725
Algeria,DZA,2008,32.9369201660156
Algeria,DZA,2009,73.9915618896484
Algeria,DZA,2010,75.5063400268555
Algeria,DZA,2011,72.5070419311523
Angola,AGO,2008,66.2241668701172
Angola,AGO,2009,62.261058807373
Angola,AGO,2010,58.1053810119629
Angola,AGO,2011,59.2532615661621
Antigua and Barbuda,ATG,2000,39.8815689086914
Antigua and Barbuda,ATG,2007,69.4408264160156
Antigua and Barbuda,ATG,2008,71.4144668579102
Antigua and Barbuda,ATG,2011,63.9877891540527
Antigua and Barbuda,ATG,2012,72.0040969848633
Antigua and Barbuda,ATG,2014,72.905891418457
Argentina,ARG,1998,55.444278717041
Argentina,ARG,1999,55.8526611328125
Argentina,ARG,2000,59.0364685058594
Argentina,ARG,2001,59.8364295959473
Argentina,ARG,2002,60.3595886230469
Argentina,ARG,2003,60.5304489135742
Argentina,ARG,2004,61.9965896606445
Argentina,ARG,2005,63.2001304626465
Argentina,ARG,2006,62.8403282165527
Argentina,ARG,2007,63.4595489501953
Argentina,ARG,2008,65.0317687988281
Argentina,ARG,2009,66.3942337036133
Argentina,ARG,2010,67.1939697265625
Argentina,ARG,2011,67.3909072875977
Argentina,ARG,2012,69.4188385009766
Argentina,ARG,2013,71.3411102294922
Aruba,ABW,1999,92.1739120483398
Aruba,ABW,2000,94.0594100952148
Aruba,ABW,2001,88.0190582275391
Aruba,ABW,2002,89.625846862793
Aruba,ABW,2003,90.8810424804688
Aruba,ABW,2004,88.8192291259766
Aruba,ABW,2005,98.2556076049805
Aruba,ABW,2008,98.6247024536133
Aruba,ABW,2009,97.9873275756836
Aruba,ABW,2010,98.7167510986328
Aruba,ABW,2013,99.1133728027344
Aruba,ABW,2014,98.8826599121094
Australia,AUS,2001,50.957691192627
Australia,AUS,2002,49.4992218017578
Australia,AUS,2003,62.6110610961914
Australia,AUS,2004,63.9427299499512
Australia,AUS,2005,60.9438705444336
Australia,AUS,2006,61.1579818725586
Australia,AUS,2007,50.3222885131836
Australia,AUS,2008,51.4479217529297
Australia,AUS,2009,50.9338989257813
