Entity,Code,Year,Urban population (% of urban population),Rural population (% of rural population),Total population (% of population)
Afghanistan,AFG,2007,28.9,38.2,36.3
Afghanistan,AFG,2011,27.6,38.3,35.8
Albania,ALB,2002,19.5,29.6,25.4
Albania,ALB,2005,11.2,24.2,18.5
Albania,ALB,2008,10.1,14.6,12.4
Albania,ALB,2012,13.6,15.3,14.3
Algeria,DZA,2011,5.8,4.8,5.5
Angola,AGO,2008,18.7,58.3,36.6
Argentina,ARG,2003,47.8,,
Argentina,ARG,2004,40.2,,
Argentina,ARG,2005,33.8,,
Argentina,ARG,2006,26.9,,
Argentina,ARG,2007,20.6,,
Argentina,ARG,2008,15.3,,
Argentina,ARG,2009,13.2,,
Argentina,ARG,2010,9.9,,
Argentina,ARG,2011,6.5,,
Argentina,ARG,2012,5.4,,
Argentina,ARG,2013,4.7,,
Argentina,ARG,2016,,,30.3
Armenia,ARM,2001,48.5,47.9,48.3
Armenia,ARM,2008,27.6,27.5,27.6
Armenia,ARM,2009,33.7,34.9,34.1
Armenia,ARM,2010,35.7,36,35.8
Armenia,ARM,2011,35.2,34.5,35
Armenia,ARM,2012,32.5,32.1,32.4
Armenia,ARM,2013,32.2,31.7,32
Armenia,ARM,2014,30,29.9,30
Armenia,ARM,2015,,,29.8
Azerbaijan,AZE,2001,55.7,42.5,49.6
Azerbaijan,AZE,2007,,,15.8
Azerbaijan,AZE,2008,,,13.2
Azerbaijan,AZE,2009,,,10.9
Azerbaijan,AZE,2010,,,9.1
Azerbaijan,AZE,2011,,,7.6
Azerbaijan,AZE,2012,,,6
Bangladesh,BGD,2000,35.2,52.3,48.9
Bangladesh,BGD,2005,28.4,43.8,40
Bangladesh,BGD,2010,21.3,35.2,31.5
Bangladesh,BGD,2016,,,24.3
Belarus,BLR,2000,37.9,50.8,41.9
Belarus,BLR,2001,,,28.9
Belarus,BLR,2002,,,30.5
Belarus,BLR,2003,,,27.1
Belarus,BLR,2004,,,17.8
Belarus,BLR,2005,10.9,16.7,12.7
Belarus,BLR,2006,9.1,15.5,11.1
Belarus,BLR,2007,5.6,12.4,7.7
Belarus,BLR,2008,4.4,9.7,6.1
Belarus,BLR,2009,4,9.5,5.4
Belarus,BLR,2010,3.8,8.9,5.2
Belarus,BLR,2011,5.8,11.5,7.3
Belarus,BLR,2012,5.2,9.4,6.3
Belarus,BLR,2013,4.2,9,5.5
Belarus,BLR,2014,3.7,7.9,4.8
Belarus,BLR,2015,3.7,8.7,5.1
Belarus,BLR,2016,,,5.7
Benin,BEN,2006,35.4,38.8,37.2
Benin,BEN,2007,28.3,36.1,33.3
Benin,BEN,2009,29.8,38.4,35.2
Benin,BEN,2011,31.4,39.7,36.2
Bhutan,BTN,2007,1.7,30.9,23.2
Bhutan,BTN,2012,1.8,16.7,12
Bolivia,BOL,2000,54.5,87,66.4
Bolivia,BOL,2001,54.3,77.7,63.1
Bolivia,BOL,2002,53.9,78.8,63.3
Bolivia,BOL,2004,54.4,77.7,63.1
Bolivia,BOL,2005,51.1,77.6,59.6
Bolivia,BOL,2006,50.3,76.5,59.9
Bolivia,BOL,2007,50.9,77.3,60.1
