Entity,Code,Year,Suite of Food Security Indicators - Number of severely food insecure people (million) (3-year average) - 210071 - Value - 6132 - millions (people)
Afghanistan,AFG,2015,5200000
Afghanistan,AFG,2016,5500000
Afghanistan,AFG,2017,6500000
Africa,,2015,235200000
Africa,,2016,260800000
Africa,,2017,277600000
Albania,ALB,2015,300000
Albania,ALB,2016,300000
Albania,ALB,2017,300000
Angola,AGO,2015,6200000
Argentina,ARG,2015,2500000
Argentina,ARG,2016,3800000
Argentina,ARG,2017,5000000
Armenia,ARM,2015,100000
Armenia,ARM,2016,100000
Armenia,ARM,2017,100000
Asia,,2015,283600000
Asia,,2016,277800000
Asia,,2017,302300000
"Asia, Central",,2015,1500000
"Asia, Central",,2016,1900000
"Asia, Central",,2017,2300000
Australia,AUS,2015,600000
Australia,AUS,2016,800000
Australia,AUS,2017,900000
Australia & New Zealand,,2015,800000
Australia & New Zealand,,2016,900000
Australia & New Zealand,,2017,1100000
Austria,AUT,2015,100000
Austria,AUT,2016,100000
Austria,AUT,2017,100000
Bangladesh,BGD,2015,17800000
Bangladesh,BGD,2016,17300000
Bangladesh,BGD,2017,16800000
Belgium,BEL,2015,400000
Belgium,BEL,2016,400000
Belgium,BEL,2017,400000
Botswana,BWA,2015,800000
Botswana,BWA,2016,900000
Botswana,BWA,2017,900000
Bulgaria,BGR,2015,100000
Bulgaria,BGR,2016,200000
Bulgaria,BGR,2017,100000
Burkina Faso,BFA,2015,1600000
Cambodia,KHM,2015,2600000
Cambodia,KHM,2016,2300000
Cambodia,KHM,2017,2300000
Cameroon,CMR,2015,8100000
Cameroon,CMR,2016,9600000
Cameroon,CMR,2017,10600000
Canada,CAN,2015,200000
Canada,CAN,2016,200000
Cape Verde,CPV,2017,100000
Central America,,2015,18200000
Central America,,2016,18400000
Central America,,2017,18800000
Central and Southern Asia,,2015,224300000
Central and Southern Asia,,2016,210400000
Central and Southern Asia,,2017,226200000
Chile,CHL,2017,600000
China,CHN,2015,8900000
China,CHN,2016,11800000
China,CHN,2017,15300000
Costa Rica,CRI,2015,200000
Costa Rica,CRI,2016,200000
Costa Rica,CRI,2017,300000
Cote d'Ivoire,CIV,2016,6800000
Czech Republic,CZE,2015,100000
Denmark,DNK,2017,100000
East Asia (exc China),,2015,1000000
East Asia (exc China),,2016,1100000
East Asia (exc China),,2017,1400000
Eastern Africa,,2015,102500000
Eastern Africa,,2016,111900000
Eastern Africa,,2017,116000000
Eastern Asia,,2015,9900000
Eastern Asia,,2016,12900000
Eastern Asia,,2017,16800000
Eastern Europe,,2015,3500000
Eastern Europe,,2016,3100000
Eastern Europe,,2017,2800000
Eastern and South-Eastern Asia,,2015,36200000
Eastern and South-Eastern Asia,,2016,42400000
Eastern and South-Eastern Asia,,2017,49800000
Ecuador,ECU,2015,1100000
Ecuador,ECU,2016,1200000
Ecuador,ECU,2017,1200000
Egypt,EGY,2015,8800000
Egypt,EGY,2016,9700000
Egypt,EGY,2017,9800000
El Salvador,SLV,2015,900000
El Salvador,SLV,2016,800000
El Salvador,SLV,2017,800000
Europe,,2015,11700000
Europe,,2016,10800000
Europe,,2017,9100000
Europe and Northern America,,2015,15300000
Europe and Northern America,,2016,14400000
Europe and Northern America,,2017,12500000
"Europe, Western",,2015,2500000
"Europe, Western",,2016,2300000
"Europe, Western",,2017,1900000
Finland,FIN,2015,100000
Finland,FIN,2016,100000
Finland,FIN,2017,100000
France,FRA,2015,1000000
France,FRA,2016,800000
France,FRA,2017,500000
Gambia,GMB,2016,600000
Gambia,GMB,2017,700000
Georgia,GEO,2015,300000
Georgia,GEO,2016,300000
Georgia,GEO,2017,300000
Germany,DEU,2015,800000
Germany,DEU,2016,700000
Germany,DEU,2017,600000
Ghana,GHA,2015,2200000
Ghana,GHA,2016,2200000
Ghana,GHA,2017,2300000
Greece,GRC,2015,300000
Greece,GRC,2016,300000
Greece,GRC,2017,300000
Guatemala,GTM,2015,2500000
Guatemala,GTM,2016,2700000
Guatemala,GTM,2017,2800000
Guinea,GIN,2015,5000000
Guinea,GIN,2016,5300000
Guinea,GIN,2017,5900000
High income,,2015,21500000
High income,,2016,22400000
High income,,2017,22400000
Honduras,HND,2015,1700000
Honduras,HND,2016,1600000
Honduras,HND,2017,1600000
Hong Kong,HKG,2015,100000
Hungary,HUN,2015,100000
Hungary,HUN,2017,100000
Indonesia,IDN,2016,2900000
Indonesia,IDN,2017,2600000
Ireland,IRL,2015,200000
Ireland,IRL,2016,100000
Ireland,IRL,2017,100000
Italy,ITA,2015,700000
Italy,ITA,2016,600000
Italy,ITA,2017,600000
Japan,JPN,2015,500000
Japan,JPN,2016,500000
Japan,JPN,2017,800000
Kazakhstan,KAZ,2015,200000
Kazakhstan,KAZ,2016,300000
Kazakhstan,KAZ,2017,400000
Kenya,KEN,2015,9000000
Kenya,KEN,2016,9300000
Kenya,KEN,2017,9500000
Kyrgyzstan,KGZ,2015,300000
Kyrgyzstan,KGZ,2016,300000
Kyrgyzstan,KGZ,2017,300000
Land Locked Developing Countries,,2015,83700000
Land Locked Developing Countries,,2016,91800000
Land Locked Developing Countries,,2017,98700000
Least Developed Countries,,2015,194700000
Least Developed Countries,,2016,213000000
Least Developed Countries,,2017,225000000
Lesotho,LSO,2015,1100000
Lesotho,LSO,2016,1100000
Lesotho,LSO,2017,1100000
Liberia,LBR,2015,2800000
Liberia,LBR,2016,2800000
Liberia,LBR,2017,2900000
Low income,,2015,160200000
Low income,,2016,178300000
Low income,,2017,189400000
Lower middle income,,2015,307100000
Lower middle income,,2016,301500000
Lower middle income,,2017,324400000
Macedonia,MKD,2015,100000
Macedonia,MKD,2017,100000
Malawi,MWI,2015,9100000
Malawi,MWI,2016,9400000
Malawi,MWI,2017,9600000
Mauritius,MUS,2015,100000
Mauritius,MUS,2017,100000
Mexico,MEX,2015,11300000
Mexico,MEX,2016,11300000
Mexico,MEX,2017,11500000
Moldova,MDA,2015,100000
Moldova,MDA,2017,100000
Mongolia,MNG,2015,100000
Mongolia,MNG,2016,100000
Mongolia,MNG,2017,200000
Mozambique,MOZ,2015,11100000
Mozambique,MOZ,2016,12100000
Mozambique,MOZ,2017,12600000
Namibia,NAM,2015,1000000
Namibia,NAM,2016,1000000
Namibia,NAM,2017,1000000
Nepal,NPL,2015,2500000
Nepal,NPL,2016,2300000
Nepal,NPL,2017,2300000
Netherlands,NLD,2015,300000
Netherlands,NLD,2016,300000
Netherlands,NLD,2017,200000
New Zealand,NZL,2015,100000
New Zealand,NZL,2016,100000
New Zealand,NZL,2017,200000
Niger,NER,2015,6200000
Niger,NER,2016,8800000
Niger,NER,2017,11100000
Nigeria,NGA,2015,11800000
Nigeria,NGA,2016,12100000
North Africa (exc Sudan),,2015,15600000
North Africa (exc Sudan),,2016,16900000
North Africa (exc Sudan),,2017,17600000
Northern Africa,,2015,18900000
Northern Africa,,2016,20400000
Northern Africa,,2017,21300000
Northern Africa and Western Asia,,2015,42000000
Northern Africa and Western Asia,,2016,45400000
Northern Africa and Western Asia,,2017,47600000
Northern America,,2015,3600000
Northern America,,2016,3600000
Northern America,,2017,3500000
Northern Europe,,2015,3200000
Northern Europe,,2016,2800000
Northern Europe,,2017,1700000
Norway,NOR,2015,100000
Norway,NOR,2017,100000
Palestine,PSE,2017,200000
Philippines,PHL,2015,11400000
Philippines,PHL,2016,13300000
Philippines,PHL,2017,15800000
Poland,POL,2015,600000
Poland,POL,2016,400000
Poland,POL,2017,300000
Portugal,PRT,2015,400000
Portugal,PRT,2016,400000
Portugal,PRT,2017,300000
Romania,ROU,2015,1100000
Romania,ROU,2016,900000
Romania,ROU,2017,800000
Russia,RUS,2015,500000
Russia,RUS,2016,500000
Russia,RUS,2017,400000
Serbia,SRB,2015,100000
Serbia,SRB,2016,200000
Serbia,SRB,2017,100000
Sierra Leone,SLE,2015,4500000
Sierra Leone,SLE,2016,5200000
Sierra Leone,SLE,2017,5500000
Singapore,SGP,2017,100000
South Africa,ZAF,2015,12200000
South Africa,ZAF,2016,14300000
South Africa,ZAF,2017,16600000.000000002
South America,,2015,25000000
South America,,2016,29700000
South America,,2017,34900000
South Asia (exc India),,2015,51000000
South Asia (exc India),,2016,48300000
South Asia (exc India),,2017,48500000
South Eastern Asia,,2015,26300000
South Eastern Asia,,2016,29500000
South Eastern Asia,,2017,33000000
South Korea,KOR,2015,100000
South Korea,KOR,2017,100000
Southern Africa,,2015,15400000
Southern Africa,,2016,17600000
Southern Africa,,2017,20000000
Southern Asia,,2015,222800000
Southern Asia,,2016,208500000
Southern Asia,,2017,223900000
Southern Europe,,2015,2500000
Southern Europe,,2016,2600000
Southern Europe,,2017,2600000
Spain,ESP,2015,500000
Spain,ESP,2016,600000
Spain,ESP,2017,700000
Sub-Saharan Africa,,2015,216300000
Sub-Saharan Africa,,2016,240400000
Sub-Saharan Africa,,2017,256300000
Sub-Saharan Africa (inc. Sudan),,2015,219600000
