Entity,Code,Year,"Critical care beds (per 1,000) (Critical care beds per 1,000)"
Andorra,AND,2011,0.07142857143
Austria,AUT,2011,0.218
Bangladesh,BGD,2017,0.006999999999999999
Belgium,BEL,2011,0.159
Brunei,BRN,2017,0.131
Bulgaria,BGR,2011,0.122
China,CHN,2015,0.036000000000000004
Croatia,HRV,2011,0.147
Cyprus,CYP,2011,0.114
Czech Republic,CZE,2011,0.11599999999999999
Denmark,DNK,2011,0.067
Estonia,EST,2011,0.146
Finland,FIN,2011,0.061
France,FRA,2011,0.11599999999999999
Germany,DEU,2011,0.292
Greece,GRC,2011,0.06
Hong Kong,HKG,2017,0.071
Hungary,HUN,2011,0.138
Iceland,ISL,2011,0.091
India,IND,2017,0.023
Indonesia,IDN,2017,0.027000000000000003
Iran,IRN,2014,0.046
Ireland,IRL,2011,0.065
Italy,ITA,2011,0.125
Japan,JPN,2017,0.073
Kazakhstan,KAZ,2016,0.21300000000000002
Laos,LAO,2017,0.021
Latvia,LVA,2011,0.09699999999999999
Lithuania,LTU,2011,0.155
Luxembourg,LUX,2011,0.14800000000000002
Malaysia,MYS,2016,0.034
Mongolia,MNG,2017,0.08800000000000001
Myanmar,MMR,2018,0.011000000000000001
Nepal,NPL,2017,0.027999999999999997
Netherlands,NLD,2011,0.064
Norway,NOR,2011,0.08
Oman,OMN,2017,0.146
Pakistan,PAK,2016,0.015
Philippines,PHL,2016,0.022000000000000002
Poland,POL,2011,0.069
Portugal,PRT,2011,0.042
Romania,ROU,2011,0.214
Saudi Arabia,SAU,2016,0.228
Singapore,SGP,2017,0.114
Slovakia,SVK,2011,0.092
Slovenia,SVN,2011,0.064
South Korea,KOR,2016,0.106
Spain,ESP,2011,0.09699999999999999
Sri Lanka,LKA,2015,0.023
Sweden,SWE,2011,0.057999999999999996
Switzerland,CHE,2011,0.11
Taiwan,TWN,2017,0.28500000000000003
Thailand,THA,2017,0.10400000000000001
United Kingdom,GBR,2011,0.066
