Entity,Code,Year,"Annual freshwater withdrawals, industry (% of total freshwater withdrawal) (% of total freshwater withdrawal)"
Afghanistan,AFG,1987,0
Afghanistan,AFG,2000,0.6336
Albania,ALB,1990,8.333
Albania,ALB,2000,12.37
Albania,ALB,2006,17.68
Algeria,DZA,1980,4
Algeria,DZA,1990,15.11
Algeria,DZA,2001,8.737
Algeria,DZA,2012,4.926
Angola,AGO,1987,10
Angola,AGO,2000,28.81
Angola,AGO,2005,33.95
Antigua and Barbuda,ATG,1990,20
Antigua and Barbuda,ATG,2005,21.43
Antigua and Barbuda,ATG,2012,21.74
Arab World,,2015,3.442
Argentina,ARG,1995,8.747
Argentina,ARG,2011,10.59
Armenia,ARM,1995,4.103
Armenia,ARM,2002,4.42
Armenia,ARM,2007,4.374
Armenia,ARM,2012,3.434
Armenia,ARM,2015,3.82
Australia,AUS,2001,10.26
Australia,AUS,2005,12.43
Australia,AUS,2012,16.78
Australia,AUS,2015,15.94
Austria,AUT,1980,80.61
Austria,AUT,1985,74.61
Austria,AUT,1990,79.38
Austria,AUT,1997,78.4
Austria,AUT,2002,79.03
Austria,AUT,2010,77.18
Azerbaijan,AZE,1997,17.04
Azerbaijan,AZE,2002,19.63
Azerbaijan,AZE,2005,19.33
Bahrain,BHR,1990,4.184
Bahrain,BHR,2003,5.68
Bangladesh,BGD,2008,2.147
Barbados,BRB,1996,7.654
Barbados,BRB,2005,7.654
Belarus,BLR,1995,33.33
Belarus,BLR,2000,29.64
Belarus,BLR,2005,28.96
Belarus,BLR,2010,31.49
Belarus,BLR,2013,31.57
Belgium,BEL,1980,85.01
Belgium,BEL,1997,88.43
Belgium,BEL,2002,88.51
Belgium,BEL,2007,87.66
Belgium,BEL,2009,87.53
Belize,BLZ,1987,0
Belize,BLZ,2000,20.99
Benin,BEN,1985,13.64
Benin,BEN,2001,23.08
Bhutan,BTN,2008,0.8876
Bolivia,BOL,1987,5
Bolivia,BOL,2009,1.533
Bosnia and Herzegovina,BIH,2012,14.83
Botswana,BWA,1992,20.35
Botswana,BWA,1995,19.18
Botswana,BWA,2000,18.04
Brazil,BRA,1996,18.12
Brazil,BRA,2006,17.46
Brazil,BRA,2010,17
Bulgaria,BGR,1990,64.75
Bulgaria,BGR,2002,72.48
Bulgaria,BGR,2012,66.79
Bulgaria,BGR,2015,69.3
Burkina Faso,BFA,1985,0
Burkina Faso,BFA,1992,0
Burkina Faso,BFA,2001,2.25
Burkina Faso,BFA,2005,2.653
Burundi,BDI,1987,0
Burundi,BDI,2000,5.903
Cambodia,KHM,2006,1.511
Cameroon,CMR,1987,19.19
Cameroon,CMR,1992,19
Cameroon,CMR,2000,7.067
Canada,CAN,1991,79.84
Canada,CAN,1996,77.97
Canada,CAN,2007,80.15
Cape Verde,CPV,2001,1.818
Caribbean small states,,2014,0
Central African Republic,CAF,1987,20.62
Central African Republic,CAF,2000,16.62
Central African Republic,CAF,2005,16.55
Central Europe and the Baltics,,2014,96.22
Central Europe and the Baltics,,2015,69.3
Chad,TCD,1987,2.21
Chad,TCD,2002,10.42
Chad,TCD,2005,11.79
Chile,CHL,1992,10.9
Chile,CHL,2006,13.39
China,CHN,1980,10.31
China,CHN,1985,7.518
China,CHN,1990,10
China,CHN,1993,17.62
China,CHN,2000,20.72
China,CHN,2007,24.56
China,CHN,2012,23.6
China,CHN,2015,22.32
Colombia,COL,2000,4.635
Colombia,COL,2008,19.05
Comoros,COM,1999,5
Congo,COG,1987,27
Congo,COG,2002,21.74
Costa Rica,CRI,2013,11.06
Cote d'Ivoire,CIV,1987,11
Cote d'Ivoire,CIV,1994,21.92
Cote d'Ivoire,CIV,2000,19.13
Cote d'Ivoire,CIV,2005,20.53
Croatia,HRV,2012,22.07
Croatia,HRV,2013,19.88
Cuba,CUB,1995,14.68
Cuba,CUB,2007,15.41
Cuba,CUB,2013,10.63
Cyprus,CYP,1975,0
Cyprus,CYP,1980,0
Cyprus,CYP,1985,0
Cyprus,CYP,1990,2.212
Cyprus,CYP,1993,2.37
Cyprus,CYP,2002,1.665
Cyprus,CYP,2007,3.693
Cyprus,CYP,2012,2.346
Czech Republic,CZE,1997,60.73
Democratic Republic of Congo,COD,2000,21.04
Democratic Republic of Congo,COD,2005,21.47
Denmark,DNK,1970,11.11
Denmark,DNK,1975,3.734
Denmark,DNK,1980,3.734
Denmark,DNK,1985,19.35
Denmark,DNK,1990,17.84
Denmark,DNK,2002,9.268
Denmark,DNK,2007,7.411
Denmark,DNK,2012,19.63
Djibouti,DJI,1985,0
Djibouti,DJI,2000,0
Dominica,DMA,2010,0
Dominican Republic,DOM,2000,1.336
Dominican Republic,DOM,2005,4.735
Dominican Republic,DOM,2010,8.189
Early-demographic dividend,,2014,0
Early-demographic dividend,,2015,9.06256129270204
East Asia & Pacific,,2015,22.1449823229017
East Asia & Pacific (IDA & IBRD),,2015,22.32
East Asia & Pacific (excluding high income),,2015,22.32
Ecuador,ECU,2000,4.111
