Entity,Code,Year,Number of executions (Amnesty International)
Afghanistan,AFG,2007,15
Afghanistan,AFG,2008,17
Afghanistan,AFG,2009,0
Afghanistan,AFG,2011,2
Afghanistan,AFG,2012,14
Afghanistan,AFG,2013,2
Afghanistan,AFG,2014,6
Afghanistan,AFG,2015,1
Afghanistan,AFG,2016,6
Bahrain,BHR,2007,0
Bahrain,BHR,2008,1
Bahrain,BHR,2009,0
Bahrain,BHR,2010,1
Bangladesh,BGD,2007,6
Bangladesh,BGD,2008,5
Bangladesh,BGD,2009,3
Bangladesh,BGD,2010,9
Bangladesh,BGD,2011,5
Bangladesh,BGD,2012,1
Bangladesh,BGD,2013,2
Bangladesh,BGD,2015,4
Bangladesh,BGD,2016,10
Belarus,BLR,2007,1
Belarus,BLR,2008,4
Belarus,BLR,2009,0
Belarus,BLR,2010,2
Belarus,BLR,2011,2
Belarus,BLR,2012,3
Belarus,BLR,2014,3
Belarus,BLR,2016,4
Botswana,BWA,2007,1
Botswana,BWA,2008,1
Botswana,BWA,2009,1
Botswana,BWA,2010,1
Botswana,BWA,2012,2
Botswana,BWA,2013,1
Botswana,BWA,2016,1
Chad,TCD,2007,0
Chad,TCD,2008,0
Chad,TCD,2009,0
Chad,TCD,2015,10
China,CHN,2007,470
China,CHN,2008,>1000
China,CHN,2009,>1000
China,CHN,2010,>1000
China,CHN,2011,>1000
China,CHN,2012,>1000
China,CHN,2013,>1000
China,CHN,2014,>1000
China,CHN,2015,>1000
China,CHN,2016,>1000
Egypt,EGY,2008,2
Egypt,EGY,2009,5
Egypt,EGY,2010,4
Egypt,EGY,2011,1
Egypt,EGY,2014,15
Egypt,EGY,2015,22
Egypt,EGY,2016,44
Equatorial Guinea,GNQ,2007,3
Equatorial Guinea,GNQ,2010,4
Equatorial Guinea,GNQ,2014,9
Ethiopia,ETH,2007,1
Ethiopia,ETH,2008,0
Ethiopia,ETH,2009,0
Gambia,GMB,2007,0
Gambia,GMB,2008,0
Gambia,GMB,2009,0
Gambia,GMB,2012,9
India,IND,2007,0
India,IND,2008,0
India,IND,2009,0
India,IND,2012,1
India,IND,2013,1
India,IND,2015,1
Indonesia,IDN,2007,1
Indonesia,IDN,2008,10
Indonesia,IDN,2009,0
Indonesia,IDN,2013,5
Indonesia,IDN,2015,14
Indonesia,IDN,2016,4
Iran,IRN,2007,317
Iran,IRN,2008,346
Iran,IRN,2009,388
Iran,IRN,2010,252
Iran,IRN,2011,360
Iran,IRN,2012,314
Iran,IRN,2013,369
Iran,IRN,2014,289
Iran,IRN,2015,977
Iran,IRN,2016,156
Iraq,IRQ,2007,33
Iraq,IRQ,2008,34
Iraq,IRQ,2009,120
Iraq,IRQ,2010,1
Iraq,IRQ,2011,68
Iraq,IRQ,2012,129
Iraq,IRQ,2013,169
Iraq,IRQ,2014,61
Iraq,IRQ,2015,26
Iraq,IRQ,2016,88
Jamaica,JAM,2007,0
Jamaica,JAM,2008,0
Jamaica,JAM,2009,0
Japan,JPN,2007,9
Japan,JPN,2008,15
Japan,JPN,2009,7
Japan,JPN,2010,2
Japan,JPN,2012,7
Japan,JPN,2013,8
Japan,JPN,2014,3
Japan,JPN,2015,3
Japan,JPN,2016,3
Jordan,JOR,2007,0
Jordan,JOR,2008,0
Jordan,JOR,2009,0
Jordan,JOR,2014,11
Jordan,JOR,2015,2
Kenya,KEN,2007,0
Kenya,KEN,2008,0
Kenya,KEN,2009,0
Kuwait,KWT,2007,1
Kuwait,KWT,2008,0
Kuwait,KWT,2009,0
Kuwait,KWT,2013,5
Libya,LBY,2007,9
Libya,LBY,2008,8
Libya,LBY,2009,4
Libya,LBY,2010,18
Malaysia,MYS,2007,0
Malaysia,MYS,2008,1
Malaysia,MYS,2010,1
Malaysia,MYS,2013,2
Malaysia,MYS,2014,2
Malaysia,MYS,2015,>1
Malaysia,MYS,2016,9
Mongolia,MNG,2007,0
Mongolia,MNG,2008,1
Mongolia,MNG,2009,0
Nigeria,NGA,2007,0
Nigeria,NGA,2008,0
Nigeria,NGA,2009,0
Nigeria,NGA,2013,4
Nigeria,NGA,2016,3
North Korea,PRK,2008,15
North Korea,PRK,2010,60
North Korea,PRK,2011,30
North Korea,PRK,2012,6
North Korea,PRK,2013,>1
North Korea,PRK,2014,>1
North Korea,PRK,2015,>1
North Korea,PRK,2016,>1
Oman,OMN,2009,4
Oman,OMN,2015,2
Pakistan,PAK,2007,135
Pakistan,PAK,2008,36
Pakistan,PAK,2009,0
Pakistan,PAK,2012,1
Pakistan,PAK,2014,7
Pakistan,PAK,2015,326
Pakistan,PAK,2016,87
Palestine,PSE,2009,0
Palestine,PSE,2010,5
Palestine,PSE,2011,3
Palestine,PSE,2012,6
Palestine,PSE,2013,3
Palestine,PSE,2014,2
Palestine,PSE,2016,3
Saudi Arabia,SAU,2007,143
Saudi Arabia,SAU,2008,102
Saudi Arabia,SAU,2009,69
Saudi Arabia,SAU,2010,27
Saudi Arabia,SAU,2011,82
Saudi Arabia,SAU,2012,79
Saudi Arabia,SAU,2013,79
Saudi Arabia,SAU,2014,90
Saudi Arabia,SAU,2015,158
Saudi Arabia,SAU,2016,154
Singapore,SGP,2007,2
Singapore,SGP,2008,1
Singapore,SGP,2009,1
Singapore,SGP,2014,2
Singapore,SGP,2015,4
Singapore,SGP,2016,4
Somalia,SOM,2007,5
Somalia,SOM,2009,0
Somalia,SOM,2010,8
Somalia,SOM,2011,10
Somalia,SOM,2012,6
Somalia,SOM,2013,34
Somalia,SOM,2014,14
Somalia,SOM,2015,25
Somalia,SOM,2016,14
South Sudan,SSD,2011,5
South Sudan,SSD,2012,5
South Sudan,SSD,2013,4
South Sudan,SSD,2015,5
South Sudan,SSD,2016,>1
Sudan,SDN,2007,7
Sudan,SDN,2008,1
Sudan,SDN,2009,9
Sudan,SDN,2010,6
Sudan,SDN,2011,7
Sudan,SDN,2012,19
Sudan,SDN,2013,21
Sudan,SDN,2014,23
Sudan,SDN,2015,3
Sudan,SDN,2016,2
Syria,SYR,2007,7
Syria,SYR,2008,1
Syria,SYR,2009,8
Syria,SYR,2010,17
Taiwan,TWN,2007,0
Taiwan,TWN,2008,0
Taiwan,TWN,2009,0
Taiwan,TWN,2010,4
Taiwan,TWN,2011,5
Taiwan,TWN,2012,6
Taiwan,TWN,2013,6
Taiwan,TWN,2014,5
Taiwan,TWN,2015,6
Taiwan,TWN,2016,1
Thailand,THA,2007,0
Thailand,THA,2008,0
Thailand,THA,2009,2
United Arab Emirates,ARE,2007,0
United Arab Emirates,ARE,2008,1
United Arab Emirates,ARE,2009,0
United Arab Emirates,ARE,2011,1
United Arab Emirates,ARE,2012,1
United Arab Emirates,ARE,2014,1
United Arab Emirates,ARE,2015,1
United States,USA,2007,42
United States,USA,2008,37
United States,USA,2009,52
United States,USA,2010,46
United States,USA,2011,43
United States,USA,2012,43
United States,USA,2013,39
