Entity,Code,Year,Upper secondary (%),Primary school (%),Lower secondary (%)
Albania,ALB,2017,11.90476,,
Andorra,AND,2016,100,100,100
Andorra,AND,2017,100,100,100
Bahrain,BHR,2016,100,100,100
Bahrain,BHR,2017,100,100,100
Bangladesh,BGD,2016,12.17031,,10.12802
Bangladesh,BGD,2017,12.24936,,8.83276
Bermuda,BMU,2016,100,100,100
British Virgin Islands,VGB,2016,100,62.96296,100
British Virgin Islands,VGB,2017,100,62.96296,100
Burkina Faso,BFA,2016,18.67525,1.94473,18.62714
Burkina Faso,BFA,2017,,2.27006,
Cayman Islands,CYM,2018,100,100,100
Cook Islands,COK,2016,0,4.16667,4.54545
Costa Rica,CRI,2016,60.65141,60.45116,61.10582
Democratic Republic of Congo,COD,2015,0,0,0
Dominica,DMA,2016,53.33333,1.66667,6.66667
El Salvador,SLV,2016,,25.33758,34.04776
El Salvador,SLV,2017,30.0679,28.31393,30.02443
Finland,FIN,2000,100,100,100
Finland,FIN,2001,100,100,100
Finland,FIN,2002,100,100,100
Finland,FIN,2003,100,100,100
Finland,FIN,2004,100,100,100
Finland,FIN,2005,100,100,100
Finland,FIN,2006,100,100,100
Finland,FIN,2007,100,100,100
Finland,FIN,2008,100,100,100
Finland,FIN,2009,100,100,100
Finland,FIN,2010,100,100,100
Finland,FIN,2011,100,100,100
Finland,FIN,2012,100,100,100
Finland,FIN,2013,100,100,100
Finland,FIN,2014,100,100,100
Finland,FIN,2015,100,100,100
Finland,FIN,2016,100,100,100
Finland,FIN,2017,100,100,100
Gibraltar,GIB,2016,100,100,100
Gibraltar,GIB,2017,100,100,100
Honduras,HND,2016,,5.42878,
Hong Kong,HKG,2016,92.29508,96.02544,92.32026
Hong Kong,HKG,2017,94.15693,95.56962,94.17637
India,IND,2016,50.26469,63.59135,65.4581
India,IND,2017,51.32751,63.07083,63.89188
Jamaica,JAM,2016,13.23077,11.69725,6.76471
Jamaica,JAM,2017,13.23077,11.68385,6.76471
Kazakhstan,KAZ,2017,59.8474,4.33864,8.99199
Kazakhstan,KAZ,2018,77.29908,6.71618,11.98026
Latvia,LVA,2016,17.2043,17.67956,17.29428
Liberia,LBR,2016,4.33925,0.36174,1.49347
Macao,MAC,2016,75.60976,60,72.72727
Macao,MAC,2017,75.60976,60,72.72727
Malaysia,MYS,2017,27.38341,14.7432,31.25
Maldives,MDV,2017,100,100,100
Marshall Islands,MHL,2016,,21.2766,
Mauritius,MUS,2016,36.57143,37.10692,36.57143
Mauritius,MUS,2017,34.65909,31.13208,34.65909
Moldova,MDA,2016,89.3424,100,100
Moldova,MDA,2017,100,100,100
Monaco,MCO,2016,100,100,100
Monaco,MCO,2017,100,100,100
Morocco,MAR,2017,35.22367,17.30172,30.61798
Nauru,NRU,2016,100,,
Niger,NER,2016,0,0,0
Niue,NIU,2016,100,100,100
Palestine,PSE,2016,47.70833,38.60045,45.92985
Palestine,PSE,2017,44.47884,31.10647,40.66007
Peru,PER,2016,27.66793,16.23214,27.66793
Peru,PER,2017,31.12343,19.33824,31.12343
Peru,PER,2018,44.96624,30.08277,44.96624
Qatar,QAT,2017,100,100,100
Rwanda,RWA,2017,,18.1439,
Saint Lucia,LCA,2016,,,7.40741
Saint Lucia,LCA,2017,7.40741,,7.40741
Saint Vincent and the Grenadines,VCT,2017,100,100,100
Samoa,WSM,2016,0,,
Samoa,WSM,2017,43.90244,0,0
Saudi Arabia,SAU,2017,100,100,100
Seychelles,SYC,2016,0,7.14286,0
Seychelles,SYC,2017,6.66667,7.14286,7.14286
Sierra Leone,SLE,2017,3.74065,4.59358,6.57354
Slovakia,SVK,2014,10.2,14.6,21.4
Slovakia,SVK,2015,8.9,14.6,21.5
Slovakia,SVK,2016,9.2,14.4,21.2
Swaziland,SWZ,2016,11.03448,12.05788,11.03448
Ukraine,UKR,2016,78.84776,62.8041,78.52408
Ukraine,UKR,2017,79.27706,62.78626,77.25029
Uruguay,URY,2015,100,100,100
Uruguay,URY,2016,100,100,100
Uzbekistan,UZB,2017,30.01277,13.1648,12.96622
Zambia,ZMB,2016,14.10106,4.48827,
