Entity,Code,Year,Wind (%)
Africa,,1994,170.00000000000003
Africa,,1995,16.666707587047867
Africa,,1996,12.69840824449522
Africa,,1997,1.4084191433460402
Africa,,1998,5.555555555555558
Africa,,1999,160.52637393948905
Africa,,2000,788.8889360093176
Africa,,2001,136.40908838551303
Africa,,2002,6.845799085098814
Africa,,2003,21.734328295120875
Africa,,2004,42.15372987578241
Africa,,2005,1.7018467622140099
Africa,,2006,8.958280843987176
Africa,,2007,19.213682145760067
Africa,,2008,29.11419213478088
Africa,,2009,21.16302130744736
Africa,,2010,43.667676013054724
Africa,,2011,11.090773414317766
Africa,,2012,16.718199942762336
Africa,,2013,20.193160152022305
Africa,,2014,44.87417616480711
Africa,,2015,72.32486704705371
Africa,,2016,27.203730908586856
Africa,,2017,13.191050024086826
Africa,,2018,14.770585714193452
Algeria,DZA,2015,1800.0004419401168
Algeria,DZA,2016,0.27397954887693476
Algeria,DZA,2017,-0.27323095194740077
Algeria,DZA,2018,-47.368410034736485
Argentina,ARG,1997,51.71551531626408
Argentina,ARG,1998,123.00574291766382
Argentina,ARG,1999,6.883621656132122
Argentina,ARG,2000,-0.06612391015942132
Argentina,ARG,2001,42.01333804797005
Argentina,ARG,2002,48.71052557832669
Argentina,ARG,2003,6.197123961323614
Argentina,ARG,2004,-7.065705254127696
Argentina,ARG,2005,-1.002591210746373
Argentina,ARG,2006,-2.8997118688006474
Argentina,ARG,2007,-11.555138266489696
Argentina,ARG,2008,-31.889859768557848
Argentina,ARG,2009,-12.203624699670279
Argentina,ARG,2010,-31.168737047123262
Argentina,ARG,2011,4.887041361570144
Argentina,ARG,2012,1290.9528654705223
Argentina,ARG,2013,22.574062308065244
Argentina,ARG,2014,36.64593247712959
Argentina,ARG,2015,-4.222182039221833
Argentina,ARG,2016,-7.748735960721986
Argentina,ARG,2017,11.730509508998011
Argentina,ARG,2018,130.99673108624538
Australia,AUS,1994,175.0001104850293
Australia,AUS,1995,27.27267613918052
Australia,AUS,1996,0
Australia,AUS,1997,7.142888710008388
Australia,AUS,1998,139.9999882149337
Australia,AUS,1999,138.888903893025
Australia,AUS,2000,211.62789311383503
Australia,AUS,2001,114.17910403458902
Australia,AUS,2002,85.90592356975665
Australia,AUS,2003,31.955768262517203
Australia,AUS,2004,12.91811679438788
Australia,AUS,2005,63.40251562142549
Australia,AUS,2006,66.4370114116525
Australia,AUS,2007,31.913417648137752
Australia,AUS,2008,21.259773390132363
Australia,AUS,2009,28.316153166343483
Australia,AUS,2010,12.331699670209439
Australia,AUS,2011,29.02708126226228
Australia,AUS,2012,20.102611899341973
Australia,AUS,2013,19.85760518138533
Australia,AUS,2014,5.594556645209625
Australia,AUS,2015,20.711874836628972
Australia,AUS,2016,10.37443653707859
Australia,AUS,2017,1.2861505445406207
Australia,AUS,2018,23.28763300464043
Austria,AUT,1996,400
Austria,AUT,1997,300.0000883880234
Austria,AUT,1998,125.00001657275077
Austria,AUT,1999,13.333329404977912
Austria,AUT,2000,31.372549529342542
Austria,AUT,2001,156.71641613835598
Austria,AUT,2002,18.023256321861815
Austria,AUT,2003,80.29556729606544
Austria,AUT,2004,152.45901574021224
Austria,AUT,2005,44.07757137516353
Austria,AUT,2006,31.66255419262285
Austria,AUT,2007,16.22507338929957
Austria,AUT,2008,-1.2727130953279264
Austria,AUT,2009,-2.8448493127046004
Austria,AUT,2010,5.622891945430464
Austria,AUT,2011,-6.186177952642968
Austria,AUT,2012,27.155396566049617
Austria,AUT,2013,28.07450838918961
Austria,AUT,2014,21.9627534280032
