Entity,Code,Year,"8.8.1 - Fatal occupational injuries among employees, by sex and migrant status (per 100,000 employees) - SL_EMP_FTLINJUR - No breakdown - Both sexes (per 100,000 employees)"
Algeria,DZA,2000,27280
Algeria,DZA,2001,23240
Algeria,DZA,2002,20880
Algeria,DZA,2003,19030
Algeria,DZA,2004,17590
Argentina,ARG,2000,18590
Argentina,ARG,2002,15210
Argentina,ARG,2003,15220
Argentina,ARG,2004,15010
Argentina,ARG,2005,14280
Argentina,ARG,2006,14910
Argentina,ARG,2007,14070
Argentina,ARG,2009,10580
Argentina,ARG,2010,10930
Argentina,ARG,2011,7670
Argentina,ARG,2012,6780
Argentina,ARG,2014,4740
Argentina,ARG,2015,4850
Argentina,ARG,2016,4220
Argentina,ARG,2017,4370
Armenia,ARM,2013,1870
Australia,AUS,2000,2000
Australia,AUS,2001,2600
Australia,AUS,2002,2400
Australia,AUS,2003,2300
Australia,AUS,2004,2100
Australia,AUS,2005,2000
Australia,AUS,2006,2100
Australia,AUS,2007,2000
Australia,AUS,2008,2100
Australia,AUS,2009,2650
Australia,AUS,2010,1960
Australia,AUS,2011,2000
Australia,AUS,2012,2009.9999999999998
Australia,AUS,2013,1710
Australia,AUS,2014,1610
Australia,AUS,2015,1650
Australia,AUS,2017,1620
Austria,AUT,2000,5300
Austria,AUT,2001,4500
Austria,AUT,2002,4700
Austria,AUT,2003,3800
Austria,AUT,2004,5000
Austria,AUT,2005,4600
Austria,AUT,2006,3900
Austria,AUT,2007,3900
Austria,AUT,2008,4100
Austria,AUT,2009,4830
Austria,AUT,2010,4470
Austria,AUT,2011,3030
Austria,AUT,2012,3440
Austria,AUT,2013,3450
Austria,AUT,2014,3090
Austria,AUT,2015,3230
Austria,AUT,2016,2000
Azerbaijan,AZE,2000,4000
Azerbaijan,AZE,2001,3000
Azerbaijan,AZE,2002,6000
Azerbaijan,AZE,2003,6000
Azerbaijan,AZE,2004,8000
Azerbaijan,AZE,2005,6000
Azerbaijan,AZE,2006,8000
Azerbaijan,AZE,2007,13000
Azerbaijan,AZE,2008,7000
Azerbaijan,AZE,2016,4000
Azerbaijan,AZE,2017,4000
Bahrain,BHR,2000,10000
Bahrain,BHR,2001,5900
Bahrain,BHR,2002,7500
Bahrain,BHR,2003,10000
Bahrain,BHR,2004,5000
Bahrain,BHR,2005,10000
Bahrain,BHR,2006,8000
Bahrain,BHR,2007,7000
Bahrain,BHR,2008,5000
Barbados,BRB,2016,750
Belarus,BLR,2000,6400
Belarus,BLR,2001,5800
Belarus,BLR,2002,5900
Belarus,BLR,2003,5600
Belarus,BLR,2004,6400
Belarus,BLR,2005,6100
Belarus,BLR,2006,5800
Belarus,BLR,2007,5400
Belarus,BLR,2008,5100
Belarus,BLR,2009,4900
Belarus,BLR,2010,5100
Belarus,BLR,2011,4400
Belarus,BLR,2012,3900
Belarus,BLR,2013,3800
Belarus,BLR,2014,3000
Belarus,BLR,2015,2000
Belarus,BLR,2016,2270
Belarus,BLR,2017,2200
Belgium,BEL,2009,2120
Belgium,BEL,2010,2220
Belgium,BEL,2011,2840
Belgium,BEL,2012,1780
Belgium,BEL,2013,2460
Belgium,BEL,2014,1560
Belgium,BEL,2015,1630
Belize,BLZ,2011,4500
Belize,BLZ,2012,6700
Brazil,BRA,2000,11530
Brazil,BRA,2011,7430
Bulgaria,BGR,2000,7300
Bulgaria,BGR,2001,7300
Bulgaria,BGR,2002,6000
Bulgaria,BGR,2003,5200
Bulgaria,BGR,2004,6000
Bulgaria,BGR,2005,5800
Bulgaria,BGR,2006,7200
Bulgaria,BGR,2007,7100
Bulgaria,BGR,2008,6400
Bulgaria,BGR,2009,3260
Bulgaria,BGR,2010,3600
Bulgaria,BGR,2011,3630
Bulgaria,BGR,2012,3820
Bulgaria,BGR,2013,3390
Bulgaria,BGR,2014,4450
Bulgaria,BGR,2015,3570
Bulgaria,BGR,2016,3000
Burkina Faso,BFA,2000,4400
Chile,CHL,2000,11970
Chile,CHL,2001,10210
Chile,CHL,2002,11390
Chile,CHL,2003,11560
Chile,CHL,2004,9280
Chile,CHL,2009,6900
Chile,CHL,2011,5500
Chile,CHL,2012,6000
Chile,CHL,2013,5120
Chile,CHL,2017,3410
Colombia,COL,2011,4030.0000000000005
Colombia,COL,2012,3500
Colombia,COL,2013,8950
Colombia,COL,2014,4000
Colombia,COL,2015,18040
Colombia,COL,2017,0
Costa Rica,CRI,2000,9600
Costa Rica,CRI,2001,9500
Costa Rica,CRI,2002,7500
Costa Rica,CRI,2003,7000
Costa Rica,CRI,2004,6100
Costa Rica,CRI,2005,6400
Costa Rica,CRI,2006,7200
Costa Rica,CRI,2007,9900
Costa Rica,CRI,2008,9100
Costa Rica,CRI,2009,10540
Costa Rica,CRI,2010,9340
Costa Rica,CRI,2011,10210
Costa Rica,CRI,2012,9560
Costa Rica,CRI,2013,8300
Costa Rica,CRI,2014,5840
Costa Rica,CRI,2015,6160
Costa Rica,CRI,2016,9720
Croatia,HRV,2000,3080
Croatia,HRV,2001,3220
Croatia,HRV,2002,3310
Croatia,HRV,2003,3400
Croatia,HRV,2004,2700
Croatia,HRV,2005,4300
Croatia,HRV,2006,5000
Croatia,HRV,2007,4700
Croatia,HRV,2008,5200
Croatia,HRV,2009,2370
Croatia,HRV,2010,2650
Croatia,HRV,2011,2620
Croatia,HRV,2012,3870
Croatia,HRV,2013,2090
Croatia,HRV,2014,2020
Croatia,HRV,2015,2240
Croatia,HRV,2016,2710
Cuba,CUB,2009,23000
Cuba,CUB,2010,25000
Cyprus,CYP,2000,2300
Cyprus,CYP,2001,3900
Cyprus,CYP,2002,7000
Cyprus,CYP,2003,3200
Cyprus,CYP,2004,5400
Cyprus,CYP,2005,5000
Cyprus,CYP,2006,6000
Cyprus,CYP,2007,5000
Cyprus,CYP,2008,3900
Cyprus,CYP,2009,2620
Cyprus,CYP,2010,4930
Cyprus,CYP,2011,1800
Cyprus,CYP,2012,3050
Cyprus,CYP,2013,3010
Cyprus,CYP,2014,2080
Cyprus,CYP,2015,1940
Cyprus,CYP,2016,1590
Czech Republic,CZE,2000,4900
Czech Republic,CZE,2001,5200
Czech Republic,CZE,2002,4600
Czech Republic,CZE,2003,4500
Czech Republic,CZE,2004,4200
Czech Republic,CZE,2005,3700
Czech Republic,CZE,2006,3400
Czech Republic,CZE,2007,4100
Czech Republic,CZE,2008,3800
Czech Republic,CZE,2009,2090
Czech Republic,CZE,2010,2480
Czech Republic,CZE,2011,3200
Czech Republic,CZE,2012,2370
Czech Republic,CZE,2013,2310
Czech Republic,CZE,2014,2410
Czech Republic,CZE,2015,2550
Denmark,DNK,2000,2000
Denmark,DNK,2001,2000
Denmark,DNK,2009,1410
Denmark,DNK,2010,1530
Denmark,DNK,2011,1640
Denmark,DNK,2012,1710
Denmark,DNK,2013,1490
Denmark,DNK,2014,1400
Denmark,DNK,2015,980
Dominican Republic,DOM,2008,17930
Egypt,EGY,2000,7000
Egypt,EGY,2001,7000
Egypt,EGY,2002,7000
Egypt,EGY,2003,6500
Egypt,EGY,2011,12980
Egypt,EGY,2012,11590
Egypt,EGY,2014,11190
Egypt,EGY,2015,10700
El Salvador,SLV,2000,47600
El Salvador,SLV,2001,44600
El Salvador,SLV,2002,33100
El Salvador,SLV,2003,35100
El Salvador,SLV,2009,150
El Salvador,SLV,2010,140
Estonia,EST,2000,4400
Estonia,EST,2001,6230
Estonia,EST,2002,5980
Estonia,EST,2003,5220
Estonia,EST,2004,5710
Estonia,EST,2005,3950
Estonia,EST,2006,4300
Estonia,EST,2007,3200
Estonia,EST,2008,3200
Estonia,EST,2009,3470
Estonia,EST,2010,3430
Estonia,EST,2011,3120
Estonia,EST,2012,2400
