Entity,Code,Year,Polio Case Rate,Polio Death Rate
United States,USA,1910,6.317979454,1.02407106
United States,USA,1911,2.049154233,0.466922767
United States,USA,1913,1.981435567,0.431325943
United States,USA,1914,1.226069042,0.330636651
United States,USA,1915,1.618767399,0.684558306
United States,USA,1916,26.73107733,6.965339377
United States,USA,1917,3.931918665,1.138541857
United States,USA,1918,2.375235809,0.914651575
United States,USA,1919,1.83174841,0.708238127
United States,USA,1920,2.175316473,0.719491771
United States,USA,1921,5.750523109,1.465621673
United States,USA,1922,2.011150936,0.715035661
United States,USA,1923,2.906030057,0.756315232
United States,USA,1924,4.538312471,0.941880969
United States,USA,1925,5.096143923,1.283065598
United States,USA,1926,2.144972297,0.722061481
United States,USA,1927,8.814078425,1.684490636
United States,USA,1928,4.226632829,1.14159592
United States,USA,1929,2.320749315,0.664239846
United States,USA,1930,7.429569493,1.107804768
United States,USA,1931,12.66919676,1.681737582
United States,USA,1932,3.011894512,0.66009758
United States,USA,1933,3.949120304,0.631637343
United States,USA,1934,5.921498212,0.670982375
United States,USA,1935,8.477307034,0.813396007
United States,USA,1936,3.514893419,0.606150092
United States,USA,1937,7.346443799,1.106871408
United States,USA,1938,1.312118704,0.3663509
United States,USA,1939,5.582374809,0.574734489
United States,USA,1940,7.408189268,0.756953188
United States,USA,1941,6.784546228,
United States,USA,1942,2.978889989,
United States,USA,1943,9.068855994,0.812255959
United States,USA,1944,13.69613566,1.031402722
United States,USA,1945,9.695032533,0.846419978
United States,USA,1946,17.74763985,1.299845005
United States,USA,1947,7.418721663,0.400862546
United States,USA,1948,18.80396459,1.453774719
United States,USA,1949,28.06503305,1.816118048
United States,USA,1950,21.1009179,1.206490921
United States,USA,1951,17.73849266,0.96922434
United States,USA,1952,35.61122882,1.935025046
United States,USA,1953,21.53696853,0.877405157
United States,USA,1954,22.88162609,0.813547783
United States,USA,1955,16.93521006,0.609398796
United States,USA,1956,8.690567161,0.324891745
United States,USA,1957,3.09379644,0.124654332
United States,USA,1958,3.208701853,0.141389143
United States,USA,1959,4.594459369,0.247582736
United States,USA,1960,1.712051093,0.12343942
United States,USA,1961,0.693472937,0.047570552
United States,USA,1962,0.47407197,0.031257493
United States,USA,1963,0.230738269,0.021069641
United States,USA,1964,0.061899231,0.008625303
United States,USA,1965,0.036098819,0.00802196
United States,USA,1966,0.065953529,0.004463021
United States,USA,1967,0.020125877,0.007854001
United States,USA,1968,0.025769123,0.011669037
United States,USA,1969,0.009635124,0.006262831
United States,USA,1970,0.015754507,0.003341865
United States,USA,1971,0.009935865,0.008516456
United States,USA,1972,0.014536905,0.000937865
United States,USA,1973,0.003718083,0.004647604
United States,USA,1974,0.003224119,0.001381765
United States,USA,1975,0.003651161,0.004107557
United States,USA,1976,0.006330219,0.007234536
United States,USA,1977,0.008061812,0.007166055
United States,USA,1978,0.006653773,0.005766603
United States,USA,1979,0.014936898,0.001757282
United States,USA,1980,0.003916023,0.002610682
United States,USA,1981,0.002585816,0
United States,USA,1982,0.003414991,0
United States,USA,1983,0.006342208,0.001268442
United States,USA,1984,0.003350164,0
United States,USA,1985,0.002903122,0
United States,USA,1986,0.003285478,0
United States,USA,1987,0.002439808,0
United States,USA,1988,0.003623457,0.000402606
United States,USA,1989,0.001993161,0
United States,USA,1990,0.002763095,0
United States,USA,1991,0.003127354,0.000390919
United States,USA,1992,0.001548731,0
United States,USA,1993,0.001533723,0
United States,USA,1994,0.003036411,0
United States,USA,1995,0.002252897,0
United States,USA,1996,0.00185602,0
United States,USA,1997,0.001833898,0
United States,USA,1998,0.000362337,0
United States,USA,1999,0.000716076,0
United States,USA,2000,0,0
United States,USA,2001,0,
United States,USA,2002,0,0
United States,USA,2003,0,0
United States,USA,2004,0,0
United States,USA,2005,0,0
United States,USA,2006,0,0
United States,USA,2007,0,0
United States,USA,2008,0,0
United States,USA,2009,0.000326716,
United States,USA,2010,0,
United States,USA,2011,0,0
United States,USA,2012,0,0
United States,USA,2013,0,0
United States,USA,2014,0,0
United States,USA,2015,0,0
United States,USA,2016,0,0
United States,USA,2017,0,0
United States,USA,2018,0,0
United States,USA,2019,0,0
