Entity,Code,Year,Absolute deaths from ambient PM2.5 air pollution- State of Global Air (Percent)
Afghanistan,AFG,1990,16200
Afghanistan,AFG,1995,21300
Afghanistan,AFG,2000,24900
Afghanistan,AFG,2005,26500
Afghanistan,AFG,2010,27600
Afghanistan,AFG,2015,29500
Albania,ALB,1990,1200
Albania,ALB,1995,1100
Albania,ALB,2000,1000
Albania,ALB,2005,1000
Albania,ALB,2010,1200
Albania,ALB,2015,1500
Algeria,DZA,1990,6800
Algeria,DZA,1995,7000
Algeria,DZA,2000,7600
Algeria,DZA,2005,8000
Algeria,DZA,2010,8800
Algeria,DZA,2015,12000
Angola,AGO,1990,8600
Angola,AGO,1995,8900
Angola,AGO,2000,9700
Angola,AGO,2005,9000
Angola,AGO,2010,9200
Angola,AGO,2015,10200
Argentina,ARG,1990,13500
Argentina,ARG,1995,13800
Argentina,ARG,2000,15000
Argentina,ARG,2005,15400
Argentina,ARG,2010,16200
Argentina,ARG,2015,16600
Armenia,ARM,1990,1900
Armenia,ARM,1995,2000
Armenia,ARM,2000,2000
Armenia,ARM,2005,2200
Armenia,ARM,2010,2300
Armenia,ARM,2015,2300
Australia,AUS,1990,4100
Australia,AUS,1995,4000
Australia,AUS,2000,3800
Australia,AUS,2005,3500
Australia,AUS,2010,3000
Australia,AUS,2015,3400
Austria,AUT,1990,4900
Austria,AUT,1995,4500
Austria,AUT,2000,4200
Austria,AUT,2005,3700
Austria,AUT,2010,3500
Austria,AUT,2015,4000
Azerbaijan,AZE,1990,5600
Azerbaijan,AZE,1995,5500
Azerbaijan,AZE,2000,5300
Azerbaijan,AZE,2005,5100
Azerbaijan,AZE,2010,5900
Azerbaijan,AZE,2015,6100
Bahamas,BHS,1990,100
Bahamas,BHS,1995,100
Bahamas,BHS,2000,100
Bahamas,BHS,2005,100
Bahamas,BHS,2010,100
Bahamas,BHS,2015,100
Bahrain,BHR,1990,200
Bahrain,BHR,1995,200
Bahrain,BHR,2000,200
Bahrain,BHR,2005,200
Bahrain,BHR,2010,200
Bahrain,BHR,2015,200
Bangladesh,BGD,1990,81200
Bangladesh,BGD,1995,80300
Bangladesh,BGD,2000,85700
Bangladesh,BGD,2005,101000
Bangladesh,BGD,2010,110300
Bangladesh,BGD,2015,122400
Barbados,BRB,1990,100
Barbados,BRB,1995,100
Barbados,BRB,2000,100
Barbados,BRB,2005,100
Barbados,BRB,2010,100
Barbados,BRB,2015,100
Belarus,BLR,1990,11700
Belarus,BLR,1995,12400
Belarus,BLR,2000,12200
Belarus,BLR,2005,11800
Belarus,BLR,2010,11500
Belarus,BLR,2015,12200
Belgium,BEL,1990,6800
Belgium,BEL,1995,6300
Belgium,BEL,2000,6000
Belgium,BEL,2005,5500
Belgium,BEL,2010,5300
Belgium,BEL,2015,5600
Belize,BLZ,1990,100
Belize,BLZ,1995,100
Belize,BLZ,2000,100
Belize,BLZ,2005,100
Belize,BLZ,2010,100
Belize,BLZ,2015,100
Benin,BEN,1990,4100
Benin,BEN,1995,4500
Benin,BEN,2000,4700
Benin,BEN,2005,4100
Benin,BEN,2010,4300
Benin,BEN,2015,4300
Bhutan,BTN,1990,300
Bhutan,BTN,1995,200
Bhutan,BTN,2000,200
Bhutan,BTN,2005,300
Bhutan,BTN,2010,300
Bhutan,BTN,2015,400
Bolivia,BOL,1990,3400
Bolivia,BOL,1995,3400
Bolivia,BOL,2000,3400
Bolivia,BOL,2005,3900
Bolivia,BOL,2010,3600
Bolivia,BOL,2015,4100
Bosnia and Herzegovina,BIH,1990,2900
Bosnia and Herzegovina,BIH,1995,2800
Bosnia and Herzegovina,BIH,2000,2500
