Entity,Code,Year,2.5.1 - Plant breeds for which sufficient genetic resources are stored (number) - ER_GRF_PLNTSTOR (breeds)
Afghanistan,AFG,1995,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2005,0
Afghanistan,AFG,2010,757
Afghanistan,AFG,2012,811
Afghanistan,AFG,2014,943
Afghanistan,AFG,2016,953
Afghanistan,AFG,2017,953
Afghanistan,AFG,2018,953
Albania,ALB,1995,0
Albania,ALB,2000,716
Albania,ALB,2005,2624
Albania,ALB,2010,3198
Albania,ALB,2012,3532
Albania,ALB,2014,3833
Albania,ALB,2016,4345
Albania,ALB,2017,4345
Albania,ALB,2018,4617
Armenia,ARM,1995,2158
Armenia,ARM,2000,2546
Armenia,ARM,2005,4688
Armenia,ARM,2010,6544
Armenia,ARM,2012,6702
Armenia,ARM,2014,6711
Armenia,ARM,2016,6789
Armenia,ARM,2017,6918
Armenia,ARM,2018,6918
Asia,,1995,419814
Asia,,2000,538348
Asia,,2005,697223
Asia,,2010,766764
Asia,,2012,790453
Asia,,2014,809899
Asia,,2016,835293
Asia,,2017,839922
Asia,,2018,848610
Australia,AUS,1995,147499
Australia,AUS,2000,170542
Australia,AUS,2005,202067
Australia,AUS,2010,211278
Australia,AUS,2012,215768
Australia,AUS,2014,217995
Australia,AUS,2016,221780
Australia,AUS,2017,222797
Australia,AUS,2018,223137
Australia and New Zealand,,1995,166894
Australia and New Zealand,,2000,196146
Australia and New Zealand,,2005,229264
Australia and New Zealand,,2010,241543
Australia and New Zealand,,2012,247745
Australia and New Zealand,,2014,252235
Australia and New Zealand,,2016,257924
Australia and New Zealand,,2017,258941
Australia and New Zealand,,2018,259281
Austria,AUT,1995,5874
Austria,AUT,2000,7116
Austria,AUT,2005,9982
Austria,AUT,2010,11557
Austria,AUT,2012,11669
Austria,AUT,2014,11722
Austria,AUT,2016,11964
Austria,AUT,2017,11964
Austria,AUT,2018,11964
Azerbaijan,AZE,1995,6075
Azerbaijan,AZE,2000,6649
Azerbaijan,AZE,2005,9133
Azerbaijan,AZE,2010,11392
Azerbaijan,AZE,2012,11827
Azerbaijan,AZE,2014,11839
Azerbaijan,AZE,2016,12712
Azerbaijan,AZE,2017,12712
Azerbaijan,AZE,2018,12712
Bangladesh,BGD,1995,14868
Bangladesh,BGD,2000,17969
Bangladesh,BGD,2005,20592
Bangladesh,BGD,2010,23423
Bangladesh,BGD,2012,26682
Bangladesh,BGD,2014,31043
Bangladesh,BGD,2016,32941
Bangladesh,BGD,2017,33081
Bangladesh,BGD,2018,33081
Belarus,BLR,1995,0
Belarus,BLR,2000,4
Belarus,BLR,2005,17
Belarus,BLR,2010,55
Belarus,BLR,2012,2475
Belarus,BLR,2014,6866
Belarus,BLR,2016,6866
Belarus,BLR,2017,6866
Belarus,BLR,2018,6866
Belgium,BEL,1995,8554
Belgium,BEL,2000,8964
Belgium,BEL,2005,9237
Belgium,BEL,2010,9304
Belgium,BEL,2012,9304
Belgium,BEL,2014,9304
Belgium,BEL,2016,9304
Belgium,BEL,2017,9304
Belgium,BEL,2018,9304
Bhutan,BTN,1995,0
Bhutan,BTN,2000,29
Bhutan,BTN,2005,433
Bhutan,BTN,2010,777
Bhutan,BTN,2012,798
Bhutan,BTN,2014,977
Bhutan,BTN,2016,1162
Bhutan,BTN,2017,1162
Bhutan,BTN,2018,1162
Bolivia,BOL,1995,10666
Bolivia,BOL,2000,10917
Bolivia,BOL,2005,11280
Bolivia,BOL,2010,11418
Bolivia,BOL,2012,11505
Bolivia,BOL,2014,11506
Bolivia,BOL,2016,11506
Bolivia,BOL,2017,11506
Bolivia,BOL,2018,11506
Bosnia and Herzegovina,BIH,1995,62
Bosnia and Herzegovina,BIH,2000,62
Bosnia and Herzegovina,BIH,2005,64
Bosnia and Herzegovina,BIH,2010,211
Bosnia and Herzegovina,BIH,2012,434
Bosnia and Herzegovina,BIH,2014,434
Bosnia and Herzegovina,BIH,2016,434
Bosnia and Herzegovina,BIH,2017,479
Bosnia and Herzegovina,BIH,2018,479
Botswana,BWA,1995,2420
Botswana,BWA,2000,2423
Botswana,BWA,2005,2652
Botswana,BWA,2010,2925
Botswana,BWA,2012,2992
Botswana,BWA,2014,2992
Botswana,BWA,2016,2992
Botswana,BWA,2017,2992
Botswana,BWA,2018,2992
Brazil,BRA,1995,96591
Brazil,BRA,2000,109462
Brazil,BRA,2005,123751
Brazil,BRA,2010,142928
Brazil,BRA,2012,151665
Brazil,BRA,2014,155684
Brazil,BRA,2016,163844
Brazil,BRA,2017,166411
Brazil,BRA,2018,166494
Bulgaria,BGR,1995,62131
Bulgaria,BGR,2000,62131
Bulgaria,BGR,2005,62131
Bulgaria,BGR,2010,65875
Bulgaria,BGR,2012,65878
Bulgaria,BGR,2014,66126
Bulgaria,BGR,2016,67012
Bulgaria,BGR,2017,67510
Bulgaria,BGR,2018,69336
Canada,CAN,1995,102075
Canada,CAN,2000,106510
Canada,CAN,2005,108299
Canada,CAN,2010,109244
Canada,CAN,2012,110363
Canada,CAN,2014,110363
Canada,CAN,2016,110363
Canada,CAN,2017,110363
Canada,CAN,2018,111157
Caribbean,,1995,11887
Caribbean,,2000,13626
Caribbean,,2005,15389
Caribbean,,2010,17139
Caribbean,,2012,18459
Caribbean,,2014,18993
Caribbean,,2016,19598
Caribbean,,2017,19705
Caribbean,,2018,19988
Caucasus and Central Asia,,1995,8544
Caucasus and Central Asia,,2000,9593
Caucasus and Central Asia,,2005,14261
Caucasus and Central Asia,,2010,18376
Caucasus and Central Asia,,2012,18969
Caucasus and Central Asia,,2014,18990
Caucasus and Central Asia,,2016,19941
Caucasus and Central Asia,,2017,20070
Caucasus and Central Asia,,2018,20070
Central America,,1995,37424
Central America,,2000,39709
Central America,,2005,45611
Central America,,2010,60533
Central America,,2012,69310
Central America,,2014,71922
Central America,,2016,73917
Central America,,2017,74180
Central America,,2018,74180
Central and Southern Asia,,1995,227997
