Entity,Code,Year,Category 1,Category 2,Category 3,Category 4,Category 5
United States,USA,1851,1,0,1,0,0
United States,USA,1852,1,1,1,0,0
United States,USA,1853,1,0,0,0,0
United States,USA,1854,1,1,1,0,0
United States,USA,1855,0,0,1,0,0
United States,USA,1856,0,1,0,1,0
United States,USA,1857,0,1,0,0,0
United States,USA,1858,1,0,0,0,0
United States,USA,1859,2,0,0,0,0
United States,USA,1860,0,2,1,0,0
United States,USA,1861,3,0,0,0,0
United States,USA,1862,0,0,0,0,0
United States,USA,1863,0,0,0,0,0
United States,USA,1864,0,0,0,0,0
United States,USA,1865,0,2,0,0,0
United States,USA,1866,0,1,0,0,0
United States,USA,1867,2,0,0,0,0
United States,USA,1868,0,0,0,0,0
United States,USA,1869,1,2,1,0,0
United States,USA,1870,3,0,0,0,0
United States,USA,1871,1,1,1,0,0
United States,USA,1872,0,0,0,0,0
United States,USA,1873,1,0,1,0,0
United States,USA,1874,1,0,0,0,0
United States,USA,1875,0,0,1,0,0
United States,USA,1876,1,0,0,0,0
United States,USA,1877,1,0,1,0,0
United States,USA,1878,0,2,0,0,0
United States,USA,1879,0,1,2,0,0
United States,USA,1880,2,1,1,0,0
United States,USA,1881,0,2,0,0,0
United States,USA,1882,1,0,1,0,0
United States,USA,1883,0,1,0,0,0
United States,USA,1884,0,0,0,0,0
United States,USA,1885,0,1,0,0,0
United States,USA,1886,2,3,1,1,0
United States,USA,1887,4,0,0,0,0
United States,USA,1888,1,1,1,0,0
United States,USA,1889,1,0,0,0,0
United States,USA,1890,0,0,0,0,0
United States,USA,1891,2,0,0,0,0
United States,USA,1892,0,0,0,0,0
United States,USA,1893,1,1,2,1,0
United States,USA,1894,0,1,1,0,0
United States,USA,1895,1,0,0,0,0
United States,USA,1896,1,1,1,0,0
United States,USA,1897,1,0,0,0,0
United States,USA,1898,2,0,0,1,0
United States,USA,1899,0,2,1,0,0
United States,USA,1900,0,0,0,1,0
United States,USA,1901,2,0,0,0,0
United States,USA,1902,0,0,0,0,0
United States,USA,1903,2,0,0,0,0
United States,USA,1904,2,0,0,0,0
United States,USA,1905,0,0,0,0,0
United States,USA,1906,2,1,1,0,0
United States,USA,1907,0,0,0,0,0
United States,USA,1908,1,0,0,0,0
United States,USA,1909,1,1,3,0,0
United States,USA,1910,0,2,0,0,0
United States,USA,1911,1,1,0,0,0
United States,USA,1912,1,1,0,0,0
United States,USA,1913,3,0,0,0,0
United States,USA,1914,0,0,0,0,0
United States,USA,1915,2,0,1,1,0
United States,USA,1916,0,2,1,1,0
United States,USA,1917,0,0,1,0,0
United States,USA,1918,1,0,1,0,0
United States,USA,1919,0,0,0,1,0
United States,USA,1920,0,1,0,0,0
United States,USA,1921,1,0,1,0,0
United States,USA,1922,0,0,0,0,0
United States,USA,1923,1,0,0,0,0
United States,USA,1924,3,0,0,0,0
United States,USA,1925,0,0,0,0,0
United States,USA,1926,1,1,1,1,0
United States,USA,1927,0,0,0,0,0
United States,USA,1928,0,1,0,1,0
United States,USA,1929,1,0,1,0,0
United States,USA,1930,0,0,0,0,0
United States,USA,1931,0,0,0,0,0
United States,USA,1932,1,0,0,1,0
United States,USA,1933,2,1,2,0,0
United States,USA,1934,2,1,0,0,0
United States,USA,1935,0,1,0,0,1
United States,USA,1936,2,1,0,0,0
United States,USA,1937,0,0,0,0,0
United States,USA,1938,1,0,1,0,0
United States,USA,1939,1,0,0,0,0
United States,USA,1940,0,2,0,0,0
United States,USA,1941,0,1,1,0,0
United States,USA,1942,1,0,1,0,0
United States,USA,1943,0,1,0,0,0
United States,USA,1944,1,1,1,0,0
United States,USA,1945,1,0,1,1,0
United States,USA,1946,1,0,0,0,0
United States,USA,1947,1,1,0,1,0
United States,USA,1948,1,1,0,1,0
United States,USA,1949,1,1,0,1,0
United States,USA,1950,1,0,1,1,0
United States,USA,1951,0,0,0,0,0
United States,USA,1952,0,1,0,0,0
United States,USA,1953,3,0,0,0,0
United States,USA,1954,0,1,1,1,0
United States,USA,1955,0,2,0,0,0
United States,USA,1956,1,0,0,0,0
United States,USA,1957,0,0,1,0,0
United States,USA,1958,0,0,1,0,0
United States,USA,1959,2,0,0,1,0
United States,USA,1960,1,0,0,1,0
United States,USA,1961,0,0,0,1,0
United States,USA,1962,0,0,0,0,0
United States,USA,1963,1,0,0,0,0
United States,USA,1964,0,3,1,0,0
United States,USA,1965,0,0,1,0,0
United States,USA,1966,1,1,0,0,0
United States,USA,1967,0,0,1,0,0
United States,USA,1968,0,1,0,0,0
United States,USA,1969,1,0,0,0,1
United States,USA,1970,0,0,1,0,0
United States,USA,1971,2,1,0,0,0
United States,USA,1972,1,0,0,0,0
United States,USA,1973,0,0,0,0,0
United States,USA,1974,0,0,1,0,0
United States,USA,1975,0,0,1,0,0
United States,USA,1976,1,0,0,0,0
United States,USA,1977,1,0,0,0,0
United States,USA,1978,0,0,0,0,0
United States,USA,1979,1,1,1,0,0
United States,USA,1980,0,0,1,0,0
United States,USA,1981,0,0,0,0,0
United States,USA,1982,0,0,0,0,0
United States,USA,1983,0,0,1,0,0
United States,USA,1984,0,1,0,0,0
United States,USA,1985,3,1,2,0,0
United States,USA,1986,2,0,0,0,0
United States,USA,1987,1,0,0,0,0
United States,USA,1988,1,0,0,0,0
United States,USA,1989,2,0,0,1,0
United States,USA,1990,0,0,0,0,0
United States,USA,1991,0,1,0,0,0
United States,USA,1992,0,0,0,0,1
United States,USA,1993,0,0,1,0,0
United States,USA,1994,0,0,0,0,0
United States,USA,1995,0,1,1,0,0
United States,USA,1996,0,1,1,0,0
United States,USA,1997,1,0,0,0,0
United States,USA,1998,1,2,0,0,0
United States,USA,1999,0,2,1,0,0
United States,USA,2000,0,0,0,0,0
United States,USA,2001,0,0,0,0,0
United States,USA,2002,1,0,0,0,0
United States,USA,2003,1,1,0,0,0
United States,USA,2004,2,1,2,1,0
United States,USA,2005,2,0,4,0,0
United States,USA,2006,0,0,0,0,0
United States,USA,2007,1,0,0,0,0
United States,USA,2008,1,2,0,0,0
United States,USA,2009,0,0,0,0,0
United States,USA,2010,0,0,0,0,0
United States,USA,2011,1,0,0,0,0
United States,USA,2012,2,0,0,0,0
United States,USA,2013,0,0,0,0,0
United States,USA,2014,0,1,0,0,0
United States,USA,2015,0,0,0,0,0
United States,USA,2016,1,1,0,0,0
United States,USA,2017,1,0,0,2,0
