Entity,Code,Year,Waste Recycling Rates - Glass (%)
Australia,AUS,1983,17
Australia,AUS,1992,36.0136
Australia,AUS,1995,42
Australia,AUS,2000,40
Australia,AUS,2004,38
Austria,AUT,1981,20
Austria,AUT,1982,20
Austria,AUT,1983,20
Austria,AUT,1984,30
Austria,AUT,1985,38
Austria,AUT,1986,39
Austria,AUT,1987,44
Austria,AUT,1990,60.46
Austria,AUT,1991,60
Austria,AUT,1992,64
Austria,AUT,1993,68
Austria,AUT,1994,76
Austria,AUT,1997,88
Austria,AUT,1998,86
Austria,AUT,1999,84
Austria,AUT,2000,84
Austria,AUT,2001,83
Austria,AUT,2002,87
Austria,AUT,2003,86
Austria,AUT,2004,88
Austria,AUT,2005,83
Belgium,BEL,1981,33
Belgium,BEL,1982,32
Belgium,BEL,1983,32
Belgium,BEL,1984,36
Belgium,BEL,1985,42
Belgium,BEL,1986,44
Belgium,BEL,1987,39
Belgium,BEL,1991,55
Belgium,BEL,1992,54
Belgium,BEL,1993,55
Belgium,BEL,1994,67
Belgium,BEL,1995,67
Belgium,BEL,1996,66
Belgium,BEL,1997,75
Belgium,BEL,2000,87
Belgium,BEL,2001,88
Belgium,BEL,2002,95
Belgium,BEL,2003,88
Belgium,BEL,2004,90
Belgium,BEL,2005,92
Canada,CAN,1980,12
Canada,CAN,1985,12
Canada,CAN,1992,17
Denmark,DNK,1981,8
Denmark,DNK,1982,10
Denmark,DNK,1983,10
Denmark,DNK,1984,20
Denmark,DNK,1985,19
Denmark,DNK,1986,32
Denmark,DNK,1987,32
Denmark,DNK,1991,35
Denmark,DNK,1992,48
Denmark,DNK,1993,64
Denmark,DNK,1994,67
Denmark,DNK,1995,63
Denmark,DNK,1996,66
Denmark,DNK,1997,70
Denmark,DNK,1998,63
Denmark,DNK,1999,63
Denmark,DNK,2000,65
Denmark,DNK,2001,65
Denmark,DNK,2002,76
Denmark,DNK,2003,71
Denmark,DNK,2004,75
Denmark,DNK,2005,70
Finland,FIN,1980,10
Finland,FIN,1985,21
Finland,FIN,1987,25
Finland,FIN,1990,35.7143
Finland,FIN,1991,31
Finland,FIN,1992,44
Finland,FIN,1993,46
Finland,FIN,1994,50
Finland,FIN,1995,50
Finland,FIN,1996,63
Finland,FIN,1997,62
