Entity,Code,Year,Natural gas production (Etemad & Luciana) (terawatt-hours)
Afghanistan,AFG,1967,4.118792453
Afghanistan,AFG,1968,20.24470793
Afghanistan,AFG,1969,24.4357599
Afghanistan,AFG,1970,31.10772194
Afghanistan,AFG,1971,31.73397109
Afghanistan,AFG,1972,34.85317356
Afghanistan,AFG,1973,37.51473243
Afghanistan,AFG,1974,38.53840891
Afghanistan,AFG,1975,35.63598499
Afghanistan,AFG,1976,30.66212159
Afghanistan,AFG,1977,31.09567869
Afghanistan,AFG,1978,30.89094339
Afghanistan,AFG,1979,28.90380668
Afghanistan,AFG,1980,18.4110345
Afghanistan,AFG,1981,24.24031631
Afghanistan,AFG,1982,24.91732165
Afghanistan,AFG,1983,26.02221838
Afghanistan,AFG,1984,26.08376417
Afghanistan,AFG,1985,32.22077579
Afghanistan,AFG,1986,32.22077579
Afghanistan,AFG,1987,30.43887376
Afghanistan,AFG,1988,32.51159316
Afghanistan,AFG,1989,32.06358064
Afghanistan,AFG,1990,3.251005887
Afghanistan,AFG,1991,3.250928417
Afghanistan,AFG,1992,3.250928417
Afghanistan,AFG,1993,3.250928417
Afghanistan,AFG,1994,3.249547589
Afghanistan,AFG,1995,2.16636506
Afghanistan,AFG,1996,2.492378453
Afghanistan,AFG,1997,2.492378453
Afghanistan,AFG,1998,2.492378453
Afghanistan,AFG,1999,2.492378453
Afghanistan,AFG,2000,2.492378453
Afghanistan,AFG,2001,0.541821403
Afghanistan,AFG,2002,0.541821403
Afghanistan,AFG,2003,0.216728561
Afghanistan,AFG,2004,0.216728561
Afghanistan,AFG,2005,0.216728561
Afghanistan,AFG,2006,0.216728561
Afghanistan,AFG,2007,0.433457122
Afghanistan,AFG,2008,0.541821403
Afghanistan,AFG,2009,0.325092842
Afghanistan,AFG,2010,1.517099928
Albania,ALB,1951,0.060216264
Albania,ALB,1952,0.060216264
Albania,ALB,1953,0.120432528
Albania,ALB,1954,0.120432528
Albania,ALB,1955,0.180648792
Albania,ALB,1956,0.30108132
Albania,ALB,1957,0.361297584
Albania,ALB,1958,0.421513847
Albania,ALB,1959,0.481730111
Albania,ALB,1960,0.51785987
Albania,ALB,1961,0.51785987
Albania,ALB,1962,0.51785987
Albania,ALB,1963,0.51785987
Albania,ALB,1964,0.51785987
Albania,ALB,1965,0.51785987
Albania,ALB,1966,0.65033565
Albania,ALB,1967,0.794854684
Albania,ALB,1968,0.915287212
Albania,ALB,1969,1.059806245
Albania,ALB,1970,1.180238773
Albania,ALB,1971,1.517449851
Albania,ALB,1972,1.746271654
Albania,ALB,1973,2.288218029
Albania,ALB,1974,2.444780315
Albania,ALB,1975,3.612975836
Albania,ALB,1976,4.215138475
Albania,ALB,1977,4.215138475
Albania,ALB,1978,4.263311486
Albania,ALB,1979,4.383744014
Albania,ALB,1980,3.06850575
Albania,ALB,1981,3.250212862
Albania,ALB,1982,3.06850575
Albania,ALB,1983,3.253143628
Albania,ALB,1984,3.314689586
Albania,ALB,1985,3.06850575
Albania,ALB,1986,4.296494214
Albania,ALB,1987,4.879715442
Albania,ALB,1988,7.587079615
Albania,ALB,1989,7.587079615
Albania,ALB,1990,2.762286267
Albania,ALB,1991,1.529856735
Albania,ALB,1992,1.102108792
Albania,ALB,1993,0.324023656
Albania,ALB,1994,0.324329628
Albania,ALB,1995,0.324329628
Albania,ALB,1996,0.324161344
Albania,ALB,1997,0.216107562
Albania,ALB,1998,0.324161344
Albania,ALB,1999,0.216107562
Albania,ALB,2000,0.324161344
Albania,ALB,2001,0.324161344
Albania,ALB,2002,0.324161344
Albania,ALB,2003,0.324161344
Albania,ALB,2004,0.324161344
Albania,ALB,2005,0.324161344
Albania,ALB,2006,0.324161344
Albania,ALB,2007,0.108053781
Albania,ALB,2008,0.324161344
Albania,ALB,2009,0.324161344
Albania,ALB,2010,0.108053781
Albania,ALB,2011,0.108053781
Albania,ALB,2012,0.183692958
Albania,ALB,2013,0.205303714
Albania,ALB,2014,0.181445368
Algeria,DZA,1946,0.842593508
Algeria,DZA,1947,0.842593508
Algeria,DZA,1948,0.867016509
Algeria,DZA,1949,0.879228009
Algeria,DZA,1950,0.915862509
Algeria,DZA,1951,0.97692001
Algeria,DZA,1952,0.98913151
Algeria,DZA,1953,1.02576601
Algeria,DZA,1954,1.086823511
Algeria,DZA,1955,1.086823511
Algeria,DZA,1956,1.196727012
Algeria,DZA,1957,1.233361512
Algeria,DZA,1958,1.343265013
Algeria,DZA,1959,1.465380014
Algeria,DZA,1960,1.587495016
Algeria,DZA,1961,2.662107026
Algeria,DZA,1962,4.322871043
Algeria,DZA,1963,4.872388548
Algeria,DZA,1964,9.818046097
Algeria,DZA,1965,29.24654279
Algeria,DZA,1966,35.23017785
Algeria,DZA,1967,29.02673579
Algeria,DZA,1968,41.73890741
Algeria,DZA,1969,35.31565835
Algeria,DZA,1970,33.80143233
Algeria,DZA,1971,35.46219635
Algeria,DZA,1972,43.69274743
Algeria,DZA,1973,57.94356807
Algeria,DZA,1974,68.64084218
Algeria,DZA,1975,116.4000191
Algeria,DZA,1976,121.2968307
Algeria,DZA,1977,105.434092
Algeria,DZA,1978,172.1699402
Algeria,DZA,1979,316.7541016
Algeria,DZA,1980,142.1359999
Algeria,DZA,1981,266.9805156
Algeria,DZA,1982,325.7715618
Algeria,DZA,1983,454.420204
Algeria,DZA,1984,470.3283694
Algeria,DZA,1985,470.3283694
Algeria,DZA,1986,459.9534789
Algeria,DZA,1987,527.2173523
Algeria,DZA,1988,565.3381583
Algeria,DZA,1989,591.1059281
Algeria,DZA,1990,617.9976442
Algeria,DZA,1991,668.488778
Algeria,DZA,1992,681.48402
Algeria,DZA,1993,657.7908826
Algeria,DZA,1994,624.8174056
Algeria,DZA,1995,709.5733444
Algeria,DZA,1996,724.710811
Algeria,DZA,1997,803.6789776
Algeria,DZA,1998,860.2514455
Algeria,DZA,1999,949.8342401
Algeria,DZA,2000,970.9468519
Algeria,DZA,2001,920.5565299
Algeria,DZA,2002,924.4057906
Algeria,DZA,2003,941.3192089
Algeria,DZA,2004,934.9037744
Algeria,DZA,2005,1040.87509
Algeria,DZA,2006,1017.13798
Algeria,DZA,2007,989.4582982
Algeria,DZA,2008,1009.031206
Algeria,DZA,2009,949.7875824
Algeria,DZA,2010,986.927116
Algeria,DZA,2011,965.4295799
Algeria,DZA,2012,1008.436318
Algeria,DZA,2013,929.0482323
Algeria,DZA,2014,949.5670896
Angola,AGO,1970,0.51785987
Angola,AGO,1971,0.51785987
Angola,AGO,1972,0.686465409
Angola,AGO,1973,0.782811431
Angola,AGO,1974,0.818941189
Angola,AGO,1975,0.782811431
Angola,AGO,1976,0.686465409
Angola,AGO,1977,0.855070948
Angola,AGO,1978,0.855070948
Angola,AGO,1979,0.855070948
Angola,AGO,1980,2.816460391
Angola,AGO,1981,2.709490577
Angola,AGO,1982,3.06850575
Angola,AGO,1983,3.804126505
Angola,AGO,1984,3.681034608
Angola,AGO,1985,3.988764411
Angola,AGO,1986,4.296494214
Angola,AGO,1987,4.879715442
Angola,AGO,1988,5.418728683
Angola,AGO,1989,4.660843075
Angola,AGO,1990,5.829889297
Angola,AGO,1991,6.1370115
Angola,AGO,1992,6.176763992
Angola,AGO,1993,6.068399712
Angola,AGO,1994,5.633776557
Angola,AGO,1995,6.066435868
Angola,AGO,1996,6.068399712
Angola,AGO,1997,6.176763992
Angola,AGO,1998,6.285128273
Angola,AGO,1999,6.068399712
Angola,AGO,2000,6.176763992
Angola,AGO,2001,5.74330687
Angola,AGO,2002,6.718585395
Angola,AGO,2003,7.043678237
Angola,AGO,2004,8.127321043
Angola,AGO,2005,6.862036105
Angola,AGO,2006,7.178745463
Angola,AGO,2007,8.762292257
Angola,AGO,2008,7.178745463
Angola,AGO,2009,7.28431525
Angola,AGO,2010,7.748822309
Angola,AGO,2011,7.938847924
Angola,AGO,2012,8.023303753
Angola,AGO,2013,9.765206721
Angola,AGO,2014,9.722282719
Argentina,ARG,1929,2.885109823
Argentina,ARG,1930,3.208209947
Argentina,ARG,1931,3.531310072
Argentina,ARG,1932,3.854410196
Argentina,ARG,1933,4.17751032
Argentina,ARG,1934,4.500610444
Argentina,ARG,1935,4.823710569
Argentina,ARG,1936,5.146810693
Argentina,ARG,1937,5.469910817
Argentina,ARG,1938,5.536646113
Argentina,ARG,1939,5.603381408
Argentina,ARG,1940,5.670116703
Argentina,ARG,1941,5.736851999
Argentina,ARG,1942,5.803587294
Argentina,ARG,1943,5.870322589
Argentina,ARG,1944,5.937057885
Argentina,ARG,1945,6.00379318
Argentina,ARG,1946,6.070528476
Argentina,ARG,1947,6.252858836
Argentina,ARG,1948,4.794215952
Argentina,ARG,1949,7.121609378
Argentina,ARG,1950,8.097613072
Argentina,ARG,1951,8.902011722
Argentina,ARG,1952,9.631333164
Argentina,ARG,1953,7.486270099
Argentina,ARG,1954,7.582797937
