Entity,Code,Year,Income share held by highest 10% (%)
Albania,ALB,1996,21.2
Albania,ALB,2002,25.4
Albania,ALB,2005,24.3
Albania,ALB,2008,24.5
Albania,ALB,2012,22.9
Algeria,DZA,1988,32.8
Algeria,DZA,1995,26.9
Algeria,DZA,2011,22.9
Angola,AGO,2008,32.3
Argentina,ARG,1980,30.2
Argentina,ARG,1986,32.4
Argentina,ARG,1987,34.4
Argentina,ARG,1991,36.6
Argentina,ARG,1992,34.3
Argentina,ARG,1993,33.2
Argentina,ARG,1994,34.4
Argentina,ARG,1995,37
Argentina,ARG,1996,36.9
Argentina,ARG,1997,36.4
Argentina,ARG,1998,38
Argentina,ARG,1999,37
Argentina,ARG,2000,37.7
Argentina,ARG,2001,39.5
Argentina,ARG,2002,40.5
Argentina,ARG,2003,39.9
Argentina,ARG,2004,36.7
Argentina,ARG,2005,36.3
Argentina,ARG,2006,35.4
Argentina,ARG,2007,34.9
Argentina,ARG,2008,33.7
Argentina,ARG,2009,32.6
Argentina,ARG,2010,32.4
Argentina,ARG,2011,31.8
Argentina,ARG,2012,30.8
Argentina,ARG,2013,30.6
Argentina,ARG,2014,30.8
Armenia,ARM,1999,29.6
Armenia,ARM,2001,29.1
Armenia,ARM,2002,29
Armenia,ARM,2003,28.2
Armenia,ARM,2004,31.7
Armenia,ARM,2005,30.8
Armenia,ARM,2006,27.5
Armenia,ARM,2007,24.3
Armenia,ARM,2008,25.3
Armenia,ARM,2009,24.4
Armenia,ARM,2010,26.2
Armenia,ARM,2011,26.1
Armenia,ARM,2012,24.9
Armenia,ARM,2013,25.6
Armenia,ARM,2014,25.7
Armenia,ARM,2015,26.7
Australia,AUS,1981,23.3
Australia,AUS,1985,24.3
Australia,AUS,1989,24.7
Australia,AUS,1995,24.6
Australia,AUS,2001,25.1
Australia,AUS,2003,25.1
Australia,AUS,2008,27.4
Australia,AUS,2010,26.5
Austria,AUT,2004,23.8
Austria,AUT,2005,22.9
Austria,AUT,2006,23.7
Austria,AUT,2007,23.9
Austria,AUT,2008,24.1
Austria,AUT,2009,24.7
Austria,AUT,2010,23.6
Austria,AUT,2011,23.7
Austria,AUT,2012,24.5
Austria,AUT,2013,24.4
Austria,AUT,2014,24.1
Azerbaijan,AZE,1995,26.8
Azerbaijan,AZE,2001,29.5
Azerbaijan,AZE,2002,17.6
Azerbaijan,AZE,2003,18
Azerbaijan,AZE,2004,17.1
Azerbaijan,AZE,2005,17.4
Azerbaijan,AZE,2008,25.7
Bangladesh,BGD,1983,21.9
Bangladesh,BGD,1985,23.4
Bangladesh,BGD,1988,24.6
Bangladesh,BGD,1991,23.3
Bangladesh,BGD,1995,28.1
Bangladesh,BGD,2000,27.9
Bangladesh,BGD,2005,28
Bangladesh,BGD,2010,26.9
Belarus,BLR,1998,25.1
Belarus,BLR,1999,24.2
Belarus,BLR,2000,24
Belarus,BLR,2001,24
Belarus,BLR,2002,24
Belarus,BLR,2003,22.6
Belarus,BLR,2004,21.4
Belarus,BLR,2005,21.8
Belarus,BLR,2006,22.4
Belarus,BLR,2007,23.6
Belarus,BLR,2008,22.3
Belarus,BLR,2009,22.6
Belarus,BLR,2010,22.9
Belarus,BLR,2011,21.9
Belarus,BLR,2012,21.8
Belarus,BLR,2013,22.1
Belarus,BLR,2014,22.6
Belarus,BLR,2015,22.2
Belgium,BEL,2004,25.1
Belgium,BEL,2005,23.9
Belgium,BEL,2006,22.4
Belgium,BEL,2007,23.5
Belgium,BEL,2008,22.7
Belgium,BEL,2009,22.7
Belgium,BEL,2010,22.7
Belgium,BEL,2011,22.4
Belgium,BEL,2012,21.9
Belgium,BEL,2013,21.8
Belgium,BEL,2014,22.4
Belize,BLZ,1993,51.1
Belize,BLZ,1994,52.5
Belize,BLZ,1996,46.5
Belize,BLZ,1997,50.3
Belize,BLZ,1998,43.7
Belize,BLZ,1999,42.4
Benin,BEN,2003,31.1
Benin,BEN,2011,34.5
Benin,BEN,2015,37.6
Bhutan,BTN,2003,37.5
Bhutan,BTN,2007,29.4
Bhutan,BTN,2012,30.7
Bolivia,BOL,1990,31.7
Bolivia,BOL,1997,45.4
Bolivia,BOL,1999,42.6
Bolivia,BOL,2000,49
Bolivia,BOL,2001,45.5
Bolivia,BOL,2002,47.3
Bolivia,BOL,2004,43.9
Bolivia,BOL,2005,45.1
Bolivia,BOL,2006,43.7
Bolivia,BOL,2007,42.7
Bolivia,BOL,2008,39.1
Bolivia,BOL,2009,37.1
Bolivia,BOL,2011,33.8
Bolivia,BOL,2012,33.5
Bolivia,BOL,2013,35.5
Bolivia,BOL,2014,36.4
Bolivia,BOL,2015,33.4
Bosnia and Herzegovina,BIH,2001,24.8
Bosnia and Herzegovina,BIH,2004,26.4
Bosnia and Herzegovina,BIH,2007,25.1
Bosnia and Herzegovina,BIH,2011,25.8
Botswana,BWA,1985,42.9
Botswana,BWA,1993,51.2
Botswana,BWA,2002,53.1
Botswana,BWA,2009,49.6
Brazil,BRA,1981,45.9
Brazil,BRA,1982,46.2
Brazil,BRA,1983,46.8
Brazil,BRA,1984,46.5
Brazil,BRA,1985,42.5
Brazil,BRA,1986,46.6
Brazil,BRA,1987,47.4
Brazil,BRA,1988,49.2
Brazil,BRA,1989,51.2
Brazil,BRA,1990,48.1
Brazil,BRA,1992,39.7
Brazil,BRA,1993,48.4
Brazil,BRA,1995,47.5
Brazil,BRA,1996,47.3
Brazil,BRA,1997,47.4
Brazil,BRA,1998,47.6
Brazil,BRA,1999,47
Brazil,BRA,2001,47.3
Brazil,BRA,2002,46.8
Brazil,BRA,2003,46
Brazil,BRA,2004,45.1
Brazil,BRA,2005,45.1
Brazil,BRA,2006,44.5
Brazil,BRA,2007,43.6
Brazil,BRA,2008,42.9
Brazil,BRA,2009,42.5
Brazil,BRA,2011,41.9
Brazil,BRA,2012,41.7
Brazil,BRA,2013,41.8
Brazil,BRA,2014,40.7
Brazil,BRA,2015,40.5
Bulgaria,BGR,1992,24.7
Bulgaria,BGR,2006,26.6
Bulgaria,BGR,2007,28
Bulgaria,BGR,2008,25.7
