Entity,Code,Year,Africa Dataset: Percentage of primary schools with toilets (%) (%)
Algeria,DZA,2012,100
Algeria,DZA,2013,100
Algeria,DZA,2014,100
Angola,AGO,2010,57.9984092712402
Arab World,,2012,75.48357
Arab World,,2013,74.90887
Benin,BEN,2010,68.190788269043
Benin,BEN,2011,65.1985015869141
Benin,BEN,2013,66.4295883178711
Benin,BEN,2014,66.7527084350586
Botswana,BWA,2012,100
Burkina Faso,BFA,2010,57.349250793457
Burkina Faso,BFA,2011,68.3954315185547
Burkina Faso,BFA,2012,71.5334014892578
Burkina Faso,BFA,2013,72.8403778076172
Burkina Faso,BFA,2014,71.3956832885742
Burundi,BDI,2010,87.0376281738281
Burundi,BDI,2011,87.9988098144531
Burundi,BDI,2012,89.7999420166016
Burundi,BDI,2014,90.7509918212891
Cameroon,CMR,2011,42.3692283630371
Cameroon,CMR,2012,40.6230087280273
Cape Verde,CPV,2010,86.0576934814453
Cape Verde,CPV,2011,96.3942337036133
Cape Verde,CPV,2012,95.4326934814453
Cape Verde,CPV,2013,97.0944290161133
Cape Verde,CPV,2014,97.0944290161133
Central African Republic,CAF,2010,58.5945892333984
Central African Republic,CAF,2011,55.4347801208496
Central African Republic,CAF,2012,58.454719543457
Chad,TCD,2010,28.0779590606689
Chad,TCD,2011,25.8173408508301
Chad,TCD,2013,12.2109603881836
Comoros,COM,2012,28.5245895385742
Comoros,COM,2013,23.5294094085693
Congo,COG,2010,48.6472091674805
Cote d'Ivoire,CIV,2009,40.1649513244629
Cote d'Ivoire,CIV,2013,39.3310585021973
Cote d'Ivoire,CIV,2014,43.3998794555664
Democratic Republic of Congo,COD,2010,70.6388626098633
Djibouti,DJI,2009,91.8918914794922
Djibouti,DJI,2011,95.6140365600586
Djibouti,DJI,2012,98.3193283081055
Djibouti,DJI,2013,84.4262313842773
Djibouti,DJI,2014,100
Djibouti,DJI,2015,100
Equatorial Guinea,GNQ,2008,29.1512908935547
Equatorial Guinea,GNQ,2009,33.9646492004395
Equatorial Guinea,GNQ,2011,58.7112197875977
Eritrea,ERI,2010,64.1057891845703
Eritrea,ERI,2011,68.8567733764648
Eritrea,ERI,2012,63.9908294677734
Ethiopia,ETH,2012,78.4614334106445
Ethiopia,ETH,2014,100
Gabon,GAB,2011,61.3315391540527
Gambia,GMB,2011,85.9237518310547
Ghana,GHA,2011,56.4693603515625
Ghana,GHA,2012,55.1183815002441
Ghana,GHA,2013,57.5113410949707
Guinea,GIN,2010,66.3644332885742
Guinea,GIN,2011,69.1418914794922
Guinea,GIN,2012,63.1562805175781
Guinea,GIN,2013,66.5321273803711
Guinea,GIN,2014,70.4477615356445
Guinea-Bissau,GNB,2010,20.0792598724365
Madagascar,MDG,2011,58.3138694763184
Madagascar,MDG,2013,67.3518218994141
Malawi,MWI,2011,84.0765609741211
Malawi,MWI,2013,92.3786087036133
Mali,MLI,2011,55.6157112121582
Mali,MLI,2012,67.06884765625
Mauritania,MRT,2012,22.9791793823242
Mauritius,MUS,2010,100
Mauritius,MUS,2011,100
Mauritius,MUS,2012,100
Mauritius,MUS,2013,100
Mauritius,MUS,2014,100
Morocco,MAR,2012,84.054817199707
Morocco,MAR,2013,83.7623977661133
Namibia,NAM,2010,70.3597106933594
Namibia,NAM,2012,84.8119201660156
Niger,NER,2010,21.8267097473145
Niger,NER,2011,25.431770324707
Niger,NER,2012,24.8798198699951
Niger,NER,2013,24.6675395965576
Niger,NER,2014,26.7781600952148
Rwanda,RWA,2010,100
Rwanda,RWA,2011,100
Rwanda,RWA,2012,100
Sao Tome and Principe,STP,2012,96
Sao Tome and Principe,STP,2015,93.0232620239258
Senegal,SEN,2010,55.8337898254395
Senegal,SEN,2012,60.7614402770996
Senegal,SEN,2014,73.2008972167969
Seychelles,SYC,2011,100
Seychelles,SYC,2012,100
Seychelles,SYC,2014,100
Sierra Leone,SLE,2012,62.0137710571289
South Africa,ZAF,2012,95.8737487792969
South Africa,ZAF,2013,99.1024475097656
South Africa,ZAF,2014,99.2024230957031
Sub-Saharan Africa,,2009,64.16258
Sub-Saharan Africa,,2010,64.24664
Sub-Saharan Africa,,2011,65.94376
Sub-Saharan Africa,,2012,68.24162
Sub-Saharan Africa,,2013,68.32598
Sub-Saharan Africa (all income levels),,2009,64.09848
Sub-Saharan Africa (all income levels),,2010,64.21757
Sub-Saharan Africa (all income levels),,2011,65.92897
Sub-Saharan Africa (all income levels),,2012,68.22769
Sub-Saharan Africa (all income levels),,2013,68.31195
Sudan,SDN,2012,49.900089263916
Swaziland,SWZ,2011,80.6291427612305
Swaziland,SWZ,2012,96.9335632324219
Tanzania,TZA,2010,100
Tanzania,TZA,2012,100
Tanzania,TZA,2013,100
Togo,TGO,2010,45.0379486083984
Togo,TGO,2011,45.6761589050293
Togo,TGO,2013,43.5555610656738
Togo,TGO,2014,44.4302711486816
Tunisia,TUN,2013,99.4914932250977
Tunisia,TUN,2014,99.5158462524414
Uganda,UGA,2011,100
Zimbabwe,ZWE,2012,100
