Entity,Code,Year,Indicator 3.a.1: Age-standardised prevalence of daily smoking in populations aged 10 and older (%) - Past - Unscaled (%)
Afghanistan,AFG,1990,9.469
Afghanistan,AFG,1995,9.933
Afghanistan,AFG,2000,10.232
Afghanistan,AFG,2005,10.418
Afghanistan,AFG,2010,10.374
Afghanistan,AFG,2016,10.129
Albania,ALB,1990,18.029
Albania,ALB,1995,16.706
Albania,ALB,2000,16.931
Albania,ALB,2005,15.826
Albania,ALB,2010,17.211
Albania,ALB,2016,16.866
Algeria,DZA,1990,13.87
Algeria,DZA,1995,12.937
Algeria,DZA,2000,12.11
Algeria,DZA,2005,11.548
Algeria,DZA,2010,10.761
Algeria,DZA,2016,10.467
Andorra,AND,1990,25.81
Andorra,AND,1995,25.181
Andorra,AND,2000,24.726
Andorra,AND,2005,23.439
Andorra,AND,2010,22.151
Andorra,AND,2016,21.42
Angola,AGO,1990,6.221
Angola,AGO,1995,6.453
Angola,AGO,2000,6.695
Angola,AGO,2005,7.575
Angola,AGO,2010,8.519
Angola,AGO,2016,8.666
Antigua and Barbuda,ATG,1990,2.344
Antigua and Barbuda,ATG,1995,2.326
Antigua and Barbuda,ATG,2000,2.197
Antigua and Barbuda,ATG,2005,2.09
Antigua and Barbuda,ATG,2010,2.212
Antigua and Barbuda,ATG,2016,2.194
Argentina,ARG,1990,24.499
Argentina,ARG,1995,24.25
Argentina,ARG,2000,22.915
Argentina,ARG,2005,20.694
Argentina,ARG,2010,18.875
Argentina,ARG,2016,18.284
Armenia,ARM,1990,26.689
Armenia,ARM,1995,25.551
Armenia,ARM,2000,24.947
Armenia,ARM,2005,25.019
Armenia,ARM,2010,25.008
Armenia,ARM,2016,22.02
Australia,AUS,1990,22.711
Australia,AUS,1995,20.699
Australia,AUS,2000,17.639
Australia,AUS,2005,16.417
Australia,AUS,2010,14.798
Australia,AUS,2016,13.562
Austria,AUT,1990,25.662
Austria,AUT,1995,26.33
Austria,AUT,2000,26.779
Austria,AUT,2005,25.709
Austria,AUT,2010,25.713
Austria,AUT,2016,24.673
Azerbaijan,AZE,1990,18.956
Azerbaijan,AZE,1995,18.901
Azerbaijan,AZE,2000,18.651
Azerbaijan,AZE,2005,19.309
Azerbaijan,AZE,2010,19.445
Azerbaijan,AZE,2016,18.49
Bahamas,BHS,1990,7.603
Bahamas,BHS,1995,7.482
Bahamas,BHS,2000,7.107
Bahamas,BHS,2005,6.742
Bahamas,BHS,2010,5.685
Bahamas,BHS,2016,5.229
Bahrain,BHR,1990,14.19
Bahrain,BHR,1995,12.368
Bahrain,BHR,2000,10.174
Bahrain,BHR,2005,9.311
Bahrain,BHR,2010,9.213
Bahrain,BHR,2016,9.398
Bangladesh,BGD,1990,20.198
Bangladesh,BGD,1995,19.206
Bangladesh,BGD,2000,17.532
Bangladesh,BGD,2005,19.258
Bangladesh,BGD,2010,21.828
Bangladesh,BGD,2016,20.73
Barbados,BRB,1990,5.828
