Entity,Code,Year,Share of births outside marriage (%)
Poland,POL,1996,10.2
Poland,POL,1997,11
Poland,POL,1998,11.6
Poland,POL,1999,11.7
Poland,POL,2000,12.1
Poland,POL,2001,13.1
Poland,POL,2002,14.4
Poland,POL,2003,15.8
Poland,POL,2004,17.1
Poland,POL,2005,18.5
Poland,POL,2006,18.9
Poland,POL,2007,19.5
Poland,POL,2008,19.9
Poland,POL,2009,20.2
Poland,POL,2010,20.6
Poland,POL,2011,21.2
Poland,POL,2012,22.3
Poland,POL,2013,23.4
Poland,POL,2014,24.2
Portugal,PRT,1960,9.5
Portugal,PRT,1961,8.8
Portugal,PRT,1962,8.5
Portugal,PRT,1963,8.2
Portugal,PRT,1964,8
Portugal,PRT,1965,7.8
Portugal,PRT,1966,7.5
Portugal,PRT,1967,7.5
Portugal,PRT,1968,7.4
Portugal,PRT,1969,7.3
Portugal,PRT,1970,7.3
Portugal,PRT,1971,7.2
Portugal,PRT,1972,7.1
Portugal,PRT,1973,7.2
Portugal,PRT,1974,7.2
Portugal,PRT,1975,7.2
Portugal,PRT,1976,7.3
Portugal,PRT,1977,7.2
Portugal,PRT,1978,7.7
Portugal,PRT,1979,8.2
Portugal,PRT,1980,9.2
Portugal,PRT,1981,9.5
Portugal,PRT,1982,10
Portugal,PRT,1983,10.7
Portugal,PRT,1984,11.5
Portugal,PRT,1985,12.3
Portugal,PRT,1986,12.8
Portugal,PRT,1987,13.2
Portugal,PRT,1988,13.7
Portugal,PRT,1989,14.5
Portugal,PRT,1990,14.7
Portugal,PRT,1991,15.6
Portugal,PRT,1992,16.1
Portugal,PRT,1993,16.9
Portugal,PRT,1994,17.8
Portugal,PRT,1995,18.6
Portugal,PRT,1996,18.6
Portugal,PRT,1997,19.5
Portugal,PRT,1998,20.1
Portugal,PRT,1999,20.8
Portugal,PRT,2000,22.2
Portugal,PRT,2001,23.8
Portugal,PRT,2002,25.5
Portugal,PRT,2003,26.9
Portugal,PRT,2004,29.1
Portugal,PRT,2005,30.7
Portugal,PRT,2006,31.6
Portugal,PRT,2007,33.6
Portugal,PRT,2008,36.2
Portugal,PRT,2009,38.1
Portugal,PRT,2010,41.3
Portugal,PRT,2011,42.8
Portugal,PRT,2012,45.6
Portugal,PRT,2013,47.6
Portugal,PRT,2014,49.3
Romania,ROU,1993,17
Romania,ROU,1994,18.3
Romania,ROU,1995,19.7
Romania,ROU,1996,20.7
Romania,ROU,1997,22.2
Romania,ROU,1998,23
Romania,ROU,1999,24.1
Romania,ROU,2000,25.5
Romania,ROU,2001,26.7
Romania,ROU,2002,26.7
Romania,ROU,2003,28.2
Romania,ROU,2004,29.4
Romania,ROU,2005,28.5
Romania,ROU,2006,29
Romania,ROU,2007,26.7
Romania,ROU,2008,27.4
Romania,ROU,2009,28
Romania,ROU,2010,27.7
Romania,ROU,2011,30
Romania,ROU,2012,31
Romania,ROU,2013,30.5
Romania,ROU,2014,31.2
Slovakia,SVK,1960,4.7
Slovakia,SVK,1961,4.4
Slovakia,SVK,1962,4.6
Slovakia,SVK,1963,4.7
Slovakia,SVK,1964,5
Slovakia,SVK,1965,5.3
Slovakia,SVK,1966,5.3
Slovakia,SVK,1967,5.7
Slovakia,SVK,1968,5.9
Slovakia,SVK,1969,6.1
Slovakia,SVK,1970,6.2
Slovakia,SVK,1971,6
Slovakia,SVK,1972,5.7
Slovakia,SVK,1973,5.1
Slovakia,SVK,1974,5.3
Slovakia,SVK,1975,5.2
Slovakia,SVK,1976,5.1
Slovakia,SVK,1977,5.2
Slovakia,SVK,1978,5.2
Slovakia,SVK,1979,5.4
Slovakia,SVK,1980,5.7
Slovakia,SVK,1981,5.7
Slovakia,SVK,1982,5.9
Slovakia,SVK,1983,6
Slovakia,SVK,1984,6.2
Slovakia,SVK,1985,6.6
Slovakia,SVK,1986,6.8
Slovakia,SVK,1987,7.1
Slovakia,SVK,1988,6.8
Slovakia,SVK,1989,7.2
Slovakia,SVK,1990,7.6
Slovakia,SVK,1991,8.9
Slovakia,SVK,1992,9.8
Slovakia,SVK,1993,10.6
Slovakia,SVK,1994,11.7
Slovakia,SVK,1995,12.6
Slovakia,SVK,1996,14
Slovakia,SVK,1997,15.1
Slovakia,SVK,1998,15.3
Slovakia,SVK,1999,16.9
Slovakia,SVK,2000,18.3
Slovakia,SVK,2001,19.8
Slovakia,SVK,2002,21.6
Slovakia,SVK,2003,23.3
Slovakia,SVK,2004,24.8
Slovakia,SVK,2005,26
Slovakia,SVK,2006,27.5
Slovakia,SVK,2007,28.8
Slovakia,SVK,2008,30.1
Slovakia,SVK,2009,31.6
Slovakia,SVK,2010,33
Slovakia,SVK,2011,34
Slovakia,SVK,2012,35.4
Slovakia,SVK,2013,37
Slovakia,SVK,2014,38.9
Slovenia,SVN,1960,9.1
Slovenia,SVN,1961,10
Slovenia,SVN,1962,10.1
Slovenia,SVN,1963,9.8
Slovenia,SVN,1964,9.2
Slovenia,SVN,1965,9.2
Slovenia,SVN,1966,8.7
Slovenia,SVN,1967,8.7
Slovenia,SVN,1968,8.8
Slovenia,SVN,1969,8.4
Slovenia,SVN,1970,8.5
Slovenia,SVN,1971,8.7
Slovenia,SVN,1972,9.7
Slovenia,SVN,1973,9.8
Slovenia,SVN,1974,9.9
Slovenia,SVN,1975,9.9
Slovenia,SVN,1976,10.5
Slovenia,SVN,1977,10.6
Slovenia,SVN,1978,11
Slovenia,SVN,1979,11.8
Slovenia,SVN,1980,13.1
Slovenia,SVN,1981,14.1
Slovenia,SVN,1982,15.2
Slovenia,SVN,1983,16.9
Slovenia,SVN,1984,18.2
Slovenia,SVN,1985,19.1
Slovenia,SVN,1986,19.7
Slovenia,SVN,1987,21.8
Slovenia,SVN,1988,22.6
Slovenia,SVN,1989,23.2
Slovenia,SVN,1990,24.5
Slovenia,SVN,1991,26.4
Slovenia,SVN,1992,27.7
Slovenia,SVN,1993,28
Slovenia,SVN,1994,28.8
Slovenia,SVN,1995,29.8
Slovenia,SVN,1996,31.9
Slovenia,SVN,1997,32.7
Slovenia,SVN,1998,33.6
Slovenia,SVN,1999,35.4
Slovenia,SVN,2000,37.1
Slovenia,SVN,2001,39.4
Slovenia,SVN,2002,40.2
Slovenia,SVN,2003,42.5
Slovenia,SVN,2004,44.8
Slovenia,SVN,2005,46.7
Slovenia,SVN,2006,47.2
Slovenia,SVN,2007,50.8
Slovenia,SVN,2008,52.8
Slovenia,SVN,2009,53.6
Slovenia,SVN,2010,55.7
Slovenia,SVN,2011,56.8
Slovenia,SVN,2012,57.6
Slovenia,SVN,2013,58
Slovenia,SVN,2014,58.3
Spain,ESP,1960,2.3
Spain,ESP,1961,2.2
Spain,ESP,1962,2.1
Spain,ESP,1963,1.9
Spain,ESP,1964,1.8
Spain,ESP,1965,1.7
Spain,ESP,1966,1.6
Spain,ESP,1967,1.5
Spain,ESP,1968,1.4
Spain,ESP,1969,1.4
Spain,ESP,1970,1.4
Spain,ESP,1971,1.3
Spain,ESP,1972,1.4
Spain,ESP,1973,1.6
Spain,ESP,1974,1.5
Spain,ESP,1975,2
Spain,ESP,1976,2.2
Spain,ESP,1977,2.3
Spain,ESP,1978,2.5
Spain,ESP,1979,2.8
Spain,ESP,1980,3.9
Spain,ESP,1981,4.4
Spain,ESP,1982,5.1
Spain,ESP,1983,5.2
Spain,ESP,1984,6.8
Spain,ESP,1985,8
Spain,ESP,1986,8
Spain,ESP,1987,8.3
Spain,ESP,1988,9.1
Spain,ESP,1989,9.4
Spain,ESP,1990,9.6
Spain,ESP,1991,10
Spain,ESP,1992,10.5
Spain,ESP,1993,10.8
Spain,ESP,1994,10.8
Spain,ESP,1995,11.1
Spain,ESP,1996,11.7
Spain,ESP,1997,13.1
Spain,ESP,1998,14.5
Spain,ESP,1999,16.3
Spain,ESP,2000,17.7
Spain,ESP,2001,19.7
Spain,ESP,2002,21.7
Spain,ESP,2003,23.4
Spain,ESP,2004,25.1
Spain,ESP,2005,26.5
Spain,ESP,2006,28.4
Spain,ESP,2007,30.2
Spain,ESP,2008,33.2
Spain,ESP,2009,34.5
Spain,ESP,2010,35.5
Spain,ESP,2011,37.4
Spain,ESP,2012,39
Spain,ESP,2013,40.9
Spain,ESP,2014,42.5
Sweden,SWE,1960,11.3
Sweden,SWE,1961,11.7
Sweden,SWE,1962,12.4
Sweden,SWE,1963,12.6
Sweden,SWE,1964,13.1
Sweden,SWE,1965,13.8
Sweden,SWE,1966,14.5
Sweden,SWE,1967,15.1
Sweden,SWE,1968,16
Sweden,SWE,1969,16.4
Sweden,SWE,1970,18.6
Sweden,SWE,1971,21.9
Sweden,SWE,1972,25.4
Sweden,SWE,1973,28.6
Sweden,SWE,1974,31.7
Sweden,SWE,1975,32.8
Sweden,SWE,1976,33.5
Sweden,SWE,1977,34.7
Sweden,SWE,1978,35.9
Sweden,SWE,1979,37.5
Sweden,SWE,1980,39.7
Sweden,SWE,1981,41.2
Sweden,SWE,1982,42
Sweden,SWE,1983,43.6
Sweden,SWE,1984,44.6
Sweden,SWE,1985,46.4
Sweden,SWE,1986,48.4
Sweden,SWE,1987,49.9
Sweden,SWE,1988,50.9
Sweden,SWE,1989,51.8
Sweden,SWE,1990,47
Sweden,SWE,1991,48.2
Sweden,SWE,1992,49.5
Sweden,SWE,1993,50.4
Sweden,SWE,1994,51.6
Sweden,SWE,1995,53
Sweden,SWE,1996,53.9
Sweden,SWE,1997,54.1
Sweden,SWE,1998,54.7
Sweden,SWE,1999,55.3
Sweden,SWE,2000,55.3
Sweden,SWE,2001,55.5
Sweden,SWE,2002,56
Sweden,SWE,2003,56
Sweden,SWE,2004,55.4
Sweden,SWE,2005,55.4
Sweden,SWE,2006,55.5
Sweden,SWE,2007,54.8
Sweden,SWE,2008,54.7
Sweden,SWE,2009,54.4
Sweden,SWE,2010,54.2
Sweden,SWE,2011,54.3
Sweden,SWE,2012,54.5
Sweden,SWE,2013,54.4
Sweden,SWE,2014,54.6
Switzerland,CHE,1960,3.8
Switzerland,CHE,1961,4
Switzerland,CHE,1962,4.2
Switzerland,CHE,1963,4.1
Switzerland,CHE,1964,4.2
Switzerland,CHE,1965,3.9
Switzerland,CHE,1966,3.8
Switzerland,CHE,1967,3.9
Switzerland,CHE,1968,3.8
Switzerland,CHE,1969,3.8
Switzerland,CHE,1970,3.8
Switzerland,CHE,1971,3.7
Switzerland,CHE,1972,3.7
Switzerland,CHE,1973,3.8
Switzerland,CHE,1974,3.7
Switzerland,CHE,1975,3.7
Switzerland,CHE,1976,3.8
Switzerland,CHE,1977,3.9
Switzerland,CHE,1978,4.1
Switzerland,CHE,1979,4.4
Switzerland,CHE,1980,4.7
Switzerland,CHE,1981,5.2
Switzerland,CHE,1982,5.5
Switzerland,CHE,1983,5.4
Switzerland,CHE,1984,5.7
Switzerland,CHE,1985,5.6
Switzerland,CHE,1986,5.7
Switzerland,CHE,1987,5.9
Switzerland,CHE,1988,6.1
Switzerland,CHE,1989,5.9
Switzerland,CHE,1990,6.1
Switzerland,CHE,1991,6.5
Switzerland,CHE,1992,6.2
Switzerland,CHE,1993,6.3
Switzerland,CHE,1994,6.4
Switzerland,CHE,1995,6.8
Switzerland,CHE,1996,7.3
Switzerland,CHE,1997,8.1
Switzerland,CHE,1998,8.8
Switzerland,CHE,1999,10
Switzerland,CHE,2000,10.7
Switzerland,CHE,2001,11.2
Switzerland,CHE,2002,11.7
Switzerland,CHE,2003,12.4
Switzerland,CHE,2004,13.3
Switzerland,CHE,2005,13.7
Switzerland,CHE,2006,15.4
Switzerland,CHE,2007,16.2
Switzerland,CHE,2008,17.1
Switzerland,CHE,2009,17.9
Switzerland,CHE,2010,18.6
Switzerland,CHE,2011,19.3
Switzerland,CHE,2012,20.2
Switzerland,CHE,2013,21.1
Switzerland,CHE,2014,21.7
Turkey,TUR,2010,2.6
Turkey,TUR,2011,2.7
Turkey,TUR,2012,2.6
Turkey,TUR,2013,2.7
Turkey,TUR,2014,2.8
United Kingdom,GBR,1960,5.2
United Kingdom,GBR,1961,5.7
United Kingdom,GBR,1962,6.3
United Kingdom,GBR,1963,6.6
United Kingdom,GBR,1964,6.9
United Kingdom,GBR,1965,7.3
United Kingdom,GBR,1966,7.6
United Kingdom,GBR,1967,8.1
United Kingdom,GBR,1968,8.2
United Kingdom,GBR,1969,8.1
United Kingdom,GBR,1970,8
United Kingdom,GBR,1971,8.2
United Kingdom,GBR,1972,8.4
United Kingdom,GBR,1973,8.4
United Kingdom,GBR,1974,8.7
United Kingdom,GBR,1975,9
United Kingdom,GBR,1976,9
United Kingdom,GBR,1977,9.5
United Kingdom,GBR,1978,10
United Kingdom,GBR,1979,10.6
United Kingdom,GBR,1980,11.5
United Kingdom,GBR,1982,14.1
United Kingdom,GBR,1983,15.4
United Kingdom,GBR,1984,17
United Kingdom,GBR,1985,18.9
United Kingdom,GBR,1986,21
United Kingdom,GBR,1987,22.9
United Kingdom,GBR,1988,25.2
United Kingdom,GBR,1989,26.6
United Kingdom,GBR,1990,27.9
United Kingdom,GBR,1991,29.8
United Kingdom,GBR,1992,30.8
United Kingdom,GBR,1993,31.8
United Kingdom,GBR,1994,32
United Kingdom,GBR,1995,33.5
United Kingdom,GBR,1996,35.5
United Kingdom,GBR,1997,36.8
United Kingdom,GBR,1998,37.6
United Kingdom,GBR,1999,38.8
United Kingdom,GBR,2000,39.5
United Kingdom,GBR,2001,40.1
United Kingdom,GBR,2002,40.6
United Kingdom,GBR,2003,41.5
United Kingdom,GBR,2004,42.3
United Kingdom,GBR,2005,42.9
United Kingdom,GBR,2006,43.7
United Kingdom,GBR,2007,44.4
United Kingdom,GBR,2008,45.4
United Kingdom,GBR,2009,46.3
United Kingdom,GBR,2010,46.9
United Kingdom,GBR,2011,47.3
United Kingdom,GBR,2012,47.6
United States,USA,1960,5.3
United States,USA,1961,5.6
United States,USA,1962,5.9
United States,USA,1963,6.3
United States,USA,1964,6.9
United States,USA,1965,7.7
United States,USA,1966,8.4
United States,USA,1967,9
United States,USA,1968,9.7
United States,USA,1969,10
United States,USA,1970,10.7
United States,USA,1971,11.3
United States,USA,1972,12.4
United States,USA,1973,13
United States,USA,1974,13.2
United States,USA,1975,14.3
United States,USA,1976,14.8
United States,USA,1977,15.5
United States,USA,1978,16.3
United States,USA,1979,17.1
United States,USA,1980,18.4
United States,USA,1981,18.9
United States,USA,1982,19.4
United States,USA,1983,20.3
United States,USA,1984,21
United States,USA,1985,22
United States,USA,1986,23.4
United States,USA,1987,24.5
United States,USA,1988,25.7
United States,USA,1989,27.1
United States,USA,1990,28
United States,USA,1991,29.5
United States,USA,1992,30.1
United States,USA,1993,31
United States,USA,1994,32.6
United States,USA,1995,32.2
United States,USA,1996,32.4
United States,USA,1997,32.4
United States,USA,1998,32.8
United States,USA,1999,33
United States,USA,2000,33.2
United States,USA,2001,33.5
United States,USA,2002,34
United States,USA,2003,34.6
United States,USA,2004,35.8
United States,USA,2005,36.9
United States,USA,2006,38.5
United States,USA,2007,39.7
United States,USA,2008,40.6
United States,USA,2009,41
United States,USA,2010,40.8
United States,USA,2011,40.7
United States,USA,2012,40.7
United States,USA,2013,40.6
United States,USA,2014,40.2
