Entity,Code,Year,Women who were first married by age 18 (% of women ages 20-24) (% of women ages 20-24)
Afghanistan,AFG,2008,39
Afghanistan,AFG,2011,40.4
Afghanistan,AFG,2014,32.8
Afghanistan,AFG,2015,34.8
Albania,ALB,2005,7.5
Albania,ALB,2009,9.6
Algeria,DZA,2006,1.8
Algeria,DZA,2013,2.5
Angola,AGO,2016,30.3
Armenia,ARM,2000,19.1
Armenia,ARM,2005,9.9
Armenia,ARM,2010,7.2
Armenia,ARM,2016,5.3
Azerbaijan,AZE,2006,12.2
Azerbaijan,AZE,2011,11
Bangladesh,BGD,1994,73.3
Bangladesh,BGD,1997,68.5
Bangladesh,BGD,2000,65.3
Bangladesh,BGD,2004,68.7
Bangladesh,BGD,2006,64.1
Bangladesh,BGD,2007,66.2
Bangladesh,BGD,2011,64.9
Bangladesh,BGD,2013,52.3
Bangladesh,BGD,2014,58.6
Barbados,BRB,2012,10.7
Belarus,BLR,2005,6.6
Belarus,BLR,2012,3.2
Belize,BLZ,2011,25.9
Benin,BEN,1996,38.8
Benin,BEN,2001,36.7
Benin,BEN,2006,34.4
Benin,BEN,2012,31.9
Bhutan,BTN,2010,25.8
Bolivia,BOL,1989,23.7
Bolivia,BOL,1994,24.9
Bolivia,BOL,1998,21.2
Bolivia,BOL,2003,25.8
Bolivia,BOL,2008,21.7
Bosnia and Herzegovina,BIH,2006,5.5
Bosnia and Herzegovina,BIH,2012,3.5
Botswana,BWA,1988,10
Brazil,BRA,1986,21.8
Brazil,BRA,1996,23.7
Brazil,BRA,2006,35.6
Burkina Faso,BFA,1993,61.7
Burkina Faso,BFA,1999,62.3
Burkina Faso,BFA,2003,51.9
Burkina Faso,BFA,2006,47.8
Burkina Faso,BFA,2010,51.6
Burundi,BDI,1987,17.3
Burundi,BDI,2005,17.8
Burundi,BDI,2010,20.4
Cambodia,KHM,2000,24.8
Cambodia,KHM,2005,23.3
Cambodia,KHM,2010,18.4
Cambodia,KHM,2014,18.5
Cameroon,CMR,1991,57.7
Cameroon,CMR,1998,43.4
Cameroon,CMR,2004,47.2
Cameroon,CMR,2006,36.3
Cameroon,CMR,2011,38.4
Cape Verde,CPV,2005,18
Central African Republic,CAF,1995,57
Central African Republic,CAF,2006,60.6
Central African Republic,CAF,2010,67.9
Chad,TCD,1997,71.4
Chad,TCD,2004,72
Chad,TCD,2010,68.1
Chad,TCD,2015,66.9
Colombia,COL,1986,23.3
Colombia,COL,1990,22
Colombia,COL,1995,25.6
Colombia,COL,2000,21.4
Colombia,COL,2005,23.1
Colombia,COL,2010,23
Colombia,COL,2015,23.4
Comoros,COM,1996,29.7
Comoros,COM,2012,31.6
Congo,COG,2005,30.8
Congo,COG,2009,33.3
Congo,COG,2012,32.6
Costa Rica,CRI,2011,21.2
Cote d'Ivoire,CIV,1994,43.5
Cote d'Ivoire,CIV,1999,33.2
Cote d'Ivoire,CIV,2005,34.5
Cote d'Ivoire,CIV,2012,33.2
Cuba,CUB,2011,40.4
Cuba,CUB,2014,26
Democratic Republic of Congo,COD,2007,39.1
Democratic Republic of Congo,COD,2010,39.4
Democratic Republic of Congo,COD,2014,37.3
Djibouti,DJI,2006,5.4
Dominican Republic,DOM,1986,34.4
Dominican Republic,DOM,1991,30.2
Dominican Republic,DOM,1996,37.6
Dominican Republic,DOM,1999,31
Dominican Republic,DOM,2002,41.2
Dominican Republic,DOM,2006,40.3
Dominican Republic,DOM,2007,39.6
Dominican Republic,DOM,2010,40.8
Dominican Republic,DOM,2013,36.5
Ecuador,ECU,1987,26
Ecuador,ECU,2004,22.2
Egypt,EGY,1988,30.5
Egypt,EGY,1992,26.7
Egypt,EGY,1995,26.8
Egypt,EGY,2000,19.5
Egypt,EGY,2003,18.5
Egypt,EGY,2005,16.6
Egypt,EGY,2008,16.6
Egypt,EGY,2014,17.4
El Salvador,SLV,1985,37.7
El Salvador,SLV,2003,27.4
El Salvador,SLV,2008,25.4
Equatorial Guinea,GNQ,2011,29.5
Eritrea,ERI,1995,54.2
Eritrea,ERI,2002,47
Eritrea,ERI,2010,40.7
Ethiopia,ETH,2000,49.1
Ethiopia,ETH,2005,49.2
Ethiopia,ETH,2011,41.2
Ethiopia,ETH,2016,40.3
Gabon,GAB,2000,33.6
Gabon,GAB,2012,21.9
Gambia,GMB,2006,35.9
Gambia,GMB,2010,36.4
Gambia,GMB,2013,30.4
Georgia,GEO,2005,17.2
Georgia,GEO,2010,14
