Entity,Code,Year,"3.c.1 - Health worker density, by type of occupation (per 10,000 population) - SH_MED_HEAWOR - Pharmacists (per 1,000)"
Afghanistan,AFG,2001,2.5
Afghanistan,AFG,2005,3.59
Afghanistan,AFG,2006,3.21
Afghanistan,AFG,2007,3.12
Afghanistan,AFG,2008,3.04
Afghanistan,AFG,2009,3.02
Afghanistan,AFG,2010,2.8299999999999996
Afghanistan,AFG,2011,2.8100000000000005
Afghanistan,AFG,2012,2.75
Afghanistan,AFG,2014,5.220000000000001
Afghanistan,AFG,2015,5.07
Afghanistan,AFG,2016,4.83
Albania,ALB,2010,45.03
Albania,ALB,2011,47.43000000000001
Albania,ALB,2013,83.62
Algeria,DZA,2002,16.919999999999998
Algeria,DZA,2005,18.34
Algeria,DZA,2007,21.619999999999997
Andorra,AND,2003,92.89999999999999
Andorra,AND,2015,101.28
Angola,AGO,2004,4.87
Antigua and Barbuda,ATG,2007,16.41
Argentina,ARG,2001,56.51
Argentina,ARG,2004,50.38
Armenia,ARM,2010,4.27
Armenia,ARM,2011,4.21
Armenia,ARM,2012,4.34
Armenia,ARM,2013,5.11
Armenia,ARM,2014,5.16
Australia,AUS,2001,72.43
Australia,AUS,2006,74.56
Australia,AUS,2009,100.28
Australia,AUS,2010,86.97
Australia,AUS,2011,67.71
Australia,AUS,2012,93.47
Australia,AUS,2013,82.88
Australia,AUS,2014,83.85999999999999
Australia,AUS,2015,85.28
Australia,AUS,2016,86.88000000000001
Austria,AUT,2010,66.34
Austria,AUT,2011,67.38000000000001
Austria,AUT,2012,68.36
Austria,AUT,2013,68.99
Austria,AUT,2014,69.49
Austria,AUT,2015,70.33
Austria,AUT,2016,71.10000000000001
Azerbaijan,AZE,2010,20.270000000000003
Azerbaijan,AZE,2011,18.12
Azerbaijan,AZE,2012,18
Azerbaijan,AZE,2013,20.790000000000003
Azerbaijan,AZE,2014,19.96
Bahamas,BHS,2008,39.58
Bahamas,BHS,2011,55.099999999999994
Bahrain,BHR,2000,19.11
Bahrain,BHR,2001,19.35
Bahrain,BHR,2002,18.23
Bahrain,BHR,2003,17.849999999999998
Bahrain,BHR,2005,18.44
Bahrain,BHR,2006,17.95
Bahrain,BHR,2007,17.38
Bahrain,BHR,2008,16.69
Bahrain,BHR,2009,15.700000000000001
Bahrain,BHR,2010,15.79
Bahrain,BHR,2011,15.1
Bahrain,BHR,2012,15.77
Bahrain,BHR,2013,14.75
Bahrain,BHR,2014,16.39
Bahrain,BHR,2015,16.18
Bangladesh,BGD,2002,5.58
Bangladesh,BGD,2008,5.37
Bangladesh,BGD,2009,5.550000000000001
Bangladesh,BGD,2010,8
Bangladesh,BGD,2011,5.97
Bangladesh,BGD,2012,5.949999999999999
Bangladesh,BGD,2014,7.65
Bangladesh,BGD,2015,7.57
Bangladesh,BGD,2017,15.600000000000001
Barbados,BRB,2001,68.34
Barbados,BRB,2005,91.61
Belarus,BLR,2010,28.83
Belarus,BLR,2011,32.72
Belarus,BLR,2012,34.089999999999996
Belarus,BLR,2013,34.43
Belarus,BLR,2014,34.16
Belgium,BEL,2010,115.45
Belgium,BEL,2011,116.63
Belgium,BEL,2012,117.53
Belgium,BEL,2013,119.09
Belgium,BEL,2014,120.39999999999999
Belgium,BEL,2015,120.86
Belgium,BEL,2016,122.17
Belize,BLZ,2009,35.68
Belize,BLZ,2017,67.78999999999999
Benin,BEN,2004,0.14
Benin,BEN,2008,0.22999999999999998
Benin,BEN,2016,0.12
Bhutan,BTN,2004,1.09
Bhutan,BTN,2007,1.46
Bhutan,BTN,2008,2
Bhutan,BTN,2012,1.46
Bhutan,BTN,2013,1.18
Bhutan,BTN,2014,1.7999999999999998
Bhutan,BTN,2015,1.9100000000000001
Bhutan,BTN,2016,2.88
Bhutan,BTN,2017,4.58
Bolivia,BOL,2001,30.52
Bolivia,BOL,2007,3.51
Bolivia,BOL,2010,5.72
Bolivia,BOL,2011,6.550000000000001
Bolivia,BOL,2016,22.75
Bosnia and Herzegovina,BIH,2010,9.97
Bosnia and Herzegovina,BIH,2011,10.629999999999999
Bosnia and Herzegovina,BIH,2012,11.57
Bosnia and Herzegovina,BIH,2013,11.899999999999999
Bosnia and Herzegovina,BIH,2014,12.370000000000001
Botswana,BWA,2004,7.65
Botswana,BWA,2008,6.83
Botswana,BWA,2009,5.4
Botswana,BWA,2011,20.96
Brazil,BRA,2000,25.979999999999997
Brazil,BRA,2001,37.54
Brazil,BRA,2005,53.339999999999996
Brazil,BRA,2006,55.06999999999999
Brazil,BRA,2007,54.489999999999995
Brazil,BRA,2008,53.94
Brazil,BRA,2010,54.660000000000004
Brazil,BRA,2017,67.83
Brunei,BRN,2002,8.65
Brunei,BRN,2004,11.399999999999999
Brunei,BRN,2005,11.23
Brunei,BRN,2006,11.07
Brunei,BRN,2007,11.200000000000001
Brunei,BRN,2008,11.86
Brunei,BRN,2009,10.940000000000001
Brunei,BRN,2010,11.06
Brunei,BRN,2011,12.18
Brunei,BRN,2012,12.76
Brunei,BRN,2014,65.1
Brunei,BRN,2015,17.01
Bulgaria,BGR,2001,12.86
Burkina Faso,BFA,2004,1.7399999999999998
Burkina Faso,BFA,2008,0.53
Burkina Faso,BFA,2009,1.06
Burkina Faso,BFA,2010,1.18
Burkina Faso,BFA,2011,1.3900000000000001
Burkina Faso,BFA,2012,1.23
Burkina Faso,BFA,2016,0.9099999999999999
Burundi,BDI,2004,1.02
Burundi,BDI,2010,0.26
Burundi,BDI,2011,1.12
Cambodia,KHM,2000,4.640000000000001
Cambodia,KHM,2008,4.1
Cambodia,KHM,2009,3.88
Cambodia,KHM,2010,3.83
Cambodia,KHM,2011,4
Cambodia,KHM,2012,3.3000000000000003
Cambodia,KHM,2013,3.4899999999999998
Cambodia,KHM,2014,3.4399999999999995
Cameroon,CMR,2005,0.15
Cameroon,CMR,2007,0.21000000000000002
Cameroon,CMR,2009,0.14
Cameroon,CMR,2010,0.21000000000000002
Cameroon,CMR,2011,0.79
Cameroon,CMR,2016,0.8500000000000001
Canada,CAN,2001,82.65
Canada,CAN,2002,84.12
Canada,CAN,2004,89.32000000000001
Canada,CAN,2006,82.95
Canada,CAN,2007,86.30000000000001
Canada,CAN,2008,86.83999999999999
Canada,CAN,2009,90.42
Canada,CAN,2012,90.64999999999999
Canada,CAN,2013,92.39000000000001
Canada,CAN,2014,93.25
Canada,CAN,2015,98.02
Canada,CAN,2016,100.25
Cape Verde,CPV,2006,0.62
Cape Verde,CPV,2007,0.41000000000000003
Cape Verde,CPV,2008,0.41000000000000003
Cape Verde,CPV,2009,0.6
Cape Verde,CPV,2010,0.8
Cape Verde,CPV,2011,0.59
Cape Verde,CPV,2016,0.8300000000000001
Central African Republic,CAF,2004,0.42000000000000004
Central African Republic,CAF,2008,0.18
Central African Republic,CAF,2009,0.22999999999999998
Central African Republic,CAF,2015,0.43999999999999995
Chad,TCD,2004,0.32
Chad,TCD,2012,0.54
Chad,TCD,2013,0.55
Chile,CHL,2002,0.21999999999999997
Chile,CHL,2003,0.22999999999999998
Chile,CHL,2004,0.22999999999999998
Chile,CHL,2005,0.21999999999999997
Chile,CHL,2006,0.22999999999999998
Chile,CHL,2007,0.24
Chile,CHL,2008,0.22999999999999998
Chile,CHL,2009,0.22999999999999998
China,CHN,2000,32.120000000000005
China,CHN,2002,27.39
China,CHN,2004,26.9
China,CHN,2005,26.299999999999997
China,CHN,2006,26.45
China,CHN,2007,24.19
China,CHN,2008,24.45
China,CHN,2009,25.150000000000002
China,CHN,2010,25.880000000000003
China,CHN,2011,26.47
China,CHN,2012,27.29
China,CHN,2013,28.450000000000003
China,CHN,2014,29.3
China,CHN,2015,30.13
Comoros,COM,2004,2.51
Comoros,COM,2005,2.45
Comoros,COM,2009,2.67
Comoros,COM,2012,2.21
Congo,COG,2004,2.63
Congo,COG,2006,2.8899999999999997
Congo,COG,2007,0.96
Congo,COG,2011,5.540000000000001
Congo,COG,2016,3.73
Cook Islands,COK,2001,10.93
Cook Islands,COK,2004,10.26
Cook Islands,COK,2009,5.29
Cook Islands,COK,2014,5.68
Costa Rica,CRI,2000,29.14
Costa Rica,CRI,2011,82.14
Costa Rica,CRI,2013,18.93
Cote d'Ivoire,CIV,2004,4.38
Cote d'Ivoire,CIV,2005,0.7000000000000001
Cote d'Ivoire,CIV,2008,2.12
Cote d'Ivoire,CIV,2014,10.780000000000001
Croatia,HRV,2010,65.87
Croatia,HRV,2011,68.89999999999999
Croatia,HRV,2012,69.92
Croatia,HRV,2013,69.71000000000001
Croatia,HRV,2014,71.03
Croatia,HRV,2015,66.03
Cyprus,CYP,2002,14.74
Cyprus,CYP,2008,15.53
Cyprus,CYP,2010,16.27
Cyprus,CYP,2011,16.89
Cyprus,CYP,2012,17.18
Cyprus,CYP,2013,16.35
Cyprus,CYP,2014,16.32
Czech Republic,CZE,2010,57.519999999999996
Czech Republic,CZE,2011,58.87
Czech Republic,CZE,2012,59.76
Czech Republic,CZE,2013,60.25
Czech Republic,CZE,2014,63.440000000000005
Czech Republic,CZE,2015,65.67999999999999
Czech Republic,CZE,2016,67.59
Democratic Republic of Congo,COD,2009,0.44999999999999996
Denmark,DNK,2010,47.220000000000006
Denmark,DNK,2011,48.129999999999995
Denmark,DNK,2012,49.64
Denmark,DNK,2013,50.39
Denmark,DNK,2014,50.53
Denmark,DNK,2015,51.28999999999999
Djibouti,DJI,2004,2.3400000000000003
Djibouti,DJI,2005,2.3000000000000003
Djibouti,DJI,2006,2.0100000000000002
Djibouti,DJI,2008,32.32
Djibouti,DJI,2014,23.02
Dominica,DMA,2001,25.82
Dominican Republic,DOM,2000,38.89
Ecuador,ECU,2000,3.8600000000000003
Ecuador,ECU,2001,3.79
Ecuador,ECU,2002,3.7800000000000002
Ecuador,ECU,2003,3.74
Ecuador,ECU,2009,4.5200000000000005
Ecuador,ECU,2011,5.34
Ecuador,ECU,2015,4.16
Egypt,EGY,2014,32.14
Egypt,EGY,2015,39
Egypt,EGY,2016,39.88
Egypt,EGY,2017,43.120000000000005
El Salvador,SLV,2005,37.82
El Salvador,SLV,2008,37.9
El Salvador,SLV,2017,65.56
