Entity,Code,Year,"Genuine saving (Blum, Ducoing, McLaughlin (2017)) ($)"
Argentina,ARG,1900,69.36
Argentina,ARG,1901,123.28
Argentina,ARG,1902,83.99
Argentina,ARG,1903,105.54
Argentina,ARG,1904,156.84
Argentina,ARG,1905,226.31
Argentina,ARG,1906,305.78
Argentina,ARG,1907,303.5
Argentina,ARG,1908,275.29
Argentina,ARG,1909,358.35
Argentina,ARG,1910,333.44
Argentina,ARG,1911,318.09
Argentina,ARG,1912,275.02
Argentina,ARG,1913,351.41
Argentina,ARG,1914,112.5
Argentina,ARG,1915,29.06
Argentina,ARG,1916,-3.63
Argentina,ARG,1917,-25.13
Argentina,ARG,1918,-39.38
Argentina,ARG,1919,-18.39
Argentina,ARG,1920,29.84
Argentina,ARG,1921,53.08
Argentina,ARG,1922,62.99
Argentina,ARG,1923,13.63
Argentina,ARG,1924,27.75
Argentina,ARG,1925,65.01
Argentina,ARG,1926,75.06
Argentina,ARG,1927,115.07
Argentina,ARG,1928,127.82
Argentina,ARG,1929,142.04
Argentina,ARG,1930,163.42
Argentina,ARG,1931,87.79
Argentina,ARG,1932,22.83
Argentina,ARG,1933,45.63
Argentina,ARG,1934,185.28
Argentina,ARG,1935,243.33
Argentina,ARG,1936,287.93
Argentina,ARG,1937,437.08
Argentina,ARG,1938,396.83
Argentina,ARG,1939,226.77
Argentina,ARG,1940,186.67
Argentina,ARG,1941,112.16
Argentina,ARG,1942,60.94
Argentina,ARG,1943,30.84
Argentina,ARG,1944,58.06
Argentina,ARG,1945,76.13
Argentina,ARG,1946,197.63
Argentina,ARG,1947,442.13
Argentina,ARG,1948,462.8
Argentina,ARG,1949,358.67
Argentina,ARG,1950,340.53
Argentina,ARG,1951,341.07
Argentina,ARG,1952,302.74
Argentina,ARG,1953,274.75
Argentina,ARG,1954,263.04
Argentina,ARG,1955,297.99
Argentina,ARG,1956,317.31
Argentina,ARG,1957,361.93
Argentina,ARG,1958,385.76
Argentina,ARG,1959,302.87
Argentina,ARG,1960,431.04
Argentina,ARG,1961,433.91
Argentina,ARG,1962,315.61
Argentina,ARG,1963,197.57
Argentina,ARG,1964,173.46
Argentina,ARG,1965,199.04
Argentina,ARG,1966,203.29
Argentina,ARG,1967,210.19
Argentina,ARG,1968,233.91
Argentina,ARG,1969,260.34
Argentina,ARG,1970,313.57
Argentina,ARG,1971,334.4
Argentina,ARG,1972,358.15
Argentina,ARG,1973,300.97
Argentina,ARG,1974,283.6
Argentina,ARG,1975,374.88
Argentina,ARG,1976,424.01
Argentina,ARG,1977,417.27
Argentina,ARG,1978,355.35
Argentina,ARG,1979,319.57
Argentina,ARG,1980,277.53
Argentina,ARG,1981,191.1
