Entity,Code,Year,Southern White Rhino
Botswana,BWA,1895,0
Botswana,BWA,1929,0
Botswana,BWA,1948,0
Botswana,BWA,1968,0
Botswana,BWA,1984,190
Botswana,BWA,1987,125
Botswana,BWA,1991,56
Botswana,BWA,1992,27
Botswana,BWA,1993,18
Botswana,BWA,1995,20
Botswana,BWA,1997,23
Botswana,BWA,2005,99
Botswana,BWA,2010,135
Botswana,BWA,2017,452
Cote d'Ivoire,CIV,2017,1
Ivory Coast,,1895,0
Ivory Coast,,1929,0
Ivory Coast,,1948,0
Ivory Coast,,1968,0
Ivory Coast,,1984,0
Ivory Coast,,1987,0
Ivory Coast,,1991,5
Ivory Coast,,1992,5
Ivory Coast,,1993,5
Ivory Coast,,1995,4
Ivory Coast,,1997,4
Kenya,KEN,1895,0
Kenya,KEN,1929,0
Kenya,KEN,1948,0
Kenya,KEN,1968,0
Kenya,KEN,1984,33
Kenya,KEN,1987,47
Kenya,KEN,1991,57
Kenya,KEN,1992,74
Kenya,KEN,1993,87
Kenya,KEN,1995,122
Kenya,KEN,1997,137
Kenya,KEN,2005,234
Kenya,KEN,2017,510
Mozambique,MOZ,1895,0
Mozambique,MOZ,1929,0
Mozambique,MOZ,1948,0
Mozambique,MOZ,1968,0
Mozambique,MOZ,1984,1
Mozambique,MOZ,2005,7
Mozambique,MOZ,2010,6
Mozambique,MOZ,2017,29
Namibia,NAM,1895,0
Namibia,NAM,1929,0
Namibia,NAM,1948,0
Namibia,NAM,1968,0
Namibia,NAM,1984,70
Namibia,NAM,1987,63
Namibia,NAM,1991,80
Namibia,NAM,1992,91
Namibia,NAM,1993,98
Namibia,NAM,1995,107
Namibia,NAM,1997,141
Namibia,NAM,2005,293
Namibia,NAM,2010,469
Namibia,NAM,2017,975
Senegal,SEN,2017,3
South Africa,ZAF,1895,20
South Africa,ZAF,1929,150
South Africa,ZAF,1948,550
South Africa,ZAF,1968,1800
South Africa,ZAF,1984,3234
South Africa,ZAF,1987,4137
South Africa,ZAF,1991,5057
South Africa,ZAF,1992,5297
South Africa,ZAF,1993,6376
South Africa,ZAF,1995,7095
South Africa,ZAF,1997,7913
South Africa,ZAF,2005,13521
South Africa,ZAF,2010,18796
South Africa,ZAF,2017,15625
Swaziland,SWZ,1895,0
Swaziland,SWZ,1929,0
Swaziland,SWZ,1948,0
Swaziland,SWZ,1968,0
Swaziland,SWZ,1984,60
Swaziland,SWZ,1987,80
Swaziland,SWZ,1991,60
Swaziland,SWZ,1992,46
Swaziland,SWZ,1993,33
Swaziland,SWZ,1995,41
Swaziland,SWZ,1997,50
Swaziland,SWZ,2005,75
Swaziland,SWZ,2010,88
Swaziland,SWZ,2017,66
Uganda,UGA,2005,4
Uganda,UGA,2010,9
Uganda,UGA,2017,22
World,OWID_WRL,1895,20
World,OWID_WRL,1929,150
World,OWID_WRL,1948,550
World,OWID_WRL,1968,1800
World,OWID_WRL,1984,3800
World,OWID_WRL,1987,4665
World,OWID_WRL,1991,5565
World,OWID_WRL,1992,5790
World,OWID_WRL,1993,6760
World,OWID_WRL,1995,7530
World,OWID_WRL,2005,14543
World,OWID_WRL,2010,20160
World,OWID_WRL,2012,21316
World,OWID_WRL,2015,20053
World,OWID_WRL,2017,18064
Zambia,ZMB,1895,0
Zambia,ZMB,1929,0
Zambia,ZMB,1948,0
Zambia,ZMB,1968,0
Zambia,ZMB,1984,10
Zambia,ZMB,1987,6
Zambia,ZMB,1991,0
Zambia,ZMB,1993,6
Zambia,ZMB,1995,5
Zambia,ZMB,1997,6
Zambia,ZMB,2005,2
Zambia,ZMB,2010,7
Zambia,ZMB,2017,14
Zimbabwe,ZWE,1895,0
Zimbabwe,ZWE,1929,0
Zimbabwe,ZWE,1948,0
Zimbabwe,ZWE,1968,0
Zimbabwe,ZWE,1984,200
Zimbabwe,ZWE,1987,208
Zimbabwe,ZWE,1991,250
Zimbabwe,ZWE,1992,249
Zimbabwe,ZWE,1993,134
Zimbabwe,ZWE,1995,138
Zimbabwe,ZWE,1997,167
Zimbabwe,ZWE,2005,308
Zimbabwe,ZWE,2010,290
Zimbabwe,ZWE,2017,367
