Entity,Code,Year,Decision maker about a woman's own health care: mainly wife  (% of women age 15-49) (% of women age 15-49)
Afghanistan,AFG,2015,4.8
Albania,ALB,2009,19
Angola,AGO,2016,21.6
Armenia,ARM,2000,33.8
Armenia,ARM,2005,33.3
Armenia,ARM,2010,18.9
Armenia,ARM,2016,28
Azerbaijan,AZE,2006,20.1
Bangladesh,BGD,2004,17.8
Bangladesh,BGD,2007,13.8
Bangladesh,BGD,2011,12.9
Bangladesh,BGD,2014,14.1
Benin,BEN,2001,19.5
Benin,BEN,2006,21.2
Benin,BEN,2012,17
Bolivia,BOL,2003,52.8
Bolivia,BOL,2008,37.9
Burkina Faso,BFA,2003,8.8
Burkina Faso,BFA,2010,7.9
Burundi,BDI,2010,13.6
Cambodia,KHM,2005,60.6
Cambodia,KHM,2010,45.1
Cambodia,KHM,2014,46.4
Cameroon,CMR,2004,18.4
Cameroon,CMR,2011,15.5
Chad,TCD,2015,8.9
Colombia,COL,2000,65.3
Colombia,COL,2005,74.1
Colombia,COL,2010,76.2
Colombia,COL,2015,73.4
Comoros,COM,2012,20.5
Congo,COG,2012,9.8
Cote d'Ivoire,CIV,2012,10.2
Democratic Republic of Congo,COD,2007,22.2
Democratic Republic of Congo,COD,2014,10.7
Dominican Republic,DOM,2007,33.6
Dominican Republic,DOM,2013,42.2
Egypt,EGY,2000,32.7
Egypt,EGY,2005,26.3
Egypt,EGY,2008,25.6
Egypt,EGY,2014,14.6
Eritrea,ERI,2002,80.2
Ethiopia,ETH,2005,14.6
Ethiopia,ETH,2011,13.4
Ethiopia,ETH,2016,15.4
Gabon,GAB,2012,26
Gambia,GMB,2013,26.7
Ghana,GHA,2003,37
Ghana,GHA,2008,25
Ghana,GHA,2014,27.4
Guatemala,GTM,2015,19.8
Guinea,GIN,2005,16.4
Guinea,GIN,2012,7.7
Guyana,GUY,2009,40.7
Haiti,HTI,2000,21.3
Haiti,HTI,2006,26.8
Haiti,HTI,2012,34.5
Honduras,HND,2006,31.5
Honduras,HND,2012,28.3
India,IND,2006,27.1
Indonesia,IDN,2003,54
Indonesia,IDN,2007,50.9
Indonesia,IDN,2012,34
Jordan,JOR,2002,61.4
Jordan,JOR,2007,46.2
Jordan,JOR,2012,40
Kenya,KEN,2003,39.8
Kenya,KEN,2009,27.9
Kenya,KEN,2014,38.6
Kyrgyzstan,KGZ,2012,31.2
Lesotho,LSO,2004,37
Lesotho,LSO,2009,44.1
Lesotho,LSO,2014,40.3
Liberia,LBR,2013,16.2
Madagascar,MDG,2004,27.5
Madagascar,MDG,2009,40
Malawi,MWI,2000,20.5
Malawi,MWI,2004,17.8
Malawi,MWI,2010,16.6
Malawi,MWI,2016,18.6
Maldives,MDV,2009,20.4
Mali,MLI,2001,10.9
Mali,MLI,2006,12
Mali,MLI,2013,7.2
Moldova,MDA,2005,51.6
Morocco,MAR,2004,12.1
Mozambique,MOZ,2003,40.8
Mozambique,MOZ,2011,21.6
Myanmar,MMR,2016,40.1
Namibia,NAM,2007,44.8
Namibia,NAM,2013,46.3
Nepal,NPL,2001,13.4
Nepal,NPL,2006,20.3
Nepal,NPL,2011,25.7
Nicaragua,NIC,2001,46.7
Niger,NER,2006,17.1
Niger,NER,2012,3.5
Nigeria,NGA,2003,12.8
Nigeria,NGA,2008,9.8
Nigeria,NGA,2013,6.2
Pakistan,PAK,2013,11.1
Peru,PER,2000,59.6
Peru,PER,2006,49.8
Peru,PER,2008,58
Peru,PER,2009,59.6
Peru,PER,2010,57.1
Peru,PER,2011,59.2
Peru,PER,2012,61.9
Philippines,PHL,2003,75.4
Philippines,PHL,2008,49.6
Philippines,PHL,2013,51.7
Rwanda,RWA,2000,23.2
Rwanda,RWA,2005,26.2
Rwanda,RWA,2010,19.1
Rwanda,RWA,2015,23.2
Sao Tome and Principe,STP,2009,32.2
Senegal,SEN,2005,13.7
Senegal,SEN,2011,12.7
Senegal,SEN,2013,6.1
Senegal,SEN,2014,6.6
Sierra Leone,SLE,2008,11.8
Sierra Leone,SLE,2013,8.1
Swaziland,SWZ,2007,36.2
Tajikistan,TJK,2012,14.5
Tanzania,TZA,2005,42.8
Tanzania,TZA,2010,15.3
Tanzania,TZA,2016,15.7
Timor,TLS,2010,22.8
Togo,TGO,2014,11.6
Turkmenistan,TKM,2000,40.3
Uganda,UGA,2001,43.5
Uganda,UGA,2006,21.9
Uganda,UGA,2011,23.3
Ukraine,UKR,2007,64.2
Yemen,YEM,2013,9.4
Zambia,ZMB,2002,30.1
Zambia,ZMB,2007,31.7
Zambia,ZMB,2014,31.7
Zimbabwe,ZWE,1999,49.3
Zimbabwe,ZWE,2006,18.6
Zimbabwe,ZWE,2011,24.1
Zimbabwe,ZWE,2015,34.2
