Entity,Code,Year,Completeness of birth registration (%) (%)
Afghanistan,AFG,2003,6
Afghanistan,AFG,2011,37.4
Afghanistan,AFG,2015,42.3
Albania,ALB,2005,98
Albania,ALB,2009,98.6
Algeria,DZA,2006,99.4
Algeria,DZA,2013,99.6
Andorra,AND,2012,100
Angola,AGO,2001,35.6
Angola,AGO,2016,25
Arab World,,2013,86.5515585373076
Argentina,ARG,2004,91
Argentina,ARG,2007,99
Argentina,ARG,2012,99.5
Armenia,ARM,2005,96
Armenia,ARM,2010,99.6
Armenia,ARM,2016,98.7
Australia,AUS,2012,100
Australia,AUS,2013,100
Austria,AUT,2011,100
Austria,AUT,2014,100
Azerbaijan,AZE,2006,93.6
Bangladesh,BGD,2006,10
Bangladesh,BGD,2011,30.5
Bangladesh,BGD,2013,37
Bangladesh,BGD,2014,20.2
Barbados,BRB,2012,98.7
Belarus,BLR,2012,100
Belgium,BEL,2010,100
Belgium,BEL,2014,100
Belize,BLZ,2006,94
Belize,BLZ,2011,95.2
Belize,BLZ,2015,95.7
Benin,BEN,2006,53.1
Benin,BEN,2012,80.2
Benin,BEN,2014,84.8
Bhutan,BTN,2010,99.9
Bolivia,BOL,2001,74
Bolivia,BOL,2008,75.8
Bosnia and Herzegovina,BIH,2006,99.5
Botswana,BWA,2000,58
Botswana,BWA,2007,72
Botswana,BWA,2008,72.2
Botswana,BWA,2014,83.2
Brazil,BRA,2005,89
Brazil,BRA,2008,91
Brazil,BRA,2011,92.8
Brazil,BRA,2014,95.9
Brazil,BRA,2015,96.4
Bulgaria,BGR,2011,100
Bulgaria,BGR,2012,100
Burkina Faso,BFA,2006,64
Burkina Faso,BFA,2010,76.9
Burundi,BDI,2005,60
Burundi,BDI,2010,75.2
Cambodia,KHM,2005,66.4
Cambodia,KHM,2010,62.1
Cambodia,KHM,2014,73.3
Cameroon,CMR,2006,70
Cameroon,CMR,2011,61.4
Cameroon,CMR,2014,66.1
Canada,CAN,2011,100
Canada,CAN,2012,100
Cape Verde,CPV,2010,91
Caribbean small states,,2013,96.9375679455083
Central African Republic,CAF,2006,49
Central African Republic,CAF,2010,61
Central Europe and the Baltics,,2013,100
Chad,TCD,2004,9
Chad,TCD,2010,15.7
Chad,TCD,2015,12
Chile,CHL,2004,96
Chile,CHL,2007,99.4
Chile,CHL,2008,99
Chile,CHL,2010,99.8
Chile,CHL,2011,99.4
Colombia,COL,2005,90.4
Colombia,COL,2010,96.5
Colombia,COL,2015,98.6
Comoros,COM,2000,87.6
Comoros,COM,2012,87.3
Congo,COG,2005,76.8
Congo,COG,2012,90.8
Congo,COG,2015,95.9
Costa Rica,CRI,2011,99.7
Costa Rica,CRI,2013,99.6
Cote d'Ivoire,CIV,2005,49.3
Cote d'Ivoire,CIV,2006,55
Cote d'Ivoire,CIV,2012,65
Cuba,CUB,2005,100
Cuba,CUB,2011,100
Cuba,CUB,2014,100
Cyprus,CYP,2010,100
Cyprus,CYP,2014,100
Czech Republic,CZE,2012,100
Czech Republic,CZE,2014,100
Democratic Republic of Congo,COD,2007,31.3
Democratic Republic of Congo,COD,2010,27.8
Democratic Republic of Congo,COD,2014,24.6
Denmark,DNK,2011,100
Denmark,DNK,2014,100
Djibouti,DJI,2006,91.7
Dominican Republic,DOM,2006,78
Dominican Republic,DOM,2007,77.8
Dominican Republic,DOM,2011,82.4
Dominican Republic,DOM,2012,81.1
Dominican Republic,DOM,2013,84.1
Dominican Republic,DOM,2014,88
Early-demographic dividend,,2013,67.9149973804364
Ecuador,ECU,2004,84.9
Ecuador,ECU,2010,90
Ecuador,ECU,2012,92.1
Ecuador,ECU,2015,94
Egypt,EGY,2005,99
Egypt,EGY,2014,99.4
El Salvador,SLV,2008,98.6
El Salvador,SLV,2014,98.5
Equatorial Guinea,GNQ,2000,37.1
Equatorial Guinea,GNQ,2011,53.5
Estonia,EST,2011,100
Estonia,EST,2014,100
Ethiopia,ETH,2005,6.6
Ethiopia,ETH,2016,2.7
Euro area,,2013,100
Europe & Central Asia,,2013,99.4786012850142
Europe & Central Asia (IDA & IBRD),,2013,99.0366983575678
Europe & Central Asia (excluding high income),,2013,98.9642224317167
European Union,,2013,100
Finland,FIN,2011,100
Finland,FIN,2014,100
Fragile and conflict affected situations,,2013,53.7254703331196
France,FRA,2011,100
France,FRA,2014,100
Gabon,GAB,2000,89
Gabon,GAB,2012,89.6
Gambia,GMB,2006,55
Gambia,GMB,2010,52.5
Gambia,GMB,2013,72
Georgia,GEO,2005,92
Georgia,GEO,2011,98.5
Georgia,GEO,2013,99.6
Georgia,GEO,2015,99.6
Germany,DEU,2011,100
Germany,DEU,2014,100
Ghana,GHA,2006,51
Ghana,GHA,2008,71.2
Ghana,GHA,2011,62.5
Ghana,GHA,2014,70.5
Greece,GRC,2010,100
Greece,GRC,2014,100
Guatemala,GTM,2009,96.7
Guatemala,GTM,2015,96.4
Guinea,GIN,2005,43.2
Guinea,GIN,2012,57.9
Guinea-Bissau,GNB,2006,38.9
Guinea-Bissau,GNB,2010,24.1
Guinea-Bissau,GNB,2014,23.7
Guyana,GUY,2005,94.8
Guyana,GUY,2006,93
Guyana,GUY,2007,93.3
Guyana,GUY,2009,87.9
Guyana,GUY,2014,88.7
Haiti,HTI,2006,81.1
Haiti,HTI,2012,79.7
Heavily indebted poor countries (HIPC),,2013,45.3965510052573
High income,,2013,99.9278229439708
Honduras,HND,2006,93.5
Honduras,HND,2012,93.6
Hungary,HUN,2011,100
Hungary,HUN,2014,100
IBRD only,,2013,82.4200382466518
IDA & IBRD total,,2013,64.7975664014153
IDA blend,,2013,38.4499501597021
IDA only,,2013,43.7101294030567
IDA total,,2013,41.9546288136304
Iceland,ISL,2010,100
Iceland,ISL,2014,100
