Entity,Code,Year,"Adult literacy rate, population 15+ years, female (%) (%)"
Afghanistan,AFG,1979,4.98746013641357
Afghanistan,AFG,2011,17.6120624542236
Afghanistan,AFG,2015,23.8738498687744
Albania,ALB,2001,98.2522735595703
Albania,ALB,2008,94.6818084716797
Albania,ALB,2011,95.6914825439453
Albania,ALB,2012,96.1360702514648
Albania,ALB,2015,96.7696914672852
Algeria,DZA,1987,35.8399200439453
Algeria,DZA,2002,60.075080871582
Algeria,DZA,2006,63.9187889099121
Algeria,DZA,2008,67.5487518310547
Algeria,DZA,2015,73.0551300048828
American Samoa,ASM,1980,97.2199096679688
Angola,AGO,2001,54.1944885253906
Angola,AGO,2014,60.2404899597168
Angola,AGO,2015,60.744800567627
Antigua and Barbuda,ATG,2001,99.4199981689453
Antigua and Barbuda,ATG,2014,99.4199981689453
Arab World,,1985,41.0898742675781
Arab World,,1986,41.0898742675781
Arab World,,1987,41.0898742675781
Arab World,,1988,41.0898742675781
Arab World,,1989,41.0898742675781
Arab World,,1990,41.0898742675781
Arab World,,1991,41.0898742675781
Arab World,,1992,41.0898742675781
Arab World,,1993,41.0898742675781
Arab World,,1994,41.0898742675781
Arab World,,1995,54.9934043884277
Arab World,,1996,54.9934043884277
Arab World,,1997,54.9934043884277
Arab World,,1998,54.9934043884277
Arab World,,1999,54.9934043884277
Arab World,,2000,54.9934043884277
Arab World,,2001,54.9934043884277
Arab World,,2002,54.9934043884277
Arab World,,2003,54.9934043884277
Arab World,,2004,54.9934043884277
Arab World,,2005,69.2272033691406
Arab World,,2006,69.2272033691406
Arab World,,2007,69.2272033691406
Arab World,,2008,69.2272033691406
Arab World,,2009,69.2272033691406
Arab World,,2010,69.2272033691406
Arab World,,2011,69.2272033691406
Arab World,,2012,69.2272033691406
Arab World,,2013,69.2272033691406
Arab World,,2014,69.2272033691406
Argentina,ARG,1980,93.5808868408203
Argentina,ARG,1991,96.0413589477539
Argentina,ARG,2001,97.1934127807617
Argentina,ARG,2014,98.0756912231445
Argentina,ARG,2015,98.1347808837891
Armenia,ARM,1989,98.1501388549805
Armenia,ARM,2001,99.1610717773438
Armenia,ARM,2011,99.6903533935547
Armenia,ARM,2015,99.73046875
Aruba,ABW,2000,97.0713577270508
Aruba,ABW,2010,96.7197799682617
Aruba,ABW,2015,97.5139617919922
Azerbaijan,AZE,1999,98.1747817993164
Azerbaijan,AZE,2007,99.3978805541992
Azerbaijan,AZE,2009,99.6821517944336
Azerbaijan,AZE,2010,99.692626953125
Azerbaijan,AZE,2011,99.704963684082
Azerbaijan,AZE,2012,99.7028579711914
Azerbaijan,AZE,2013,99.7168197631836
Azerbaijan,AZE,2014,99.7196578979492
Azerbaijan,AZE,2015,99.7345199584961
Bahrain,BHR,1981,58.5910911560059
Bahrain,BHR,1991,76.9323196411133
Bahrain,BHR,2001,83.5574188232422
Bahrain,BHR,2010,91.6125793457031
Bahrain,BHR,2015,93.4338607788086
Bangladesh,BGD,1981,17.9716300964355
Bangladesh,BGD,1991,25.8389797210693
Bangladesh,BGD,2001,40.8233489990234
Bangladesh,BGD,2014,57.172550201416
Bangladesh,BGD,2015,58.3136405944824
Barbados,BRB,1970,99.2515563964844
Belarus,BLR,1989,96.6282196044922
Belarus,BLR,1999,99.4197235107422
Belarus,BLR,2009,99.4939880371094
