Entity,Code,Year, (%)
Albania,ALB,1998,33.433434
Albania,ALB,2004,58.799999
Algeria,DZA,2004,80.733231
Algeria,DZA,2014,79.89418
Andorra,AND,2009,92.878632
Argentina,ARG,1984,78.571426
Argentina,ARG,1993,76.347305
Argentina,ARG,1998,81.742355
Argentina,ARG,2004,81.09375
Argentina,ARG,2009,86.072144
Argentina,ARG,2014,87.207031
Armenia,ARM,1998,54.799999
Armenia,ARM,2014,81.619659
Australia,AUS,1984,95.491806
Australia,AUS,1998,94.140625
Australia,AUS,2009,92.42746
Australia,AUS,2014,93.989067
Azerbaijan,AZE,1998,76.623375
Azerbaijan,AZE,2014,81.836327
Bahrain,BHR,2014,72.666672
Bangladesh,BGD,1998,84.721306
Bangladesh,BGD,2004,77.400002
Belarus,BLR,1993,43.842361
Belarus,BLR,1998,44.885277
Belarus,BLR,2014,65.306122
Bosnia and Herzegovina,BIH,1998,79.125
Bosnia and Herzegovina,BIH,2004,81.833336
Brazil,BRA,1993,75.925926
Brazil,BRA,2009,90.380768
Brazil,BRA,2014,91.784515
Bulgaria,BGR,1998,55.503731
Bulgaria,BGR,2009,55.744255
Burkina Faso,BFA,2009,79.882431
Canada,CAN,2004,95.857063
Canada,CAN,2009,95.05088
Chile,CHL,1993,71.866669
Chile,CHL,1998,80
Chile,CHL,2004,79.833336
Chile,CHL,2009,82.082077
Chile,CHL,2014,84.669342
China,CHN,1993,67.002014
China,CHN,1998,83.600006
China,CHN,2004,78.11245
China,CHN,2009,76.219208
China,CHN,2014,84.995628
Colombia,COL,1998,84.312416
Colombia,COL,2009,86.842979
Colombia,COL,2014,91.594971
Croatia,HRV,1998,69.397995
Cyprus,CYP,2009,87.511917
Cyprus,CYP,2014,82.082077
Czech Republic,CZE,1993,72.697723
Czech Republic,CZE,1998,83.524231
Dominican Republic,DOM,1998,72.422066
Ecuador,ECU,2014,93.01165
Egypt,EGY,2004,89.400002
Egypt,EGY,2009,84.229507
Egypt,EGY,2014,29.678267
El Salvador,SLV,1998,92.02552
Estonia,EST,1998,63.663078
Estonia,EST,2014,75.440887
Ethiopia,ETH,2009,63.678932
Finland,FIN,1984,93.580742
Finland,FIN,1998,91.18541
Finland,FIN,2009,91.715973
France,FRA,2009,89.61039
Georgia,GEO,1998,65.239044
Georgia,GEO,2009,66.154877
Georgia,GEO,2014,69.550743
Germany,DEU,1998,80.552818
Germany,DEU,2009,78.248177
Germany,DEU,2014,86.134247
Ghana,GHA,2009,78.473579
