Entity,Code,Year,"Percentage of all students in tertiary education enrolled in ISCED 6, both sexes (%) (%)"
Afghanistan,AFG,2014,99.0322418212891
Albania,ALB,2013,71.2608871459961
Albania,ALB,2014,69.9112319946289
Andorra,AND,2013,86.4312286376953
Andorra,AND,2014,86.9477920532227
Arab World,,2012,81.2851409912109
Arab World,,2013,80.6015472412109
Arab World,,2014,80.9132690429688
Argentina,ARG,2012,61.6868782043457
Argentina,ARG,2013,61.1425590515137
Armenia,ARM,2013,78.2461090087891
Armenia,ARM,2014,75.9766616821289
Aruba,ABW,2013,69.8560485839844
Aruba,ABW,2014,70.4453430175781
Australia,AUS,2013,65.1511917114258
Australia,AUS,2014,64.0289993286133
Austria,AUT,2013,42.630859375
Austria,AUT,2014,42.5915412902832
Azerbaijan,AZE,2013,74.4965133666992
Azerbaijan,AZE,2014,73.6464996337891
Bahrain,BHR,2014,78.4010696411133
Belarus,BLR,2013,76.2135162353516
Belarus,BLR,2014,76.368782043457
Belgium,BEL,2014,73.1544036865234
Belize,BLZ,2013,54.9232597351074
Bermuda,BMU,2014,3.33934998512268
Bhutan,BTN,2013,80.1708984375
Bosnia and Herzegovina,BIH,2013,86.429801940918
Bosnia and Herzegovina,BIH,2014,84.0912704467773
Botswana,BWA,2013,54.4314994812012
Botswana,BWA,2014,54.8107604980469
Brazil,BRA,2013,96.5670623779297
Brunei,BRN,2013,54.6436309814453
Brunei,BRN,2014,58.6255798339844
Bulgaria,BGR,2013,68.8962097167969
Bulgaria,BGR,2014,67.5679702758789
Burundi,BDI,2011,94.9256896972656
Burundi,BDI,2012,95.6971130371094
Burundi,BDI,2013,91.6300888061523
Cape Verde,CPV,2013,92.3936309814453
Cape Verde,CPV,2014,93.4238967895508
Chile,CHL,2013,64.3527221679688
Chile,CHL,2014,63.4039611816406
China,CHN,2013,52.5530700683594
China,CHN,2014,51.3622093200684
Colombia,COL,2013,61.4220199584961
Colombia,COL,2014,61.7463302612305
Comoros,COM,2013,80.3723297119141
Comoros,COM,2014,83.8436737060547
Congo,COG,2013,37.6029396057129
Costa Rica,CRI,2013,81.2304229736328
Costa Rica,CRI,2014,84.7516326904297
Cote d'Ivoire,CIV,2008,48.8247604370117
Cote d'Ivoire,CIV,2011,10.8482303619385
Cote d'Ivoire,CIV,2013,38.9073600769043
Cote d'Ivoire,CIV,2014,41.1814994812012
Croatia,HRV,2014,62.1265716552734
Cuba,CUB,2013,70.0449523925781
Cuba,CUB,2014,68.6731414794922
Curacao,CUW,2013,90.346076965332
Cyprus,CYP,2013,62.5371513366699
Cyprus,CYP,2014,58.7367095947266
Czech Republic,CZE,2013,62.6357803344727
Czech Republic,CZE,2014,61.2313194274902
Denmark,DNK,2013,62.6078910827637
Denmark,DNK,2014,62.3432693481445
Dominican Republic,DOM,2012,96.8318634033203
Dominican Republic,DOM,2014,94.7187728881836
East Asia & Pacific,,2012,59.6054496765137
East Asia & Pacific,,2013,60.4345283508301
East Asia & Pacific,,2014,59.4737586975098
East Asia & Pacific (all income levels),,2012,60.6747703552246
East Asia & Pacific (all income levels),,2013,61.4088897705078
East Asia & Pacific (all income levels),,2014,60.4779510498047
Ecuador,ECU,2012,89.8561401367188
Ecuador,ECU,2013,90.915283203125
Egypt,EGY,2013,90.4096603393555
Egypt,EGY,2014,90.1895980834961
El Salvador,SLV,2013,81.0721206665039
El Salvador,SLV,2014,81.496711730957
Eritrea,ERI,2014,67.2056732177734
Estonia,EST,2013,69.0645904541016
Ethiopia,ETH,2014,73.343017578125
Euro area,,2012,53.9253082275391
Euro area,,2013,58.1357688903809
Euro area,,2014,58.8282508850098
Europe & Central Asia,,2012,52.3938484191895
Europe & Central Asia,,2013,50.992259979248
Europe & Central Asia,,2014,55.4888687133789
