Entity,Code,Year,Trust in others (%)
Albania,ALB,1998,24.32432
Albania,ALB,2004,23.2
Algeria,DZA,2004,10.76443
Algeria,DZA,2014,17.92863
Andorra,AND,2009,20.66199
Argentina,ARG,1984,26.09649
Argentina,ARG,1993,22.35529
Argentina,ARG,1998,17.14551
Argentina,ARG,2004,15.46875
Argentina,ARG,2009,16.63327
Argentina,ARG,2014,22.64706
Armenia,ARM,1998,23.5
Armenia,ARM,2014,10.01821
Australia,AUS,1984,48.19176
Australia,AUS,1998,39.59961
Australia,AUS,2009,48.18247
Australia,AUS,2014,54.43383
Azerbaijan,AZE,1998,19.43057
Azerbaijan,AZE,2014,16.16766
Bahrain,BHR,2014,33.5
Bangladesh,BGD,1998,20.45902
Bangladesh,BGD,2004,23.26667
Belarus,BLR,1993,25.02463
Belarus,BLR,1998,22.99235
Belarus,BLR,2014,32.80737
Bosnia and Herzegovina,BIH,1998,24.75
Bosnia and Herzegovina,BIH,2004,15.58333
Brazil,BRA,1993,6.39731
Brazil,BRA,2009,9.20162
Brazil,BRA,2014,6.52759
Bulgaria,BGR,1998,23.69403
Bulgaria,BGR,2009,19.43888
Burkina Faso,BFA,2009,14.35342
Canada,CAN,2004,36.69439
Canada,CAN,2009,41.11111
Chile,CHL,1993,22.06667
Chile,CHL,1998,20.9
Chile,CHL,2004,22.41667
Chile,CHL,2009,12.29839
Chile,CHL,2014,12.64016
China,CHN,1993,59.45946
China,CHN,1998,50.4
China,CHN,2004,54.46058
China,CHN,2009,49.08815
China,CHN,2014,62.69384
Colombia,COL,1998,10.72199
Colombia,COL,2009,14.31405
Colombia,COL,2014,4.12783
Croatia,HRV,1998,22.82609
Cyprus,CYP,2009,12.82546
Cyprus,CYP,2014,9.02708
Czech Republic,CZE,1993,30.22752
Czech Republic,CZE,1998,28.5192
Dominican Republic,DOM,1998,25.17986
Ecuador,ECU,2014,7.1607
Egypt,EGY,2004,37.46667
Egypt,EGY,2009,18.39948
Egypt,EGY,2014,20.55154
El Salvador,SLV,1998,14.11483
Estonia,EST,1998,21.05779
Estonia,EST,2014,38.51175
Ethiopia,ETH,2009,22.52632
Finland,FIN,1984,57.17192
Finland,FIN,1998,47.923
Finland,FIN,2009,57.98817
France,FRA,2009,18.65597
Georgia,GEO,1998,17.67928
Georgia,GEO,2009,17.65886
Georgia,GEO,2014,8.81864
Germany,DEU,1998,32.13228
Germany,DEU,2009,31.84055
Germany,DEU,2014,42.03041
Ghana,GHA,2009,8.4801
Ghana,GHA,2014,4.96134
Guatemala,GTM,2009,15.6
Hong Kong,HKG,2009,40.33546
Hong Kong,HKG,2014,48.33837
Hungary,HUN,1984,33.56991
Hungary,HUN,1998,22.46154
Hungary,HUN,2009,28.12813
India,IND,1993,33.52
India,IND,1998,32.84314
India,IND,2004,38.86114
India,IND,2009,20.68966
India,IND,2014,32.95383
Indonesia,IDN,2004,45.7
Indonesia,IDN,2009,41.09962
Iran,IRN,2004,55.42807
Iran,IRN,2009,10.53618
Iraq,IRQ,2004,46.42393
Iraq,IRQ,2009,39.13696
Iraq,IRQ,2014,30
Israel,ISR,2004,23.02521
Italy,ITA,2009,28.25203
Japan,JPN,1984,41.49227
Japan,JPN,1993,37.58655
Japan,JPN,1998,39.75332
Japan,JPN,2004,39.64758
Japan,JPN,2009,36.58759
Japan,JPN,2014,35.93942
Jordan,JOR,2004,27.40066
Jordan,JOR,2009,31.31822
Jordan,JOR,2014,13.25
Kazakhstan,KAZ,2014,38.8
Kuwait,KWT,2014,29.15361
Kyrgyzstan,KGZ,2004,16.58677
Kyrgyzstan,KGZ,2014,37.72538
Latvia,LVA,1998,23.91667
Lebanon,LBN,2014,9.83333
Libya,LBY,2014,11.00614
Lithuania,LTU,1998,21.30823
Macedonia,MKD,1998,7.53769
Macedonia,MKD,2004,13.27014
Malaysia,MYS,2009,8.82598
Malaysia,MYS,2014,8.53846
Mali,MLI,2009,17.15576
Mexico,MEX,1984,17.49436
Mexico,MEX,1993,30.56106
Mexico,MEX,1998,29.42422
Mexico,MEX,2004,21.30293
Mexico,MEX,2009,15.49839
Mexico,MEX,2014,12.4062
Moldova,MDA,1998,21.84959
Moldova,MDA,2004,14.0873
Moldova,MDA,2009,17.59082
Montenegro,MNE,1998,30.41667
Montenegro,MNE,2004,32.92453
Morocco,MAR,2004,21.74261
