Entity,Code,Year,Burden of Depressive Disorders – Ferrari et al. (2013) (Percentage)
Afghanistan,AFG,2010,22.5
Albania,ALB,2010,5.17
Algeria,DZA,2010,7.34
Andorra,AND,2010,6.49
Angola,AGO,2010,5.03
Antigua and Barbuda,ATG,2010,7.07
Argentina,ARG,2010,5.16
Armenia,ARM,2010,4.99
"Asia Pacific, High Income",,2010,2.54
"Asia, Central",,2010,4.93
"Asia, East",,2010,3
"Asia, South",,2010,4.06
"Asia, Southeast",,2010,4.9
Australasia,,2010,3.32
Australia,AUS,2010,3.05
Austria,AUT,2010,5.01
Azerbaijan,AZE,2010,4.19
Bahamas,BHS,2010,5.42
Bahrain,BHR,2010,8.62
Bangladesh,BGD,2010,3.35
Barbados,BRB,2010,5.32
Belarus,BLR,2010,6.56
Belgium,BEL,2010,3.98
Belize,BLZ,2010,5.41
Benin,BEN,2010,3.92
Bhutan,BTN,2010,3.83
Bolivia,BOL,2010,3.94
Bosnia and Herzegovina,BIH,2010,3.56
Botswana,BWA,2010,7.42
Brazil,BRA,2010,5.47
Brunei,BRN,2010,4.36
Bulgaria,BGR,2010,4.58
Burkina Faso,BFA,2010,3.95
Burundi,BDI,2010,6.06
Cambodia,KHM,2010,4.88
Cameroon,CMR,2010,4.39
Canada,CAN,2010,4.35
Cape Verde,CPV,2010,5.02
Caribbean,,2010,5.16
Central African Republic,CAF,2010,5.71
Chad,TCD,2010,5.16
Chile,CHL,2010,3.99
China,CHN,2010,3.02
Colombia,COL,2010,6.31
Comoros,COM,2010,5.78
Congo,COG,2010,6.45
Costa Rica,CRI,2010,4.68
Cote d'Ivoire,CIV,2010,5.05
Croatia,HRV,2010,7.06
Cuba,CUB,2010,5.84
Cyprus,CYP,2010,5.75
Czech Republic,CZE,2010,3.23
Democratic Republic of Congo,COD,2010,5.79
Denmark,DNK,2010,5.07
Djibouti,DJI,2010,6.7
Dominica,DMA,2010,5.4
Dominican Republic,DOM,2010,4.48
Ecuador,ECU,2010,4.38
Egypt,EGY,2010,5.29
El Salvador,SLV,2010,5.38
Equatorial Guinea,GNQ,2010,7.05
Eritrea,ERI,2010,6.61
Estonia,EST,2010,6.75
Ethiopia,ETH,2010,3.61
"Europe, Central",,2010,4.09
"Europe, Eastern",,2010,5.88
"Europe, Western",,2010,4.66
Fiji,FJI,2010,3.46
Finland,FIN,2010,5.98
France,FRA,2010,4.8
Gabon,GAB,2010,7.2
Gambia,GMB,2010,5.07
Georgia,GEO,2010,4.88
Germany,DEU,2010,4.85
Ghana,GHA,2010,4.38
Global,,2010,4.37
Greece,GRC,2010,4.87
Grenada,GRD,2010,5.41
Guatemala,GTM,2010,5.35
Guinea,GIN,2010,4.45
Guinea-Bissau,GNB,2010,3.91
Guyana,GUY,2010,6.29
Haiti,HTI,2010,4.84
Honduras,HND,2010,9.22
Hungary,HUN,2010,3.31
Iceland,ISL,2010,4.74
India,IND,2010,4.06
Indonesia,IDN,2010,4.9
Iran,IRN,2010,7
Iraq,IRQ,2010,4.48
Ireland,IRL,2010,4.05
Israel,ISR,2010,4.58
Italy,ITA,2010,4.84
Jamaica,JAM,2010,4.79
Japan,JPN,2010,2.46
Jordan,JOR,2010,7.73
Kazakhstan,KAZ,2010,4.19
Kenya,KEN,2010,5.15
Kiribati,KIR,2010,5.73
Kuwait,KWT,2010,7.51
Kyrgyzstan,KGZ,2010,4.79
Laos,LAO,2010,5.81
"Latin America, Andean",,2010,4.58
"Latin America, Central",,2010,4.4
"Latin America, Southern",,2010,4.8
"Latin America, Tropical",,2010,5.5
Latvia,LVA,2010,6.21
Lebanon,LBN,2010,5.27
Lesotho,LSO,2010,6.28
Liberia,LBR,2010,4.6
Libya,LBY,2010,9.27
Lithuania,LTU,2010,4.79
Luxembourg,LUX,2010,6.55
Macedonia,MKD,2010,5.23
Madagascar,MDG,2010,5.11
Malawi,MWI,2010,5.77
Malaysia,MYS,2010,5.57
Maldives,MDV,2010,5.08
Mali,MLI,2010,5.72
Malta,MLT,2010,6.58
