Entity,Code,Year,Percentage of women 20-24 who were first married before 18 (UNICEF Global Databases (2016)) (%)
Afghanistan,AFG,2013,33
Albania,ALB,2009,10
Algeria,DZA,2013,3
Armenia,ARM,2010,7
Azerbaijan,AZE,2011,11
Bangladesh,BGD,2013,52
Barbados,BRB,2012,11
Belarus,BLR,2012,3
Belize,BLZ,2011,26
Benin,BEN,2012,32
Bhutan,BTN,2010,26
Bolivia,BOL,2008,22
Bosnia and Herzegovina,BIH,2012,4
Brazil,BRA,2006,36
Burkina Faso,BFA,2010,52
Burundi,BDI,2010,20
Cambodia,KHM,2014,19
Cameroon,CMR,2011,38
Cape Verde,CPV,2005,18
Central African Republic,CAF,2010,68
Chad,TCD,2010,68
Colombia,COL,2010,23
Comoros,COM,2012,32
Congo,COG,2012,33
Costa Rica,CRI,2011,21
Cote d'Ivoire,CIV,2012,33
Cuba,CUB,2014,26
Democratic Republic of Congo,COD,2014,37
Djibouti,DJI,2006,5
Dominican Republic,DOM,2013,37
Ecuador,ECU,2004,22
Egypt,EGY,2014,17
El Salvador,SLV,2008,25
Equatorial Guinea,GNQ,2011,30
Eritrea,ERI,2010,41
Ethiopia,ETH,2011,41
Gabon,GAB,2012,22
Gambia,GMB,2013,30
Georgia,GEO,2010,14
Ghana,GHA,2014,21
Guatemala,GTM,2009,30
Guinea,GIN,2012,52
Guinea-Bissau,GNB,2010,22
Guyana,GUY,2009,23
Haiti,HTI,2012,18
Honduras,HND,2012,34
India,IND,2006,47
Indonesia,IDN,2013,14
Iran,IRN,2010,17
Iraq,IRQ,2011,24
Jamaica,JAM,2011,8
Jordan,JOR,2012,8
Kazakhstan,KAZ,2011,6
Kenya,KEN,2014,23
Kiribati,KIR,2009,20
Kyrgyzstan,KGZ,2014,12
Laos,LAO,2012,35
Lebanon,LBN,2009,6
Lesotho,LSO,2009,19
Liberia,LBR,2013,36
Macedonia,MKD,2011,7
Madagascar,MDG,2013,41
Malawi,MWI,2014,46
Maldives,MDV,2009,4
Mali,MLI,2010,55
Marshall Islands,MHL,2007,26
Mauritania,MRT,2011,34
Mexico,MEX,2009,23
Moldova,MDA,2012,12
Mongolia,MNG,2010,5
Montenegro,MNE,2013,5
Morocco,MAR,2004,16
Mozambique,MOZ,2011,48
Namibia,NAM,2013,7
Nauru,NRU,2007,27
Nepal,NPL,2014,37
Nicaragua,NIC,2006,41
Niger,NER,2012,76
Nigeria,NGA,2013,43
Pakistan,PAK,2013,21
Palestine,PSE,2014,15
Panama,PAN,2013,26
Papua New Guinea,PNG,2006,21
Paraguay,PRY,2004,18
Peru,PER,2014,19
Philippines,PHL,2013,15
Qatar,QAT,2012,4
Rwanda,RWA,2010,8
Saint Lucia,LCA,2012,8
Samoa,WSM,2014,11
Sao Tome and Principe,STP,2009,34
Senegal,SEN,2014,32
Serbia,SRB,2014,3
Sierra Leone,SLE,2013,39
Solomon Islands,SLB,2007,22
Somalia,SOM,2006,45
South Africa,ZAF,2003,6
South Sudan,SSD,2010,52
Sri Lanka,LKA,2007,12
Sudan,SDN,2010,33
Suriname,SUR,2010,19
Swaziland,SWZ,2010,7
Syria,SYR,2006,13
Tajikistan,TJK,2012,12
Tanzania,TZA,2010,37
Thailand,THA,2012,22
Timor,TLS,2009,19
Togo,TGO,2014,22
Tonga,TON,2012,6
Trinidad and Tobago,TTO,2006,8
Tunisia,TUN,2012,2
Turkey,TUR,2013,15
Turkmenistan,TKM,2006,7
Tuvalu,TUV,2007,10
Uganda,UGA,2011,40
Ukraine,UKR,2012,9
Uruguay,URY,2013,25
Uzbekistan,UZB,2006,7
Vanuatu,VUT,2013,21
Vietnam,VNM,2014,11
Yemen,YEM,2013,32
Zambia,ZMB,2014,31
Zimbabwe,ZWE,2014,34
