Entity,Code,Year,Woman's testimony carries the same evidentiary weight in court as a man's (1=yes; 0=no) (1=yes; 0=no)
Afghanistan,AFG,2015,0
Albania,ALB,2009,1
Albania,ALB,2011,1
Albania,ALB,2013,1
Albania,ALB,2015,1
Algeria,DZA,2009,1
Algeria,DZA,2011,1
Algeria,DZA,2013,1
Algeria,DZA,2015,1
Angola,AGO,2009,1
Angola,AGO,2011,1
Angola,AGO,2013,1
Angola,AGO,2015,1
Antigua and Barbuda,ATG,2015,1
Argentina,ARG,2009,1
Argentina,ARG,2011,1
Argentina,ARG,2013,1
Argentina,ARG,2015,1
Armenia,ARM,2009,1
Armenia,ARM,2011,1
Armenia,ARM,2013,1
Armenia,ARM,2015,1
Australia,AUS,2009,1
Australia,AUS,2011,1
Australia,AUS,2013,1
Australia,AUS,2015,1
Austria,AUT,2009,1
Austria,AUT,2011,1
Austria,AUT,2013,1
Austria,AUT,2015,1
Azerbaijan,AZE,2009,1
Azerbaijan,AZE,2011,1
Azerbaijan,AZE,2013,1
Azerbaijan,AZE,2015,1
Bahamas,BHS,2015,1
Bahrain,BHR,2015,1
Bangladesh,BGD,2009,1
Bangladesh,BGD,2011,1
Bangladesh,BGD,2013,1
Bangladesh,BGD,2015,1
Barbados,BRB,2015,1
Belarus,BLR,2009,1
Belarus,BLR,2011,1
Belarus,BLR,2013,1
Belarus,BLR,2015,1
Belgium,BEL,2009,1
Belgium,BEL,2011,1
Belgium,BEL,2013,1
Belgium,BEL,2015,1
Belize,BLZ,2015,1
Benin,BEN,2009,1
Benin,BEN,2011,1
Benin,BEN,2013,1
Benin,BEN,2015,1
Bhutan,BTN,2015,1
Bolivia,BOL,2009,1
Bolivia,BOL,2011,1
Bolivia,BOL,2013,1
Bolivia,BOL,2015,1
Bosnia and Herzegovina,BIH,2009,1
Bosnia and Herzegovina,BIH,2011,1
Bosnia and Herzegovina,BIH,2013,1
Bosnia and Herzegovina,BIH,2015,1
Botswana,BWA,2009,1
Botswana,BWA,2011,1
Botswana,BWA,2013,1
Botswana,BWA,2015,1
Brazil,BRA,2009,1
Brazil,BRA,2011,1
Brazil,BRA,2013,1
Brazil,BRA,2015,1
Brunei,BRN,2015,1
Bulgaria,BGR,2009,1
Bulgaria,BGR,2011,1
Bulgaria,BGR,2013,1
Bulgaria,BGR,2015,1
Burkina Faso,BFA,2009,1
Burkina Faso,BFA,2011,1
Burkina Faso,BFA,2013,1
Burkina Faso,BFA,2015,1
Burundi,BDI,2009,1
Burundi,BDI,2011,1
Burundi,BDI,2013,1
Burundi,BDI,2015,1
Cambodia,KHM,2009,1
Cambodia,KHM,2011,1
Cambodia,KHM,2013,1
Cambodia,KHM,2015,1
Cameroon,CMR,2009,1
Cameroon,CMR,2011,1
Cameroon,CMR,2013,1
Cameroon,CMR,2015,1
Canada,CAN,2009,1
Canada,CAN,2011,1
Canada,CAN,2013,1
Canada,CAN,2015,1
Cape Verde,CPV,2015,1
Central African Republic,CAF,2015,1
Chad,TCD,2009,1
Chad,TCD,2011,1
Chad,TCD,2013,1
Chad,TCD,2015,1
Chile,CHL,2009,1
Chile,CHL,2011,1
Chile,CHL,2013,1
Chile,CHL,2015,1
China,CHN,2009,1
China,CHN,2011,1
China,CHN,2013,1
China,CHN,2015,1
Colombia,COL,2009,1
Colombia,COL,2011,1
Colombia,COL,2013,1
Colombia,COL,2015,1
Comoros,COM,2015,1
Congo,COG,2009,1
Congo,COG,2011,1
Congo,COG,2013,1
Congo,COG,2015,1
Costa Rica,CRI,2009,1
Costa Rica,CRI,2011,1
Costa Rica,CRI,2013,1
Costa Rica,CRI,2015,1
Cote d'Ivoire,CIV,2009,1
Cote d'Ivoire,CIV,2011,1
Cote d'Ivoire,CIV,2013,1
Cote d'Ivoire,CIV,2015,1
Croatia,HRV,2009,1
Croatia,HRV,2011,1
Croatia,HRV,2013,1
Croatia,HRV,2015,1
Cyprus,CYP,2015,1
Czech Republic,CZE,2009,1
Czech Republic,CZE,2011,1
Czech Republic,CZE,2013,1
Czech Republic,CZE,2015,1
Democratic Republic of Congo,COD,2009,1
Democratic Republic of Congo,COD,2011,1
Democratic Republic of Congo,COD,2013,1
Democratic Republic of Congo,COD,2015,1
Denmark,DNK,2009,1
Denmark,DNK,2011,1
Denmark,DNK,2013,1
Denmark,DNK,2015,1
Djibouti,DJI,2015,1
Dominica,DMA,2015,1
Dominican Republic,DOM,2009,1
Dominican Republic,DOM,2011,1
Dominican Republic,DOM,2013,1
Dominican Republic,DOM,2015,1
Ecuador,ECU,2009,1
Ecuador,ECU,2011,1
Ecuador,ECU,2013,1
Ecuador,ECU,2015,1
Egypt,EGY,2009,1
Egypt,EGY,2011,1
Egypt,EGY,2013,1
Egypt,EGY,2015,1
El Salvador,SLV,2009,1
El Salvador,SLV,2011,1
El Salvador,SLV,2013,1
El Salvador,SLV,2015,1
Equatorial Guinea,GNQ,2015,1
Eritrea,ERI,2015,1
Estonia,EST,2009,1
Estonia,EST,2011,1
Estonia,EST,2013,1
Estonia,EST,2015,1
Ethiopia,ETH,2009,1
Ethiopia,ETH,2011,1
Ethiopia,ETH,2013,1
Ethiopia,ETH,2015,1
Fiji,FJI,2009,1
Fiji,FJI,2011,1
Fiji,FJI,2013,1
Fiji,FJI,2015,1
Finland,FIN,2009,1
Finland,FIN,2011,1
Finland,FIN,2013,1
Finland,FIN,2015,1
France,FRA,2009,1
France,FRA,2011,1
France,FRA,2013,1
France,FRA,2015,1
Gabon,GAB,2009,1
Gabon,GAB,2011,1
Gabon,GAB,2013,1
Gabon,GAB,2015,1
Gambia,GMB,2015,1
Georgia,GEO,2009,1
Georgia,GEO,2011,1
Georgia,GEO,2013,1
Georgia,GEO,2015,1
Germany,DEU,2009,1
Germany,DEU,2011,1
Germany,DEU,2013,1
Germany,DEU,2015,1
Ghana,GHA,2009,1
Ghana,GHA,2011,1
Ghana,GHA,2013,1
Ghana,GHA,2015,1
Greece,GRC,2009,1
Greece,GRC,2011,1
Greece,GRC,2013,1
Greece,GRC,2015,1
Grenada,GRD,2015,1
Guatemala,GTM,2009,1
Guatemala,GTM,2011,1
Guatemala,GTM,2013,1
Guatemala,GTM,2015,1
Guinea,GIN,2009,1
Guinea,GIN,2011,1
Guinea,GIN,2013,1
Guinea,GIN,2015,1
Guinea-Bissau,GNB,2015,1
Guyana,GUY,2015,1
Haiti,HTI,2013,1
Haiti,HTI,2015,1
Honduras,HND,2009,1
Honduras,HND,2011,1
Honduras,HND,2013,1
Honduras,HND,2015,1
Hong Kong,HKG,2009,1
Hong Kong,HKG,2011,1
Hong Kong,HKG,2013,1
Hong Kong,HKG,2015,1
Hungary,HUN,2009,1
Hungary,HUN,2011,1
Hungary,HUN,2013,1
Hungary,HUN,2015,1
Iceland,ISL,2009,1
Iceland,ISL,2011,1
Iceland,ISL,2013,1
Iceland,ISL,2015,1
India,IND,2009,1
India,IND,2011,1
India,IND,2013,1
India,IND,2015,1
Indonesia,IDN,2009,1
Indonesia,IDN,2011,1
Indonesia,IDN,2013,1
Indonesia,IDN,2015,1
Iran,IRN,2009,0
Iran,IRN,2011,0
Iran,IRN,2013,0
Iran,IRN,2015,0
Iraq,IRQ,2015,1
Ireland,IRL,2009,1
Ireland,IRL,2011,1
Ireland,IRL,2013,1
Ireland,IRL,2015,1
Israel,ISR,2009,1
Israel,ISR,2011,1
Israel,ISR,2013,1
Israel,ISR,2015,1
Italy,ITA,2009,1
Italy,ITA,2011,1
Italy,ITA,2013,1
Italy,ITA,2015,1
Jamaica,JAM,2009,1
Jamaica,JAM,2011,1
Jamaica,JAM,2013,1
Jamaica,JAM,2015,1
Japan,JPN,2009,1
Japan,JPN,2011,1
Japan,JPN,2013,1
Japan,JPN,2015,1
Jordan,JOR,2009,0
Jordan,JOR,2011,0
Jordan,JOR,2013,0
Jordan,JOR,2015,0
Kazakhstan,KAZ,2009,1
Kazakhstan,KAZ,2011,1
