Entity,Code,Year,"Crops - Peas, dry - 187 - Yield - 5419 - hg/ha (tonnes per hectare)"
Africa,,1961,0.6787000000000001
Africa,,1962,0.7745000000000001
Africa,,1963,0.7116
Africa,,1964,0.7441
Africa,,1965,0.7208
Africa,,1966,0.7143
Africa,,1967,0.7176
Africa,,1968,0.7274
Africa,,1969,0.7486
Africa,,1970,0.738
Africa,,1971,0.7797000000000001
Africa,,1972,0.7302000000000001
Africa,,1973,0.5345
Africa,,1974,0.6768000000000001
Africa,,1975,0.6232
Africa,,1976,0.657
Africa,,1977,0.5958
Africa,,1978,0.6258
Africa,,1979,0.7625000000000001
Africa,,1980,0.8499
Africa,,1981,0.6764
Africa,,1982,0.7205
Africa,,1983,0.6386000000000001
Africa,,1984,0.5929
Africa,,1985,0.5883
Africa,,1986,0.5838
Africa,,1987,0.5914
Africa,,1988,0.6027
Africa,,1989,0.6139
Africa,,1990,0.6619
Africa,,1991,0.8248000000000001
Africa,,1992,0.5503
Africa,,1993,0.653
Africa,,1994,0.5452
Africa,,1995,0.6515000000000001
Africa,,1996,0.6199
Africa,,1997,0.637
Africa,,1998,0.5895
Africa,,1999,0.5742
Africa,,2000,0.5966
Africa,,2001,0.609
Africa,,2002,0.7225
Africa,,2003,0.6558
Africa,,2004,0.7246
Africa,,2005,0.6868000000000001
Africa,,2006,0.7187
Africa,,2007,0.7465
Africa,,2008,0.7615000000000001
Africa,,2009,0.7492000000000001
Africa,,2010,0.8282
Africa,,2011,0.8388
Africa,,2012,0.8754000000000001
Africa,,2013,0.9617
Africa,,2014,0.9416
Africa,,2015,0.9487000000000001
Africa,,2016,0.9888
Africa,,2017,1.0201
Africa,,2018,1.0248000000000002
Algeria,DZA,1961,0.5201
Algeria,DZA,1962,0.6333000000000001
Algeria,DZA,1963,0.7000000000000001
Algeria,DZA,1964,0.5983
Algeria,DZA,1965,0.46490000000000004
Algeria,DZA,1966,0.5650000000000001
Algeria,DZA,1967,0.556
Algeria,DZA,1968,0.45830000000000004
Algeria,DZA,1969,0.4005
Algeria,DZA,1970,0.34240000000000004
Algeria,DZA,1971,0.44620000000000004
Algeria,DZA,1972,0.39330000000000004
Algeria,DZA,1973,0.4384
Algeria,DZA,1974,0.4506
Algeria,DZA,1975,0.6309
Algeria,DZA,1976,0.6456000000000001
Algeria,DZA,1977,0.4883
Algeria,DZA,1978,0.466
Algeria,DZA,1979,0.3699
Algeria,DZA,1980,0.3094
Algeria,DZA,1981,0.3466
Algeria,DZA,1982,0.1967
Algeria,DZA,1983,0.11380000000000001
Algeria,DZA,1984,0.2232
Algeria,DZA,1985,0.3584
Algeria,DZA,1986,0.3871
Algeria,DZA,1987,0.2692
Algeria,DZA,1988,0.1245
Algeria,DZA,1989,0.2842
Algeria,DZA,1990,0.3019
Algeria,DZA,1991,0.5296000000000001
Algeria,DZA,1992,0.4615
Algeria,DZA,1993,0.16190000000000002
Algeria,DZA,1994,0.2361
Algeria,DZA,1995,0.24880000000000002
Algeria,DZA,1996,0.5672
Algeria,DZA,1997,0.1583
Algeria,DZA,1998,0.4555
Algeria,DZA,1999,0.465
Algeria,DZA,2000,0.2222
Algeria,DZA,2001,0.5592
Algeria,DZA,2002,0.6088
Algeria,DZA,2003,0.7306
Algeria,DZA,2004,0.7902
Algeria,DZA,2005,0.6433
Algeria,DZA,2006,0.5876
Algeria,DZA,2007,0.6798000000000001
Algeria,DZA,2008,0.4788
Algeria,DZA,2009,0.7033
Algeria,DZA,2010,0.746
Algeria,DZA,2011,0.7478
Algeria,DZA,2012,0.9279000000000001
Algeria,DZA,2013,0.9795
Algeria,DZA,2014,0.8922
Algeria,DZA,2015,0.9855
Algeria,DZA,2016,0.7801
Algeria,DZA,2017,0.9720000000000001
Algeria,DZA,2018,1.1049
Americas,,1961,1.0003
Americas,,1962,1.2613
Americas,,1963,1.2465000000000002
Americas,,1964,1.3012000000000001
Americas,,1965,1.3157
Americas,,1966,1.1497
Americas,,1967,1.1449
Americas,,1968,1.048
Americas,,1969,1.2037
Americas,,1970,1.0529
Americas,,1971,1.3435000000000001
Americas,,1972,1.1571
Americas,,1973,1.0450000000000002
Americas,,1974,1.1801000000000001
Americas,,1975,1.1723000000000001
Americas,,1976,1.2317
Americas,,1977,0.8380000000000001
Americas,,1978,1.3109
Americas,,1979,1.2327000000000001
Americas,,1980,1.3575000000000002
Americas,,1981,1.3342
Americas,,1982,1.3358
Americas,,1983,1.4020000000000001
Americas,,1984,1.2479
Americas,,1985,1.4622000000000002
Americas,,1986,1.6195000000000002
Americas,,1987,1.7021000000000002
Americas,,1988,1.4139000000000002
Americas,,1989,1.6520000000000001
Americas,,1990,1.4989000000000001
Americas,,1991,1.8136
Americas,,1992,1.6807
Americas,,1993,1.9641000000000002
Americas,,1994,2.0152
Americas,,1995,1.9024
Americas,,1996,2.0334000000000003
Americas,,1997,2.0300000000000002
Americas,,1998,2.1034
Americas,,1999,2.4959000000000002
Americas,,2000,2.2451000000000003
Americas,,2001,1.0486
Americas,,2002,1.3523
Americas,,2003,1.6559000000000001
Americas,,2004,2.4
Americas,,2005,2.2196000000000002
Americas,,2006,1.8996000000000002
Americas,,2007,2.0112
Americas,,2008,2.0854
Americas,,2009,2.1969000000000003
Americas,,2010,2.1062000000000003
Americas,,2011,2.3274
Americas,,2012,2.1474
Americas,,2013,2.6729000000000003
Americas,,2014,2.2476000000000003
Americas,,2015,2.0186
Americas,,2016,2.6507
Americas,,2017,2.2263
Americas,,2018,2.3277
Argentina,ARG,1961,1.0443
Argentina,ARG,1962,1.2461
Argentina,ARG,1963,1.4160000000000001
Argentina,ARG,1964,1.0484
Argentina,ARG,1965,1.717
Argentina,ARG,1966,1.6615
Argentina,ARG,1967,1.1272
Argentina,ARG,1968,0.8104
Argentina,ARG,1969,1.1765
Argentina,ARG,1970,0.9306000000000001
Argentina,ARG,1971,0.8104
Argentina,ARG,1972,0.8027000000000001
Argentina,ARG,1973,0.9663
Argentina,ARG,1974,1.2087
Argentina,ARG,1975,1.3219
Argentina,ARG,1976,2.0029
Argentina,ARG,1977,1.5075
Argentina,ARG,1978,1.0952
Argentina,ARG,1979,0.7742
Argentina,ARG,1980,0.9947
Argentina,ARG,1981,1.0063
Argentina,ARG,1982,1.0294
Argentina,ARG,1983,1.5663
Argentina,ARG,1984,0.9806
Argentina,ARG,1985,1.2551
Argentina,ARG,1986,1.1061
Argentina,ARG,1987,1.1724
Argentina,ARG,1988,1.6313
Argentina,ARG,1989,1.2903
Argentina,ARG,1990,0.75
Argentina,ARG,1991,1.9302000000000001
Argentina,ARG,1992,1.9780000000000002
Argentina,ARG,1993,1.9897
Argentina,ARG,1994,2.2286
Argentina,ARG,1995,1.3394000000000001
Argentina,ARG,1996,1.5789
Argentina,ARG,1997,1.3103
Argentina,ARG,1998,1.4000000000000001
Argentina,ARG,1999,1.1500000000000001
Argentina,ARG,2000,1.12
Argentina,ARG,2001,1.3333000000000002
Argentina,ARG,2002,1.2222
Argentina,ARG,2003,1.2
Argentina,ARG,2004,1.12
Argentina,ARG,2005,1.125
Argentina,ARG,2006,1.1957
Argentina,ARG,2007,1.1905000000000001
Argentina,ARG,2008,1.1905000000000001
Argentina,ARG,2009,1.1571
Argentina,ARG,2010,1.1579000000000002
Argentina,ARG,2011,1.1678
Argentina,ARG,2012,1.159
Argentina,ARG,2013,1.1503
Argentina,ARG,2014,1.1148
Argentina,ARG,2015,1.1173
Argentina,ARG,2016,1.1269
Argentina,ARG,2017,1.1192
Argentina,ARG,2018,1.1116000000000001
Armenia,ARM,1992,0.7857000000000001
Armenia,ARM,1993,0.7714000000000001
Armenia,ARM,1994,0.8571000000000001
Armenia,ARM,1995,0.75
Armenia,ARM,1996,1.08
Armenia,ARM,1997,1
Armenia,ARM,1998,0.625
Armenia,ARM,1999,0.8476
Armenia,ARM,2000,1
Armenia,ARM,2001,1.0385
Armenia,ARM,2002,1.9200000000000002
Armenia,ARM,2003,1.9756
Armenia,ARM,2004,1.2845
Armenia,ARM,2005,1.8242
Armenia,ARM,2006,1.0763
Armenia,ARM,2007,2.5161000000000002
Armenia,ARM,2008,2.1186000000000003
Armenia,ARM,2009,1.7465000000000002
Armenia,ARM,2010,2.1579
Armenia,ARM,2011,2.5909
Armenia,ARM,2012,2.4388
Armenia,ARM,2013,3.16
Armenia,ARM,2014,3.1667
Armenia,ARM,2015,2.24
Armenia,ARM,2016,2.0938
Armenia,ARM,2017,2.225
Armenia,ARM,2018,1.3656000000000001
Asia,,1961,0.9329000000000001
Asia,,1962,1.0626
Asia,,1963,0.9692000000000001
Asia,,1964,0.9696
Asia,,1965,1.0782
Asia,,1966,0.882
Asia,,1967,0.8454
Asia,,1968,0.8836
Asia,,1969,0.8814000000000001
Asia,,1970,0.926
Asia,,1971,1.0106
Asia,,1972,0.9148000000000001
Asia,,1973,0.9049
Asia,,1974,0.9161
Asia,,1975,0.9867
Asia,,1976,1.0364
Asia,,1977,0.9296000000000001
Asia,,1978,1.1754
Asia,,1979,1.1720000000000002
Asia,,1980,1.2559
Asia,,1981,1.2651000000000001
Asia,,1982,1.1681000000000001
Asia,,1983,1.1686
Asia,,1984,1.2563
Asia,,1985,1.0983
Asia,,1986,1.1184
Asia,,1987,1.1117000000000001
Asia,,1988,1.2101
Asia,,1989,0.9999
Asia,,1990,1.249
Asia,,1991,1.1261
Asia,,1992,0.9864
Asia,,1993,1.1213
Asia,,1994,1.1681000000000001
Asia,,1995,1.0944
Asia,,1996,1.1325
Asia,,1997,1.1369
Asia,,1998,1.1709
Asia,,1999,1.0107000000000002
Asia,,2000,1.074
Asia,,2001,1.0219
Asia,,2002,1.2468000000000001
Asia,,2003,1.2022000000000002
Asia,,2004,1.0931
Asia,,2005,1.0671000000000002
Asia,,2006,1.0203
Asia,,2007,0.9692000000000001
Asia,,2008,1.0011
