Entity,Code,Year,Sanitation - Proportion of population using improved sanitation facilities (excluding shared) - Safely managed - National - Population (people)
French Guiana,GUF,2010,125980.41768295104
French Guiana,GUF,2011,131445.26788576378
French Guiana,GUF,2012,137206.42463118152
French Guiana,GUF,2013,143217.05108357087
French Guiana,GUF,2014,149386.56086714962
French Guiana,GUF,2015,155647.8496742529
Germany,DEU,2000,79004263.82080978
Germany,DEU,2001,78922835.73743774
Germany,DEU,2002,78819749.68031366
Germany,DEU,2003,78696560.99832428
Germany,DEU,2004,78452653.1701261
Germany,DEU,2005,78190953.25272124
Germany,DEU,2006,77913641.10923938
Germany,DEU,2007,77629310.16722304
Germany,DEU,2008,77357600.84200165
Germany,DEU,2009,77126789.15075779
Germany,DEU,2010,76955430.86958025
Germany,DEU,2011,76854640.40393262
Germany,DEU,2012,76814975.89042072
Germany,DEU,2013,76907357.20667413
Germany,DEU,2014,76992673.24377698
Germany,DEU,2015,77041737.34553255
Greece,GRC,2000,7962157.00935681
Greece,GRC,2001,8001392.523991692
Greece,GRC,2002,8039411.630096266
Greece,GRC,2003,8073111.803784373
Greece,GRC,2004,8106730.517662613
Greece,GRC,2005,8142909.612072987
Greece,GRC,2006,8183807.042423231
Greece,GRC,2007,8227946.411961772
Greece,GRC,2008,8270033.819798335
Greece,GRC,2009,8302459.435807817
Greece,GRC,2010,8319721.928993454
Greece,GRC,2011,8317149.9348010775
Greece,GRC,2012,8300045.90005693
Greece,GRC,2013,8274126.364964233
Greece,GRC,2014,8247772.353506766
Greece,GRC,2015,8243036.283031117
Greenland,GRL,2000,52357.08480183992
Greenland,GRL,2001,52506.21257777574
Greenland,GRL,2002,52684.23396619202
Greenland,GRL,2003,52863.18740939363
Greenland,GRL,2004,53004.858775724904
Greenland,GRL,2005,53083.150533801185
Greenland,GRL,2006,53083.107732840166
Greenland,GRL,2007,53017.848314133655
Greenland,GRL,2008,52909.69961987636
Greenland,GRL,2009,52785.6969345568
Greenland,GRL,2010,52669.13411399218
Greenland,GRL,2011,52563.69945205332
Greenland,GRL,2012,52465.64783802874
Greenland,GRL,2013,52384.31996776589
Greenland,GRL,2014,52326.23362287198
Greenland,GRL,2015,52295.10636824742
Hungary,HUN,2000,5344237.2508099815
Hungary,HUN,2001,5329800.352255008
Hungary,HUN,2002,5316390.849490719
Hungary,HUN,2003,5303618.551377875
Hungary,HUN,2004,5530247.287998517
Hungary,HUN,2005,5759697.039286268
Hungary,HUN,2006,5992958.763611194
Hungary,HUN,2007,6229631.687305422
Hungary,HUN,2008,6468447.258194193
Hungary,HUN,2009,6707256.947141592
Hungary,HUN,2010,6944325.6880299365
Hungary,HUN,2011,7178609.061748689
Hungary,HUN,2012,7410179.073766967
Hungary,HUN,2013,7484778.968204144
Hungary,HUN,2014,7469502.107387786
Hungary,HUN,2015,7454272.350476979
Iceland,ISL,2000,192786.54873646595
Iceland,ISL,2001,194797.48201422842
Iceland,ISL,2002,196812.7914901617
Iceland,ISL,2003,198916.98609038527
Iceland,ISL,2004,201226.2705157496
Iceland,ISL,2005,203811.40453112888
Iceland,ISL,2006,206728.18988681544
Iceland,ISL,2007,209910.45641330187
Iceland,ISL,2008,213155.49529897503
Iceland,ISL,2009,216185.39132699714
Iceland,ISL,2010,218804.6476869942
Iceland,ISL,2011,220929.53144480332
Iceland,ISL,2012,222632.5504345504
Iceland,ISL,2013,224064.0709163434
Iceland,ISL,2014,225454.46117841592
Iceland,ISL,2015,226967.0835921693
Iraq,IRQ,2000,4912980.910147618
Iraq,IRQ,2001,5168695.423474787
Iraq,IRQ,2002,5430717.117035186
Iraq,IRQ,2003,5699186.06578474
Iraq,IRQ,2004,5974517.875683948
Iraq,IRQ,2005,6409010.124445395
Iraq,IRQ,2006,6858293.737079239
Iraq,IRQ,2007,7323836.205733074
Iraq,IRQ,2008,7812783.347678246
Iraq,IRQ,2009,8335658.057865162
Iraq,IRQ,2010,8901146.689087454
Iraq,IRQ,2011,9515888.886295777
Iraq,IRQ,2012,10179513.749335
Iraq,IRQ,2013,10885032.474026345
Iraq,IRQ,2014,11261018.652057039
Iraq,IRQ,2015,11632654.568513302
Ireland,IRL,2000,1376605.9940143335
Ireland,IRL,2001,1483446.8697731476
Ireland,IRL,2002,1599628.488029713
Ireland,IRL,2003,1723020.2793198864
Ireland,IRL,2004,1853198.2295772473
Ireland,IRL,2005,1992487.0462133896
Ireland,IRL,2006,2139787.7207646132
Ireland,IRL,2007,2294491.0036423635
Ireland,IRL,2008,2452842.7374487543
Ireland,IRL,2009,2608925.769508136
Ireland,IRL,2010,2757851.0041247797
Ireland,IRL,2011,2895903.8574006353
Ireland,IRL,2012,3023434.3310096525
Ireland,IRL,2013,3144657.3800259163
Ireland,IRL,2014,3260775.688873734
Ireland,IRL,2015,3294447.7205871525
Israel,ISR,2000,4741997.3505621925
Israel,ISR,2001,4892616.407845469
Israel,ISR,2002,5040599.813691585
Israel,ISR,2003,5190961.555734318
Israel,ISR,2004,5350677.399555946
Israel,ISR,2005,5524694.438221949
Israel,ISR,2006,5716117.0719656255
Israel,ISR,2007,5923087.974780721
Israel,ISR,2008,6139416.300460985
Israel,ISR,2009,6355673.136506252
Israel,ISR,2010,6564791.002666739
Israel,ISR,2011,6764030.235917175
Israel,ISR,2012,6955365.490916363
Israel,ISR,2013,7142046.530098174
Israel,ISR,2014,7329586.657537
Israel,ISR,2015,7522166.4880720135
Italy,ITA,2006,56403457.408964105
Italy,ITA,2007,56591347.3477042
Italy,ITA,2008,56741287.42212242
Italy,ITA,2009,56859829.31886018
Italy,ITA,2010,56952318.6749604
Italy,ITA,2011,57016202.19558412
Italy,ITA,2012,57049187.11637098
Italy,ITA,2013,57058077.54947011
Italy,ITA,2014,57051993.734519534
Italy,ITA,2015,57062750.285179354
Japan,JPN,2000,123469813.72680691
Japan,JPN,2001,123953680.56271636
Japan,JPN,2002,124445639.1647637
Japan,JPN,2003,124913971.23336102
Japan,JPN,2004,125342146.486871
Japan,JPN,2005,125719580.111659
Japan,JPN,2006,126041769.37913816
Japan,JPN,2007,126311944.86857165
Japan,JPN,2008,126528762.10002886
Japan,JPN,2009,126692703.63402417
Japan,JPN,2010,126804453.96986018
Japan,JPN,2011,126862137.49184099
Japan,JPN,2012,126865283.49348421
Japan,JPN,2013,126768264.16881354
Japan,JPN,2014,126570194.12012143
Japan,JPN,2015,126318174.07896692
Jordan,JOR,2000,3655278.805618988
Jordan,JOR,2001,3723451.5940686422
Jordan,JOR,2002,3797397.7669195337
Jordan,JOR,2003,3881349.1683351584
Jordan,JOR,2004,3982466.995752198
Jordan,JOR,2005,4108347.7692068964
Jordan,JOR,2006,4261906.14565036
Jordan,JOR,2007,4440145.858848264
Jordan,JOR,2008,4634955.892487457
Jordan,JOR,2009,4834590.102267496
Jordan,JOR,2010,5029799.631815091
Jordan,JOR,2011,5218426.77498732
Jordan,JOR,2012,5400553.11142949
Jordan,JOR,2013,5572051.626951395
Jordan,JOR,2014,5728707.156474909
Jordan,JOR,2015,5867697.648331071
Kuwait,KWT,2000,1929470
Kuwait,KWT,2001,1990022
Kuwait,KWT,2002,2042215
Kuwait,KWT,2003,2095993
Kuwait,KWT,2004,2166344
Kuwait,KWT,2005,2263604
Kuwait,KWT,2006,2389498
Kuwait,KWT,2007,2538591
Kuwait,KWT,2008,2705290
Kuwait,KWT,2009,2881243
Kuwait,KWT,2010,3059473
Kuwait,KWT,2011,3239181
Kuwait,KWT,2012,3419581
Kuwait,KWT,2013,3593689
Kuwait,KWT,2014,3753121
Kuwait,KWT,2015,3892115
Latvia,LVA,2000,1699595.5281696438
Latvia,LVA,2001,1680142.1433639673
Latvia,LVA,2002,1664648.8313273797
Latvia,LVA,2003,1648295.3689159353
Latvia,LVA,2004,1632340.6260088184
Latvia,LVA,2005,1616684.149215262
Latvia,LVA,2006,1608897.736306207
Latvia,LVA,2007,1601170.1729985632
Latvia,LVA,2008,1593548.9073841583
Latvia,LVA,2009,1585791.2112902259
Latvia,LVA,2010,1577808.549779775
Latvia,LVA,2011,1569466.7976944288
Latvia,LVA,2012,1561038.1655237873
Latvia,LVA,2013,1553338.9548787086
Latvia,LVA,2014,1547539.1121559688
Latvia,LVA,2015,1544401.6690359954
Lebanon,LBN,2000,525404.2733766194
Lebanon,LBN,2001,545621.4364344433
Lebanon,LBN,2002,572086.1973649577
Lebanon,LBN,2003,611999.8490259035
Lebanon,LBN,2004,650136.4073848167
Lebanon,LBN,2005,682683.1872028866
Lebanon,LBN,2006,706653.9950223428
Lebanon,LBN,2007,723636.0778259204
Lebanon,LBN,2008,739989.1555121392
Lebanon,LBN,2009,765339.7574885252
Lebanon,LBN,2010,806563.2621732748
Lebanon,LBN,2011,867429.1618822076
Lebanon,LBN,2012,944763.3824761902
Lebanon,LBN,2013,1029935.4852238413
Lebanon,LBN,2014,1109804.4017553113
Lebanon,LBN,2015,1174236.997360476
Libya,LBY,2000,1524669.6487892421
Libya,LBY,2001,1550676.3069114792
Libya,LBY,2002,1576397.014344667
Libya,LBY,2003,1602342.5401517628
Libya,LBY,2004,1629211.6209815321
Libya,LBY,2005,1657297.9204786734
Libya,LBY,2006,1673796.961623924
Libya,LBY,2007,1691223.412883492
Libya,LBY,2008,1706627.9649105445
Libya,LBY,2009,1716136.2025997343
Libya,LBY,2010,1717397.6606401291
Libya,LBY,2011,1709137.8350417993
Libya,LBY,2012,1693171.7195145618
Libya,LBY,2013,1673979.441072709
Libya,LBY,2014,1657625.5350623885
Libya,LBY,2015,1648249.6738211913
Liechtenstein,LIE,2000,33057.3465
Liechtenstein,LIE,2001,33435.774750000004
Liechtenstein,LIE,2002,33765.53375
Liechtenstein,LIE,2003,34058.5425
Liechtenstein,LIE,2004,34335.659250000004
