Entity,Code,Year,Average hourly earnings of employees (constant 2011 PPP $) (constant 2011 PPP $)
Argentina,ARG,1992,4.71
Argentina,ARG,1993,5.31
Argentina,ARG,1994,6.11
Argentina,ARG,1995,6.04
Argentina,ARG,1996,6.16
Argentina,ARG,1997,6.15
Argentina,ARG,1998,6.32
Argentina,ARG,1999,6.24
Argentina,ARG,2000,6.16
Argentina,ARG,2001,6.37
Argentina,ARG,2002,4.83
Argentina,ARG,2003,5.14
Argentina,ARG,2004,4.76
Argentina,ARG,2005,5.39
Argentina,ARG,2006,6.14
Argentina,ARG,2007,6.61
Argentina,ARG,2008,6.91
Argentina,ARG,2009,7.12
Argentina,ARG,2010,7.55
Argentina,ARG,2011,8.07
Argentina,ARG,2012,8.28
Argentina,ARG,2013,8.79
Argentina,ARG,2014,8.33
Austria,AUT,2002,13.35
Austria,AUT,2006,15.41
Austria,AUT,2010,17.57
Austria,AUT,2014,20.02
Belgium,BEL,2002,15.74
Belgium,BEL,2006,19.3
Belgium,BEL,2010,22.66
Belgium,BEL,2014,24.93
Belize,BLZ,1993,4.84
Belize,BLZ,1994,5.06
Belize,BLZ,1997,4.7
Belize,BLZ,1998,4.56
Belize,BLZ,1999,4.4
Belize,BLZ,2016,5.73
Bolivia,BOL,1992,2.87
Bolivia,BOL,1993,3
Bolivia,BOL,1999,3.47
Bolivia,BOL,2000,3.37
Bolivia,BOL,2001,3.44
Bolivia,BOL,2002,3.4
Bolivia,BOL,2005,3.71
Bolivia,BOL,2006,3.95
Bolivia,BOL,2007,3.52
Bolivia,BOL,2008,4.01
Bolivia,BOL,2009,4.38
Bolivia,BOL,2011,4.48
Bolivia,BOL,2012,4.55
Bolivia,BOL,2013,5.11
Bolivia,BOL,2014,5.37
Brazil,BRA,1995,4.91
Brazil,BRA,1996,4.95
Brazil,BRA,1997,4.82
Brazil,BRA,1998,4.79
Brazil,BRA,1999,4.5
Brazil,BRA,2001,4.61
Brazil,BRA,2002,4.61
Brazil,BRA,2003,4.63
Brazil,BRA,2004,4.61
Brazil,BRA,2005,4.9
Brazil,BRA,2006,5.19
Brazil,BRA,2007,5.62
Brazil,BRA,2008,5.43
Brazil,BRA,2009,5.56
Brazil,BRA,2011,7
Brazil,BRA,2012,7.31
Brazil,BRA,2013,8.31
Brazil,BRA,2014,7.67
Brunei,BRN,2014,14.86
Bulgaria,BGR,2014,6.54
Chile,CHL,1990,2.94
Chile,CHL,1992,3.27
Chile,CHL,1996,5.17
Chile,CHL,1998,5.66
Chile,CHL,2000,5.63
Chile,CHL,2003,6.12
Chile,CHL,2006,6.23
Chile,CHL,2009,7.95
Chile,CHL,2011,8.66
Chile,CHL,2013,10.16
Colombia,COL,2008,3.97
Colombia,COL,2009,4.04
Colombia,COL,2010,4.11
Colombia,COL,2011,4.25
Colombia,COL,2012,4.25
Colombia,COL,2013,4.6
Colombia,COL,2014,5.58
Colombia,COL,2015,5.58
Costa Rica,CRI,1990,2.92
Costa Rica,CRI,1991,3.05
Costa Rica,CRI,1992,3.1
Costa Rica,CRI,1993,3.73
Costa Rica,CRI,1994,3.86
Costa Rica,CRI,1995,3.87
Costa Rica,CRI,1996,3.95
Costa Rica,CRI,1997,4.07
Costa Rica,CRI,1998,4.31
Costa Rica,CRI,1999,4.36
Costa Rica,CRI,2000,4.6
Costa Rica,CRI,2001,4.99
Costa Rica,CRI,2002,4.99
Costa Rica,CRI,2003,5.02
Costa Rica,CRI,2004,4.81
Costa Rica,CRI,2005,4.92
Costa Rica,CRI,2006,5.09
Costa Rica,CRI,2007,5.61
Costa Rica,CRI,2008,5.88
Costa Rica,CRI,2009,6.31
Cyprus,CYP,2010,17.29
Cyprus,CYP,2014,16.4
Czech Republic,CZE,2012,11.27
Czech Republic,CZE,2013,11.79
Czech Republic,CZE,2014,12.17
Czech Republic,CZE,2015,12.49
Czech Republic,CZE,2016,12.98
Denmark,DNK,2014,28.09
Dominican Republic,DOM,1996,3.52
Dominican Republic,DOM,1997,4.12
Dominican Republic,DOM,2000,4.29
Dominican Republic,DOM,2001,4.54
Dominican Republic,DOM,2002,4.33
Dominican Republic,DOM,2003,3.88
Dominican Republic,DOM,2004,3.06
Dominican Republic,DOM,2005,3.87
Dominican Republic,DOM,2006,3.98
Dominican Republic,DOM,2007,3.76
Dominican Republic,DOM,2008,4.01
Dominican Republic,DOM,2009,4.03
Dominican Republic,DOM,2010,4.14
Dominican Republic,DOM,2011,4.1
Dominican Republic,DOM,2012,3.91
Dominican Republic,DOM,2013,4.11
Dominican Republic,DOM,2014,4.25
Dominican Republic,DOM,2015,4.82
Ecuador,ECU,1994,6982.54
Ecuador,ECU,1995,8769.48
Ecuador,ECU,1998,14857.01
Ecuador,ECU,1999,31252.72
El Salvador,SLV,2000,29.52
El Salvador,SLV,2001,28.31
El Salvador,SLV,2002,30.86
El Salvador,SLV,2004,3.32
El Salvador,SLV,2005,3.71
El Salvador,SLV,2006,3.67
El Salvador,SLV,2007,3.61
El Salvador,SLV,2008,3.7
El Salvador,SLV,2009,3.54
El Salvador,SLV,2010,3.5
El Salvador,SLV,2011,3.58
El Salvador,SLV,2012,3.61
El Salvador,SLV,2013,4.06
El Salvador,SLV,2014,3.87
Estonia,EST,2014,10.98
Finland,FIN,2002,13.83
Finland,FIN,2006,16.28
Finland,FIN,2010,20.16
Finland,FIN,2013,21.35
Finland,FIN,2014,21.45
Finland,FIN,2016,21.61
France,FRA,2002,16
France,FRA,2006,17.35
France,FRA,2010,19.07
France,FRA,2014,21.62
Germany,DEU,2002,16.86
Germany,DEU,2006,19.12
Germany,DEU,2010,21.09
Germany,DEU,2014,23.17
Greece,GRC,2002,10.85
Greece,GRC,2006,13.74
Greece,GRC,2010,15.22
Guatemala,GTM,2000,3
Guatemala,GTM,2006,4.42
Guatemala,GTM,2011,3.78
Guatemala,GTM,2014,3.83
Honduras,HND,1991,1.93
Honduras,HND,1992,2.12
Honduras,HND,1993,2.3
Honduras,HND,1994,2.4
Honduras,HND,1995,2.4
Honduras,HND,1996,2.38
Honduras,HND,1997,2.5
Honduras,HND,1998,2.95
Honduras,HND,1999,2.62
Honduras,HND,2001,3.1
Honduras,HND,2002,2.86
Honduras,HND,2003,3.17
Honduras,HND,2004,2.99
Honduras,HND,2005,3.34
Honduras,HND,2006,3.19
Honduras,HND,2007,3.63
Honduras,HND,2008,4.3
Honduras,HND,2009,4.24
Honduras,HND,2010,4.24
Honduras,HND,2012,4.05
Honduras,HND,2013,4.17
Honduras,HND,2014,3.93
Hungary,HUN,2014,11.13
Iceland,ISL,2014,17.98
Ireland,IRL,2002,18.86
Ireland,IRL,2006,21.28
Ireland,IRL,2010,26.22
Ireland,IRL,2014,29.68
Israel,ISR,2014,14.03
Israel,ISR,2015,14.66
Italy,ITA,2002,12.6
Italy,ITA,2006,16.4
Italy,ITA,2010,18.76
Italy,ITA,2014,20.98
Jamaica,JAM,1990,2.81
Jamaica,JAM,1996,5.36
Jamaica,JAM,1999,4.81
Jamaica,JAM,2001,5.79
Jamaica,JAM,2002,5.3
Latvia,LVA,2014,8.9
Luxembourg,LUX,2002,16.59
Luxembourg,LUX,2006,20.92
Luxembourg,LUX,2010,23.76
Luxembourg,LUX,2014,26.01
Macedonia,MKD,2014,8.84
Malaysia,MYS,2011,6.37
Malaysia,MYS,2012,6.79
Malaysia,MYS,2013,7.32
Malaysia,MYS,2014,7.85
