Entity,Code,Year,
Afghanistan,AFG,2006,8.2
Afghanistan,AFG,2007,8.2
Afghanistan,AFG,2008,8.4
Afghanistan,AFG,2009,8.8
Afghanistan,AFG,2010,9.2
Afghanistan,AFG,2011,8.8
Afghanistan,AFG,2012,8.5
Afghanistan,AFG,2013,8.4
Afghanistan,AFG,2014,8.3
Albania,ALB,2006,5.5
Albania,ALB,2007,5.4
Albania,ALB,2008,5.4
Albania,ALB,2009,5.8
Albania,ALB,2010,5.3
Albania,ALB,2011,5
Albania,ALB,2012,5.5
Albania,ALB,2013,6
Albania,ALB,2014,5.5
Algeria,DZA,2006,7.5
Algeria,DZA,2007,7.4
Algeria,DZA,2008,7.6
Algeria,DZA,2009,7.6
Algeria,DZA,2010,7.6
Algeria,DZA,2011,7.5
Algeria,DZA,2012,7.4
Algeria,DZA,2013,7.7
Algeria,DZA,2014,7.4
Angola,AGO,2006,7.8
Angola,AGO,2007,7.5
Angola,AGO,2008,7.5
Angola,AGO,2009,7.2
Angola,AGO,2010,7.3
Angola,AGO,2011,7.5
Angola,AGO,2012,7.6
Angola,AGO,2013,7.3
Angola,AGO,2014,7
Antigua and Barbuda,ATG,2007,5.5
Antigua and Barbuda,ATG,2008,5.5
Antigua and Barbuda,ATG,2009,5
Antigua and Barbuda,ATG,2010,4.7
Antigua and Barbuda,ATG,2011,4.5
Antigua and Barbuda,ATG,2012,4.8
Antigua and Barbuda,ATG,2013,4.4
Antigua and Barbuda,ATG,2014,4.7
Argentina,ARG,2006,3.7
Argentina,ARG,2007,3.7
Argentina,ARG,2008,3.7
Argentina,ARG,2009,4
Argentina,ARG,2010,3.8
Argentina,ARG,2011,4
Argentina,ARG,2012,3.8
Argentina,ARG,2013,4.1
Argentina,ARG,2014,4.4
Armenia,ARM,2006,6
Armenia,ARM,2007,5.5
Armenia,ARM,2008,5.5
Armenia,ARM,2009,6.1
Armenia,ARM,2010,6.4
Armenia,ARM,2011,6.5
Armenia,ARM,2012,6.8
Armenia,ARM,2013,6.8
Armenia,ARM,2014,6.8
Australia,AUS,2006,2.5
Australia,AUS,2007,2.5
Australia,AUS,2008,2.5
Australia,AUS,2009,2.5
Australia,AUS,2010,2
Australia,AUS,2011,1.9
Australia,AUS,2012,2.2
Australia,AUS,2013,2.2
Australia,AUS,2014,2.3
Austria,AUT,2006,1.5
Austria,AUT,2007,1.5
Austria,AUT,2008,1.5
Austria,AUT,2009,1.6
Austria,AUT,2010,1.6
Austria,AUT,2011,1.5
Austria,AUT,2012,1.8
Austria,AUT,2013,2
Austria,AUT,2014,2
Average,,2006,6.02
Average,,2007,5.92
Average,,2008,5.98
Average,,2009,5.99
Average,,2010,5.96
Average,,2011,5.85
Average,,2012,5.86
Average,,2013,5.86886
Average,,2014,5.86886
Azerbaijan,AZE,2006,6
Azerbaijan,AZE,2007,6.4
Azerbaijan,AZE,2008,6.9
Azerbaijan,AZE,2009,7
Azerbaijan,AZE,2010,7.2
Azerbaijan,AZE,2011,7.2
Azerbaijan,AZE,2012,7.3
Azerbaijan,AZE,2013,7.6
Azerbaijan,AZE,2014,7.7
Bahamas,BHS,2007,3
Bahamas,BHS,2008,3
Bahamas,BHS,2009,3
Bahamas,BHS,2010,2.8
Bahamas,BHS,2011,3.2
Bahamas,BHS,2012,3.1
Bahamas,BHS,2013,2.8
Bahamas,BHS,2014,3.1
Bahrain,BHR,2007,4.7
Bahrain,BHR,2008,4.7
Bahrain,BHR,2009,5
Bahrain,BHR,2010,5.4
Bahrain,BHR,2011,5.9
Bahrain,BHR,2012,7
Bahrain,BHR,2013,7.5
Bahrain,BHR,2014,7.8
Bangladesh,BGD,2006,7.8
Bangladesh,BGD,2007,7.8
Bangladesh,BGD,2008,8
Bangladesh,BGD,2009,7.6
Bangladesh,BGD,2010,7.4
Bangladesh,BGD,2011,7.1
Bangladesh,BGD,2012,6.8
Bangladesh,BGD,2013,7.3
Bangladesh,BGD,2014,8
Barbados,BRB,2007,3
Barbados,BRB,2008,3
Barbados,BRB,2009,3
Barbados,BRB,2010,2.8
Barbados,BRB,2011,2.5
