Entity,Code,Year,Indicator:Persons with alcohol use disorders receiving treatment (%) (%)
Armenia,ARM,2008,23
Austria,AUT,2008,67
Belarus,BLR,2008,35
Bulgaria,BGR,2008,50
Central African Republic,CAF,2008,5
Chile,CHL,2008,12
Costa Rica,CRI,2008,3
Croatia,HRV,2008,80
Denmark,DNK,2008,5
El Salvador,SLV,2008,50
Germany,DEU,2008,10
Guinea,GIN,2008,25
Hungary,HUN,2008,7.5
Iceland,ISL,2008,100
Iraq,IRQ,2008,5
Japan,JPN,2008,7
Macedonia,MKD,2008,62
Madagascar,MDG,2008,15
Mauritius,MUS,2008,100
Micronesia (country),FSM,2008,20
Mongolia,MNG,2008,76
Namibia,NAM,2008,5
Netherlands,NLD,2008,3
New Zealand,NZL,2008,30
Poland,POL,2008,25
Saudi Arabia,SAU,2008,98
South Korea,KOR,2008,1.6
Sri Lanka,LKA,2008,20
Swaziland,SWZ,2008,1
Tunisia,TUN,2008,10
United Kingdom,GBR,2008,5.6
United States,USA,2008,8
Uruguay,URY,2008,10
Uzbekistan,UZB,2008,20
Zambia,ZMB,2008,30
