Entity,Code,Year,1.5.3 - Score of adoption and implementation of national DRR strategies in line with the Sendai Framework - SG_DSR_LGRGSR
Afghanistan,AFG,2017,0.25
Albania,ALB,2018,0.05
Angola,AGO,2015,0.3
Angola,AGO,2016,0.325
Angola,AGO,2017,0.375
Angola,AGO,2018,0.425
Argentina,ARG,2015,0
Argentina,ARG,2016,0
Argentina,ARG,2017,0
Argentina,ARG,2018,0.75
Armenia,ARM,2017,1
Australia,AUS,2015,0.2
Australia,AUS,2016,0.2
Australia,AUS,2017,0.2
Australia,AUS,2018,0.625
Barbados,BRB,2018,0.975
Bhutan,BTN,2017,0.7
Bhutan,BTN,2018,0.5
Botswana,BWA,2017,0.125
Botswana,BWA,2018,0.525
Bulgaria,BGR,2015,0.375
Bulgaria,BGR,2016,0.375
Bulgaria,BGR,2017,0.2
Bulgaria,BGR,2018,0.9
Burundi,BDI,2015,0.625
Burundi,BDI,2016,0.625
Burundi,BDI,2017,0.65
Chile,CHL,2015,0.5
Chile,CHL,2016,0.5
Chile,CHL,2017,0.4
Chile,CHL,2018,0.5
Colombia,COL,2015,0.65
Colombia,COL,2016,0.65
Colombia,COL,2017,0.65
Colombia,COL,2018,0.65
Comoros,COM,2017,0.325
Costa Rica,CRI,2015,0.85
Costa Rica,CRI,2016,0.925
Costa Rica,CRI,2017,0.925
Costa Rica,CRI,2018,0.925
Czech Republic,CZE,2015,0.875
Czech Republic,CZE,2016,0.9
Czech Republic,CZE,2017,0.925
Ecuador,ECU,2017,0
Ecuador,ECU,2018,0
Egypt,EGY,2016,0.45
Egypt,EGY,2017,0.675
Estonia,EST,2015,0.925
Estonia,EST,2016,0.925
Estonia,EST,2017,0.925
Estonia,EST,2018,0.925
Ethiopia,ETH,2018,0.875
Finland,FIN,2015,0.75
Finland,FIN,2016,0.75
Finland,FIN,2017,0.75
France,FRA,2015,0.6
France,FRA,2016,0.625
France,FRA,2017,0.65
Gambia,GMB,2017,0.275
Gambia,GMB,2018,0.375
Georgia,GEO,2016,0.825
Georgia,GEO,2017,0.975
Georgia,GEO,2018,0.975
Germany,DEU,2015,0.575
Germany,DEU,2016,0.575
Germany,DEU,2017,0.575
Germany,DEU,2018,0.575
Guatemala,GTM,2015,0.225
Guatemala,GTM,2016,0.4
Guatemala,GTM,2017,0.8
Iraq,IRQ,2018,0.85
Ireland,IRL,2015,0.425
Ireland,IRL,2016,0.425
Ireland,IRL,2017,0.4
Italy,ITA,2018,0.4
Japan,JPN,2015,0.8
Japan,JPN,2016,0.95
Japan,JPN,2017,1
Japan,JPN,2018,1
Jordan,JOR,2018,0
Kazakhstan,KAZ,2017,0.875
Kazakhstan,KAZ,2018,0.85
Kuwait,KWT,2015,0.5
Kuwait,KWT,2016,0.5
Kuwait,KWT,2017,0.5
Kyrgyzstan,KGZ,2015,0.525
Kyrgyzstan,KGZ,2016,0.625
Kyrgyzstan,KGZ,2017,0.825
Kyrgyzstan,KGZ,2018,0.925
Lebanon,LBN,2017,0
Lebanon,LBN,2018,0.225
Malawi,MWI,2015,0.85
Malawi,MWI,2016,0.825
Malawi,MWI,2017,0.825
Malawi,MWI,2018,0.85
Malaysia,MYS,2015,0.15
Malaysia,MYS,2016,0.2
Malaysia,MYS,2017,0.25
Malaysia,MYS,2018,0
Mexico,MEX,2015,0.9
Mexico,MEX,2016,0.9
Mexico,MEX,2017,0.9
Mexico,MEX,2018,0.925
Monaco,MCO,2017,0.6
Monaco,MCO,2018,0.6
Mongolia,MNG,2015,0
Mongolia,MNG,2016,0
Mongolia,MNG,2017,1
Montenegro,MNE,2018,0.775
Morocco,MAR,2018,0.675
Mozambique,MOZ,2017,0.675
Myanmar,MMR,2015,0.475
Myanmar,MMR,2016,0.55
Myanmar,MMR,2017,0.7
Namibia,NAM,2015,0.25
Namibia,NAM,2016,0.5
Namibia,NAM,2017,1
Nepal,NPL,2015,0.05
Nepal,NPL,2016,0.05
Nepal,NPL,2017,0.05
Nepal,NPL,2018,0.375
Netherlands,NLD,2017,0.9
New Zealand,NZL,2015,0.875
New Zealand,NZL,2016,0.875
New Zealand,NZL,2017,0.875
New Zealand,NZL,2018,0.875
Niger,NER,2015,0.25
Niger,NER,2016,0.25
Niger,NER,2017,0.25
Niger,NER,2018,0.325
Norway,NOR,2017,0.975
Palestine,PSE,2015,0.075
Palestine,PSE,2016,0.25
Palestine,PSE,2017,0.275
Paraguay,PRY,2018,0.6
Peru,PER,2017,0.75
Samoa,WSM,2017,0.575
Samoa,WSM,2018,0.7
Serbia,SRB,2017,0.675
Slovakia,SVK,2017,0.375
Slovenia,SVN,2015,0
Slovenia,SVN,2016,0
Slovenia,SVN,2017,0
Slovenia,SVN,2018,0.65
Somalia,SOM,2017,0.75
Somalia,SOM,2018,0.75
South Africa,ZAF,2015,0.425
South Africa,ZAF,2016,0.425
South Africa,ZAF,2017,0.525
South Korea,KOR,2015,0.95
South Korea,KOR,2016,0.95
South Korea,KOR,2017,0.95
Sudan,SDN,2018,0.2
Swaziland,SWZ,2015,0.25
Swaziland,SWZ,2016,0.5
Swaziland,SWZ,2017,0.525
Swaziland,SWZ,2018,0.525
Sweden,SWE,2015,0
Sweden,SWE,2016,0
Sweden,SWE,2017,0
Switzerland,CHE,2017,0.75
Tanzania,TZA,2015,0.5
Tanzania,TZA,2016,0.6
Tanzania,TZA,2017,0.6
Tanzania,TZA,2018,0.625
Thailand,THA,2015,0.6
Thailand,THA,2016,0.6
Thailand,THA,2017,0.575
Thailand,THA,2018,0.575
Togo,TGO,2016,0.425
Togo,TGO,2017,0.45
Togo,TGO,2018,0.45
Uganda,UGA,2017,0.575
Ukraine,UKR,2015,0.55
Ukraine,UKR,2016,0.575
Ukraine,UKR,2017,0.575
Ukraine,UKR,2018,0.5
Zimbabwe,ZWE,2017,0.475
Zimbabwe,ZWE,2018,0.625
