Entity,Code,Year,Oil Consumption (terawatt-hours)
Africa,,1965,328.24966169636406
Africa,,1966,359.1431520882982
Africa,,1967,356.3664846635747
Africa,,1968,376.00920785414047
Africa,,1969,381.178997016235
Africa,,1970,421.12586471526583
Africa,,1971,475.80861810955
Africa,,1972,515.5045853570507
Africa,,1973,554.2804953779702
Africa,,1974,572.9962674644173
Africa,,1975,599.1527541132721
Africa,,1976,665.1477952011459
Africa,,1977,703.8888532817056
Africa,,1978,740.6069587630222
Africa,,1979,789.4757912935369
Africa,,1980,835.9901190677015
Africa,,1981,889.8208355322835
Africa,,1982,932.5234542683088
Africa,,1983,964.1988264067951
Africa,,1984,984.7352951249421
Africa,,1985,1006.9752003848886
Africa,,1986,991.2093684674925
Africa,,1987,1041.398575051362
Africa,,1988,1090.0482687018132
Africa,,1989,1130.2878997764446
Africa,,1990,1146.16657418622
Africa,,1991,1154.287400225321
Africa,,1992,1180.3787861076444
Africa,,1993,1194.3952856371814
Africa,,1994,1222.1690301479046
Africa,,1995,1265.2495892728252
Africa,,1996,1297.417953166503
Africa,,1997,1332.2027355959929
Africa,,1998,1364.1446471383156
Africa,,1999,1413.0042886212243
Africa,,2000,1421.0730438420974
Africa,,2001,1440.1177921142196
Africa,,2002,1465.7769970424213
Africa,,2003,1504.7828460746966
Africa,,2004,1576.4198801705836
Africa,,2005,1656.5552515258928
Africa,,2006,1667.900020524657
Africa,,2007,1724.1021137300465
Africa,,2008,1820.5474758718715
Africa,,2009,1885.927296539097
Africa,,2010,1975.8633351503415
Africa,,2011,1921.9067006241116
Africa,,2012,2029.95315695078
Africa,,2013,2098.603498011591
Africa,,2014,2136.798178265112
Africa,,2015,2185.227078693643
Africa,,2016,2197.4908817736073
Africa,,2017,2234.1069333337996
Africa,,2018,2225.1355237125963
Algeria,DZA,1965,15.405251944444432
Algeria,DZA,1966,20.272705277777792
Algeria,DZA,1967,18.942031111111085
Algeria,DZA,1968,20.16730138888889
Algeria,DZA,1969,21.30593000000001
Algeria,DZA,1970,24.34768083333339
Algeria,DZA,1971,27.440050277777722
Algeria,DZA,1972,30.1214141666667
Algeria,DZA,1973,32.900344999999966
Algeria,DZA,1974,36.54384083333334
Algeria,DZA,1975,40.63066750000003
Algeria,DZA,1976,46.717732499999975
Algeria,DZA,1977,52.80649361111112
Algeria,DZA,1978,54.60794472222218
Algeria,DZA,1979,65.3186172222222
Algeria,DZA,1980,66.20242999999996
Algeria,DZA,1981,71.32307277777775
Algeria,DZA,1982,75.57341777777775
Algeria,DZA,1983,84.89242111111115
Algeria,DZA,1984,94.00200638888893
Algeria,DZA,1985,96.5538030555556
Algeria,DZA,1986,98.02125416666665
Algeria,DZA,1987,99.1005238888889
Algeria,DZA,1988,99.17259861111108
Algeria,DZA,1989,103.93666111111115
Algeria,DZA,1990,111.8116158333333
Algeria,DZA,1991,110.62778611111108
Algeria,DZA,1992,111.29265555555563
Algeria,DZA,1993,110.75487666666665
Algeria,DZA,1994,106.05089583333333
Algeria,DZA,1995,103.14228277777775
Algeria,DZA,1996,98.42207972222224
Algeria,DZA,1997,97.64341944444443
Algeria,DZA,1998,100.6587480555556
Algeria,DZA,1999,98.8983458333333
Algeria,DZA,2000,103.13247972222229
Algeria,DZA,2001,106.77533388888888
Algeria,DZA,2002,118.39722972222246
Algeria,DZA,2003,123.17411805555588
Algeria,DZA,2004,128.74683027777786
Algeria,DZA,2005,134.21338489999977
Algeria,DZA,2006,139.84572075000025
Algeria,DZA,2007,156.38999647506944
