Entity,Code,Year, (%), (%)
Albania,ALB,1996,1.1,12.36
Albania,ALB,2002,2,16.61
Albania,ALB,2005,1.1,9.79
Albania,ALB,2008,0.4,6.11
Albania,ALB,2012,1.1,6.79
Algeria,DZA,1988,6.5,
Algeria,DZA,1995,5.9,
Algeria,DZA,2011,0.5,
Angola,AGO,2000,32.3,54.25
Angola,AGO,2008,30.1,54.52
Argentina,ARG,1980,0.4,
Argentina,ARG,1986,0,0
Argentina,ARG,1987,0,2.22
Argentina,ARG,1991,1.1,3.91
Argentina,ARG,1992,2.1,4.48
Argentina,ARG,1993,2.4,5.16
Argentina,ARG,1994,2.3,5.39
Argentina,ARG,1995,4.1,8.23
Argentina,ARG,1996,4.6,8.98
Argentina,ARG,1997,4.1,8.48
Argentina,ARG,1998,4.6,9.77
Argentina,ARG,1999,4.8,10.15
Argentina,ARG,2000,5.7,12.12
Argentina,ARG,2001,9.4,17.05
Argentina,ARG,2002,14,25.4
Argentina,ARG,2003,7,19.14
Argentina,ARG,2004,5.4,14.59
Argentina,ARG,2005,3.9,11.36
Argentina,ARG,2006,3.3,8.7
Argentina,ARG,2007,2.9,7.13
Argentina,ARG,2008,2.6,6.79
Argentina,ARG,2009,2.6,6.41
Argentina,ARG,2010,1.1,4.99
Argentina,ARG,2011,0.9,3.6
Argentina,ARG,2012,0.8,3.69
Argentina,ARG,2013,0.8,3.63
Argentina,ARG,2014,0.7,4.28
Argentina,ARG,2016,0.6,
Armenia,ARM,1996,,40.42
Armenia,ARM,1999,16.9,50.02
Armenia,ARM,2001,19.3,53.09
Armenia,ARM,2002,15.1,49.45
Armenia,ARM,2003,11.4,45.48
Armenia,ARM,2004,7.9,33.93
Armenia,ARM,2005,4.4,24.7
Armenia,ARM,2006,3.2,20.04
Armenia,ARM,2007,2.8,21.92
Armenia,ARM,2008,1.4,12.92
Armenia,ARM,2009,1.9,16.35
Armenia,ARM,2010,1.9,21.65
Armenia,ARM,2011,2.2,19.03
Armenia,ARM,2012,1.6,17.4
Armenia,ARM,2013,2.2,16.97
Armenia,ARM,2014,2.3,14.62
Armenia,ARM,2015,1.9,
Armenia,ARM,2016,1.8,
Australia,AUS,1981,1,
Australia,AUS,1985,1,
Australia,AUS,1989,0.7,
Australia,AUS,1995,0.7,
Australia,AUS,2001,0.7,
Australia,AUS,2003,1,
Australia,AUS,2008,0.5,
Australia,AUS,2010,0.5,
Austria,AUT,2003,0.2,
Austria,AUT,2004,0,
Austria,AUT,2005,0.2,
Austria,AUT,2006,0,
Austria,AUT,2007,0.5,
Austria,AUT,2008,0.5,
Austria,AUT,2009,0.5,
Austria,AUT,2010,0.5,
Austria,AUT,2011,0.5,
Austria,AUT,2012,0.5,
Austria,AUT,2013,0.2,
Austria,AUT,2014,0.2,
Austria,AUT,2015,0.7,
Azerbaijan,AZE,1995,7.3,24.78
Azerbaijan,AZE,2001,2.7,16.32
Azerbaijan,AZE,2002,0,0.24
Azerbaijan,AZE,2003,0,0.35
Azerbaijan,AZE,2004,0,0
Azerbaijan,AZE,2005,0,0
Azerbaijan,AZE,2008,,2.51
Bangladesh,BGD,1983,29.9,81.23
Bangladesh,BGD,1985,25.4,76.79
Bangladesh,BGD,1988,37.8,81.52
Bangladesh,BGD,1991,44.2,82.37
Bangladesh,BGD,1995,35.7,73.17
Bangladesh,BGD,2000,34.8,70.06
Bangladesh,BGD,2005,25.7,62.96
Bangladesh,BGD,2010,19.6,56.8
Bangladesh,BGD,2016,14.8,
Belarus,BLR,1988,,0.64
Belarus,BLR,1993,,2.7
Belarus,BLR,1995,,2.62
Belarus,BLR,1998,11.5,36.14
Belarus,BLR,1999,10.4,31.61
Belarus,BLR,2000,7.1,25.51
Belarus,BLR,2001,3.2,13.95
Belarus,BLR,2002,2,10.01
Belarus,BLR,2003,1.4,8.29
Belarus,BLR,2004,0.3,3.83
Belarus,BLR,2005,0.4,2.22
Belarus,BLR,2006,0.1,0.9
Belarus,BLR,2007,0.1,0.93
Belarus,BLR,2008,0,0.47
Belarus,BLR,2009,0,0.54
Belarus,BLR,2010,0,0.17
Belarus,BLR,2011,0,0.04
Belarus,BLR,2012,0,0.07
Belarus,BLR,2013,0,0
