Entity,Code,Year,Gas per capita (kWh) (kilowatt-hours)
Africa,,1965,29.8105372241055
Africa,,1966,32.50476445111031
Africa,,1967,31.327089154662783
Africa,,1968,30.95739630505677
Africa,,1969,35.26671516648442
Africa,,1970,42.70301392378002
Africa,,1971,49.34598722754863
Africa,,1972,64.44150240996443
Africa,,1973,100.62942427962264
Africa,,1974,110.29091238594067
Africa,,1975,129.3503983550897
Africa,,1976,143.1004307319122
Africa,,1977,155.76626145794455
Africa,,1978,216.18346597967604
Africa,,1979,321.3470585231787
Africa,,1980,392.3582629624553
Africa,,1981,466.3046750767341
Africa,,1982,489.517684381377
Africa,,1983,523.2127506123669
Africa,,1984,487.3070608610871
Africa,,1985,508.25654491822246
Africa,,1986,555.123564785604
Africa,,1987,557.1519392666396
Africa,,1988,600.5614924405071
Africa,,1989,605.4829263747083
Africa,,1990,632.4190914563252
Africa,,1991,620.4361097407252
Africa,,1992,633.9543265456456
Africa,,1993,605.1660689571289
Africa,,1994,617.3865812285351
Africa,,1995,643.0542019550976
Africa,,1996,658.4408641870037
Africa,,1997,629.4966503326706
Africa,,1998,646.443657591039
Africa,,1999,636.7871892430107
Africa,,2000,686.6009147719313
Africa,,2001,773.4551113901655
Africa,,2002,800.2651703347627
Africa,,2003,829.7232696895838
Africa,,2004,881.4682344200875
Africa,,2005,892.1618007402565
Africa,,2006,908.2215937084843
Africa,,2007,942.9290304251986
Africa,,2008,959.6624560654664
Africa,,2009,943.4552849105721
Africa,,2010,951.7596879180684
Africa,,2011,1005.3199423375804
Africa,,2012,1051.8403863131439
Africa,,2013,1038.2129143281913
Africa,,2014,1040.0032593526778
Africa,,2015,1082.9736329756163
Africa,,2016,1112.9437203584632
Africa,,2017,1131.3939229389196
Africa,,2018,1175.552332273506
Algeria,DZA,1965,592.0245402844396
Algeria,DZA,1966,598.2523448531349
Algeria,DZA,1967,564.0866292195857
Algeria,DZA,1968,576.2038934221313
Algeria,DZA,1969,736.1461743208648
Algeria,DZA,1970,672.7186310466645
Algeria,DZA,1971,742.9733731542495
Algeria,DZA,1972,839.3382830858303
Algeria,DZA,1973,1136.8037877434756
Algeria,DZA,1974,1280.234069978327
Algeria,DZA,1975,1715.438342848025
Algeria,DZA,1976,1971.6434505402085
Algeria,DZA,1977,2041.8159588164704
Algeria,DZA,1978,3184.938128661475
Algeria,DZA,1979,4371.715465174282
Algeria,DZA,1980,5693.281136362502
Algeria,DZA,1981,7176.0240111733265
Algeria,DZA,1982,7891.812934972864
Algeria,DZA,1983,8374.324706293242
Algeria,DZA,1984,7133.396892262452
Algeria,DZA,1985,6856.611092131777
Algeria,DZA,1986,7291.035409825989
Algeria,DZA,1987,7246.887356191639
Algeria,DZA,1988,7942.406823233646
Algeria,DZA,1989,7276.4478592926
Algeria,DZA,1990,7574.0032587949845
Algeria,DZA,1991,7298.958334689396
Algeria,DZA,1992,7360.838760836909
Algeria,DZA,1993,6460.549645324939
Algeria,DZA,1994,6669.33968870419
Algeria,DZA,1995,7031.825927338479
Algeria,DZA,1996,7097.228867631382
Algeria,DZA,1997,6523.887973102916
Algeria,DZA,1998,6646.615108180705
Algeria,DZA,1999,6697.865983858539
Algeria,DZA,2000,6153.370837458926
Algeria,DZA,2001,6273.754450034975
Algeria,DZA,2002,6116.429917899859
Algeria,DZA,2003,6382.707895623606
Algeria,DZA,2004,6481.683211415638
Algeria,DZA,2005,6743.887633396682
Algeria,DZA,2006,6792.2326938854385
Algeria,DZA,2007,6843.059516875934
Algeria,DZA,2008,7026.629667467106
Algeria,DZA,2009,7418.283381643743
Algeria,DZA,2010,7039.837951649666
Algeria,DZA,2011,7309.392134363493
Algeria,DZA,2012,7991.13925885138
Algeria,DZA,2013,8422.001178418985
Algeria,DZA,2014,9272.383362159591
Algeria,DZA,2015,9545.534634502115
Algeria,DZA,2016,9517.952702754557
Algeria,DZA,2017,9395.0083368697
Algeria,DZA,2018,10120.062517057402
Argentina,ARG,1965,1860.740072436372
Argentina,ARG,1966,1985.2938561629767
Argentina,ARG,1967,2045.619606837356
Argentina,ARG,1968,2244.4567936304393
Argentina,ARG,1969,2202.7840378756696
Argentina,ARG,1970,2451.509568159625
Argentina,ARG,1971,2605.2256800746086
Argentina,ARG,1972,2876.9084896081613
Argentina,ARG,1973,3221.0957453041187
Argentina,ARG,1974,3354.9760426062367
Argentina,ARG,1975,3383.7856646528267
Argentina,ARG,1976,3750.7805064389872
Argentina,ARG,1977,3859.213833069277
Argentina,ARG,1978,3697.9509255507937
Argentina,ARG,1979,3745.4224456139204
Argentina,ARG,1980,4019.401727954978
Argentina,ARG,1981,4135.1582611030735
Argentina,ARG,1982,4623.554437652371
Argentina,ARG,1983,4892.078465186932
Argentina,ARG,1984,5124.617481575143
Argentina,ARG,1985,5152.8081147802495
Argentina,ARG,1986,5480.390238903548
Argentina,ARG,1987,5398.273153030401
Argentina,ARG,1988,6209.2109008525695
Argentina,ARG,1989,6425.251958915018
Argentina,ARG,1990,6049.242771817038
Argentina,ARG,1991,6073.898847734213
Argentina,ARG,1992,6479.659397718394
Argentina,ARG,1993,6753.392699526054
Argentina,ARG,1994,6854.961776842136
Argentina,ARG,1995,7536.400311542437
Argentina,ARG,1996,8545.175338268173
Argentina,ARG,1997,7783.927420882295
Argentina,ARG,1998,8227.539306319499
Argentina,ARG,1999,8629.747444410015
Argentina,ARG,2000,8759.384069813676
Argentina,ARG,2001,8111.12377923597
Argentina,ARG,2002,7812.105248113158
Argentina,ARG,2003,8829.3031926276
Argentina,ARG,2004,9562.7987624987
Argentina,ARG,2005,10101.81780862366
Argentina,ARG,2006,10346.271317312294
Argentina,ARG,2007,10763.078318319727
Argentina,ARG,2008,10775.629990436628
Argentina,ARG,2009,10334.105245705607
Argentina,ARG,2010,10291.32838361698
Argentina,ARG,2011,10609.823011536786
Argentina,ARG,2012,10936.225442279967
Argentina,ARG,2013,10908.069241096313
Argentina,ARG,2014,10824.846161609363
Argentina,ARG,2015,10830.543996510738
Argentina,ARG,2016,11080.723359791302
Argentina,ARG,2017,10993.019222245488
Argentina,ARG,2018,10979.067127749602
Australia,AUS,1965,2.60540990188279
Australia,AUS,1966,3.3899769654101615
Australia,AUS,1967,3.3025212571428573
Australia,AUS,1968,24.932465592665356
Australia,AUS,1969,329.61897889527916
Australia,AUS,1970,1352.6127272727274
Australia,AUS,1971,1981.6373330008441
Australia,AUS,1972,2799.3251935971007
Australia,AUS,1973,3504.2287022781425
Australia,AUS,1974,3946.9344553873293
Australia,AUS,1975,4187.175676105424
Australia,AUS,1976,4884.98976689868
Australia,AUS,1977,5518.231580217131
Australia,AUS,1978,5875.877650852692
Australia,AUS,1979,6686.684436480954
Australia,AUS,1980,7586.089872772142
Australia,AUS,1981,8116.9648503079125
Australia,AUS,1982,7809.655872821951
Australia,AUS,1983,8362.93652609411
Australia,AUS,1984,8125.349396719186
Australia,AUS,1985,8551.623039817416
Australia,AUS,1986,9192.692629388113
Australia,AUS,1987,9231.575779398134
Australia,AUS,1988,9299.379740031609
Australia,AUS,1989,9984.183409836067
Australia,AUS,1990,9890.895419002418
Australia,AUS,1991,9356.04221683053
Australia,AUS,1992,9560.370658717387
Australia,AUS,1993,9799.092938567288
Australia,AUS,1994,10762.771358188664
Australia,AUS,1995,10749.496591102097
Australia,AUS,1996,10711.233855566552
Australia,AUS,1997,10404.36455308642
Australia,AUS,1998,10596.288070145802
Australia,AUS,1999,10737.733481216736
Australia,AUS,2000,10823.589866721079
Australia,AUS,2001,11549.528058411044
Australia,AUS,2002,11759.608805875987
Australia,AUS,2003,11717.432371244397
Australia,AUS,2004,11797.585989210262
Australia,AUS,2005,11526.330488919175
Australia,AUS,2006,12639.122617835916
Australia,AUS,2007,13874.457591704915
Australia,AUS,2008,13376.597570705982
Australia,AUS,2009,13395.445864728059
Australia,AUS,2010,15248.758946765967
Australia,AUS,2011,15654.930080903363
Australia,AUS,2012,15451.746197087845
Australia,AUS,2013,15985.156950230059
Australia,AUS,2014,16994.37073490846
Australia,AUS,2015,17594.421678229988
Australia,AUS,2016,17197.408530717556
Australia,AUS,2017,16775.366488147243
Australia,AUS,2018,16626.503348052054
Austria,AUT,1965,2399.5409859780975
Austria,AUT,1966,2559.9883328318824
Austria,AUT,1967,2437.702272809247
Austria,AUT,1968,2584.538925168011
Austria,AUT,1969,3119.288263504479
Austria,AUT,1970,3765.034874805748
Austria,AUT,1971,4305.516120947021
Austria,AUT,1972,4633.9206533781835
Austria,AUT,1973,5075.74589927041
Austria,AUT,1974,5488.063209248624
Austria,AUT,1975,5472.848752875098
Austria,AUT,1976,6230.874571857087
Austria,AUT,1977,6353.324312566452
Austria,AUT,1978,6616.1822915770845
Austria,AUT,1979,6568.701275838803
Austria,AUT,1980,6317.211102629435
Austria,AUT,1981,6025.522406272189
Austria,AUT,1982,5834.683646491713
Austria,AUT,1983,5952.5265504090485
Austria,AUT,1984,6624.147347606153
Austria,AUT,1985,7090.1647477032175
Austria,AUT,1986,6874.920004792131
Austria,AUT,1987,7158.761385877733
Austria,AUT,1988,6839.669577536233
Austria,AUT,1989,7318.826537817094
Austria,AUT,1990,8018.50121
Austria,AUT,1991,8447.728227033323
Austria,AUT,1992,8234.227318592772
Austria,AUT,1993,8592.555941003548
Austria,AUT,1994,8777.084960844346
Austria,AUT,1995,9531.55947939925
Austria,AUT,1996,10109.862808093041
Austria,AUT,1997,9725.59644292419
Austria,AUT,1998,9974.790634658626
Austria,AUT,1999,10176.081030588748
Austria,AUT,2000,9692.050331752387
Austria,AUT,2001,10234.867971783156
Austria,AUT,2002,10017.871824996311
Austria,AUT,2003,10962.538950277642
Austria,AUT,2004,11012.819464302058
Austria,AUT,2005,11543.138397343107
Austria,AUT,2006,10806.518749286663
Austria,AUT,2007,10188.712312966081
Austria,AUT,2008,10870.960048972669
Austria,AUT,2009,10548.08775190971
Austria,AUT,2010,11430.216535562427
Austria,AUT,2011,10695.300097080673
Austria,AUT,2012,10143.662187362976
Austria,AUT,2013,9584.45667656966
Austria,AUT,2014,8718.485868038304
Austria,AUT,2015,9180.890657110267
Austria,AUT,2016,9537.201647409398
Austria,AUT,2017,10283.281007354875
Austria,AUT,2018,9770.463290600606
Azerbaijan,AZE,1985,19891.947167251725
Azerbaijan,AZE,1986,21733.42019162119
Azerbaijan,AZE,1987,21110.201366980997
Azerbaijan,AZE,1988,20498.48510216833
Azerbaijan,AZE,1989,21183.135258874703
Azerbaijan,AZE,1990,21257.78037215242
Azerbaijan,AZE,1991,20023.22036952977
Azerbaijan,AZE,1992,15334.994993559958
Azerbaijan,AZE,1993,11155.331988162754
Azerbaijan,AZE,1994,10296.738693431807
Azerbaijan,AZE,1995,10058.981873925404
Azerbaijan,AZE,1996,7293.331966526223
Azerbaijan,AZE,1997,6884.509515779713
Azerbaijan,AZE,1998,6373.0160489937425
Azerbaijan,AZE,1999,6775.095905397319
Azerbaijan,AZE,2000,6493.107265905454
Azerbaijan,AZE,2001,9229.508025408075
Azerbaijan,AZE,2002,9166.21494005316
Azerbaijan,AZE,2003,9305.001200980747
Azerbaijan,AZE,2004,10797.480766916797
Azerbaijan,AZE,2005,11035.502986727954
Azerbaijan,AZE,2006,11542.990150957126
Azerbaijan,AZE,2007,10053.655433137323
Azerbaijan,AZE,2008,11374.489797759012
Azerbaijan,AZE,2009,9601.239803251905
Azerbaijan,AZE,2010,9017.797884974534
