Entity,Code,Year,"Net enrolment rate, primary, gender parity index (GPI) (GPI)"
Afghanistan,AFG,1974,0.190659999847412
Afghanistan,AFG,1993,0.351839989423752
Albania,ALB,1999,0.972370028495789
Albania,ALB,2000,0.985909998416901
Albania,ALB,2001,0.9965900182724
Albania,ALB,2003,0.994939982891083
Albania,ALB,2004,1.0068199634552
Albania,ALB,2008,0.992749989032745
Albania,ALB,2009,0.985080003738403
Albania,ALB,2010,0.98701000213623
Albania,ALB,2011,0.982590019702911
Albania,ALB,2012,0.984449982643127
Albania,ALB,2013,0.985549986362457
Algeria,DZA,1973,0.702449977397919
Algeria,DZA,1974,0.705579996109009
Algeria,DZA,1975,0.714890003204346
Algeria,DZA,1976,0.725859999656677
Algeria,DZA,1977,0.742609977722168
Algeria,DZA,1978,0.757849991321564
Algeria,DZA,1979,0.769919991493225
Algeria,DZA,1980,0.777050018310547
Algeria,DZA,1981,0.78329998254776
Algeria,DZA,1982,0.788540005683899
Algeria,DZA,1983,0.79720002412796
Algeria,DZA,1984,0.804400026798248
Algeria,DZA,1985,0.815779983997345
Algeria,DZA,1986,0.829800009727478
Algeria,DZA,1987,0.840730011463165
Algeria,DZA,1988,0.849120020866394
Algeria,DZA,1989,0.858060002326965
Algeria,DZA,1990,0.864809989929199
Algeria,DZA,1991,0.874289989471436
Algeria,DZA,1992,0.884720027446747
Algeria,DZA,1993,0.895449995994568
Algeria,DZA,1994,0.907190024852753
Algeria,DZA,1995,0.91499000787735
Algeria,DZA,1996,0.925140023231506
Algeria,DZA,1997,0.933480024337769
Algeria,DZA,1999,0.955950021743774
Algeria,DZA,2000,0.962599992752075
Algeria,DZA,2001,0.964810013771057
Algeria,DZA,2002,0.969810009002686
Algeria,DZA,2003,0.972270011901855
Algeria,DZA,2004,0.973900020122528
Algeria,DZA,2005,0.973489999771118
Algeria,DZA,2006,0.973290026187897
Algeria,DZA,2007,0.979089975357056
Algeria,DZA,2008,0.980750024318695
Angola,AGO,1982,0.92577999830246
Angola,AGO,1983,0.895780026912689
Angola,AGO,1998,0.856939971446991
Angola,AGO,2008,0.887449979782104
Angola,AGO,2009,0.878069996833801
Angola,AGO,2010,0.839730024337769
Angola,AGO,2011,0.769500017166138
Antigua and Barbuda,ATG,2007,0.99125999212265
Antigua and Barbuda,ATG,2008,0.988979995250702
Antigua and Barbuda,ATG,2009,0.980279982089996
Antigua and Barbuda,ATG,2010,0.939310014247894
Antigua and Barbuda,ATG,2011,0.952470004558563
Antigua and Barbuda,ATG,2012,0.967639982700348
Antigua and Barbuda,ATG,2014,0.978380024433136
Arab World,,1970,0.658179998397827
Arab World,,1971,0.65600997209549
Arab World,,1972,0.662769973278046
Arab World,,1997,0.871089994907379
Arab World,,1998,0.881850004196167
Arab World,,1999,0.894450008869171
Arab World,,2000,0.901350021362305
Arab World,,2001,0.908460021018982
Arab World,,2002,0.913990020751953
Arab World,,2003,0.920870006084442
Arab World,,2004,0.925819993019104
