Entity,Code,Year,Gas Consumption (terwatt-hours)
Africa,,1965,9.543754299999998
Africa,,1966,10.669916200000001
Africa,,1967,10.545669599999995
Africa,,1968,10.688969799999997
Africa,,1969,12.491999800000002
Africa,,1970,15.520324999999993
Africa,,1971,18.405263697889374
Africa,,1972,24.67065692587239
Africa,,1973,39.55179143159969
Africa,,1974,44.51848738148124
Africa,,1975,53.63837747109728
Africa,,1976,60.98138995077562
Africa,,1977,68.23419091214265
Africa,,1978,97.36989781133853
Africa,,1979,148.84281595461505
Africa,,1980,186.91397720022422
Africa,,1981,228.4911559965506
Africa,,1982,246.73354872461542
Africa,,1983,271.27534699518367
Africa,,1984,259.9027804325433
Africa,,1985,278.84274705172044
Africa,,1986,313.2712026004659
Africa,,1987,323.3843571479668
Africa,,1988,358.44454061260535
Africa,,1989,371.47104110180146
Africa,,1990,398.64538443349574
Africa,,1991,401.6355929838975
Africa,,1992,421.27025741262395
Africa,,1993,412.64397738033256
Africa,,1994,431.8279523524902
Africa,,1995,461.2434977450164
Africa,,1996,484.19174816227877
Africa,,1997,474.47553616145206
Africa,,1998,499.3369943661952
Africa,,1999,504.0196074875003
Africa,,2000,556.8223562513684
Africa,,2001,642.6661539007266
Africa,,2002,681.2641261610296
Africa,,2003,723.7244625330092
Africa,,2004,787.8942180685576
Africa,,2005,817.3575880663788
Africa,,2006,853.0107884904712
Africa,,2007,908.0614158002759
Africa,,2008,947.7856735583973
Africa,,2009,955.7636176889519
Africa,,2010,989.1676506729025
Africa,,2011,1072.0832236801987
Africa,,2012,1151.0742059093911
Africa,,2013,1165.9598142518357
Africa,,2014,1198.5351663096176
Africa,,2015,1280.5503033190134
Africa,,2016,1350.0463901033436
Africa,,2017,1407.7051556842473
Africa,,2018,1499.9119353510557
Algeria,DZA,1965,7.430499999999999
Algeria,DZA,1966,7.719249999999997
Algeria,DZA,1967,7.488250000000003
Algeria,DZA,1968,7.873250000000004
Algeria,DZA,1969,10.351687499999999
Algeria,DZA,1970,9.730875000000006
Algeria,DZA,1971,11.049500000000002
Algeria,DZA,1972,12.830125000000042
Algeria,DZA,1973,17.85918749999995
Algeria,DZA,1974,20.67450000000001
Algeria,DZA,1975,28.49000000000001
Algeria,DZA,1976,33.687500000000036
Algeria,DZA,1977,35.901250000000005
Algeria,DZA,1978,57.65375000000003
Algeria,DZA,1979,81.52375000000005
Algeria,DZA,1980,109.43625000000002
Algeria,DZA,1981,142.25750000000045
Algeria,DZA,1982,161.41125000000042
Algeria,DZA,1983,176.7150000000005
Algeria,DZA,1984,155.25124999999966
Algeria,DZA,1985,153.80750000000012
Algeria,DZA,1986,168.4375000000002
Algeria,DZA,1987,172.28750000000008
Algeria,DZA,1988,194.13625000000008
Algeria,DZA,1989,182.68249999999992
Algeria,DZA,1990,195.09874999999977
Algeria,DZA,1991,192.69250000000054
Algeria,DZA,1992,198.94874999999965
Algeria,DZA,1993,178.54375000000036
Algeria,DZA,1994,188.16874999999948
Algeria,DZA,1995,202.2212500000002
Algeria,DZA,1996,207.70749999999975
Algeria,DZA,1997,194.04000000000056
Algeria,DZA,1998,200.68124999999998
Algeria,DZA,1999,205.10875000000038
Algeria,DZA,2000,191.01293750000045
Algeria,DZA,2001,197.3221249999998
Algeria,DZA,2002,194.83887499999958
Algeria,DZA,2003,205.93168750000018
Algeria,DZA,2004,211.89918749999958
Algeria,DZA,2005,223.5598749999997
Algeria,DZA,2006,228.4975000000006
Algeria,DZA,2007,233.80681452991467
Algeria,DZA,2008,244.041875
Algeria,DZA,2009,262.1176249999999
Algeria,DZA,2010,253.2722500000001
Algeria,DZA,2011,267.9696250000002
